,unnamed: 0,unnamed: 0,mth_day,nudity,nudity_norm,nudity_ravg
0,0,0,01-01,,,
1,1,1,01-02,5.248971952908348,-0.4615555781603976,
2,2,2,01-03,5.21991295846514,-0.4999477732569012,
3,3,3,01-04,4.8940146812488665,-0.930518427205532,
4,4,4,01-05,4.442018076947063,-1.5276878113432573,-1.111910857151536
5,5,5,01-06,4.598674343603831,-1.320716508040562,-1.3562251313910183
6,6,6,01-07,4.1367221378844805,-1.9310390449025672,-1.6364679481135374
7,7,7,01-08,4.139445323392755,-1.9274412235972924,-1.5298287397971952
8,8,8,01-09,3.947220771927957,-2.181404673592012,-1.3632822327380951
9,9,9,01-10,5.37830501486017,-0.2906831773074783,-1.2658584194336513
10,10,10,01-11,5.198370873811255,-0.5284087689886604,-0.983148294354895
11,11,11,01-12,5.041113965876082,-0.736173628213898,-0.7385736931407823
12,12,12,01-13,5.420619336216387,-0.23477829443002896,-0.5203760954968318
13,13,13,01-14,5.25015419947021,-0.4599936163126157,-0.37343612426670747
14,14,14,01-15,4.9381413631865065,-0.872219087728309,-0.5447697386328586
15,15,15,01-16,6.045616867708639,0.5909566500732674,-0.3413668041199127
16,16,16,01-17,4.4202779512337536,-1.5564104551855673,-0.17740786206614256
17,17,17,01-18,5.964846208153963,0.4842439788637773,-0.1495407493904457
18,18,18,01-19,6.165220988830197,0.7489753578925923,-0.1522034402363412
19,19,19,01-20,5.376709652268231,-0.2927909402584347,-0.29679501888394505
20,20,20,01-21,4.926049043125043,-0.888195232803682,-0.3914945330012987
21,21,21,01-22,5.388969983638495,-0.2765928218123558,-0.5346036501256318
22,22,22,01-23,3.9902104365849858,-2.124607539889689,-0.7065447957431092
23,23,23,01-24,5.314931761402192,-0.3744107238822216,-1.0008359238759557
24,24,24,01-25,5.384369029337199,-0.28267151581227146,-1.131527195710992
25,25,25,01-26,4.040218591686512,-2.0585377090555133,-1.2320570509184583
26,26,26,01-27,4.332528886361315,-1.6723428638139002,-0.7570750471249346
27,27,27,01-28,4.9324246108343806,-0.8797719530571545,-0.910612175603316
28,28,28,01-29,6.1472894013326975,0.7252844828714551,-1.1759890802035704
29,29,29,01-30,4.617659638451501,-1.29563349475251,-0.824430993735207
30,30,30,01-31,4.179188761303485,-1.8749329434137991,-0.6545351560997141
31,31,31,02-01,5.6367812975390805,0.05081080975466725,-0.4076261192775227
32,32,32,02-02,5.104092302732399,-0.6529678380009424,-0.6495495577610825
33,33,33,02-03,6.053735071613,0.6016822678759942,-0.6755826337055421
34,34,34,02-04,5.048620491638231,-0.7262561480299038,-0.2532182933240799
35,35,35,02-05,4.499433263433125,-1.4518319504192665,-0.37307681283169775
36,36,36,02-06,6.097310346584513,0.6592530988749742,-0.3192188824675395
37,37,37,02-07,5.0924569039604215,-0.6683403072910402,-0.6658419790653947
38,38,38,02-08,5.348682219288215,-0.3298202558159924,-0.609847332693897
39,39,39,02-09,4.479584084006379,-1.478056311711137,-0.4431697760593134
40,40,40,02-10,5.302914070893394,-0.3902882698009177,-0.531929875176567
41,41,41,02-11,5.256381207651024,-0.4517666106117644,-0.5234503528619627
42,42,42,02-12,5.694216037356792,0.1266925041714524,-0.0863183403608621
43,43,43,02-13,5.130965729705098,-0.6174631734034148,-0.06840779741497856
44,44,44,02-14,7.333869576815664,2.2929718191906114,-0.25364300374247223
45,45,45,02-15,4.560922861322603,-1.3705930540358358,-0.40929793324632696
46,46,46,02-16,4.461688584646484,-1.50169950776588,-0.4672406236846354
47,47,47,02-17,4.549491322328106,-1.3856961876348926,-0.4160591637603432
48,48,48,02-18,5.431075628442068,-0.2209636384583981,-0.7927757777123415
49,49,49,02-19,5.363400747676349,-0.31037441385766223,-0.6994133486295735
50,50,50,02-20,5.623052162394037,0.032672135478621626,-0.5137929527622667
51,51,51,02-21,4.9849181501203965,-0.8104184795392274,-0.14662663475573792
52,52,52,02-22,5.304663367176486,-0.3879771325620387,-0.15104430996787982
53,53,53,02-23,6.2169371093479455,0.81730172040428,0.10019517637245716
54,54,54,02-24,5.4110132382944585,-0.2474696897312493,0.2927337104452252
55,55,55,02-25,6.504377472626849,1.1970625041843597,0.4805450628053078
56,56,56,02-26,6.497444915034556,1.18790333991523,0.6514375762077638
57,57,57,02-27,5.837842922598433,0.3164496346212685,0.4766389860806287
58,58,58,02-28,6.0807530778375005,0.6373779478526966,0.5089483945532395
59,59,59,02-29,5.4231083772709585,-0.2314898203585309,0.13237222860384082
60,60,60,03-01,5.557742892940505,-0.053613238895583976,-0.1182377375308619
61,61,61,03-02,4.794197887490603,-1.0623944915120325,-0.31828645733226163
62,62,62,03-03,5.359327087437244,-0.3157564568929865,-0.6481709707245168
63,63,63,03-04,4.92934348059454,-0.8838426841871299,-0.8914673137316079
64,64,64,03-05,4.582618540210264,-1.3419291325008345,-1.0321161523433309
65,65,65,03-06,4.318204571423236,-1.6912678784010784,-1.1534952917937855
66,66,66,03-07,4.919001532715353,-0.8975062705659212,-1.3296895479213642
67,67,67,03-08,4.242967764292986,-1.7906693282147614,-1.3572957783960702
68,68,68,03-09,4.559160090442163,-1.3729219936584571,-1.1690359625246818
69,69,69,03-10,4.803972795858343,-1.0494800670353654,-0.8615182207184736
70,70,70,03-11,5.437579960811745,-0.212370237272504,-0.9213167192147379
71,71,71,03-12,5.714762855398233,0.1538385724361701,-0.7919549175594064
72,72,72,03-13,4.647433173915256,-1.256297261543507,-0.6245286673101988
73,73,73,03-14,4.830450277238638,-1.0144985182827728,-0.34724520450157864
74,74,74,03-15,5.319508145052135,-0.3683644921632114,-0.2323558195755405
75,75,75,03-16,6.063225399367262,0.6142207098163553,-0.7674253862737742
76,76,76,03-17,5.959337571663227,0.4769660722837247,-0.5323402776194474
77,77,77,03-18,3.2848027773672337,-3.056578827753232,-0.4398268520037658
78,78,78,03-19,5.715046554535284,0.15421339038245482,-0.43636741873681545
79,79,79,03-20,5.2505899093900235,-0.4594179645886842,-0.5987255337451943
80,80,80,03-21,5.335218783919479,-0.3476078925615089,-0.7982850333980949
81,81,81,03-22,5.3258937281806125,-0.3599279802339179,-0.24353866296344875
82,82,82,03-23,5.053059869605333,-0.7203909256336786,-0.17797360667139298
83,83,83,03-24,5.8041229134515815,0.2718993948546448,0.02810072695177745
84,84,84,03-25,6.012803106616302,0.5476037281347894,-0.022923342369888928
85,85,85,03-26,6.1864540193620225,0.7770280371503384,0.20012222163562526
86,86,86,03-27,5.103498538203726,-0.6537523084915072,0.2766711957808207
87,87,87,03-28,6.338830829910745,0.9783454037991672,0.058266214321946765
88,88,88,03-29,5.400698686619117,-0.2610970807625057,-0.08331319596232482
89,89,89,03-30,4.812260511216556,-1.0385304938985989,-0.4105242060241631
90,90,90,03-31,5.369835656636144,-0.30187273357084016,-0.294741180260548
91,91,91,04-01,4.700460905515408,-1.1862380232206913,-0.6965100272983417
92,92,92,04-02,5.6293145214511755,0.04094584609018316,-0.8580296913374829
93,93,93,04-03,4.514241431334501,-1.4322676784275945,-0.6356028630550901
94,94,94,04-04,4.667174749060835,-1.230215064997353,-0.4327959111208137
95,95,95,04-05,5.82238769214459,0.29603047579575764,-0.4421885649109785
96,96,96,04-06,6.290861309035803,0.914968978034818,-0.43305773961515465
97,97,97,04-07,4.657805192768174,-1.2425939459616802,-0.2924030912085556
98,98,98,04-08,5.670781168648553,0.09573079786512673,-0.30001546072748164
99,99,99,04-09,5.153009176109417,-0.5883397879880002,-0.491839874559459
100,100,100,04-10,4.632604003158849,-1.2758892821109091,-0.7477912821585563
101,101,101,04-11,4.9512380386897386,-0.8549160071961065,-0.5141058270112492
102,102,102,04-12,5.128485907609893,-0.6207394675597656,-0.3756718780080215
103,103,103,04-13,5.7190621996439015,0.15951878492216218,-0.15231875518525048
104,104,104,04-14,6.2994638492909685,0.9263344918844932,-0.01132261538817932
105,105,105,04-15,6.167343022663204,0.7517789489486258,0.13961205032007354
106,106,106,04-16,5.272922593837708,-0.4299124433284819,0.2721272418240324
107,107,107,04-17,5.636691360816086,0.05069198705341084,0.09956066525611597
108,108,108,04-18,5.730289196618212,0.17435168146398702,-0.12242022289307153
109,109,109,04-19,4.935369913704177,-0.8758806744853361,-0.3443585565266231
110,110,110,04-20,5.291361856839956,-0.40555083701063177,-0.17229258021401564
111,111,111,04-21,5.159434286903601,-0.5798510528526838,-0.2969158124090847
112,112,112,04-22,6.054341458317567,0.6024834145471626,-0.2311231113821031
113,113,113,04-23,5.07072854424649,-0.6970474061170036,0.029403526987410555
114,114,114,04-24,6.029079572434071,0.5691078876258765,0.106833035896526
115,115,115,04-25,6.1185232266612815,0.6872791557317458,0.2358038738228063
116,116,116,04-26,5.642999526445651,0.05902621644406079,0.17255818336386886
117,117,117,04-27,5.7451412807155195,0.19397397470499805,0.3406968265869104
118,118,118,04-28,5.767118053198363,0.2230092717935378,0.35925050694264776
119,119,119,04-29,5.8343118538476375,0.3117844532212455,0.15999926868747075
120,120,120,04-30,6.113339088151243,0.680429969760301,-0.14240588058411194
121,121,121,05-01,5.213645460119599,-0.5082282737993166,-0.08749377982534999
122,122,122,05-02,4.269659523844871,-1.7554046791854352,-0.10083236182805536
123,123,123,05-03,5.9945185971418535,0.5234465792575697,-0.31776447713669226
124,124,124,05-04,5.706542337849562,0.14297777977730544,-0.4473294101464665
125,125,125,05-05,4.8491383125909024,-0.9898082386305757,-0.3774877485611505
126,126,126,05-06,5.5249340763145804,-0.0969596282983444,-0.12304264436596456
127,127,127,05-07,5.53082374869788,-0.08917830428742025,-0.20368861096891291
128,128,128,05-08,5.4251942126518715,-0.22873405401431995,-0.1326623926106418
129,129,129,05-09,5.628273735733195,0.039570779639879435,0.2520676842765039
130,130,130,05-10,6.029100161814628,0.5691350899269323,0.40789830189655
131,131,131,05-11,6.596347994917706,1.3185722226922991,0.40365207815723947
132,132,132,05-12,6.232621830055174,0.8380240774219321,0.22895677174952805
133,133,133,05-13,5.511539986714215,-0.11465564672328342,0.2254488352375622
134,134,134,05-14,4.6318345323216645,-1.2769058924605887,0.3143891291368824
135,135,135,05-15,5.612342824668782,0.01852316056808475,0.26409908259912623
136,136,136,05-16,6.433012805991567,1.1027768533228537,0.3051444249276709
137,137,137,05-17,6.367961233616464,1.0168319434657622,0.4011430342452815
138,138,138,05-18,6.419024775494473,1.0842961313931998,1.0261264925809679
139,139,139,05-19,5.947507200524844,0.4613360091823806,1.6590467971234055
140,140,140,05-20,7.47012874246868,2.47299485755353,1.7920084283384856
141,141,141,05-21,8.48668135620542,3.816044987822712,1.8814245856603768
142,142,142,05-22,7.036843552255522,1.9005466406133351,1.7474230641724378
143,143,143,05-23,6.774034959625393,1.5533288873971096,1.6460468160743995
144,144,144,05-24,5.8104714809753935,0.2802870024655666,1.24058367104704
145,145,145,05-25,5.4871180267228326,-0.14692147940584982,0.5627812469832761
146,146,146,05-26,5.62876209250363,0.040215987389371835,0.33098455640669244
147,147,147,05-27,5.4085155740792406,-0.2507695565598708,0.07385117510908241
148,148,148,05-28,5.984164163673388,0.5097664971538328,0.2251495408670465
149,149,149,05-29,5.6062917535635535,0.010528599611449377,0.5191944027570344
150,150,150,05-30,6.4975765072093585,1.1880771970133508,0.9646902449929
151,151,151,05-31,6.8224906960224505,1.6173476919340777,1.0580511445625882
152,152,152,06-01,7.651932870542806,2.713191040804566,1.2098403581246653
153,153,153,06-02,5.8325039167602,0.3093958408582569,1.2613386373281197
154,154,154,06-03,6.673498321673795,1.4205017785262954,1.3178402905083593
155,155,155,06-04,5.840165571736177,0.31951827483217576,1.355373079570756
156,156,156,06-05,6.75417260258805,1.5270871160947892,0.9312839011746648
157,157,157,06-06,6.992941763911756,1.8425444263084565,0.7964972810281806
158,158,158,06-07,5.725978121543491,0.16865597042801836,0.6530154323420736
159,159,159,06-08,5.220385182312718,-0.4993238800206479,0.7360261437519319
160,160,160,06-09,6.021891155187428,0.5596106864096535,0.7048616389620767
161,161,161,06-10,6.217149663766718,0.8175825432913252,0.4414072342769971
162,162,162,06-11,6.612642403144539,1.3401000873556577,0.5769764841650445
163,163,163,06-12,5.796492319559009,0.26181799819797896,0.6822639438916439
164,164,164,06-13,6.341651083602186,0.982071469756303,0.6044664119571367
165,165,165,06-14,5.698536697136627,0.13240087833894815,0.6776975001552374
166,166,166,06-15,5.66858214915156,0.09282549480260964,0.6118733356708259
167,167,167,06-16,6.54972066362796,1.2569690724799305,0.8460019801878422
