,unnamed: 0,unnamed: 0,mth_day,psychopath,psychopath_norm,psychopath_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.6123742087921444,-0.2559489889054511,
2,2,2,01-03,2.498184341195392,-0.5188897341555645,
3,3,3,01-04,2.098110446232849,-1.440124956776648,
4,4,4,01-05,2.3515579453580004,-0.8565208620851509,-0.9213416424872476
5,5,5,01-06,2.1518037416653657,-1.316487409828814,-1.2110828455763547
6,6,6,01-07,2.2284148358828286,-1.1400779031718573,-1.5428375198090518
7,7,7,01-08,1.857401610233541,-1.9943962074400927,-1.4818382867418822
8,8,8,01-09,1.6337381187767108,-2.509417779551747,-1.4697444883377886
9,9,9,01-10,2.2570548732173674,-1.074129558373629,-1.4552908824601891
10,10,10,01-11,2.383070503151772,-0.7839580716605902,-1.3867513329901568
11,11,11,01-12,2.18946520048314,-1.22976577456322,-1.1510959421546791
12,12,12,01-13,2.407006907758476,-0.7288406063516629,-0.8507681916061717
13,13,13,01-14,2.4714439379610496,-0.5804638624272257,-0.6692998808883966
14,14,14,01-15,2.4162958628374867,-0.7074512762607024,-0.6575844659245578
15,15,15,01-16,2.7299030585564217,0.014680305933020797,-0.6064810314099122
16,16,16,01-17,2.41359711512184,-0.7136655818775566,-0.5023645550201103
17,17,17,01-18,2.3226243519584857,-0.9231451674753466,-0.4920679688845045
18,18,18,01-19,2.678301034705964,-0.10414174801285203,-0.3783706608409127
19,19,19,01-20,2.498273537300741,-0.5186843456135901,-0.547797891660787
20,20,20,01-21,2.712554562627554,-0.02526742799915167,-0.056521614571281985
21,21,21,01-22,2.2884300635011403,-1.0018830789862243,0.07799392424079392
22,22,22,01-23,3.693705444796972,2.233992080659473,-0.13369439932165764
23,23,23,01-24,2.6731286806515344,-0.11605193460289125,-0.13381205595509102
24,24,24,01-25,2.1267091933643383,-1.3742716893875615,-0.2886881256672684
25,25,25,01-26,2.4979669618695155,-0.5193902854141902,-0.3130054809562303
26,26,26,01-27,2.3089972240146324,-0.954523846272216,-0.3354617889039238
27,27,27,01-28,2.2250668389516286,-1.1477872107199958,-0.24765311998770365
28,28,28,01-29,3.6351915124168124,2.099254232973312,-0.28258894910365395
29,29,29,01-30,2.901929894427344,0.4108000788944299,-0.2975370160900288
30,30,30,01-31,2.0356776334437536,-1.5838866640832634,-0.3023032758108099
31,31,31,02-01,2.45901709607269,-0.6090786873324391,-0.1488517383869223
32,32,32,02-02,2.2965778806542865,-0.9831214045969028,-0.3624460315520832
33,33,33,02-03,2.624912303547482,-0.22707798617667016,-0.20765825534077129
34,34,34,02-04,3.07863332590788,0.8176884739823471,0.05022512093690923
35,35,35,02-05,3.3052571685100096,1.3395267361623011,0.22247474255325148
36,36,36,02-06,2.707638958369812,-0.036586406417180486,0.7152475016114584
37,37,37,02-07,2.9078443358506387,0.4244190423656143,0.7565199854444763
