,unnamed: 0,unnamed: 0,mth_day,neo-noir,neo-noir_norm,neo-noir_ravg
0,0,0,01-01,,,
1,1,1,01-02,6.8234619404742824,-1.024118210769592,
2,2,2,01-03,7.726714176854974,-0.09548441464405147,
3,3,3,01-04,5.8881895311617765,-1.985671952780252,
4,4,4,01-05,5.7338233802660055,-2.1443758218944082,-1.3951957034009077
5,5,5,01-06,6.611341088333512,-1.2421996992253237,-1.4692265771775286
6,6,6,01-07,5.991630647786642,-1.8793241210918217,-1.8575681599613707
7,7,7,01-08,6.391417236228503,-1.4683034534293151,-1.7662926233464182
8,8,8,01-09,5.460349946352409,-2.4255339113471046,-1.6262745993631047
9,9,9,01-10,6.420874209998241,-1.4380187330905378,-1.4902920318319075
10,10,10,01-11,6.550969560972757,-1.3042676779945277,-1.1378090069887383
11,11,11,01-12,7.4049363165739726,-0.4263042940381406,-0.9854355575459776
12,12,12,01-13,8.048724079907101,0.2355740279671924,-0.8176334168751968
13,13,13,01-14,7.280669767517648,-0.5540627567727483,-0.4700455151478886
14,14,14,01-15,6.439644429039057,-1.4187210673224198,-0.3972041684290526
15,15,15,01-16,8.449399668907683,0.6475086772733103,-0.28195701985557725
16,16,16,01-17,6.976072176875457,-0.8672195976815112,-0.2527426713325162
17,17,17,01-18,8.077519492761217,0.2651785974027112,-0.1552159821719421
18,18,18,01-19,8.219219225019993,0.4108601191055589,-0.07429784676776241
19,19,19,01-20,7.849836216931584,0.03109737819069631,-0.2073888682207371
20,20,20,01-21,6.911883240974567,-0.9332122548973416,-0.32001823567469817
21,21,21,01-22,7.672679524081046,-0.15103745144453787,-0.5096012416181973
22,22,22,01-23,6.3187663898619935,-1.5429958024052777,0.1502287957359735
23,23,23,01-24,6.971111725914729,-0.8723194382582835,-0.059059023080948674
24,24,24,01-25,12.069992001272075,4.369840343230584,-0.17768737091604433
25,25,25,01-26,6.628431022446938,-1.224629534710837,-0.4349726395043894
26,26,26,01-27,6.2195673619235015,-1.6449823419079157,-0.22293797694660192
27,27,27,01-28,6.171160872424225,-1.6947490629746085,-0.1421960819527863
28,28,28,01-29,7.556202183893694,-0.2707878270585525,-1.0272495418887662
29,29,29,01-30,7.4423219975657915,-0.3878680682953896,-0.7147138991100496
30,30,30,01-31,6.904813733978631,-0.940480416385296,-0.5609766047820676
31,31,31,02-01,8.452391249608791,0.6505843219614628,-0.4093166627089291
32,32,32,02-02,7.116779301632576,-0.7225585759400236,-0.27698627488378674
33,33,33,02-03,7.056249369645423,-0.7847894105357776,-0.21665237895874287
34,34,34,02-04,8.328483265475342,0.5231944998923014,-0.1027041311241772
35,35,35,02-05,7.7944310419569875,-0.02586469274512626,-0.287067851048296
36,36,36,02-06,7.56981651624428,-0.2567909293779021,-0.11594641419351745
37,37,37,02-07,7.376443272976602,-0.4555979975832502,0.018692710655310973
38,38,38,02-08,8.115445220383139,0.3041700451886477,-0.05083679004059132
39,39,39,02-09,7.842004256866453,0.02304533855719306,-0.07417481506436116
40,40,40,02-10,7.9227086064437655,0.1060174957168876,-0.09812177041576438
41,41,41,02-11,7.6582301624496125,-0.1658928428877453,-0.13127219989312386
42,42,42,02-12,7.430061915027466,-0.40047266148632144,-0.1179526937860666
43,43,43,02-13,7.182977131507268,-0.6545005744474067,-0.17926455140605388
44,44,44,02-14,8.193177952460397,0.3840870818309909,-0.2840831678218308
45,45,45,02-15,7.484187821089729,-0.3448258071627304,-0.4672030472304857
46,46,46,02-16,7.310986417868059,-0.5228942027777741,-0.6868432355624564
47,47,47,02-17,6.589541247884612,-1.2646121193396749,-0.7298493654088903
48,48,48,02-18,6.1482402186537835,-1.718313791478146,-0.8145315231248321
49,49,49,02-19,6.931993052806226,-0.9125373535260096,-0.8147400562189661
50,50,50,02-20,7.6989722796261955,-0.12400586446466065,-0.4879897103201215
51,51,51,02-21,7.482970820473845,-0.3460770057275342,-0.4071748078557105
52,52,52,02-22,9.217903753222476,1.4376078726152934,-0.22012536660699075
53,53,53,02-23,7.061177591651701,-0.7797227045532091,0.14829086361360042
54,54,54,02-24,7.239862083978343,-0.5960171439858271,0.4264442360808663
55,55,55,02-25,9.082072784477154,1.2979600277975374,0.36373784655601504
56,56,56,02-26,9.322277333477095,1.5449143703389348,0.06538950971445705
57,57,57,02-27,7.1170158866129825,-0.722315342876642,0.03493273780730285
58,58,58,02-28,7.476740744099133,-0.3524821484340545,0.056724521841383824
59,59,59,02-29,6.883431654860349,-0.9624633359961342,-0.4330851839695121
60,60,60,03-01,7.3670390901069105,-0.4652664397813411,-1.0117710477746806
61,61,61,03-02,6.223539868570764,-1.6408982070678375,-0.8478594464663839
62,62,62,03-03,5.945062529376334,-1.927200812492077,-1.022533133786305
63,63,63,03-04,8.073605153995908,0.2611542649731391,-1.0145852641904962
64,64,64,03-05,6.4573438664482286,-1.4005242723535811,-1.0557652169686185
65,65,65,03-06,6.929815478172585,-0.914776118421282,-1.0684049009535486
66,66,66,03-07,7.126712593724292,-0.7123461564500736,-1.0980900412852137
67,67,67,03-08,6.149774583218237,-1.7167363109774174,-1.4478934407920547
68,68,68,03-09,5.7718198399304725,-2.105311654482068,-1.344295958299483
69,69,69,03-10,6.032150034337039,-1.8376661320679084,-1.086910618110957
70,70,70,03-11,7.061939508790165,-0.7789393773981474,-1.2152088501227118
71,71,71,03-12,8.431918148397576,0.6295359227098726,-1.0030107347901998
72,72,72,03-13,6.377963202057916,-1.4821355485206016,-0.7695948228720266
73,73,73,03-14,7.388164288802125,-0.4435476189823446,-0.7932714259029269
74,74,74,03-15,7.134036756824328,-0.7048161829730301,-0.6930107912200963
75,75,75,03-16,5.893973211179503,-1.979725750253309,-1.124293790547202
76,76,76,03-17,7.647061283655902,-0.17737556930116533,-0.9849650773214186
77,77,77,03-18,5.9149475064900985,-1.9581620732527598,-1.0500459254311585
78,78,78,03-19,7.191086560296447,-0.6461632691659027,-0.9694360459496464
79,79,79,03-20,7.008351997804732,-0.8340327076407834,-0.4933680938467831
