,unnamed: 0,unnamed: 0,mth_day,nostalgic,nostalgic_norm,nostalgic_ravg
0,0,0,01-01,,,
1,1,1,01-02,3.2390571599221114,-1.2544275289908218,
2,2,2,01-03,3.4257378324979872,-0.9425268403464658,
3,3,3,01-04,3.3253802818457103,-1.1102013442316152,
4,4,4,01-05,3.3683387881373625,-1.0384275097439917,-1.1800916607071879
5,5,5,01-06,3.194746011487861,-1.3284613189946988,-1.2729853265308408
6,6,6,01-07,3.148034586479792,-1.4065054219355342,-1.3186130020365543
7,7,7,01-08,2.905461512742792,-1.8117895239327408,-1.2137124251236475
8,8,8,01-09,3.261881730958061,-1.2162928933807478,-1.1582681896431966
9,9,9,01-10,3.702094620056645,-0.4807978827541729,-1.1113103680096976
10,10,10,01-11,3.567447688119583,-0.7057620968612864,-0.8682999775435949
11,11,11,01-12,3.363378875301158,-1.0467143891937054,-0.7289569072430091
12,12,12,01-13,4.020722812959458,0.051556920861082316,-0.7357382319083016
13,13,13,01-14,3.405864218403281,-0.9757311021292256,-0.5080473531284845
14,14,14,01-15,3.237528936067332,-1.2569808413725023,-0.6574595602561236
15,15,15,01-16,4.519768089931064,0.8853473899247303,-0.28350905867246884
16,16,16,01-17,3.030885141133264,-1.6022353396271212,-0.3001527644416017
17,17,17,01-18,4.706293469991062,1.1969886203082232,-0.2787501810325708
18,18,18,01-19,3.9609526688028454,-0.04830531375371474,-0.31390732920655273
19,19,19,01-20,3.4827242346416223,-0.8473156016750403,-0.4760636790939503
20,20,20,01-21,3.111274131780209,-1.4679237304163943,-0.4750237443529177
21,21,21,01-22,3.9374393379619614,-0.08759070939965534,-0.9389664622858356
22,22,22,01-23,3.0346197090382234,-1.5959957311809259,-1.004516237464221
23,23,23,01-24,3.0402027858665486,-1.5866676872892855,-1.2593780006180124
24,24,24,01-25,3.7255531991059088,-0.4416039648240262,-1.1649125444065562
25,25,25,01-26,2.5674758797973563,-2.3764861805977904,-1.3302734311980005
26,26,26,01-27,3.4505143234717965,-0.9011309931476572,-1.1686039955250909
27,27,27,01-28,3.3436025940007625,-1.0797560301483209,-0.9901148026345612
28,28,28,01-29,3.6151998760950734,-0.6259791171434675,-1.0393835918131666
29,29,29,01-30,3.681185325298956,-0.515732529946106,-0.6736547503698759
30,30,30,01-31,3.5486212902825467,-0.7372166998956605,-0.7153349249637045
31,31,31,02-01,3.8808652101853855,-0.18211313193804554,-0.5614490247050257
32,32,32,02-02,3.300834313592857,-1.1512120407106292,-0.5682252067003479
33,33,33,02-03,3.896230871003205,-0.15644062859624827,-0.6215695850053543
34,34,34,02-04,3.5908655493345627,-0.6666362091154011,-0.7061138659012257
35,35,35,02-05,3.489617340052045,-0.8357987997761442,-1.0156937439935525
36,36,36,02-06,3.2450095870442515,-1.2444823852708888,-0.9339067970831392
37,37,37,02-07,2.769115567513754,-2.0395924004920047,-0.9436254486007162
38,38,38,02-08,3.5945440002919984,-0.6604903592481499,-0.8021514078805216
39,39,39,02-09,3.861329677106185,-0.21475253770171016,-0.7011799575211347
40,40,40,02-10,4.098920902244424,0.18220803520576667,-0.2836710744263718
41,41,41,02-11,3.8522215717896353,-0.22997009761982296,0.1609764126311771
42,42,42,02-12,4.74434912568961,1.260570913297689,0.5009715615884213
43,43,43,02-13,4.365914067136015,0.6282925218532885,0.3438881307212683
44,44,44,02-14,4.815519626009431,1.3794805344953147,0.094408124617029
45,45,45,02-15,3.29721856881216,-1.1572531229046277,-0.050459013086889104
46,46,46,02-16,3.2029992766231747,-1.3146720014196691,-0.3750363248532865
47,47,47,02-17,3.33198107822254,-1.0991729238433317,-0.533892493178297
48,48,48,02-18,3.578741358804984,-0.6868929573006961,-0.8857329209794279
49,49,49,02-19,3.7954367820495314,-0.3248444880967734,-0.8959356637384529
50,50,50,02-20,3.55200575587125,-0.7315620323114709,-0.9503253375556744
51,51,51,02-21,3.2605789277395125,-1.218469579458778,-0.7111691970608919
52,52,52,02-22,3.007677472105605,-1.6410100443229971,-0.6951314608054608
53,53,53,02-23,4.190828091717735,0.3357639191253637,-0.6832704326853271
54,54,54,02-24,3.636335371894943,-0.59066653976811,-0.2530718262142745
55,55,55,02-25,3.8380315845784754,-0.25367831937597,-0.007160969043329413
56,56,56,02-26,5.096916071002878,1.849629606514844,0.23559322691280385
57,57,57,02-27,4.143683182685111,0.2569955635668925,0.030997283500602706
58,58,58,02-28,3.8794456641286783,-0.1844848685861978,0.2217419140640077
59,59,59,02-29,3.45609213800454,-0.8918117413478429,0.18063870881223906
60,60,60,03-01,4.321329100095698,0.5538012436123202,-0.2651638120096653
61,61,61,03-02,3.690423561625237,-0.500297550886582,-0.3685199824303859
62,62,62,03-03,3.4959696649252336,-0.8251855184165816,-0.2914058830881446
63,63,63,03-04,3.772515049144869,-0.3631414589574315,-0.3193133944004286
64,64,64,03-05,4.156374426156014,0.2781997274672504,-0.4284734575813812
65,65,65,03-06,3.3558719107711883,-1.0592568092215473,-0.6617993401465702
66,66,66,03-07,3.929318282134061,-0.1011591354733955,-0.6450378943034153
