,unnamed: 0,unnamed: 0,mth_day,1930s,1930s_norm,1930s_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.9466901987917966,1.2486742419088268,
2,2,2,01-03,2.2555337794184127,-0.3799855551574615,
3,3,3,01-04,2.0393941216633213,-0.8893029271302647,
4,4,4,01-05,1.8520831425137847,-1.330687616238052,-0.5358015746080224
5,5,5,01-06,2.215488967208687,-0.4743482405046925,-0.7280226560102032
6,6,6,01-07,1.8272694186298004,-1.38915935052649,-0.8359537912560353
7,7,7,01-08,2.457251577211072,0.09534775349574208,-0.7409641508452379
8,8,8,01-09,1.9807165446228363,-1.027572366632454,-0.5405604728831349
9,9,9,01-10,2.281259365204616,-0.3193650846654804,-0.7086300733132077
10,10,10,01-11,2.362356517244504,-0.12826554846543345,-0.3560115821910375
11,11,11,01-12,1.7875455129108349,-1.4827658430851296,-0.33968292832896857
12,12,12,01-13,2.7251163508172893,0.7265515962065311,-0.2825603298621805
13,13,13,01-14,2.498828046244656,0.19331967666815605,-0.07754118095626318
14,14,14,01-15,2.126163681069841,-0.6848367758317262,-0.09139550775040547
15,15,15,01-16,2.8032847794109617,0.910749808770024,0.30716682027985875
16,16,16,01-17,2.3270802480674173,-0.2113915092302873,0.2673158433703459
17,17,17,01-18,2.8023759103998147,0.9086081250964559,0.3282890799855393
18,18,18,01-19,2.623646693769486,0.487445734749454,0.6247905113228576
19,19,19,01-20,2.6540797837989585,0.5591590963593164,0.5989000970254655
20,20,20,01-21,2.8811238071489282,1.0941718121921835,0.27768117703258993
21,21,21,01-22,2.737361892111433,0.7554073229856711,0.05132010023987822
22,22,22,01-23,1.5091837703235451,-2.1387050291875407,-0.030524217829678582
23,23,23,01-24,2.2260090905027328,-0.4495583356598145,-0.27897686814591743
24,24,24,01-25,2.4152524327031566,-0.003620173667886682,-0.6242406713258756
25,25,25,01-26,2.0214627898053026,-0.9315568055381164,-0.8740504695797516
26,26,26,01-27,2.002003584343856,-0.9774110068875652,-0.3067198946860692
27,27,27,01-28,2.101289290590065,-0.7434514665375862,-0.12097477676933115
28,28,28,01-29,2.9537365349372875,1.2652784201745542,-0.30260702815705903
29,29,29,01-30,2.698958435160232,0.6649123718406138,-0.2342385586739492
30,30,30,01-31,1.952775382291534,-1.093413681994254,0.05250064500895898
31,31,31,02-01,2.1955444733506404,-0.5213459886394572,0.2318449720566932
32,32,32,02-02,2.7321068569921008,0.7430242152098836,0.16588608999807786
33,33,33,02-03,2.5579407649146164,0.3326144957488188,0.08889854972565102
34,34,34,02-04,2.7857902093819265,0.8695251278228622,0.40586189693724056
35,35,35,02-05,2.502930635738022,0.20298713020605288,0.6215710402532213
36,36,36,02-06,2.7598362031921733,0.8083664012752831,0.5342626963565288
37,37,37,02-07,2.744789046301704,0.7729088712564272,0.6715173017893296
38,38,38,02-08,2.509799942591357,0.2191741518297282,0.6147037112579374
39,39,39,02-09,2.9074222286468974,1.156142128345623,0.6575731325895718
40,40,40,02-10,2.6411298774667364,0.5286435846345092,0.3997013274163146
41,41,41,02-11,2.6120859392638525,0.4602036581958595,0.09277032115121164
42,42,42,02-12,2.1032358971910847,-0.7388644297642608,-0.10245398468366916
43,43,43,02-13,1.9632728487496485,-1.0686771663341903,-0.43396627482452543
44,44,44,02-14,2.0127144280896494,-0.9521716831795568,-0.7284733678942691
45,45,45,02-15,2.0633164877988035,-0.8329316124995144,-1.0045565946601374
46,46,46,02-16,1.891247790515966,-1.2383989737839531,-0.6971871195814107
47,47,47,02-17,1.909115209080916,-1.1962957023993492,-0.7007479529222339
48,48,48,02-18,2.8858685361354195,1.105352420708098,-0.6333365428589689
49,49,49,02-19,1.95420615664024,-1.090042166379129,-0.6612185978406814
50,50,50,02-20,2.1843592205312503,-0.5477032227999661,-0.2160341191817099
51,51,51,02-21,1.9923224300318776,-1.0002239423897898,-0.1052944999248064
52,52,52,02-22,3.0247887944191314,1.432707898169876,-0.4195255150637646
53,53,53,02-23,2.1910834833622923,-0.5318579868579282,-0.014132255423469669
54,54,54,02-24,2.0857648545536014,-0.7800336701256513,0.3179531074718278
55,55,55,02-25,2.9864296606861966,1.3423173914626405,0.5709516961207196
56,56,56,02-26,3.0299241350399706,1.4448089545718188,0.2741408232153942
57,57,57,02-27,2.6365144176479514,0.5177675895035607,0.19490092698002506
58,58,58,02-28,2.26904075968091,-0.3481573392620763,0.12555257170600825
59,59,59,02-29,1.9893206730361264,-1.0072973642701433,-0.22856552818146314
60,60,60,03-01,1.9091881587686608,-1.1961238017697522,-0.2977120949222975
61,61,61,03-02,2.08476438328056,-0.7823912078621879,-0.4329363317397648
62,62,62,03-03,2.8538612387863367,1.0299295541268128,-0.3857867055472221
63,63,63,03-04,2.292202734509665,-0.29357783140124344,-0.5231631920491148
64,64,64,03-05,2.3890944389308006,-0.06525958210681976,-0.3937976830534125
65,65,65,03-06,1.6395288723625592,-1.831556283281499,-0.3989172881012936
66,66,66,03-07,2.238582187462472,-0.4199307477955383,-0.494732794281886
67,67,67,03-08,2.0717287036381697,-0.8131088381494745,-0.4932334691198594
68,68,68,03-09,2.609893153033197,0.4550365170432584,-0.3806632964841529
69,69,69,03-10,2.2960203576093305,-0.28458188042908344,-0.1885973173872865
70,70,70,03-11,2.6757237187372507,0.6101614537074179,-0.16428943945199706
71,71,71,03-12,2.128572568173626,-0.6791604087002998,-0.04018618187234293
72,72,72,03-13,2.3004755770085863,-0.27408348018380163,-0.07086642213508347
73,73,73,03-14,2.3877238425708045,-0.06848929267154967,0.14484818607570224
