,unnamed: 0,unnamed: 0,mth_day,bill murray,bill murray_norm,bill murray_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.05671792329256831,0.6855581379898595,
2,2,2,01-03,0.05780156448099875,0.7173475171363721,
3,3,3,01-04,0.0995653035257695,1.942516280787008,
4,4,4,01-05,0.037055489133116966,0.1087467532699056,0.480174841810456
5,5,5,01-06,0.0204081632653061,-0.37961430151234943,0.4371361672211991
6,6,6,01-07,0.02675227394328516,-0.19350533680805976,0.21788109926801488
7,7,7,01-08,0.04791527000410552,0.4273260904543187,-0.010229685438433944
8,8,8,01-09,0.01295756397797213,-0.5981828905827338,-0.19140450697050704
9,9,9,01-10,0.0529100529100529,0.5738515725483149,-0.04064549518895212
10,10,10,01-11,0.0,-0.9783021759225332,-0.1714449683746977
11,11,11,01-12,0.05124273992198519,0.5249397691769802,-0.405716346104173
12,12,12,01-13,0.0,-0.9783021759225332,-0.282377622010513
13,13,13,01-14,0.0,-0.9783021759225332,-0.13634905083410073
14,14,14,01-15,0.03818389902660937,0.14184945397922644,-0.05624937344741715
15,15,15,01-16,0.0827771176963936,1.4500229996067884,-0.16307175795744275
16,16,16,01-17,0.016382699868938377,-0.4977041116024317,0.1152833092598906
17,17,17,01-18,0.029394473838918262,-0.11599453788317347,0.13112161281571558
18,18,18,01-19,0.056931659052822436,0.6918282273814671,-0.055570325501244335
19,19,19,01-20,0.003239390994493032,-0.8832723545875832,-0.3167352643656092
20,20,20,01-21,0.0,-0.9783021759225332,-0.010032091715037744
21,21,21,01-22,0.02936133689306371,-0.1169666335794008,-0.09475770142104477
22,22,22,01-23,0.07911236608380927,1.342514924300997,-0.3603202926894426
23,23,23,01-24,0.012065637065637031,-0.6243481961192157,-0.2994037405516544
24,24,24,01-25,0.002616431187859755,-0.9015473202289198,-0.2994037405516544
25,25,25,01-26,0.015698587127158527,-0.5177730417608537,-0.4429596642755098
26,26,26,01-27,0.0,-0.9783021759225332,-0.8056607480321616
27,27,27,01-28,0.0,-0.9783021759225332,-0.720042480315762
28,28,28,01-29,0.004929508035098092,-0.8336915782389138,-0.43673015296126505
29,29,29,01-30,0.029577048210588562,-0.11063858982081742,0.2983206870901217
30,30,30,01-31,0.06056199326312939,0.7983266438980618,0.367613265146856
31,31,31,02-01,0.16603773572121866,3.892531998547467,0.5096866190672621
32,32,32,02-02,0.01417233560090701,-0.5625467075821279,0.815016648020006
33,33,33,02-03,0.02905810850417262,-0.1258620524000965,0.8714265383886678
34,34,34,02-04,0.06737832666340712,0.9982885954775494,0.6745316411499687
35,35,35,02-05,0.04111450171477885,0.2278207523911535,0.1418397699457937
36,36,36,02-06,0.020291294148886373,-0.38304273953413204,0.0725471918890595
37,37,37,02-07,0.05708684686268235,0.6963807713224175,0.00904180048967488
38,38,38,02-08,0.0,-0.9783021759225332,-0.22354603134845635
39,39,39,02-09,0.01606941989394181,-0.5068944007964042,-0.3273769293990842
40,40,40,02-10,0.019807390468791576,-0.3972383955512378,-0.3061394381035599
41,41,41,02-11,0.01987808110257088,-0.3951646359126138,-0.4674013188628528
42,42,42,02-12,0.02463497513756421,-0.2556177917609864,-0.33394034070214423
43,43,43,02-13,0.02410412984091272,-0.2711905132333397,-0.3165863030207658
44,44,44,02-14,0.027296628660146403,-0.1775363069582819,-0.28250141605004114
45,45,45,02-15,0.01961882234004374,-0.4027701747081336,-0.10944995163043074
46,46,46,02-16,0.02677873531719049,-0.1927290737268894,0.10270702568163598
47,47,47,02-17,0.05527210884353738,0.6431441506050486,-0.015144918099896256
48,48,48,02-18,0.06802721088435372,1.0173240721114138,-0.053678883964243085
49,49,49,02-19,0.0,-0.9783021759225332,0.07763178872415785
50,50,50,02-20,0.01941531854615009,-0.4087401021443629,0.4762570192719553
51,51,51,02-21,0.046475651361431454,0.385093861422272,0.29033820068311195
52,52,52,02-22,0.10830912002429076,2.199022309559896,0.2227783136042303
53,53,53,02-23,0.017246335153779806,-0.4723687609280116,0.3395402069795613
