,unnamed: 0,unnamed: 0,mth_day,blood,blood_norm,blood_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.8475244019767991,-1.2499166973285194,
2,2,2,01-03,2.362019056043657,-0.0028217453941158073,
3,3,3,01-04,1.8088171574179304,-1.3437400420631818,
4,4,4,01-05,1.5993493605267868,-1.8514736599557795,-1.0394472691814751
5,5,5,01-06,2.0089963540181364,-0.8585212675062729,-1.335798403337969
6,6,6,01-07,1.9794207600120493,-0.9302102028409824,-1.718324683414913
7,7,7,01-08,1.1139584100032256,-3.028023502267481,-1.5876604288340301
8,8,8,01-09,1.4151413904686565,-2.2979794258557797,-1.4988616055461983
9,9,9,01-10,2.1322539271132244,-0.5597545145778837,-1.5346616937904742
10,10,10,01-11,1.819155493803896,-1.3186807202287874,-1.3055381131066943
11,11,11,01-12,1.920379425588277,-1.0733217969719286,-0.6571853248220765
12,12,12,01-13,2.5465765673526675,0.44453128126169605,-0.2556338463066753
13,13,13,01-14,2.7188436338798576,0.8620932274402263,-0.0863341008983383
14,14,14,01-15,2.409112645223684,0.11132944523662727,-0.02180576379588513
15,15,15,01-16,2.5513261740773885,0.4560439578721385,0.22191290935578453
16,16,16,01-17,1.9788842350206228,-0.9315106976140682,0.332403396399099
17,17,17,01-18,2.5236628607668234,0.3889902419380893,0.07004593966735274
18,18,18,01-19,2.8200766636565717,1.1074742035215828,-0.09504986609316116
19,19,19,01-20,2.069423112690095,-0.7120515129502509,-0.17057152594073718
20,20,20,01-21,2.0004465239749822,-0.8792453893264564,-0.11711814367095147
21,21,21,01-22,2.3643853632069884,0.002913998786682578,-0.12983684651529456
22,22,22,01-23,2.1111988404655664,-0.6107904039953539,-0.4676878027892431
23,23,23,01-24,2.492179911004597,0.3126780248720308,-0.5996249144194697
24,24,24,01-25,1.9837850375632995,-0.9196315341221089,-0.7699449963880515
25,25,25,01-26,1.7428356054526624,-1.5036741827316102,-0.9123857154076341
26,26,26,01-27,1.578848610277356,-1.9011658811379468,-0.7725795614601833
27,27,27,01-28,2.011797992004786,-0.8517303153308121,-0.8926112493318832
28,28,28,01-29,2.457264801361517,0.2280465196893497,-0.8417001676676366
29,29,29,01-30,2.1950622217725764,-0.4075121023581683,-0.7370690447066854
30,30,30,01-31,2.1098066174360435,-0.6141650441366289,-0.5873250233415489
31,31,31,02-01,2.0018318590847737,-0.8758874449659034,-0.3904635849877717
32,32,32,02-02,1.9495140436575489,-1.0027017529471276,-0.5323882085942321
33,33,33,02-03,2.4990944442973366,0.32943831479185115,-0.4072924636575512
34,34,34,02-04,2.105954935118956,-0.6235012219494122,-0.2806683574023865
35,35,35,02-05,2.5047151086675217,0.34306236726191713,-0.2323316876821976
36,36,36,02-06,2.4232426985133846,0.14557959339435858,-0.014148953456414797
37,37,37,02-07,2.1214809273190296,-0.5858674266447695,-0.2486873432401821
38,38,38,02-08,2.4895876773198538,0.3063946524075695,-0.1642054658796101
39,39,39,02-09,1.9185352132779605,-1.0777920239107526,-0.1771657867573971
40,40,40,02-10,2.3150752151752205,-0.11660995778598025,-0.36852712171822505
41,41,41,02-11,2.472634075240502,0.2653004419951951,-0.4566430406875603
42,42,42,02-12,1.9495608011739984,-1.0025884163706087,-0.41522204510228783
43,43,43,02-13,1.903365205604701,-1.1145629404607809,-0.2704898963572435
44,44,44,02-14,2.592118189988647,0.5549206259192042,-0.33853223276035466
45,45,45,02-15,2.2767946225655926,-0.2093991314404868,-0.5788949489293876
46,46,46,02-16,2.146648176278214,-0.5248639762046472,-0.4737507337806222
47,47,47,02-17,1.8776577313103011,-1.1768758550190028,-0.3965959850581785
48,48,48,02-18,2.2098271258007736,-0.37172312547801617,-0.5061693383145663
49,49,49,02-19,2.094348445615396,-0.6516344481261186,-0.4682797257714506
50,50,50,02-20,2.3208882997971445,-0.1025194936191236,-0.4843123686932091
51,51,51,02-21,2.370583807107764,0.017938543818207656,-0.04648865821638681
52,52,52,02-22,2.1069621408515804,-0.6210598337351979,0.07323614108580144
53,53,53,02-23,2.9614146246309105,1.4500664078419307,0.3510603237301527
54,54,54,02-24,2.5061851654415754,0.3466256703351133,0.6508429118528286
55,55,55,02-25,2.7820541725255863,1.0153106477399891,0.5270935081956069
56,56,56,02-26,3.0629482627480145,1.6961760351169315,0.7556820608644438
57,57,57,02-27,2.064263555260808,-0.724557878125123,0.32006731970979463
58,58,58,02-28,2.672793578850295,0.7504714822778237,0.31440647294290786
59,59,59,02-29,1.8831256529252167,-1.1636220390859635,0.02285869858889174
60,60,60,03-01,2.492172718059583,0.31266058973379296,-0.4683428992843631
61,61,61,03-02,2.060378067217504,-0.7339759983841077,-0.2705404263578931
62,62,62,03-03,1.847063638487996,-1.2510335521225977,-0.4251075089723769
63,63,63,03-04,2.5538893759283563,0.462256959433697,-0.524326363186432
64,64,64,03-05,2.290189491279366,-0.17693101340907966,-0.620503058692104
65,65,65,03-06,1.6375265347670254,-1.7589351643702942,-0.6167119273574974
66,66,66,03-07,2.2541039377791527,-0.2643995833002387,-0.5804027297022412
67,67,67,03-08,2.0697623573302733,-0.7112292103764675,-0.8873731914427395
68,68,68,03-09,1.9369407792371087,-1.0331783661910614,-0.9489073354736368
