,unnamed: 0,unnamed: 0,mth_day,prospect preferred,prospect preferred_norm,prospect preferred_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.3094603318990656,-1.3425437957920467,
2,2,2,01-03,1.080311262782131,-1.9959779630360708,
3,3,3,01-04,1.5139460316319489,-0.7594389050185959,
4,4,4,01-05,1.5999905298473378,-0.5140771618791931,-1.409355469168179
5,5,5,01-06,1.1239625149795869,-1.871503446343846,-1.1592951518270913
6,6,6,01-07,1.088512511911404,-1.9725915429393228,-0.8827503040207226
7,7,7,01-08,1.8356136169359336,0.15781810825448106,-0.7640289797123971
8,8,8,01-09,1.6621907936109646,-0.33670887619785955,-0.6669690202012227
9,9,9,01-10,1.763748221171476,-0.04711095916864338,-0.5079789018995662
10,10,10,01-11,1.8042149229272333,0.06828259518785333,-0.2976917765807649
11,11,11,01-12,1.4584944947927296,-0.9175627365339072,-0.4912307306100714
12,12,12,01-13,1.5309788054997904,-0.7108687910265148,-0.806334786889185
13,13,13,01-14,1.4283872424039878,-1.0034156159213583,-0.9346894738900896
14,14,14,01-15,0.9991786207776704,-2.227333213872541,-0.820064571006034
15,15,15,01-16,1.4936764203615671,-0.8172390811740704,-0.6388384337606013
16,16,16,01-17,2.0453978096833643,0.756032012492186,-0.59547932974748
17,17,17,01-18,1.8398134040067955,0.1697940869386899,-0.33496226341112845
18,18,18,01-19,1.6222109340331667,-0.4507141669477869,-0.16251778848154771
19,19,19,01-20,1.9765426303461293,0.5596867820967507,0.03751551027873493
20,20,20,01-21,1.3620199861547124,-1.1926663642950568,0.03762445354040247
21,21,21,01-22,1.9145675812566527,0.3829607113876254,-0.2196861689199385
22,22,22,01-23,2.045627037797679,0.7566856720621912,-0.4748967830870283
23,23,23,01-24,1.2984047122081612,-1.374069647823356,-1.0015727764422615
24,24,24,01-25,1.0852208812007131,-1.9819778519503253,-0.9700213419495842
25,25,25,01-26,0.8683607844600258,-2.600369178034649,-1.0983869610202672
26,26,26,01-27,1.4284075324973966,-1.003357757338992,-1.3188751086513908
27,27,27,01-28,1.6444727782187718,-0.3872330030364733,-0.8910075358492108
28,28,28,01-29,1.5816967172199898,-0.5662432137245501,-0.5565576517179632
29,29,29,01-30,2.19868321854767,1.1931357889897238,0.14204458030588127
30,30,30,01-31,1.7889387165093282,0.024721452837159576,0.10262696915778176
31,31,31,02-01,2.338293571964481,1.5912442141084178,-0.09040243249723938
32,32,32,02-02,1.3454687207162814,-1.239863424227589,0.17540708743207736
33,33,33,02-03,1.2383185556319225,-1.5454094129666,-0.07153212443377722
34,34,34,02-04,2.140987985790665,1.0286139058513502,-0.31356872435214755
35,35,35,02-05,1.6790970686572422,-0.2884994822054036,-0.4275016579645325
36,36,36,02-06,1.2796681793033042,-1.4274981466730623,-0.25641978270870275
37,37,37,02-07,2.0985666615476,0.9076466124341079,0.004778745221736713
38,38,38,02-08,1.7054430326473489,-0.21337217269261025,-0.1612566819426116
39,39,39,02-09,1.787907810651289,0.021781754616036497,-0.3190586021463242
40,40,40,02-10,1.7916319329633776,0.03240134286526016,-0.19180431726746489
41,41,41,02-11,1.3470651829780085,-1.2353110034276789,-0.4453699317035257
42,42,42,02-12,1.5474246179736624,-0.6639724373999062,-0.4499639912295032
43,43,43,02-13,1.5650378616703091,-0.6137470741822575,-0.4728136203285887
44,44,44,02-14,1.6957766468051247,-0.2409365298484751,-0.6157404401491727
45,45,45,02-15,1.739829780757569,-0.11531601997847628,-0.5163313034919866
46,46,46,02-16,1.490898827574663,-0.8251595760582439,-0.06865817028458264
47,47,47,02-17,1.5562324925736086,-0.6388561834845621,-0.08617387330123531
48,48,48,02-18,2.4893761125746017,2.0220663618445176,-0.2481205152592354
49,49,49,02-19,1.5281829748976457,-0.7188412922821735,-0.5169241419934818
50,50,50,02-20,1.3550238293532275,-1.2126163815964757,-0.32950452211352954
51,51,51,02-21,1.1742385956390944,-1.7281377803839546,-0.28321476202126
52,52,52,02-22,1.8852494775648,0.29935814322146964,-0.29594910893828075
53,53,53,02-23,1.6536310306347064,-0.3611176229309447,0.05242780385081156
54,54,54,02-24,2.462581703391915,1.945660280342393,0.13576888370634962
55,55,55,02-25,2.261204747580428,1.3714201844523803,0.3187774235635896
56,56,56,02-26,1.5303822525159825,-0.7125699024632474,0.07686353117678456
57,57,57,02-27,1.5593078679632788,-0.6300865412405151,0.35106511221483866
58,58,58,02-28,1.3762371299488654,-1.1521252110993605,0.09491798769949604
59,59,59,02-29,2.2305800810059604,1.2840918632973797,-0.21003235675449086
60,60,60,03-01,1.9236211339999223,0.40877753325033744,-0.044325315583288026
61,61,61,03-02,1.6195570554808798,-0.4582818822715412,-0.2162550701566741
62,62,62,03-03,1.8790473465742392,0.2816723445639697,0.06096404399510595
63,63,63,03-04,1.1975495285104094,-1.6616650686808314,-0.12832054003364204
64,64,64,03-05,1.9595353882927256,0.5111894738113201,-0.11519769617630125
65,65,65,03-06,1.8323053497229636,0.1483843591248917,-0.08674961767019725
66,66,66,03-07,1.951232981725236,0.4875145963943824,-0.3858948271699063
67,67,67,03-08,1.679414813473551,-0.2875934112349172,0.013377500075234859
