,unnamed: 0,unnamed: 0,mth_day,keanu reeves,keanu reeves_norm,keanu reeves_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.23788827428472664,0.31665143413939434,
2,2,2,01-03,0.21086539794251985,0.04570701196056902,
3,3,3,01-04,0.2357390481443517,0.29510225383152344,
4,4,4,01-05,0.09540881311290854,-1.1119165240114308,0.025904991215848328
5,5,5,01-06,0.13929968122514708,-0.6718454616640263,-0.2193832354699805
6,6,6,01-07,0.3341413429262911,1.2817312330390602,-0.3454935536265948
7,7,7,01-08,0.0911040733487378,-1.1550779259755788,-0.4750391798520263
8,8,8,01-09,0.1353990678601091,-0.7109548969791164,-0.4927643713870256
9,9,9,01-10,0.15821697752900396,-0.4821715035210658,-0.4827377517805162
10,10,10,01-11,0.08480178924121398,-1.2182676732214262,-0.8379995767828398
11,11,11,01-12,0.14529976270853456,-0.6116857440249701,-0.7903352752815053
12,12,12,01-13,0.1215472701874553,-0.8498397169748804,-0.8100286945549628
13,13,13,01-14,0.11962711541877798,-0.8690921169675714,-0.6450186763819357
14,14,14,01-15,0.12361422661106568,-0.8291154126198618,-0.5531924437174706
15,15,15,01-16,0.2569614790128989,0.5078886055170969,-0.31823022797656514
16,16,16,01-17,0.13975200176763694,-0.6673102772346354,-0.1698569592993169
17,17,17,01-18,0.2859047218362804,0.7980875504204625,0.014251643416525241
18,18,18,01-19,0.21033608805006526,0.04039989508860875,0.14332205668958994
19,19,19,01-20,0.22980050001297464,0.23555949932748155,0.5903465562107449
20,20,20,01-21,0.20085192257692427,-0.05469293298147348,1.1352225956309765
21,21,21,01-22,0.524467730118321,3.190035602644026,0.9610870536382202
22,22,22,01-23,0.4658141007769966,2.601945959286752,0.7826057206657336
23,23,23,01-24,0.1816993682760366,-0.2467257015360737,0.6249937529546417
24,24,24,01-25,0.10353014715216828,-1.030488102746311,0.4840044759158746
25,25,25,01-26,0.1354831043066845,-0.7101123069390706,-0.22725253632214198
26,26,26,01-27,0.11648179747840155,-0.9006285952140757,-0.8108679038224099
27,27,27,01-28,0.09884072953995318,-1.0775064707840736,-0.836385522745197
28,28,28,01-29,0.1165697993690339,-0.899746245714856,-0.5736016844341658
29,29,29,01-30,0.16642923748346586,-0.39983141507279535,-0.052549990202397236
30,30,30,01-31,0.2607839878543615,0.5462149271198757,-0.043354986751195285
31,31,31,02-01,0.4472883532480189,2.416197858451541,0.1213239475665456
32,32,32,02-02,0.12198422722166455,-0.8454585745068639,0.19563705687886004
33,33,33,02-03,0.1973871054154664,-0.08943286487762822,0.1300802540199686
34,34,34,02-04,0.16103989284583206,-0.4538675898409693,0.05781598266672304
35,35,35,02-05,0.12719905080236793,-0.7931722322261442,-0.219003282644772
36,36,36,02-06,0.21753995013544708,0.1126292990004024,-0.07790548118390735
37,37,37,02-07,0.2816354998215125,0.7552822665825706,-0.0808285254847903
38,38,38,02-08,0.20641929498292685,0.0011282342583241653,0.11694771288873135
39,39,39,02-09,0.19563791130288005,-0.10697113068292602,0.2325940690011754
40,40,40,02-10,0.2793921982378308,0.7327898404001607,0.04594124227048185
41,41,41,02-11,0.19640358704317976,-0.09929409555147983,-0.04605005448983166
42,42,42,02-12,0.10584406324235107,-1.0072876613837591,0.07117036311625426
43,43,43,02-13,0.2265865104327032,0.2033344860206895,0.06436943674416197
44,44,44,02-14,0.2765657735325485,0.7044507398948396,0.04308613151688515
45,45,45,02-15,0.19156813365133926,-0.14777668891547965,-0.07310355823729846
46,46,46,02-16,0.2666559450826235,0.6050900090364997,0.1818782244171596
47,47,47,02-17,0.1268739116975607,-0.7964322340765815,0.07617546728116252
48,48,48,02-18,0.2584290353213673,0.5226030345429891,-0.12281705068900635
49,49,49,02-19,0.16333237486911234,-0.4308820567952927,-0.25641367031680545
50,50,50,02-20,0.1574856279538405,-0.4895043679261735,-0.510607169174669
51,51,51,02-21,0.11162188704679862,-0.9493564066822744,-0.6568902651275726
52,52,52,02-22,0.11454269400203135,-0.9200709841106816,-0.8115818933189725
53,53,53,02-23,0.03933588494427722,-1.6741308097940035,-0.6723633473993789
54,54,54,02-24,0.1658592151455116,-0.40554673460540974,-0.6791175251764349
55,55,55,02-25,0.2466428675673681,0.4044292187222692,-0.4734400888864516
56,56,56,02-26,0.15344382537171095,-0.5300294345885086,-0.3145032749162189
57,57,57,02-27,0.2347023892963269,0.284708211057625,-0.13090236674593078
58,58,58,02-28,0.20965289783506488,0.03354989971071466,0.13465733477675604
59,59,59,02-29,0.14920545741020508,-0.5725253607722747,-0.01576209771893038
60,60,60,03-01,0.32477417456072144,1.1878114745307111,-0.10675769247676956
61,61,61,03-02,0.1566295941932496,-0.4980873762518494,0.6067089376870124
62,62,62,03-03,0.09899067918654128,-1.076003003135544,0.8007938184182825
63,63,63,03-04,0.6616516588070015,4.565507992040317,0.908287715255408
64,64,64,03-05,0.32579623873982444,1.1980591840983346,0.9942527202317412
65,65,65,03-06,0.2135314381795244,0.0724380202504777,1.0540541873344316
66,66,66,03-07,0.3762169394027179,1.7036015043887118,1.1516936240214128
