,unnamed: 0,unnamed: 0,mth_day,social commentary,social commentary_norm,social commentary_ravg
132,132,132,05-12,7.730614434189946,-0.142480769648185,-0.6098743902024923
133,133,133,05-13,6.955372945526088,-1.0063549546362964,-0.3196947264141665
134,134,134,05-14,8.268442567676226,0.4568367943277977,-0.09673515001937136
135,135,135,05-15,8.161400209497629,0.3375563748934369,0.19965445742107185
136,136,136,05-16,8.285942245540468,0.4763371953945418,0.3914463834949597
137,137,137,05-17,8.824109008619642,1.076032104195139,0.7879175776843597
138,138,138,05-18,8.763299940021621,1.0082707867951417,1.054981001818437
139,139,139,05-19,9.090134632842565,1.3724722105001037,1.3583139016212458
140,140,140,05-20,9.706420343314132,2.059217339132261,1.110936312649598
141,141,141,05-21,9.794667550207134,2.15755377371029,0.9386952829935812
142,142,142,05-22,6.953960989456779,-1.0079283384353452,0.7745177305429991
143,143,143,05-23,7.896693457420848,0.04258592625903765,0.7694030254754364
144,144,144,05-24,7.87930142001448,0.02320547209164804,0.4253339483900276
145,145,145,05-25,9.062594986633261,1.3417839800947269,0.05097052476954104
146,146,146,05-26,7.853812904698088,-0.005197123380191544,0.3073364152623437
147,147,147,05-27,7.778943064821534,-0.08862676801262909,0.2408211414701777
148,148,148,05-28,8.33433890588458,0.5302670045214706,0.3307328963686421
149,149,149,05-29,7.538548249915434,-0.3565057164939583,0.02925538281333624
150,150,150,05-30,8.363422769584552,0.5626760014824345,0.16597862402274136
151,151,151,05-31,7.439317797880295,-0.4670811012371078,0.13262987218876832
152,152,152,06-01,8.589986279654896,0.8151423238762392,0.08972323341429847
153,153,153,06-02,7.599379861294112,-0.2887192790164674,0.5473543800389654
154,154,154,06-03,8.103312163135877,0.27282717187465155,0.5174409796759938
155,155,155,06-04,10.002619922851027,2.3892811632540427,0.5605907306546449
156,156,156,06-05,8.202356891487684,0.3831955993046047,0.4341071644136227
157,157,157,06-06,7.671653555323662,-0.208182595365201,0.6550051499903112
158,158,158,06-07,7.908947467141568,0.05624092643010562,0.7380757239304664
