,unnamed: 0,unnamed: 0,mth_day,los angeles,los angeles_norm,los angeles_ravg
0,0,0,01-01,,,
1,1,1,01-02,4.027522192775163,-2.010331053017276,
2,2,2,01-03,5.260457861039003,-0.2821898579825018,
3,3,3,01-04,4.703438445409484,-1.0629347284257975,
4,4,4,01-05,4.07911107842006,-1.9380216205110168,-1.6479351913645839
5,5,5,01-06,4.138595998942786,-1.854644730471452,-1.7070841877301774
6,6,6,01-07,3.507307156094168,-2.7394891577794582,-1.929235904056896
7,7,7,01-08,3.7743244532478175,-2.3652250312108367,-1.930509892835225
8,8,8,01-09,4.309498151454408,-1.6151001559428089,-1.7861352905386496
9,9,9,01-10,4.697984911137112,-1.0705786610957746,-1.5674750511917754
10,10,10,01-11,4.697132096405013,-1.071774006731566,-1.0963627909419849
11,11,11,01-12,5.074609823842472,-0.5426832943902078,-0.5381682419306915
12,12,12,01-13,5.5239865029689765,0.08718440371928382,-0.32502502938187866
13,13,13,01-14,6.16377493779329,0.9839422628569258,-0.07539061236188138
14,14,14,01-15,5.221895367450932,-0.3362408806499322,-0.2547742025134416
15,15,15,01-16,5.766589181394129,0.4272278410242092,-0.029870764180913906
16,16,16,01-17,3.929248914517331,-2.148075547640927,0.07308030490723089
17,17,17,01-18,6.0373487661189005,0.8067373356049581,-0.04495167940668982
18,18,18,01-19,5.964686761244277,0.7048908182481526,-0.11237760124311147
19,19,19,01-20,5.6585181548126755,0.2757503569734016,-0.21378931454991
20,20,20,01-21,4.933266784659623,-0.7407964116684622,-0.0946590634696487
21,21,21,01-22,5.332478407778149,-0.18124243881658167,-0.4895966609203766
22,22,22,01-23,4.439207022621312,-1.4332940411593593,-0.8966193019080085
23,23,23,01-24,4.34674853495331,-1.5628882490994092,-1.2302052316305494
24,24,24,01-25,4.22235436396177,-1.7372450276776386,-1.3559406952462298
25,25,25,01-26,4.230544587487585,-1.7257652213618442,-1.5265001357175112
26,26,26,01-27,4.395033896156518,-1.4952091933625444,-1.329796699722808
27,27,27,01-28,4.602368559160363,-1.2045990816442709,-1.1277826707369367
28,28,28,01-29,5.281230867680022,-0.2530734251911413,-1.068529116431349
29,29,29,01-30,5.211505312496667,-0.3508040751841802,-0.8478549739957416
30,30,30,01-31,4.475999682242482,-1.3817237018441135,-0.6359272119066408
31,31,31,02-01,5.175179280720232,-0.4017203667481993,-0.5177700800281485
