,unnamed: 0,unnamed: 0,mth_day,nicolas cage,nicolas cage_norm,nicolas cage_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.10687740059421263,-0.6562726042470246,
2,2,2,01-03,0.045388932910738713,-1.3147984244126103,
3,3,3,01-04,0.21297996079334586,0.4800587780290981,
4,4,4,01-05,0.04714077276603744,-1.2960366659728335,-0.4856694080751681
5,5,5,01-06,0.10856890499816,-0.6381570231163128,-0.5699939147022498
6,6,6,01-07,0.2158867258682732,0.5111894912686749,-0.5106926251412426
7,7,7,01-08,0.05963565660889309,-1.1622196440095152,-0.3651309222965579
8,8,8,01-09,0.07861173434176037,-0.9589906870465672,-0.08045391967921205
9,9,9,01-10,0.2945290735591864,1.3534289950972065,-0.1078975673747241
10,10,10,01-11,0.2066274820762064,0.4120253497312413,-0.3637042451841375
11,11,11,01-12,0.09319394663417822,-0.8028189092893853,-0.2485927152818043
12,12,12,01-13,0.07257425282587203,-1.0236505755878051,-0.3343902189709285
13,13,13,01-14,0.12412544306508788,-0.4715504645955158,-0.6575081348159486
14,14,14,01-15,0.030544762283611623,-1.4737757091813124,-0.8180691975017136
15,15,15,01-16,0.11350632622279032,-0.5852784999729148,-0.8548056252256254
16,16,16,01-17,0.11667516666027852,-0.5513410263833487,-0.8806746093552921
17,17,17,01-18,0.07261282516799142,-1.0232374756328566,-0.8262060039857831
18,18,18,01-19,0.058081479914449875,-1.1788644803658048,-0.7378686277315367
19,19,19,01-20,0.15464079397586736,-0.14473883237846136,-0.747783336350096
20,20,20,01-21,0.0800346659932609,-0.9437514516558342,-0.8376702324387364
21,21,21,01-22,0.1079517354521804,-0.644766751684271,-0.6022249822768821
22,22,22,01-23,0.06631716395729212,-1.0906624029151917,-0.6160461129257007
23,23,23,01-24,0.20451806452973129,0.3894340253382685,-0.6665892880505893
24,24,24,01-25,0.0503383653465025,-1.2617912642587157,-0.5961744161219956
25,25,25,01-26,0.1263246159753867,-0.4479978831277928,-0.5342034744496482
26,26,26,01-27,0.11948371213023933,-0.5212622200842716,-0.486221593833825
27,27,27,01-28,0.1426701758927672,-0.2729411016501869,-0.31457647645651443
28,28,28,01-29,0.0931984089316789,-0.8027711192202526,-0.06925121601045485
29,29,29,01-30,0.3006800821425897,1.4193047296021322,-0.05291616485370537
30,30,30,01-31,0.18777875617355616,0.2101602984176421,0.2995151657854653
31,31,31,02-01,0.1354761228812856,-0.3499875761872959,0.29035612446903986
32,32,32,02-02,0.3169289313248459,1.5933257637507523,0.4261400775606035
33,33,33,02-03,0.13753893822143326,-0.3278953495487393,0.003943135908215528
34,34,34,02-04,0.16926966040824726,0.01193259932912928,-0.232089505424912
35,35,35,02-05,0.06414955707075544,-1.113876920312196,-0.3710044553630665
36,36,36,02-06,0.05554443829784112,-1.206035549581123,-0.8394167521721709
