,unnamed: 0,unnamed: 0,mth_day,physics,physics_norm,physics_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.025974025974025983,0.09820131983618297,
2,2,2,01-03,0.0005117392995312468,-0.14826321514577553,
3,3,3,01-04,0.0030704357971874804,-0.12349607814364202,
4,4,4,01-05,0.0,-0.15321664254620224,-0.10553465018197357
5,5,5,01-06,0.0,-0.15321664254620224,-0.12949552904143405
6,6,6,01-07,0.0,-0.15321664254620224,-0.11686451412163568
7,7,7,01-08,0.011121614858477449,-0.045563953320579983,-0.09911188580608343
8,8,8,01-09,0.008341211143858088,-0.07247712562698552,-0.08208234401909921
9,9,9,01-10,0.014074595355383534,-0.01698030825032851,-0.08208234401909921
10,10,10,01-11,0.010555946516537651,-0.05103939182429693,-0.08208234401909921
11,11,11,01-12,0.0,-0.15321664254620224,-0.07767800134150492
12,12,12,01-13,0.0,-0.15321664254620224,-0.06133931076333263
13,13,13,01-14,0.013851694523963436,-0.019137897255014275,-0.08404536647931159
14,14,14,01-15,0.018468926031951244,0.02555501784204836,-0.1010749082662958
15,15,15,01-16,0.0,-0.15321664254620224,-0.1010749082662958
16,16,16,01-17,0.0,-0.15321664254620224,-0.1010749082662958
17,17,17,01-18,0.0,-0.15321664254620224,-0.12342136581482716
18,18,18,01-19,0.0,-0.15321664254620224,-0.15321664254620224
19,19,19,01-20,0.0,-0.15321664254620224,-0.15278114280032698
20,20,20,01-21,0.0,-0.15321664254620224,-0.15016814432507544
21,21,21,01-22,0.00026994924954108627,-0.1506036440709507,-0.15016814432507544
22,22,22,01-23,0.0016196954972465176,-0.13753865169469295,-0.15016814432507544
23,23,23,01-24,0.0,-0.15321664254620224,-0.15016814432507544
24,24,24,01-25,0.0,-0.15321664254620224,-0.15016814432507544
25,25,25,01-26,0.0,-0.15321664254620224,-0.1506036440709507
26,26,26,01-27,0.0,-0.15321664254620224,-0.07177972893588902
27,27,27,01-28,0.0,-0.15321664254620224,-0.07177972893588902
28,28,28,01-29,0.05047955577990914,0.33540483911567703,-0.07177972893588902
29,29,29,01-30,0.0,-0.15321664254620224,-0.07177972893588902
30,30,30,01-31,0.0,-0.15321664254620224,-0.07177972893588902
31,31,31,02-01,0.0,-0.15321664254620224,-0.07177972893588902
32,32,32,02-02,0.0,-0.15321664254620224,-0.15321664254620224
33,33,33,02-03,0.0,-0.15321664254620224,-0.15321664254620224
34,34,34,02-04,0.0,-0.15321664254620224,-0.15321664254620224
35,35,35,02-05,0.0,-0.15321664254620224,-0.050329827583172636
36,36,36,02-06,0.0,-0.15321664254620224,-0.050329827583172636
37,37,37,02-07,0.06377551020408162,0.4641042472319756,-0.050329827583172636
38,38,38,02-08,0.0,-0.15321664254620224,-0.050329827583172636
39,39,39,02-09,0.0,-0.15321664254620224,-0.050329827583172636
40,40,40,02-10,0.0,-0.15321664254620224,-0.050329827583172636
41,41,41,02-11,0.0,-0.15321664254620224,-0.15321664254620224
42,42,42,02-12,0.0,-0.15321664254620224,-0.15321664254620224
43,43,43,02-13,0.0,-0.15321664254620224,-0.10333212620049093
44,44,44,02-14,0.0,-0.15321664254620224,-0.09855660888766073
45,45,45,02-15,0.03092145949288807,0.14609045552806582,-0.09855660888766073
46,46,46,02-16,0.0029601562962524412,-0.12456353866922093,-0.09855660888766073
47,47,47,02-17,0.0,-0.15321664254620224,-0.09855660888766073
48,48,48,02-18,0.0,-0.15321664254620224,-0.09855660888766073
49,49,49,02-19,0.0,-0.15321664254620224,-0.14844112523337205
50,50,50,02-20,0.0,-0.15321664254620224,-0.15321664254620224
51,51,51,02-21,0.0,-0.15321664254620224,-0.15321664254620224
52,52,52,02-22,0.0,-0.15321664254620224,-0.15321664254620224
53,53,53,02-23,0.0,-0.15321664254620224,-0.15321664254620224
54,54,54,02-24,0.0,-0.15321664254620224,-0.15321664254620224
55,55,55,02-25,0.0,-0.15321664254620224,-0.15321664254620224
56,56,56,02-26,0.0,-0.15321664254620224,-0.15321664254620224
57,57,57,02-27,0.0,-0.15321664254620224,-0.15321664254620224
58,58,58,02-28,0.0,-0.15321664254620224,-0.15321664254620224
59,59,59,02-29,0.0,-0.15321664254620224,-0.15321664254620224
60,60,60,03-01,0.0,-0.15321664254620224,-0.15321664254620224
61,61,61,03-02,0.0,-0.15321664254620224,-0.15321664254620224
62,62,62,03-03,0.0,-0.15321664254620224,-0.13977836467348
63,63,63,03-04,0.0,-0.15321664254620224,-0.10618266999167444
64,64,64,03-05,0.008329862557267805,-0.07258697530986881,-0.10618266999167444
65,65,65,03-06,0.020824656393169515,0.04835752554463135,-0.10618266999167444
66,66,66,03-07,0.0,-0.15321664254620224,-0.10618266999167444
67,67,67,03-08,0.0,-0.15321664254620224,-0.08266568371441048
68,68,68,03-09,0.0,-0.15321664254620224,-0.09610396158713272
69,69,69,03-10,0.014577259475218662,-0.012114724882618718,-0.12969965626893834
70,70,70,03-11,0.0,-0.15321664254620224,-0.061675315797513786
71,71,71,03-12,0.0,-0.15321664254620224,0.03245267402554687
72,72,72,03-13,0.042165626581210994,0.254929400282345,0.11570685428257516
73,73,73,03-14,0.058346257269285474,0.4115512963921617,0.09218986800531123
74,74,74,03-15,0.05160600825696132,0.3463084389959674,0.09218986800531123
75,75,75,03-16,0.0,-0.15321664254620224,0.09218986800531123
76,76,76,03-17,0.0,-0.15321664254620224,0.08424541948310106
77,77,77,03-18,0.0,-0.15321664254620224,0.01414938643972616
78,78,78,03-19,0.03724117384179949,0.20726270914908407,-0.06910479381730211
79,79,79,03-20,0.014896469536719796,-0.009024901868087716,-0.06910479381730211
80,80,80,03-21,0.0,-0.15321664254620224,-0.030642433083459264
81,81,81,03-22,0.0,-0.15321664254620224,-0.015257488789922119
82,82,82,03-23,0.02384131222582491,0.0775575218568549,-0.05071489510695847
83,83,83,03-24,0.009536524890329964,-0.0609069767849794,-0.07474685188664422
84,84,84,03-25,0.015262515262515262,-0.0054817287531340395,-0.0747468518866442
85,85,85,03-26,0.0,-0.15321664254620224,-0.0747468518866442
86,86,86,03-27,0.0,-0.15321664254620224,-0.11320921262048708
87,87,87,03-28,0.0,-0.15321664254620224,-0.12859415691402426
88,88,88,03-29,0.0,-0.15321664254620224,-0.15321664254620224
89,89,89,03-30,0.0,-0.15321664254620224,-0.14147238957321215
90,90,90,03-31,0.0,-0.15321664254620224,-0.06591404975939742
91,91,91,04-01,0.007279802816205202,-0.08275112470826161,0.029292033826717717
92,92,92,04-02,0.04683565793664561,0.3001333963366861,0.033523882257073694
93,93,93,04-03,0.05901452540268375,0.4180198589704886,0.04604243008527503
94,94,94,04-04,0.002623157232044496,-0.12782555196406634,0.08922407783577889
95,95,95,04-05,0.007759757895553666,-0.07810535557699423,0.0774798248627888
96,96,96,04-06,0.02676661356200877,0.10587324395682082,0.001921485048974103
97,97,97,04-07,7.930164461608259e-18,-0.15321664254620218,-0.0913741276983691
98,98,98,04-08,7.930164461608259e-18,-0.15321664254620218,-0.09305868167702916
99,99,99,04-09,0.0011842261082382745,-0.14175381751357066,-0.10557722950523048
100,100,100,04-10,0.0015789681443176954,-0.1379328758360268,-0.1487588772557343
101,101,101,04-11,7.930164461608259e-18,-0.15321664254620218,-0.1487588772557343
102,102,102,04-12,7.930164461608259e-18,-0.15321664254620218,-0.1487588772557343
103,103,103,04-13,7.930164461608259e-18,-0.15321664254620218,-0.15066934809450624
104,104,104,04-14,7.930164461608259e-18,-0.15321664254620218,-0.07031503624505593
105,105,105,04-15,7.930164461608259e-18,-0.15321664254620218,-0.07031503624505593
106,106,106,04-16,0.05138746145940394,0.34419299526067504,-0.04969471424829005
107,107,107,04-17,1.5860328923216518e-17,-0.15321664254620207,-0.04625799391549571
108,108,108,04-18,0.012781730646329526,-0.029494710565606982,-0.01596003613497163
109,109,109,04-19,0.0021302884410549358,-0.1325963205494362,0.024437240905727117
110,110,110,04-20,0.018780518342306263,0.02857110413694232,0.019814174696422614
111,111,111,04-21,0.025040691123075002,0.08916701969799032,0.019814174696422614
112,112,112,04-22,0.04852180363617762,0.3164545980048481,-0.0008061473003432256
113,113,113,04-23,1.5860328923216518e-17,-0.15321664254620207,-0.004242867633137536
114,114,114,04-24,1.5860328923216518e-17,-0.15321664254620207,-0.0345408254136616
115,115,115,04-25,1.5860328923216518e-17,-0.15321664254620207,-0.0071538478904819985
116,116,116,04-26,1.5860328923216518e-17,-0.15321664254620207,0.08516649732876341
117,117,117,04-27,0.042016806722689086,0.25348888483706794,0.11928440488127062
118,118,118,04-28,0.10574757275625372,0.8703766693203205,0.11928440488127058
119,119,119,04-29,0.021148355715343133,0.051490802768841167,0.13206438738460016
120,120,120,04-30,0.0,-0.15321664254620224,0.15400165401569751
121,121,121,05-01,0.007921811019633133,-0.0765367475262245,0.08621739945181912
122,122,122,05-02,0.013598053087598592,-0.021593042759618,-0.08438148585926801
123,123,123,05-03,0.0,-0.15321664254620224,-0.11849939341177525
124,124,124,05-04,0.0,-0.15321664254620224,-0.11849939341177525
125,125,125,05-05,0.0,-0.15321664254620224,-0.05914447592263944
126,126,126,05-06,0.0,-0.15321664254620224,-0.02771317607018261
127,127,127,05-07,0.04471360156491351,0.2795927574085905,0.04025303291852245
128,128,128,05-08,0.033081085827879296,0.16699475635512287,0.04025303291852245
129,129,129,05-09,0.042129593150001296,0.2545806113860281,0.049879869406291286
130,130,130,05-10,0.0,-0.15321664254620224,0.0765718634220367
131,131,131,05-11,0.0059672992003819035,-0.09545562361958916,0.02279594899918248
132,132,132,05-12,0.01654532252096776,0.00693532154827018,-0.006093970058223407
133,133,133,05-13,0.011380016690691141,-0.043062729128534885,-0.07406017904692846
134,134,134,05-14,0.015173355587588188,-0.0063447579893124465,-0.07406017904692846
135,135,135,05-15,0.0,-0.15321664254620224,-0.07763484994863674
136,136,136,05-16,0.0,-0.15321664254620224,-0.06801385044801878
137,137,137,05-17,0.003751500600240094,-0.11690364902983888,-0.08637283601763
138,138,138,05-18,0.022509003601440564,0.06466131855197803,-0.1108514834437783
139,139,139,05-19,0.0,-0.15321664254620224,-0.1108514834437783
140,140,140,05-20,0.0,-0.15321664254620224,-0.1108514834437783
141,141,141,05-21,0.0,-0.15321664254620224,-0.11690364902983888
142,142,142,05-22,0.0,-0.15321664254620224,-0.12081134649485435
143,143,143,05-23,0.0,-0.15321664254620224,-0.10784922807431516
144,144,144,05-24,0.020086774867427274,0.04121513376188514,-0.10127761514254484
145,145,145,05-25,0.008034709946970909,-0.0754439320229673,-0.08484858281311898
146,146,146,05-26,0.004073485681697824,-0.11378696495558015,-0.08484858281311898
147,147,147,05-27,0.010183714204244559,-0.05464244856964702,-0.08484858281311898
148,148,148,05-28,0.0,-0.15321664254620224,-0.042427104345899885
149,149,149,05-29,0.0,-0.15321664254620224,-0.05538922276643904
150,150,150,05-30,0.04638218923933208,0.2957440045651996,-0.061960835698209385
151,151,151,05-31,0.0,-0.15321664254620224,-0.07838986802763527
152,152,152,06-01,0.0,-0.15321664254620224,-0.07838986802763526
153,153,153,06-02,0.0,-0.15321664254620224,-0.07838986802763526
154,154,154,06-03,0.0,-0.15321664254620224,0.060178232932673985
155,155,155,06-04,0.0,-0.15321664254620224,0.060178232932673985
156,156,156,06-05,0.13227513227513224,1.1271526103270548,0.06507760507377063
157,157,157,06-06,0.0,-0.15321664254620224,0.09447383792035048
158,158,158,06-07,0.003036929057337218,-0.12382040969962235,0.09447383792035048
159,159,159,06-08,0.01822157434402331,0.023160754533277,0.23165625787105665
160,160,160,06-09,0.0,-0.15321664254620224,0.01826138239218041
161,161,161,06-10,0.08503401360544216,0.6698778771580347,0.01826138239218041
162,162,162,06-11,0.0,-0.15321664254620224,0.04241240506417448
163,163,163,06-12,0.0,-0.15321664254620224,0.05175003196838222
164,164,164,06-13,0.018007202881152453,0.021085726332342,0.06889783446222046
165,165,165,06-14,0.0240096038415366,0.07918651595852343,-0.0682845854884857
166,166,166,06-15,0.010629251700680256,-0.05032982758317276,-0.0682845854884857
167,167,167,06-16,0.0,-0.15321664254620224,-0.0682845854884857
168,168,168,06-17,0.0,-0.15321664254620224,-0.0973349803015764
169,169,169,06-18,0.0,-0.15321664254620224,-0.13606884005236405
170,170,170,06-19,0.0,-0.15321664254620224,-0.1532166425462023
171,171,171,06-20,0.0,-0.15321664254620224,-0.15321664254620224
172,172,172,06-21,0.0,-0.15321664254620224,-0.07467403014988755
173,173,173,06-22,0.0,-0.15321664254620224,-0.07467403014988755
174,174,174,06-23,0.0486854917234664,0.318039031831686,-0.07467403014988755
175,175,175,06-24,0.0,-0.15321664254620224,-0.07467403014988755
176,176,176,06-25,0.0,-0.15321664254620224,-0.07467403014988755
177,177,177,06-26,0.0,-0.15321664254620224,-0.01800858376350525
178,178,178,06-27,0.0,-0.15321664254620224,-0.09655119615981997
179,179,179,06-28,0.03512469265893922,0.1867760357720916,-0.09655119615981997
180,180,180,06-29,0.0,-0.15321664254620224,-0.04906497386919093
181,181,181,06-30,0.0,-0.15321664254620224,-0.035881077899895995
182,182,182,07-01,0.02943485086342227,0.1317006911975719,-0.035881077899895995
183,183,183,07-02,0.008172181170361321,-0.07411326673043261,-0.0925465242862783
184,184,184,07-03,0.0,-0.15321664254620224,-0.0925465242862783
185,185,185,07-04,0.0,-0.15321664254620224,-0.07976177213110895
186,186,186,07-05,0.0,-0.15321664254620224,-0.04253681220275324
187,187,187,07-06,0.007924767540152148,-0.07650812961518612,-0.028654769767211263
188,188,188,07-07,0.05250914675459594,0.3550504507677062,-0.02865476976721127
189,189,189,07-08,0.01677711601375723,0.009178987882819229,-0.02865476976721127
190,190,190,07-09,0.0,-0.15321664254620224,0.14613019866402435
191,191,191,07-10,0.0,-0.15321664254620224,0.133345446508855
192,192,192,07-11,0.1083423618634886,0.8954931680412114,0.04863426428987025
193,193,193,07-12,0.0,-0.15321664254620224,0.021568325885033338
194,194,194,07-13,0.0,-0.15321664254620224,0.021568325885033338
195,195,195,07-14,0.0,-0.15321664254620224,0.021568325885033338
196,196,196,07-15,0.0,-0.15321664254620224,-0.15321664254620224
197,197,197,07-16,0.0,-0.15321664254620224,-0.15321664254620224
198,198,198,07-17,0.0,-0.15321664254620224,-0.15321664254620224
199,199,199,07-18,0.0,-0.15321664254620224,-0.15321664254620224
200,200,200,07-19,0.0,-0.15321664254620224,-0.15321664254620224
201,201,201,07-20,0.0,-0.15321664254620224,-0.15321664254620224
202,202,202,07-21,0.0,-0.15321664254620224,0.0674024179063748
203,203,203,07-22,0.0,-0.15321664254620224,0.10709239474630354
204,204,204,07-23,0.1367531218277487,1.1704977201692601,0.10709239474630354
205,205,205,07-24,0.02460226340823354,0.08492321849337019,0.10709239474630354
206,206,206,07-25,0.0,-0.15321664254620224,0.10709239474630354
207,207,207,07-26,0.0,-0.15321664254620224,0.12430422936297165
208,208,208,07-27,0.0,-0.15321664254620224,-0.053285244547935096
209,209,209,07-28,0.010668942707777648,-0.04994563484619352,-0.09297522138786384
210,210,210,07-29,0.026672356769444117,0.10496087670381957,-0.09297522138786384
211,211,211,07-30,0.0,-0.15321664254620224,0.13826203498389508
212,212,212,07-31,0.0,-0.15321664254620224,0.44657837681290696
213,213,213,08-01,0.1433349259436216,1.2342068956843513,0.4293665421962389
214,214,214,08-02,0.19111323459149546,1.6966814084278692,0.3863369556545686
215,215,215,08-03,0.0,-0.15321664254620224,0.3863369556545686
216,216,216,08-04,0.0,-0.15321664254620224,0.3863369556545686
217,217,217,08-05,0.0,-0.15321664254620224,0.18409440198986046
218,218,218,08-06,0.0,-0.15321664254620224,-0.00012461225297414705
219,219,219,08-07,0.017972681524083396,0.020751573696102383,0.14775216832767354
220,220,220,08-08,0.0769230769230769,0.5913673229708613,0.14775216832767354
221,221,221,08-09,0.09166302924487124,0.734044040937684,0.15311274403333994
222,222,222,08-10,0.0,-0.15321664254620224,0.15311274403333994
223,223,223,08-11,0.0033228110981890625,-0.12105318831220385,0.1241180413262892
224,224,224,08-12,0.0,-0.15321664254620224,2.0713740111940233e-05
225,225,225,08-13,0.0,-0.15321664254620224,-0.1456372696371355
226,226,226,08-14,0.0,-0.15321664254620224,-0.13232448641673386
227,227,227,08-15,0.0013753455555708366,-0.1399038593258006,-0.13768506212240028
228,228,228,08-16,0.008252073333425019,-0.07333994322379245,-0.13768506212240028
229,229,229,08-17,0.0,-0.15321664254620224,-0.13768506212240028
230,230,230,08-18,0.0,-0.15321664254620224,-0.13768506212240028
231,231,231,08-19,0.0,-0.15321664254620224,-0.13990385932580054
232,232,232,08-20,0.0,-0.15321664254620224,-0.15321664254620218
233,233,233,08-21,0.0,-0.15321664254620224,-0.15321664254620218
234,234,234,08-22,0.0,-0.15321664254620224,-0.15321664254620218
235,235,235,08-23,0.0,-0.15321664254620224,-0.15321664254620218
236,236,236,08-24,0.0,-0.15321664254620224,-0.15321664254620218
237,237,237,08-25,0.0,-0.15321664254620224,-0.15321664254620218
238,238,238,08-26,0.0,-0.15321664254620224,-0.15321664254620218
239,239,239,08-27,0.0,-0.15321664254620224,-0.15321664254620218
240,240,240,08-28,0.0,-0.15321664254620224,-0.0664352945838405
241,241,241,08-29,0.0,-0.15321664254620224,-0.0664352945838405
242,242,242,08-30,0.05379236148466916,0.3674714452279679,-0.0664352945838405
243,243,243,08-31,0.0,-0.15321664254620224,-0.0664352945838405
244,244,244,09-01,0.0,-0.15321664254620224,-0.0664352945838405
245,245,245,09-02,0.0,-0.15321664254620224,-0.0664352945838405
246,246,246,09-03,0.0,-0.15321664254620224,-0.06402739974494373
247,247,247,09-04,0.0,-0.15321664254620224,-0.05671680607270942
248,248,248,09-05,0.0552849212643027,0.3819188142613486,-0.05671680607270942
249,249,249,09-06,0.004531550923303499,-0.10935308051279644,-0.05671680607270942
250,250,250,09-07,0.0,-0.15321664254620224,0.0338651848661061
251,251,251,09-08,0.0,-0.15321664254620224,0.0338651848661061
252,252,252,09-09,0.05614823133071308,0.3902753030866909,-0.055324057935152375
253,253,253,09-10,0.0,-0.15321664254620224,-0.020851039625508817
254,254,254,09-11,0.0,-0.15321664254620224,-0.020851039625508813
255,255,255,09-12,0.025900025900025887,0.09748502934506488,-0.020851039625508813
256,256,256,09-13,0.0,-0.15321664254620224,-0.11143303056432434
257,257,257,09-14,0.0,-0.15321664254620224,-0.11143303056432434
258,258,258,09-15,0.0,-0.15321664254620224,-0.07371347810651972
259,259,259,09-16,0.0,-0.15321664254620224,-0.11549709008839758
260,260,260,09-17,0.023380874444704217,0.07310067220062548,-0.11549709008839758
261,261,261,09-18,0.0,-0.15321664254620224,-0.11549709008839758
262,262,262,09-19,0.0,-0.15321664254620224,-0.11549709008839758
263,263,263,09-20,0.0,-0.15321664254620224,-0.0447863621190658
264,264,264,09-21,0.0,-0.15321664254620224,-0.08250591457687043
265,265,265,09-22,0.043830813061582284,0.2710477252697884,-0.04372549970619003
266,266,266,09-23,0.0,-0.15321664254620224,-0.04372549970619003
267,267,267,09-24,0.024038461538461533,0.0794658466778801,-0.04372549970619003
268,268,268,09-25,0.0,-0.15321664254620224,-0.04372549970619003
269,269,269,09-26,0.0,-0.15321664254620224,-0.1144362276755218
270,270,270,09-27,0.0,-0.15321664254620224,-0.1144362276755218
271,271,271,09-28,0.0,-0.15321664254620224,-0.1532166425462022
272,272,272,09-29,0.0,-0.15321664254620224,-0.15321664254620218
273,273,273,09-30,0.0,-0.15321664254620224,-0.15321664254620218
274,274,274,10-01,0.0,-0.15321664254620224,-0.15321664254620218
275,275,275,10-02,0.0,-0.15321664254620224,-0.15321664254620218
276,276,276,10-03,0.0,-0.15321664254620224,-0.15321664254620218
277,277,277,10-04,0.0,-0.15321664254620224,-0.15321664254620218
278,278,278,10-05,0.0,-0.15321664254620224,-0.15321664254620218
279,279,279,10-06,0.0,-0.15321664254620224,-0.15321664254620218
280,280,280,10-07,0.0,-0.15321664254620224,-0.15321664254620218
281,281,281,10-08,0.0,-0.15321664254620224,-0.15321664254620218
282,282,282,10-09,0.0,-0.15321664254620224,-0.15321664254620218
283,283,283,10-10,0.0,-0.15321664254620224,-0.15321664254620218
284,284,284,10-11,0.0,-0.15321664254620224,-0.15321664254620218
285,285,285,10-12,0.0,-0.15321664254620224,-0.12211455543187205
286,286,286,10-13,0.0,-0.15321664254620224,-0.11693087424615035
287,287,287,10-14,0.01927896664738769,0.033395880139778567,-0.11693087424615035
288,288,288,10-15,0.003213161107897949,-0.12211455543187212,-0.11693087424615035
289,289,289,10-16,0.0,-0.15321664254620224,2.9855023154082816
290,290,290,10-17,0.0,-0.15321664254620224,2.9855023154082816
291,291,291,10-18,1.923076923076924,18.46138249538039,2.954400228293952
292,292,292,10-19,0.0,-0.15321664254620224,2.94921654710823
293,293,293,10-20,0.0,-0.15321664254620224,2.94921654710823
294,294,294,10-21,0.0,-0.15321664254620224,2.94921654710823
295,295,295,10-22,0.0,-0.15321664254620224,-0.10967372058614028
296,296,296,10-23,0.0,-0.15321664254620224,-0.10967372058614028
297,297,297,10-24,0.02699055330634277,0.10804088921417096,-0.10967372058614028
298,298,298,10-25,0.0,-0.15321664254620224,-0.10967372058614028
299,299,299,10-26,0.0,-0.15321664254620224,-0.06566757605203488
300,300,300,10-27,0.0,-0.15321664254620224,-0.06566757605203488
301,301,301,10-28,0.027277686852154943,0.11082022465843032,-0.10921049801209708
302,302,302,10-29,0.0,-0.15321664254620224,-0.10921049801209708
303,303,303,10-30,0.0,-0.15321664254620224,-0.10921049801209708
304,304,304,10-31,0.0,-0.15321664254620224,-0.10921049801209708
305,305,305,11-01,0.0,-0.15321664254620224,-0.15321664254620251
306,306,306,11-02,0.0,-0.15321664254620224,-0.1532166425462025
307,307,307,11-03,0.0,-0.15321664254620224,-0.1532166425462025
308,308,308,11-04,0.0,-0.15321664254620224,-0.001878438172815582
309,309,309,11-05,0.0,-0.15321664254620224,-0.001878438172815582
310,310,310,11-06,0.09380863039399624,0.7548125836941192,-0.001878438172815582
311,311,311,11-07,0.0,-0.15321664254620224,-0.001878438172815582
312,312,312,11-08,0.0,-0.15321664254620224,-0.001878438172815582
313,313,313,11-09,0.0,-0.15321664254620224,0.03357794113752078
314,314,314,11-10,0.0,-0.15321664254620224,-0.11776026323586612
315,315,315,11-11,0.021978021978021976,0.059521633315815926,-0.11776026323586612
316,316,316,11-12,0.0,-0.15321664254620224,-0.11776026323586612
317,317,317,11-13,0.0,-0.15321664254620224,-0.11776026323586612
318,318,318,11-14,0.0,-0.15321664254620224,0.09620064639547404
319,319,319,11-15,0.0,-0.15321664254620224,0.12571668990512574
320,320,320,11-16,0.1326259946949602,1.1305488152418386,0.1492199716449321
321,321,321,11-17,0.04027386226339106,0.2366178943737265,0.17384245727711012
322,322,322,11-18,0.014568764568764568,-0.01219695210736443,0.3755327308902552
323,323,323,11-19,0.015262515262515262,-0.005481728753134056,0.403943291235076
324,324,324,11-20,0.1250199076286032,1.0569249991326688,0.2637070718653713
325,325,325,11-21,0.017610594533671454,0.017246719522722567,0.1987346490453832
326,326,326,11-22,0.04569905033762784,0.28913149902361074,0.2271816998995604
327,327,327,11-23,0.0,-0.15321664254620224,0.2476691116087772
328,328,328,11-24,0.03220197814115972,0.15848535301769834,0.04597883799563204
329,329,329,11-25,0.027961860022928726,0.11744274150216695,0.07944646856718375
330,330,330,11-26,0.0,-0.15321664254620224,0.2260128923638512
331,331,331,11-27,0.03835586899657898,0.2180525029520328,0.2260128923638512
