,unnamed: 0,unnamed: 0,mth_day,off-beat comedy,off-beat comedy_norm,off-beat comedy_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.0825108569202706,-1.000914280895728,
2,2,2,01-03,1.3318895131240491,-0.29526896497864197,
3,3,3,01-04,1.429855563483843,-0.018062865596996262,
4,4,4,01-05,1.0905231591575228,-0.9782425589869808,-0.5445885491589494
5,5,5,01-06,1.4374693161604792,0.003481114928864471,-0.7810381355632003
6,6,6,01-07,1.0904237885558818,-0.9785237394242136,-0.979467184874907
7,7,7,01-08,0.5811359129871644,-2.4196117993212334,-0.987794333102058
8,8,8,01-09,0.9111344803651172,-1.485843260848882,-0.8566206626480867
9,9,9,01-10,1.4121984233762994,-0.06802575495990343,-0.9455314012174222
10,10,10,01-11,1.3686678269892498,-0.1912005362631527,-0.8213378668230519
11,11,11,01-12,1.2489402633371909,-0.5299833164871479,-0.43621769730516397
12,12,12,01-13,1.3537675621304093,-0.2333625330579916,-0.07680664215480333
13,13,13,01-14,1.3977565141728217,-0.10889078221390597,-0.06673117707937591
14,14,14,01-15,1.6732406881419768,0.6706230700532819,-0.014573668159101456
15,15,15,01-16,1.4335627480685649,-0.007572964507338847,0.025748478507296186
16,16,16,01-17,1.4792642061509562,0.12174451725849401,-0.12394677607112232
17,17,17,01-18,1.3344405779351791,-0.2880504364887621,-0.20596680872240625
18,18,18,01-19,1.0363491601248758,-1.1315340605285027,-0.35585622909982817
19,19,19,01-20,1.223838725195925,-0.6010109781216092,-0.4948717077454449
20,20,20,01-21,1.3554105710301942,-0.22871345221124986,-0.6756205735728789
21,21,21,01-22,1.1387900700034073,-0.8416658363810394,-0.7920946349676928
22,22,22,01-23,1.0959987758817449,-0.9627486777061098,-0.6917007720370322
23,23,23,01-24,1.0874654113064417,-0.9868948048576459,-0.5974765321761982
24,24,24,01-25,1.249227381497747,-0.5291708829445383,-0.6565342804936128
25,25,25,01-26,1.4236346888758846,-0.0356655389566054,-0.3912697527803193
26,26,26,01-27,1.2301827129410887,-0.5830599421157366,-0.2629718473275824
27,27,27,01-28,1.7012650979034916,0.7499213298987216,-0.2203291926330884
28,28,28,01-29,1.368045583538772,-0.1929612449896887,-0.08219077815351797
29,29,29,01-30,1.1778862021893577,-0.7310388766906818,-0.04730166024448781
30,30,30,01-31,1.5421403058464176,0.29965960393288404,-0.0010784208168355496
31,31,31,02-01,1.4976146429182189,0.1736691684975756,-0.2603102817749677
32,32,32,02-02,1.3281958853423457,-0.3057205055498231,-0.24337299427247275
33,33,33,02-03,1.1515819213326164,-0.8054698358500708,-0.022326667892350827
34,34,34,02-04,1.4039599266386322,-0.09133751997471933,-0.07403885388630324
35,35,35,02-05,1.6465996018650706,0.5952390815900498,-0.2242444059434623
36,36,36,02-06,1.4324882030550459,-0.01061351203083043,-0.34593978054753033
37,37,37,02-07,1.1791141905116531,-0.7275641438453787,-0.1703887101886278
38,38,38,02-08,1.0701492862896518,-1.0358927531742317,0.050602567432068375
39,39,39,02-09,1.5238257869154963,0.2478365863033441,-0.18437083853947706
40,40,40,02-10,1.8725565992390718,1.2346101457494578,-0.3433726902534546
41,41,41,02-11,1.1483547961273322,-0.8146013542392229,-0.2698115721352013
42,42,42,02-12,1.0953358074823956,-0.9646246223146958,-0.161704399052902
43,43,43,02-13,1.3350954380708695,-0.28619743513585905,-0.2628776654005285
44,44,44,02-14,1.2993830467168597,-0.3872497146804354,-0.5936467583368991
45,45,45,02-15,1.3092948946692051,-0.3592030117824151,-0.28306629902404823
46,46,46,02-16,1.1711836852588096,-0.7500044118687659,-0.15615854173583704
47,47,47,02-17,1.8069191131250104,1.0488814016378822,-0.24997963223475256
48,48,48,02-18,1.3644349024001154,-0.20317807858542875,-0.18668350806087755
49,49,49,02-19,1.1361543246437795,-0.8491239781293521,-0.020433594026946226
50,50,50,02-20,1.4335980867660436,-0.007472969637185276,0.04564180992712052
51,51,51,02-21,1.6618163035463556,0.6382964724211729,-0.36757546539194746
52,52,52,02-22,1.3112919952652755,-0.35355198814436545,-0.33396901337652035
53,53,53,02-23,0.9307205483659052,-1.4304222502765256,-0.1945412877785325
54,54,54,02-24,1.435695052401894,-0.0015393664928660866,-0.10343835598788292
55,55,55,02-25,1.4318011437712033,-0.012557624541425049,-0.20375733325803366
56,56,56,02-26,1.6267755332285059,0.5391446211067121,-0.19436359452503585
57,57,57,02-27,1.4490968720212931,0.03638260880026841,-0.18170814604164945
58,58,58,02-28,1.3312107665441857,-0.2971895557463786,-0.4050467611221651
59,59,59,02-29,0.9575555488846124,-1.3544895593762072,-0.5397262290492083
60,60,60,03-01,0.9621210135678891,-1.3415710569759596,-0.6821738281599607
61,61,61,03-02,1.1462226756176723,-0.8206344321036839,-0.9351946210618448
62,62,62,03-03,1.3247252818254225,-0.3155409735578023,-1.0191841616212465
63,63,63,03-04,0.9125838343617294,-1.4817421486110354,-1.0498818023451442
64,64,64,03-05,1.1531167726856264,-0.8011267991027902,-0.947588805499582
65,65,65,03-06,0.8924633314234696,-1.5386754037195929,-0.9731359263139198
66,66,66,03-07,1.179026216652106,-0.7278130759025869,-1.0209816080003244
67,67,67,03-08,1.0920517782998729,-0.9739171569897104,-0.8597511963436465
68,68,68,03-09,1.2232718331737942,-0.6026150636762307,-0.8183104798115605
69,69,69,03-10,1.2544617366832589,-0.5143596786709681,-0.8070080332142006
70,70,70,03-11,1.2409889370813807,-0.5524824999102732,-0.6982593802702782
71,71,71,03-12,0.9164293853093496,-1.4708607241354332,-0.5042321778099019
72,72,72,03-13,1.4096201906222785,-0.07532115823905264,-0.5566909033437245
73,73,73,03-14,1.503473000195145,0.19024605777254794,-0.3912034920482206
74,74,74,03-15,1.112036745080404,-0.9173674168791665,-0.3621428534202265
75,75,75,03-16,1.6053663114033203,0.4785647891020557,-0.34626228514890506
76,76,76,03-17,1.3026100051675835,-0.37811866814230816,-0.4045778834410421
77,77,77,03-18,0.9501030285909536,-1.3755773145075048,-0.44133637784593854
78,78,78,03-19,1.2859660101740271,-0.4252147479918743,-0.33227344761581884
79,79,79,03-20,1.4255291629840638,-0.030304908656831525,-0.35240629818005514
80,80,80,03-21,1.34329712223251,-0.262989835498448,-0.17474825680301245
81,81,81,03-22,1.5626759985279155,0.3577676857166378,-0.16997907018786415
82,82,82,03-23,1.6793215566202229,0.6878295801199483,-0.2144377841834256
83,83,83,03-24,0.9602157579390542,-1.346962194816615,-0.13164362501176546
84,84,84,03-25,1.1916943915349771,-0.6919670319652431,0.06480000349211522
85,85,85,03-26,1.6010884335412547,0.4664600463731293,-0.046592454428473484
86,86,86,03-27,1.7598422079099296,0.9156719355248358,-0.030066853447669982
87,87,87,03-28,1.3264760195225729,-0.3105870618068945,0.1482590862039546
88,88,88,03-29,1.7143629470121933,0.7869831860047694,0.3501133903821307
89,89,89,03-30,1.3383435413465212,-0.2770065569068677,0.4785669723951916
90,90,90,03-31,1.6197124396061735,0.5191587931038136,0.3907866619856033
91,91,91,04-01,1.87346534254416,1.2371815384514953,0.5761169764878875
92,92,92,04-02,1.5737101495742725,0.3889900730673057,0.39399782735865374
93,93,93,04-03,1.7194560938620775,0.8013948252068109,0.4102070334637462
94,94,94,04-04,1.3281919260669308,-0.3057317087706332,0.3460122357609368
95,95,95,04-05,1.372714038354905,-0.17975132027631302,0.1812184574501623
96,96,96,04-06,1.4835918246856792,0.13399000688695684,0.1881732130521853
97,97,97,04-07,1.52403156844641,0.2484188685868483,-0.0871467847898163
98,98,98,04-08,1.5884572263319845,0.43071860667944384,0.0008038075770251026
99,99,99,04-09,1.1356591391670672,-0.8505251618451986,-0.017164147481959158
100,100,100,04-10,1.5146850554793825,0.2219718454304153,-0.04700679104273445
101,101,101,04-11,1.3346142362055835,-0.2875590506302186,-0.13724379680601173
102,102,102,04-12,1.420312569392254,-0.04506585447769487,-0.34911090475031564
103,103,103,04-13,1.3326902580501017,-0.2930031659928153,-0.3186561620789955
104,104,104,04-14,1.1392077225276716,-0.8404840409863799,-0.3618470460290486
105,105,105,04-15,1.2002363081591283,-0.6677967058172776,-0.5626591832516137
106,106,106,04-16,1.4231017824942624,-0.03717345826990353,-0.6342241352278973
107,107,107,04-17,0.9088060308618982,-1.492431873965609,-0.5831345070233903
108,108,108,04-18,1.268564053650128,-0.4744555663353971,-0.5407290485779912
109,109,109,04-19,1.4410222702398148,0.013534603234227277,-0.4766565592978431
110,110,110,04-20,1.2291255552202198,-0.5860512903139848,-0.4957985861239134
111,111,111,04-21,1.3360975765546956,-0.2833617701363887,-0.32116455396043
112,112,112,04-22,1.382512442615787,-0.15202561922632596,-0.1709828599752122
113,113,113,04-23,1.2791053805722628,-0.4446276809847084,-0.27940717836169265
114,114,114,04-24,1.5870139166703314,0.4266345975759096,-0.2006893081169152
115,115,115,04-25,1.211116025197512,-0.6370113070846558,-0.3272615910321184
116,116,116,04-26,1.3960413379064829,-0.11374406884532,-0.4264179591108104
117,117,117,04-27,1.0677098317709122,-1.0427954676276079,-0.6036921475889528
118,118,118,04-28,1.1722582432234938,-0.7469638276984781,-0.6593991329170429
119,119,119,04-29,0.9032077625613834,-1.5082728118535629,-0.3241852788244541
120,120,120,04-30,1.4688911190359881,0.0923926856073695,-0.4110006230470925
121,121,121,05-01,1.9219137468477057,1.3742718174708772,-0.2819356669812964
122,122,122,05-02,1.2119554234243082,-0.6346361341811502,-0.0718342054186736
123,123,123,05-03,1.3413831170376689,-0.2684057312328316,0.31938674034885856
124,124,124,05-04,1.6177638163697612,0.5136449416772587,0.27301919343842723
125,125,125,05-05,1.7327646365341045,0.8390528627516304,0.14771846127961605
126,126,126,05-06,1.370571952629042,-0.1858125958552183,0.2243134828265652
127,127,127,05-07,1.6562222372271511,0.6224674245180101,0.26643734614794856
128,128,128,05-08,1.374369852722571,-0.17506600489945529,0.1677930609879764
129,129,129,05-09,1.4307038468058169,-0.015662551304531508,0.2256500620617264
130,130,130,05-10,1.4085954532801093,-0.0782207692825742,0.42029126149944585
131,131,131,05-11,1.8554463933966217,1.1861948691941306,0.2387500661214089
132,132,132,05-12,1.7832951125178285,0.9820346007710984,0.1882596196052239
133,133,133,05-13,1.2712767271149121,-0.4667797477502116,0.26853170167760404
134,134,134,05-14,1.2673083637338356,-0.4780086839965651,0.29882069408305506
135,135,135,05-15,1.6009152278467853,0.4659699411297494,0.1652416558565635
136,136,136,05-16,1.4728211603325632,0.10351318515013216,0.11471490254932895
137,137,137,05-17,1.5722013100791854,0.3847206398351815,0.2098520170277461
138,138,138,05-18,1.6761566374975094,0.678874080927691,0.26394357141007524
139,139,139,05-19,1.4730083780894403,0.10404293912029174,0.3206473849405279
140,140,140,05-20,1.3820057521205855,-0.15345935770259067,0.15149896115110867
141,141,141,05-21,1.721151730527819,0.8061928223124655,-0.06855891538585962
142,142,142,05-22,1.1141536626072692,-0.9113773575863832,-0.17780118367058198
143,143,143,05-23,1.1055838497207209,-0.9356266193866284,0.13148174536045276
144,144,144,05-24,1.4445159864424593,0.0234204712193568,0.16975298679749234
145,145,145,05-25,2.128821372142596,1.9597405133065,0.009588301909382571
146,146,146,05-26,1.4631572644642803,0.07616809091964684,0.1891769011208758
147,147,147,05-27,1.3815336278826795,-0.15479528701619324,0.32491513254265103
148,148,148,05-28,1.4949588280125774,0.16615423768257587,0.08316500803528072
149,149,149,05-29,1.3934073524115593,-0.12119723085597688,-0.1235118303428186
150,150,150,05-30,0.9319016191942991,-1.427080275824865,-0.011211799631270765
151,151,151,05-31,1.6905774748708502,0.7196794830379042,0.3040727557096899
152,152,152,06-01,1.7012816886086577,0.7499682751889339,0.4622923067499358
153,153,153,06-02,2.0500726541543983,1.7369120450295703,0.5089462027945192
154,154,154,06-03,1.830452409279837,1.1154715439240517,0.6047165188030571
155,155,155,06-04,1.4923337022915837,0.15872614541152366,0.6722187812913235
156,156,156,06-05,1.1349759300841629,-0.8524583797736379,0.455675743589578
157,157,157,06-06,1.8337113394086817,1.1246930579675027,0.482285913362932
158,158,158,06-07,1.2421172001531802,-0.5492899510215385,0.3045514692734937
159,159,159,06-08,2.1064976730392098,1.8965730636696947,0.20213681747138126
160,160,160,06-09,1.4535788511761134,0.049064879387421566,0.4515999994233919
161,161,161,06-10,1.2751705383119931,-0.4557617654011509,0.4969189764406375
162,162,162,06-11,1.6639453005390017,0.6443207119384262,0.8697480153864867
163,163,163,06-12,1.9298070861032028,1.3966069200709756,0.6028118518139806
164,164,164,06-13,2.032675311676053,1.6876842826535563,0.8881783868818137
165,165,165,06-14,1.5404780572718562,0.2949560822346572,1.1229996636038613
166,166,166,06-15,2.058678791065234,1.7612640897944214,1.2688303661397733
167,167,167,06-16,1.7730927645303611,0.953165894931134,1.0936037289330849
168,168,168,06-17,1.9731691880473703,1.519304927153898,1.1085936413221822
169,169,169,06-18,1.558251158511568,0.3452470968308483,1.0768416108255416
170,170,170,06-19,2.0644603809499595,1.7776237569881383,0.8627961657873771
171,171,171,06-20,1.4731500794474497,0.10444389925481323,0.8157767648564044
172,172,172,06-21,1.604810274578723,0.47699141956543395,0.7420682342733279
173,173,173,06-22,1.6733913868961865,0.6710494893452978,0.7435197492793026
174,174,174,06-23,1.816875362583452,1.0770537436554393,0.5004523507296988
175,175,175,06-24,1.5613289953807536,0.3539561868666976,0.4028137021404727
176,176,176,06-25,1.5490528254830638,0.3192193656905158,0.17659896358265728
177,177,177,06-26,1.266114098938551,-0.4813879922805444,0.259629454932165
178,178,178,06-27,1.1251376154463917,-0.8802970117814584,0.06762146491284575
179,179,179,06-28,1.8494517834406112,1.1692324374423442,0.2898441532840796
180,180,180,06-29,1.4097357405836148,-0.07499419646047621,0.09104322406996533
181,181,181,06-30,2.0325367890467803,1.6872923170941003,0.08082399403071676
182,182,182,07-01,1.1275092471907906,-0.8735862095941699,0.3428666584884244
183,183,183,07-02,1.244444930614408,-0.5427033725160357,-0.0453046456329476
184,184,184,07-03,1.6807809058344985,0.6919589749647876,0.04566790085778269
185,185,185,07-04,1.0263614630052074,-1.159795387285888,-0.10284294284740783
186,186,186,07-05,1.6026367140632698,0.4708410824839055,0.05402586049498185
187,187,187,07-06,1.7176298481276835,0.7962272548629574,0.19819188351556769
188,188,188,07-07,1.4601386616748504,0.06762661046016823,-0.02191186025916577
189,189,189,07-08,1.5501389807001122,0.3222927656074793,0.04918475033354208
190,190,190,07-09,1.2140661871804599,-0.6286634876836129,0.07005548717650255
191,191,191,07-10,1.1771168933353318,-0.7332157237296408,0.4456670221302077
192,192,192,07-11,1.6468916636007658,0.5960655035416683,0.6034683161003469
193,193,193,07-12,2.5140880493954705,3.049896464585188,0.2888266824826193
194,194,194,07-13,1.7947453578421473,1.014434374281004,0.39431298014730826
195,195,195,07-14,0.8829632253388713,-1.5655570360988864,0.5124713428106804
196,196,196,07-15,1.4377425631117038,0.004254298304520601,0.3975065181571907
197,197,197,07-16,1.4276635039531744,-0.02426554774940838,0.029097950647567993
198,198,198,07-17,1.4031167287764919,-0.09372344437927004,-0.29050720477839737
199,199,199,07-18,1.7329032408764216,0.8394450595274517,-0.05114964793592247
200,200,200,07-19,1.1170447988381491,-0.903196558274788,-0.15799885575188266
201,201,201,07-20,1.3905043188415145,-0.12941169504403707,-0.27481657799935194
202,202,202,07-21,1.2111762307585814,-0.6368409485912405,-0.4925908990750898
203,203,203,07-22,1.1799596283283569,-0.7251718812342239,-0.6969314380843019
204,204,204,07-23,0.9413413893485548,-1.400369370833697,-0.5378926753085203
205,205,205,07-24,1.2996133043322031,-0.3865981745278221,-0.4679879039028885
206,206,206,07-25,1.454275461756596,0.05103601837990289,-0.3558452249578359
207,207,207,07-26,1.5387325368610365,0.2900169333897534,-0.2371675520745399
208,208,208,07-27,1.4489670013986151,0.03601512507907505,-0.12737240043556822
209,209,209,07-28,1.4316074002396395,-0.013105843934447895,-0.008369434733975206
210,210,210,07-29,1.1741543911991963,-0.741598460999867,0.09946616108022872
211,211,211,07-30,1.551950837097018,0.327419619681736,0.06301387526089533
212,212,212,07-31,1.6829333614278792,0.6980495932651265,-0.031146427149996363
213,213,213,08-01,1.461437993711972,0.07130321847375297,-0.001793659681619975
214,214,214,08-02,1.2493066126455037,-0.5289466893862751,0.2448631233863796
215,215,215,08-03,1.493847907265006,0.16301076087581046,0.2551646646529689
216,216,216,08-04,1.697172987518531,0.7383422374081299,0.1219156151516384
217,217,217,08-05,1.5737945406682754,0.3892288672812725,-0.07892327934902836
218,218,218,08-06,1.4003879963086945,-0.10144470374285668,-0.03467856648201323
219,219,219,08-07,1.0355730514163972,-1.1337301485302476,-0.2114407637327073
220,220,220,08-08,1.3431244567381135,-0.26347841218418433,-0.2611921292428248
221,221,221,08-09,1.1190359311317877,-0.8975624226283543,-0.3574442841668644
222,222,222,08-10,1.5916786685283324,0.4398340443474254,-0.1004518470876158
223,223,223,08-11,1.369698523786372,-0.18828406226296548,0.0053846012917849
224,224,224,08-12,1.945322629907716,1.4405099187326351,0.3129365224280425
