,unnamed: 0,unnamed: 0,mth_day,plot,plot_norm,plot_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.7690986003890714,-0.4281954398436126,
2,2,2,01-03,2.860703873737551,-0.22329317370022106,
3,3,3,01-04,2.2476993666996874,-1.594458916204447,
4,4,4,01-05,2.6189044914940167,-0.7641489515689802,-0.8604773655741108
5,5,5,01-06,2.338422193709583,-1.3915305020885254,-0.9624942330860141
6,6,6,01-07,2.6202062383404785,-0.7612372100388791,-1.1822271376215294
7,7,7,01-08,2.4954476580990432,-1.0402966449150317,-0.8715487969137712
8,8,8,01-09,2.271290398840836,-1.541690600913315,-0.8424756307564799
9,9,9,01-10,3.081065679127,0.2696111280421025,-0.5386125446276327
10,10,10,01-11,2.6968906079895953,-0.5897099546252331,-0.3324089473567046
11,11,11,01-12,3.1535072073384613,0.4316480146845576,-0.1973630914423126
12,12,12,01-13,3.173328580488448,0.4759843735866901,-0.08027102138310938
13,13,13,01-14,2.857695849252578,-0.2300215094286796,-0.06878489171488614
14,14,14,01-15,2.5853791969766178,-0.8391381805580956,-0.15751069291284595
15,15,15,01-16,3.1118761743287666,0.3385279060514419,-0.1319816057297139
16,16,16,01-17,2.458891738827822,-1.122064761812992,-0.08867538951060787
17,17,17,01-18,3.221986655236165,0.5848225377833499,-0.14277751829721624
18,18,18,01-19,3.2894935555989737,0.7358216709013262,-0.23634925335547874
19,19,19,01-20,2.7125718233592684,-0.5546342821483297,-0.28535991094808466
20,20,20,01-21,2.3343815522251874,-1.4005685909076708,-0.4846886078531683
21,21,21,01-22,2.9804095555276584,0.04446396049580638,-0.8012527640793041
22,22,22,01-23,1.9242106898615303,-2.318036943243494,-1.0714943838442677
23,23,23,01-24,2.372832179517509,-1.314562399573464,-1.3880820809370162
24,24,24,01-25,2.5645950589259883,-0.8856280476884549,-1.2897572902248997
25,25,25,01-26,1.8633542014130509,-2.4541604647048216,-1.5226095061200082
26,26,26,01-27,2.5981288352487635,-0.8106198466349708,-1.0064761016517718
27,27,27,01-28,2.355804724502213,-1.352649334874845,-0.9801695865173208
28,28,28,01-29,3.3086914715676867,0.7787634835659241,-0.8857088838577821
29,29,29,01-30,2.4433970069865496,-1.156723308766758,-0.3074686126065165
30,30,30,01-31,2.817977278186395,-0.31886383173122296,-0.1871071472524408
31,31,31,02-01,3.414430988587364,1.0152811628027714,-0.03684392417781157
32,32,32,02-02,2.920987488066233,-0.0884510545105161,-0.17186165223850594
33,33,33,02-03,2.7588721151090767,-0.4510699964270697,0.004960405202054097
34,34,34,02-04,2.946518730816196,-0.03134288479824222,-0.2536857236245945
35,35,35,02-05,2.9177060483872275,-0.09579096412339784,-0.5586223147758642
36,36,36,02-06,2.1241826283475143,-1.8707406046911144,-0.3685506081900216
37,37,37,02-07,2.5964663956486747,-0.8143383841048466,-0.36020272351518123
38,38,38,02-08,3.4308375048178337,1.0519791850045401,-0.28993025234032105
39,39,39,02-09,2.781264554350872,-0.4009826883780279,-0.5049292778493856
40,40,40,02-10,3.1350182252924945,0.39029194225091896,-0.2907900312611041
41,41,41,02-11,2.3409907722087206,-1.3857851171777853,-0.29228779300222124
42,42,42,02-12,2.698591625990209,-0.5859051251614257,-0.27515555205664005
43,43,43,02-13,2.5924487863868064,-0.8233249545515492,-0.3972126241396544
