,unnamed: 0,unnamed: 0,mth_day,movie business,movie business_norm,movie business_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.3477325545257592,-0.2016103918032313,
2,2,2,01-03,1.9003386938321911,-1.2014361124107236,
3,3,3,01-04,1.897004666057453,-1.2088869225698853,
4,4,4,01-05,2.104191249652508,-0.7458710132277315,-1.1329036431387738
5,5,5,01-06,1.5634948304231984,-1.9542071896512785,-1.285362155278031
6,6,6,01-07,1.7732682716423205,-1.4854102291697926,-1.3799425161714325
7,7,7,01-08,1.9384072035027675,-1.1163614646387754,-1.4870119287579528
8,8,8,01-09,1.6464064018312652,-1.7689182777711299,-1.4838200114876938
9,9,9,01-10,1.6095413799749314,-1.8513033980890088,-1.1838753947733691
10,10,10,01-11,2.1127610083281776,-0.7267195096061774,-1.1723036407390668
11,11,11,01-12,2.3687954581238246,-0.15453948936533235,-0.9642865393411034
12,12,12,01-13,1.8043364764646008,-1.4159797049639775,-0.7996851414618676
13,13,13,01-14,2.4968979814445897,0.13174114374900442,-0.4478786919069751
14,14,14,01-15,2.088333349827791,-0.781309890495715,-0.5012794718223235
15,15,15,01-16,2.5540822680866726,0.25953529924034696,-0.3511045569893481
16,16,16,01-17,1.969388934988081,-1.047124189098268,-0.14612867352919875
17,17,17,01-18,2.771989736136375,0.7465099996325197,-0.33329550774617805
18,18,18,01-19,2.3546620979814668,-0.18612440420308154,-0.3980341859217013
19,19,19,01-20,1.9943866487500348,-0.9912598615528716,-0.3890569813996063
20,20,20,01-21,1.9145209349148355,-1.1697419595488538,-0.4629385283910446
21,21,21,01-22,2.5781845457532366,0.3133985263729172,-0.7047973175934641
22,22,22,01-23,1.7710294617645133,-1.4904134710468977,-0.9286097975925444
23,23,23,01-24,2.1226397431504185,-0.7046427355819975,-0.8836625552300746
24,24,24,01-25,1.7537633967317112,-1.5289992841975633,-0.9524925826839632
25,25,25,01-26,2.115062401775412,-0.7215764073780534,-1.1474375893401259
26,26,26,01-27,1.7297239383210952,-1.5827221242721845,-1.2054470155020878
27,27,27,01-28,2.0547901339881096,-0.8562715135640585,-0.985696762425626
28,28,28,01-29,1.6152839517683335,-1.8384700280186683,-0.7385430702388335
29,29,29,01-30,2.7126320513250723,0.6138587828767725,-0.7508762312846432
30,30,30,01-31,2.4173293097886406,-0.04607713107680842,-0.4668733732924653
31,31,31,02-01,2.081949947747997,-0.7955753736529118,-0.3314143931695997
32,32,32,02-02,2.492223636816102,0.12129502368088307,-0.11445541792373935
33,33,33,02-03,2.4184746131949035,-0.04351763282686498,-0.3312971165696417
34,34,34,02-04,2.197782150484737,-0.5367161765435063,-0.3042555241975708
35,35,35,02-05,2.1304487204685936,-0.6871914089986414,-0.026126623417274026
36,36,36,02-06,2.4899314173036884,0.1161724231556171,0.08723214941571904
37,37,37,02-07,2.8286790633879706,0.8731980310288687,0.1348304929097884
38,38,38,02-08,2.7965727927295325,0.8014476606788414,0.16880058558737066
39,39,39,02-09,2.5462681249210752,0.24207242813755125,0.3304541307508373
40,40,40,02-10,2.288986110922408,-0.3328956204780127,0.08425297290946457
41,41,41,02-11,2.5644611818896235,0.2827298619821588,-0.07358567600710017
42,42,42,02-12,1.8289228980572416,-1.3610345238926196,-0.2208571922362305
43,43,43,02-13,2.404908953958105,-0.07383386247051987,-0.3426506682185413
44,44,44,02-14,2.401173649511378,-0.08218143669594027,-0.4355312589115217
45,45,45,02-15,2.2192732158848822,-0.4886884277563142,-0.5378851157681201
46,46,46,02-16,2.039617414775744,-0.8901791646358951,-0.5332672226468763
47,47,47,02-17,2.2896583663661723,-0.3313932791574316,-0.39894901250564896
48,48,48,02-18,1.841321161009679,-1.3333271651651566,-0.5587333316848268
49,49,49,02-19,2.7655306584688937,0.7320753983768444,-0.3874763548800031
50,50,50,02-20,1.972179744098959,-1.040887351771007,0.2026727385424976
51,51,51,02-21,2.6790692690022104,0.5388534330726279,0.3918798930837273
52,52,52,02-22,3.624068039614709,2.650715395899109,0.4989798546974028
53,53,53,02-23,2.797647614470004,0.8038496480899466,0.1935034203973212
54,54,54,02-24,2.1288664660696144,-0.6907273954831035,0.4098930208147032
55,55,55,02-25,1.9453780350134031,-1.100783207423645,0.2942477254867834
56,56,56,02-26,2.5531492675826035,0.2574502507332845,-0.2936104086667107
57,57,57,02-27,2.3685811864409656,-0.15501833889489047,-0.19951896841821568
58,58,58,02-28,2.04576825341248,-0.8764334090218555,-0.1658043208460441
59,59,59,02-29,3.0502672371303308,1.3683982895809168,-0.00747366904663686
60,60,60,03-01,2.2193845995503496,-0.4884395100500739,-0.2044997141483511
61,61,61,03-02,2.37046908907206,-0.1507992966272017,-0.2586757842674379
62,62,62,03-03,2.0241676191308176,-0.9247060198770012,-0.042791670906667766
63,63,63,03-04,2.223127589869814,-0.480074759609411,-0.2510460025977506
64,64,64,03-05,2.625380629538578,0.4188712711427651,-0.1501829011285926
65,65,65,03-06,2.4911395359256363,0.11887229943441956,-0.14946417769337747
66,66,66,03-07,2.490184988684541,0.11673909876487434,-0.2022424470568982
67,67,67,03-08,2.3723987400851767,-0.14648695601591116,-0.19066364857277607
