,unnamed: 0,unnamed: 0,mth_day,poignant,poignant_norm,poignant_ravg
0,0,0,01-01,,,
1,1,1,01-02,5.801248919482733,-0.04371300754786344,
2,2,2,01-03,5.595880865981232,-0.3267249616314355,
3,3,3,01-04,4.270367456326873,-2.1533778116450137,
4,4,4,01-05,4.870457502783261,-1.3264105507780133,-1.5056105456564293
5,5,5,01-06,3.7831413156701066,-2.8248104896922888,-1.8203237047777456
6,6,6,01-07,4.121428468847444,-2.3586264526439598,-2.06290370410405
7,7,7,01-08,4.431016433522777,-1.9319919622757609,-1.7687489341214464
8,8,8,01-09,4.539709600537209,-1.7822049575892631,-1.5514595672174174
9,9,9,01-10,5.551090584827735,-0.3884491917493909,-1.0202918175305238
10,10,10,01-11,5.816515653693945,-0.02267434935383897,-0.5890419634258589
11,11,11,01-12,6.095797412248082,0.3621960084290719,-0.1829903440211111
12,12,12,01-13,5.999051131050509,0.2288726719840301,0.16648666423732236
13,13,13,01-14,6.198928272476278,0.5043177541527261,0.3872988020996564
14,14,14,01-15,6.061300725448534,0.3146570919613379,0.2899044017023299
15,15,15,01-16,6.512486560255012,0.9364236354246132,0.23401781382137346
16,16,16,01-17,5.392469287956934,-0.607040751737798,0.2657178605222245
17,17,17,01-18,5.852472288958834,0.026876481143333297,-0.019340159817292275
18,18,18,01-19,6.137070252707923,0.41907295218913615,-0.1954862303722051
19,19,19,01-20,4.9578115649855965,-1.2060303678843745,-0.3279012653268832
20,20,20,01-21,5.294376746729567,-0.7422193313681391,-0.6382154510174084
21,21,21,01-22,5.93596353518989,0.14193342569654488,-0.6881389663866896
22,22,22,01-23,4.041389532427998,-2.4689258658809488,-0.8656233834205116
23,23,23,01-24,5.6351098413150735,-0.27266461107235423,-0.9851358993598386
24,24,24,01-25,5.364319235081551,-0.645833550013796,-1.1095895349325156
25,25,25,01-26,4.437464934815787,-1.923105463520336,-1.330268128009447
26,26,26,01-27,4.752516930846345,-1.4889411448042007,-0.9911734426734758
27,27,27,01-28,4.975149001618427,-1.1821381327650444,-1.1164999090650958
28,28,28,01-29,5.517776967135188,-0.43435775386512304,-1.2117647849917843
29,29,29,01-30,5.089449799390457,-1.0246234094220734,-0.7758930141031463
30,30,30,01-31,4.9495446253062605,-1.2174228055739262,-0.5266264719665948
31,31,31,02-01,6.335211002543058,0.6921251618114904,-0.2991433612810146
32,32,32,02-02,5.837800795849098,0.006658108015107371,-0.2828809122367763
33,33,33,02-03,5.965589786296419,0.18276053134843748,-0.3230594539422783
34,34,34,02-04,5.588582191943389,-0.33678305959969296,-0.35919512809352844
35,35,35,02-05,4.914516081216463,-1.2656946596550858,-0.5496736568192951
36,36,36,02-06,4.792213184948473,-1.4342368504814271,-0.4564630418336642
37,37,37,02-07,5.505884803833679,-0.4507460105431102,-0.3854615375300877
38,38,38,02-08,6.2436313402286645,0.5659217979288937,-0.25079454077672875
39,39,39,02-09,6.2747238816752615,0.6087695571698962,-0.0956106278925268
40,40,40,02-10,6.174910053966423,0.4712189209204604,0.12866241299155676
41,41,41,02-11,5.5901727309924105,-0.33459118234987384,0.1649226891799246
42,42,42,02-12,5.768677617520659,-0.08859860517692578,0.19078622650400245
43,43,43,02-13,5.663758750134186,-0.23318435341290306,-0.08796211537628679
44,44,44,02-14,6.356238830624795,0.7211030218733607,-0.29221958757595
45,45,45,02-15,5.061078940617652,-1.0637204941118392,-0.4729404132358381
46,46,46,02-16,5.285591587940184,-0.7543259122775189,-0.4395254429204107
47,47,47,02-17,4.803330684412377,-1.4189161363092022,-0.3961826592778033
48,48,48,02-18,5.9141633607016,0.11189121671563816,-0.5038010176693754
49,49,49,02-19,5.852469290058386,0.026872348442740803,-0.3585139610082882
50,50,50,02-20,5.887678281185014,0.07539287152392929,-0.2004480999260776
51,51,51,02-21,5.693645578067298,-0.19199815414531665,0.0011906085411462766
52,52,52,02-22,5.9737959781880905,0.19406925421574475,-0.2249873188846981
53,53,53,02-23,5.681247291205082,-0.20908388550585905,-0.328280627344323
54,54,54,02-24,4.9294052252894165,-1.2451763478394282,-0.27420854601314193
55,55,55,02-25,5.402739614855639,-0.5928875023150086,-0.2899686196928013
56,56,56,02-26,6.123103207903418,0.399825359511016,-0.2594404642928905
57,57,57,02-27,5.625027649928273,-0.2865585962232729,-0.07720511773514173
58,58,58,02-28,6.1067127916514465,0.3772381866152092,0.17318865008492698
59,59,59,02-29,6.474683424097577,0.8843281938406339,0.17534221657703994
60,60,60,03-01,6.019596928448273,0.257186259080984,0.21623408004003966
61,61,61,03-02,5.412116047593332,-0.5799661033623309,0.29912558950608
62,62,62,03-03,6.301142664165372,0.6451765402890143,0.027512631887704336
63,63,63,03-04,5.985929746929059,0.210790460572969,-0.44859458931515656
64,64,64,03-05,4.924134665031402,-1.2524395590950446,-0.5256089395910276
