,unnamed: 0,unnamed: 0,mth_day,unpredictable,unpredictable_norm,unpredictable_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.9356827331140416,-1.149136851316945,
2,2,2,01-03,2.5699962294879724,0.16864569509496322,
3,3,3,01-04,1.9091950646382607,-1.204164826304177,
4,4,4,01-05,1.9433858965070288,-1.1331335748149207,-0.7748585107011444
5,5,5,01-06,2.0475807454580126,-0.9166693908450932,-0.8576143192894032
6,6,6,01-07,2.2892070753567504,-0.4146921160206932,-1.1569946206483486
7,7,7,01-08,1.6966761089917242,-1.6456717028464989,-1.0893561201853028
8,8,8,01-09,1.7053575246384929,-1.6276361130587091,-0.959449361868615
9,9,9,01-10,2.1045414691039652,-0.7983338235259025,-0.9005630115484068
10,10,10,01-11,2.3185689354454038,-0.3536930249147943,-0.6956751765127005
11,11,11,01-12,2.217650110219364,-0.5633512889238438,-0.3273784385471419
12,12,12,01-13,2.8809425753898217,0.814634894193545,-0.2102718661615812
13,13,13,01-14,2.760352019094531,0.564108724946853,-0.014831485420265024
14,14,14,01-15,2.043572412582681,-0.9249966787453447,-0.22494553127858674
15,15,15,01-16,2.668991825097341,0.3743084609219944,0.060625392477540674
16,16,16,01-17,1.7117396428801417,-1.6143773000647246,0.17012335002393533
17,17,17,01-18,3.0424060228107037,1.1500742536129207,-0.059763790491094274
18,18,18,01-19,3.1971830620445023,1.4716226394719127,-0.15860026339128774
19,19,19,01-20,2.0964161537947335,-0.8152141181433247,-0.17957648004723067
20,20,20,01-21,1.7581233047676237,-1.5180155161465057,-0.17691456477947445
21,21,21,01-22,2.6084105219197107,0.2484511609863371,-0.5516084325420813
22,22,22,01-23,1.7194275066409987,-1.5984058084581871,-0.8616772920642523
23,23,23,01-24,1.9602545951225163,-1.09808895296272,-1.0555124756714678
24,24,24,01-25,2.301674787470463,-0.38879051766111306,-1.12876486384076
25,25,25,01-26,1.5366017593684915,-1.9782252197866173,-1.5326629783357193
26,26,26,01-27,1.5465634601608482,-1.9575298451622585,-1.2618836357664795
27,27,27,01-28,1.4419144598112017,-2.1749375259834194,-1.3110617014628612
28,28,28,01-29,2.501463929866964,0.026270246957252143,-1.4551200957336414
29,29,29,01-30,1.818223677130552,-1.3931573471410093,-1.3125114119080978
30,30,30,01-31,1.8856204816942042,-1.2531408832857946,-1.1182611210843392
31,31,31,02-01,1.9484691638820872,-1.1225731168333557,-0.7153973019753807
32,32,32,02-02,2.1075767235990344,-0.7920281002197055,-0.9753512293231762
33,33,33,02-03,2.605423378747884,0.24224538867033,-0.8172355814484691
34,34,34,02-04,1.7506923325298107,-1.533453317129521,-0.6083797077429417
35,35,35,02-05,2.2748766645657863,-0.44446345989276737,-0.6161256985957454
36,36,36,02-06,2.488816053751697,-5.641052629913714e-06,-0.4625297539065639
37,37,37,02-07,1.9260980076358585,-1.1690490619501777,-0.7923129374069061
38,38,38,02-08,2.5511763795662388,0.12954756791538316,-0.6287814768382335
39,39,39,02-09,1.6529782667329875,-1.7364537123317232,-0.6033153743167073
40,40,40,02-10,2.2229867006843573,-0.5522645537174851,-0.637950881899808
41,41,41,02-11,2.3484251839634482,-0.2916668447636107,-0.5711217341142701
42,42,42,02-12,2.388785422870105,-0.20781868655123387,-0.6791164872970133
43,43,43,02-13,2.1191069248064047,-0.7680741752369505,-0.530968599508985
44,44,44,02-14,2.2392772896841966,-0.5184209511810761,-0.5425971594614535
45,45,45,02-15,2.0808434176523414,-0.8475663856035534,-0.5947241562794222
46,46,46,02-16,2.189402316638622,-0.6220359134322958,-0.50866783535261
47,47,47,02-17,2.197877473202936,-0.6044288256714235,-0.5987186976355211
48,48,48,02-18,2.6373242396610546,0.30851923900964,-0.5481450540823346
