,unnamed: 0,unnamed: 0,mth_day,feel good movie,feel good movie_norm,feel good movie_ravg
0,0,0,01-01,,,
1,1,1,01-02,3.0111217887081163,-0.5588060894691795,
2,2,2,01-03,3.1547219128476534,-0.2976451827346637,
3,3,3,01-04,1.97172947678602,-2.449115309332328,
4,4,4,01-05,2.6486443565167823,-1.2180320854711142,-1.1808209960126097
5,5,5,01-06,2.538263702750573,-1.4187778146009888,-1.2536739055369834
6,6,6,01-07,2.6901486902780682,-1.142549494467385,-1.5590900754947834
7,7,7,01-08,2.7707714166152195,-0.9959235466154222,-1.3757723703887794
8,8,8,01-09,2.1471178161576576,-2.1301422024814642,-1.2158887404226384
9,9,9,01-10,2.576516285179761,-1.3492090786963031,-1.0942862708398675
10,10,10,01-11,3.1761193771412977,-0.2587303056742685,-0.8432643620014195
11,11,11,01-12,2.9394446439435367,-0.6891629971043634,-0.9732784887424186
12,12,12,01-13,3.5182996809067277,0.3635819585633023,-0.7435586401226614
13,13,13,01-14,2.3418394227725097,-1.7760083070614172,-0.4347918496447917
14,14,14,01-15,2.9049907886078565,-0.7518231107629203,-0.6948879588202859
15,15,15,01-16,3.5951744755771804,0.5033916641709155,-0.3853336804254492
16,16,16,01-17,2.3180315254909813,-1.819306960727234,-0.30959444696755595
17,17,17,01-18,3.960700850193685,1.1681626732646573,-0.21092336271923973
18,18,18,01-19,3.768172377309402,0.818017359310662,-0.25859833136804256
19,19,19,01-20,2.667367009367497,-1.18398180157152,-0.2814501333092917
20,20,20,01-21,2.747705423767029,-1.037872922655737,-0.3910758497760729
21,21,21,01-22,3.5197836760136454,0.36628085252342063,-0.8128506416282923
22,22,22,01-23,1.9563633105115088,-2.4770612595279213,-1.193342197274116
23,23,23,01-24,2.569215886546909,-1.3624860778486596,-1.3917618364578084
24,24,24,01-25,2.512885696588946,-1.46493197456428,-1.6033738281984986
25,25,25,01-26,2.0127571328411045,-2.3744996366736735,-2.058621567392213
26,26,26,01-27,2.0495724145812013,-2.3075448730998778,-1.7233921977158382
27,27,27,01-28,2.017867496906867,-2.365205582638865,-1.6240317276503724
28,28,28,01-29,3.0623246820505203,-0.4656850414696729,-1.5445931187062254
29,29,29,01-30,2.897017838555017,-0.7663232574558667,-1.1954489684361491
30,30,30,01-31,2.7749630706144823,-0.9883003208993985,-0.8884704031930459
31,31,31,02-01,3.164625012646177,-0.2796347350532147,-0.41066528505160266
32,32,32,02-02,3.0623310382575646,-0.4656734816412604,-0.6197062695180818
33,33,33,02-03,3.5942031392708165,0.5016251262097946,-0.7969926376377607
34,34,34,02-04,2.3726737301914973,-1.7199309482685468,-0.5452483158931577
35,35,35,02-05,2.3121291248062934,-1.83004146617394,-0.5729477430576432
36,36,36,02-06,3.6054973869322953,0.5221656095682201,-0.5082224476941595
37,37,37,02-07,3.0732413236595777,-0.4458312980401281,-0.8118150044092327
38,38,38,02-08,3.2758674491710003,-0.07732170946035803,-0.5921915589246821
39,39,39,02-09,2.592615358529002,-1.3199302140806448,-0.0061181236478470655
40,40,40,02-10,3.09723747359114,-0.4021902753612435,-0.07306274533691136
41,41,41,02-11,4.245654761080604,1.6863991454870702,0.006590627938333038
42,42,42,02-12,3.384639155769933,0.12049787943383433,0.2386224571798625
43,43,43,02-13,3.3360272306349787,0.032088941611338365,0.3718758781978276
44,44,44,02-14,4.0413679193607175,1.3148692659888193,0.3670666169038222
45,45,45,02-15,3.0322341676254894,-0.5204096879728543,0.031073233642138393
46,46,46,02-16,3.0813711513117332,-0.4310458431252761,-0.04702572970412707
47,47,47,02-17,3.137172818287652,-0.329561154083033,-0.14756718803150548
48,48,48,02-18,3.1269814311451625,-0.34809590064375845,-0.29175654692357633
49,49,49,02-19,3.0043290585576763,-0.5711598083529321,-0.050535646761857664
50,50,50,02-20,3.5656701567346287,0.4497331126363938,0.06981328406482958
51,51,51,02-21,3.8280504704878417,0.9269157129974578,0.06494596916070643
52,52,52,02-22,3.4784165197674577,0.2910477418348473,-0.07526428345432702
53,53,53,02-23,3.1211149702766825,-0.3587650435077719,0.0980184913798438
54,54,54,02-24,2.6644112111323603,-1.1893574163339589,-0.04394618231836305
55,55,55,02-25,3.5760094441536503,0.4685368406520927,0.06331584251088035
56,56,56,02-26,3.097311893898262,-0.4020549295528472,-0.010035234317548259
57,57,57,02-27,4.181920586965771,1.5704878619729181,-0.03376135282553138
58,58,58,02-28,3.2364226347706047,-0.14905871913572433,0.05596965140682867
59,59,59,02-29,3.042839696866963,-0.5011217545556705,-0.19722747348421926
60,60,60,03-01,2.9604444155207394,-0.6509713909397988,-0.2659700042441595
61,61,61,03-02,2.7406821582879437,-1.0506459086941948,-0.4113737546145722
62,62,62,03-03,2.8705221478932472,-0.8145101141124889,-0.5160776270860777
63,63,63,03-04,3.7022164031055618,0.6980653597504417,-0.5292468887309209
64,64,64,03-05,2.8909921657284023,-0.7772819539647573,-0.4127709503931807
65,65,65,03-06,2.999392743859989,-0.5801373244247297,-0.5952281223498704
66,66,66,03-07,3.3447123233107376,0.047884239086641855,-0.3961355364531976
67,67,67,03-08,2.138734350614781,-2.1453889404343336,-0.7403208062745715
68,68,68,03-09,3.5273521552822165,0.3800454012675489,-0.5175884850895143
69,69,69,03-10,2.566708456881606,-1.367046259177802,-0.5090981955227877
70,70,70,03-11,3.625812458060485,0.5591119731455858,-0.6795342666041954
71,71,71,03-12,3.02740321413306,-0.5291955870243705,-0.3703407730118167
72,72,72,03-13,2.7824235503584007,-0.9747321874018036,-0.38796828256651095
73,73,73,03-14,3.1588002850956567,-0.2902279788800618,-0.2416058552366448
74,74,74,03-15,3.4691969146994865,0.2742803439393837,-0.22537539604214474
75,75,75,03-16,3.04957542950929,-0.4888716951986049,-0.3067799531017608
76,76,76,03-17,3.6793586641366,0.6564947283125859,-0.023669851960070376
77,77,77,03-18,2.7588399445660388,-1.017622929382067,0.16171750225393405
78,78,78,03-19,3.716437285662927,0.7239284194483393,0.35793137739837805
79,79,79,03-20,3.77041511088029,0.8220961464039648,0.4970141767569603
80,80,80,03-21,4.1165297145649244,1.4515635948060477,0.5054387561877176
81,81,81,03-22,3.5084260477728337,0.34562510095288884,0.7918898940318476
82,82,82,03-23,3.707152348893023,0.70704220489713,0.6307096612148683
83,83,83,03-24,3.7038761554291924,0.7010838976827132,0.5949451937555942
84,84,84,03-25,3.1846846187550946,-0.2431529774535367,0.16342920099867556
85,85,85,03-26,3.6524238993053433,0.6075093416483197,0.3287867713364066
86,86,86,03-27,2.6929073760711937,-1.1375323617354642,0.3425960398784897
87,87,87,03-28,4.053960245631525,1.3377705229792751,0.2363686521808369
88,88,88,03-29,3.752710760411371,0.7898978161496283,0.395114455944437
89,89,89,03-30,3.3534194293179955,0.06371957149679634,0.472088203653921
90,90,90,03-31,3.70840581605336,0.7093218451280642,0.5353932039162342
91,91,91,04-01,3.9063694043530126,1.069351827905224,0.1573514601815507
92,92,92,04-02,2.901758065326061,-0.7577023601615845,-0.024805270432556075
93,93,93,04-03,2.8067557843892508,-0.930479939428826,-0.05965395621144931
94,94,94,04-04,3.1517541442905217,-0.3030425675350124,-0.05763034785582991
95,95,95,04-05,3.2384494899073646,-0.14537254317656306,-0.23870652916550825
96,96,96,04-06,3.7150819395523222,0.7214634952617803,-0.05057164584384627
97,97,97,04-07,3.3089776482916937,-0.017105259952845897,-0.05425089558158617
98,98,98,04-08,3.5224373148608636,0.3711069397683873,0.1893467243871164
99,99,99,04-09,2.7946175039930146,-0.9525554378552656,0.4196893200152063
100,100,100,04-10,3.9554115271275587,1.1585431522772032,0.2335304575947473
101,101,101,04-11,3.9983769784523866,1.2366830305919765,0.2378022886529448
102,102,102,04-12,3.1009218168714527,-0.3954896792609731,0.4214433165407742
103,103,103,04-13,3.323070924607752,0.008525726396339275,0.6584235641735156
104,104,104,04-14,4.128290803383445,1.4729531070953636,0.5765576810438763
105,105,105,04-15,3.5764433921977976,0.4693260479411829,0.2518794365292249
106,106,106,04-16,3.6853262882485356,0.6673478534993672,0.2883980133535156
107,107,107,04-17,2.9272250177546884,-0.7113864364959325,0.2294346151062453
108,108,108,04-18,3.221400924505236,-0.17637821831522915,0.01269068396991872
109,109,109,04-19,3.128543694314338,-0.3452546630872826,-0.3102431954256126
110,110,110,04-20,3.4132269186656425,0.17248952027740433,-0.2828554143546672
111,111,111,04-21,2.511046298507931,-1.4682772284320047,-0.30278505463674626
112,112,112,04-22,3.7756818198831117,0.8316745399250398,-0.19356589323782972
113,113,113,04-23,2.861474775399951,-0.8309642781884067,-0.10266769539059756
114,114,114,04-24,3.5817278661920486,0.4789367500782698,-0.29219060815883563
115,115,115,04-25,3.428427608598457,0.20013452399611065,0.16886008632478264
116,116,116,04-26,2.7879683956860526,-0.9646479563320242,-0.007864700411350253
117,117,117,04-27,4.032107114009777,1.2980269384697047,0.10326446791332604
118,118,118,04-28,3.1926458295928875,-0.2286741804917575,0.08342661907097658
119,119,119,04-29,3.2281030560216606,-0.16418926824034885,0.10828285875913253
120,120,120,04-30,3.5162804546622994,0.3599096570241729,0.12388545678642238
121,121,121,05-01,3.5104312855535937,0.34927196212504635,-0.05165736814305342
122,122,122,05-02,2.8394432134518466,-0.871032368168285,0.05114641421825369
123,123,123,05-03,3.4529705556280965,0.24476998889284995,-0.052841246869829085
124,124,124,05-04,3.5318076764485813,0.3881485136760852,-0.035218239378978534
125,125,125,05-05,2.8850354531110467,-0.7881152347688455,-0.06609441856615941
126,126,126,05-06,3.574420842403502,0.4656477019692763,0.14821726516487424
127,127,127,05-07,3.40856711561316,0.16401488700196104,0.011968921181987429
128,128,128,05-08,3.5464828260753607,0.4148377342179169,-0.07393999834714242
