,unnamed: 0,unnamed: 0,mth_day,bad science,bad science_norm,bad science_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.1377461522261298,-1.0895726245343775,
2,2,2,01-03,1.3527599785713729,-0.4490595442952718,
3,3,3,01-04,1.5308138564246918,0.08135210267121391,
4,4,4,01-05,1.4435588765773637,-0.1785751627432206,-0.8287065233117638
5,5,5,01-06,1.0407024951704065,-1.3786597625802044,-0.8348511680553736
6,6,6,01-07,0.846316380141391,-1.9577241483887229,-0.8275798593644194
7,7,7,01-08,1.125369978012521,-1.1264404929960363,-0.8745927588678039
8,8,8,01-09,1.3674054116069878,-0.4054316921495462,-0.8452231301034923
9,9,9,01-10,1.4361232992291986,-0.2007252943490932,-0.622821299081401
10,10,10,01-11,1.5027134180265087,-0.002357390157351205,-0.2850803604890011
11,11,11,01-12,1.488650899187982,-0.04424877644765676,-0.11590392698971025
12,12,12,01-13,1.5265738839514011,0.0687214831656767,-0.04577167972378391
13,13,13,01-14,1.4661149846301391,-0.11138189200029124,-0.15318671719264856
14,14,14,01-15,1.5086615698344672,0.015361791446011675,-0.2867015968422046
15,15,15,01-16,1.2197743852812442,-0.8452155191622809,-0.17407770534452385
16,16,16,01-17,1.2337957702861149,-0.8034466680546875,-0.2606049110349224
17,17,17,01-18,1.7154911739230558,0.6314945725384278,-0.2388909764096562
18,18,18,01-19,1.3522959856311103,-0.450441750976715,-0.2392504296048477
19,19,19,01-20,1.5098498869716752,0.01890171575130609,-0.09302752348113642
20,20,20,01-21,1.507937580808095,0.013205072274862412,-0.1498279901879986
21,21,21,01-22,1.5142877763262217,0.03212191757998688,-0.3474793594041403
22,22,22,01-23,1.1193916833599378,-1.1442494682958604,-0.4551335923342837
23,23,23,01-24,1.317393662830781,-0.5544136427584225,-0.6382652930306835
24,24,24,01-25,1.1354652985581968,-1.0963671485575757,-0.8998585030324878
25,25,25,01-26,1.1409970197314403,-1.079888488427092,-0.9905602523613972
26,26,26,01-27,0.9810522562421156,-1.5563541877359637,-0.6542867583128191
27,27,27,01-28,1.3316017630557129,-0.5120885783934698,-0.5927549756098744
28,28,28,01-29,1.7966935485478717,0.8733914959956084,-0.6457856046423327
29,29,29,01-30,1.4413272821335934,-0.18522294654075505,-0.4866750865891914
30,30,30,01-31,1.0286541921479344,-1.4145509227523252,-0.3723677137201302
31,31,31,02-01,1.4614678643138064,-0.12522538010824436,-0.1179506738388142
32,32,32,02-02,1.2112832979957768,-0.8705099505215969,-0.4165913839536611
33,33,33,02-03,1.8440332769778758,1.0144136608944263,-0.5684264451645544
34,34,34,02-04,1.1951893754220084,-0.9184527646934731,-0.3997796153838333
35,35,35,02-05,1.135510225543917,-1.0962333138061149,-0.441241868926913
36,36,36,02-06,1.3683325027792608,-0.4026699440679986,-0.3943082465412792
37,37,37,02-07,1.377957084675712,-0.3739989013667223,-0.8751596588296945
38,38,38,02-08,1.3058141799844234,-0.5889082162077939,-0.7579673617905094
39,39,39,02-09,0.8755312564940729,-1.8706948128360656,-0.6163851720327517
40,40,40,02-10,1.4312310580853231,-0.21529898245836232,-0.8763737656955696
41,41,41,02-11,1.4206765645431736,-0.2467401752595689,-0.9005783929552562
42,42,42,02-12,0.8446791000225856,-1.9626015060449065,-0.4852353679359458
43,43,43,02-13,1.329205578894539,-0.5192266649248422,-0.15409602860172594
44,44,44,02-14,2.142373143200654,1.9031499339080689,-0.2598859654870434
45,45,45,02-15,1.5424922157654204,0.11614122316925335,-0.6349896091861928
46,46,46,02-16,1.2181553240811778,-0.8500386037702673,-0.2616237994322399
47,47,47,02-17,0.6651653452154829,-2.4973620374544647,-0.22517595459841894
48,48,48,02-18,1.5966900786435307,0.2775933524788116,-0.1287600612374562
49,49,49,02-19,1.402616637824034,-0.3005395959219165,-0.18128585072929065
50,50,50,02-20,2.3365682420201512,2.481645294073845,-0.1070539630618384
51,51,51,02-21,1.436697926822299,-0.1990135137817534,0.5027514365393679
52,52,52,02-22,1.3676687316598422,-0.40464727776555376,0.5434539719313133
53,53,53,02-23,1.89339873815696,1.1614703601527738,0.4988058955991284
54,54,54,02-24,1.6786706796327358,0.5218085648304825,0.09227553434898376
55,55,55,02-25,1.3126891653587982,-0.5684280539150259,0.17007190840928754
56,56,56,02-26,1.5177592166187268,0.04246312657297745,-0.02025722435480709
57,57,57,02-27,1.5933907087050427,0.2677647305800692,-0.4991733240842842
58,58,58,02-28,0.9843192292393484,-1.5466220743501216,-0.9212282458969516
59,59,59,02-29,0.9287947079372992,-1.7120262382240892,-0.7212343260008005
60,60,60,03-01,0.828593017210219,-2.010520966045522,-0.6240131237533458
61,61,61,03-02,1.7155049012679189,0.6315354654618806,-0.8827913007982161
62,62,62,03-03,1.7135763202067429,0.6257903400577056,-0.5403146954174417
63,63,63,03-04,1.0721752543668412,-1.2849043316891526,-0.1299045117501465
