,unnamed: 0,unnamed: 0,mth_day,mel gibson,mel gibson_norm,mel gibson_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.2589055298733341,-1.0445599075396932,
2,2,2,01-03,0.35725627413202865,-0.34346755734388257,
3,3,3,01-04,0.27997656857269776,-0.8943552074720803,
4,4,4,01-05,0.4391299676773836,0.2401682926903688,-0.7478220191740624
5,5,5,01-06,0.31228340431193796,-0.6640562344796965,-0.8120303568988344
6,6,6,01-07,0.15564361361263415,-1.780661500899391,-0.9674438186880208
7,7,7,01-08,0.20486182677703416,-1.4298099338883246,-0.9969329078425816
8,8,8,01-09,0.22644586408675305,-1.2759483280790012,-1.041579369714306
9,9,9,01-10,0.25515581109287044,-1.0712897423994459,-0.9019848685044471
10,10,10,01-11,0.4015513569362296,-0.02771047853997809,-0.8792075888509893
11,11,11,01-12,0.4297791072781139,0.17351077277945742,-0.6246846476583384
12,12,12,01-13,0.174815088572933,-1.6439978229786432,-0.2822545612557842
13,13,13,01-14,0.4190919836762021,0.09732771326758048,-0.09251000311883198
14,14,14,01-15,0.5146668424915594,0.7786321903363247,0.03738327500828379
15,15,15,01-16,0.4148624617781418,0.06717760642226732,-0.04565260397706372
16,16,16,01-17,0.5108816091442484,0.7516491902227166,0.34194214944047063
17,17,17,01-18,0.3598883960520999,-0.3247045011326276,0.3404405666675452
18,18,18,01-19,0.5010508473176941,0.6815706975265629,0.058342784324504536
19,19,19,01-20,0.4178281120914501,0.08831821663002773,0.019044206263874083
20,20,20,01-21,0.2772271370996829,-0.9139545037219192,-0.3199372159971792
21,21,21,01-22,0.381785126963475,-0.16861386194151534,-0.4937231825751039
22,22,22,01-23,0.2255633469215841,-1.2822393433436028,-0.5863170787310279
23,23,23,01-24,0.21361397885258124,-1.3674203006001762,-0.8523119640686695
24,24,24,01-25,0.4231152207355131,0.12600732059101893,-0.7496347576999726
25,25,25,01-26,0.19394210105746906,-1.507651095395821,-0.9280717917645496
26,26,26,01-27,0.36364981447116906,-0.29789126550973744,-0.685987505144995
27,27,27,01-28,0.23159593920243005,-1.2392360663289759,-0.5539896367492348
28,28,28,01-29,0.4293239763654961,0.1702663763737243,-0.4890285208966914
29,29,29,01-30,0.3247156497835939,-0.5754330902256157,-0.1824924296198088
30,30,30,01-31,0.4777925318502774,0.5157740157062803,-0.19012755038794896
31,31,31,02-01,0.4519513579904168,0.33156545226547424,0.03230007114621599
32,32,32,02-02,0.35722338739768683,-0.34370199011857844,-0.22983796490387576
33,33,33,02-03,0.4188116928656946,0.09532966287601376,-0.387711304244978
34,34,34,02-04,0.20868424806004449,-1.4025618399268265,-0.6988595138059925
