,unnamed: 0,unnamed: 0,mth_day,end of the world,end of the world_norm,end of the world_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.4486526568920566,-0.06077815021984592,
2,2,2,01-03,1.4182806233149858,-0.15720756440069308,
3,3,3,01-04,0.942237761090478,-1.6686155579681328,
4,4,4,01-05,0.6470821033478961,-2.6057173524876496,-1.261211160152331
5,5,5,01-06,1.1808243418018007,-0.9111172445600602,-1.5317081840363311
6,6,6,01-07,0.7862614655448645,-2.163831091277605,-1.830865344150112
7,7,7,01-08,0.9374676769753622,-1.683760293523846,-1.5805044039859013
8,8,8,01-09,0.852933749294374,-1.9521505250833764,-1.2486995158495435
9,9,9,01-10,1.4153695920146132,-0.16644991698287276,-1.146863608453202
10,10,10,01-11,1.2741266180815676,-0.614888023669502,-0.8834109967474268
11,11,11,01-12,1.373273728230249,-0.30010180018201194,-0.5639343920374114
12,12,12,01-13,1.2841339230310165,-0.5831154210429536,-0.2692473578434777
13,13,13,01-14,1.5412142151723132,0.2330993347362469,-0.3965643896003324
14,14,14,01-15,1.4098329842402508,-0.1840283199197741,-0.12511467612678234
15,15,15,01-16,1.174766004636177,-0.9303521075240008,0.02818934778990528
16,16,16,01-17,1.787111989742719,1.013810257171798,0.1302631915141618
17,17,17,01-18,1.662987504972603,0.6197223433181138,-0.022544763705900344
18,18,18,01-19,1.4770329612717483,0.029327641302585618,0.13339575070422222
19,19,19,01-20,1.2524379085103343,-0.6837483965841259,0.2743476439310544
20,20,20,01-21,1.7045291978337958,0.7516147665409612,-0.0017906619183377288
21,21,21,01-22,1.4411367383093032,-0.08464074816300787,-0.2289731820594
22,22,22,01-23,1.2652661213372107,-0.6430195779245546,-0.33413700251961714
23,23,23,01-24,1.2336582268599716,-0.74337277752826,-0.37183769111432347
24,24,24,01-25,1.2782944883746394,-0.6016552814587173,-0.8408610093769945
25,25,25,01-26,1.1811911884340531,-0.909952528152364,-0.877219988304378
26,26,26,01-27,0.8181694439113923,-2.062525143035064,-0.9421608643735542
27,27,27,01-28,1.3724255796950164,-0.3027946217273089,-1.0151338269492105
28,28,28,01-29,1.1425409247619227,-1.0326648343396103,-1.025306872948468
29,29,29,01-30,1.0957540019887375,-1.181210552982199,-1.0563042921122288
30,30,30,01-31,1.259069477170626,-0.6626935574542635,-0.9527524231447426
31,31,31,02-01,1.1226122995975845,-1.0959370431349291,-0.7781043347274241
32,32,32,02-02,1.0138616526403907,-1.4412139292301471,-0.8492127615283627
33,33,33,02-03,1.7024753461884985,0.7450939087766024,-0.6716314144928129
34,34,34,02-04,1.0081602975586688,-1.4593153951452418,-0.7193040029507349
35,35,35,02-05,1.4313470374111008,-0.11572247076890012,-0.7348811453673302
