,unnamed: 0,unnamed: 0,mth_day,samuel l. jackson,samuel l. jackson_norm,samuel l. jackson_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.165063422724863,-1.4654452856476563,
2,2,2,01-03,1.7316388080514709,-0.02884356378186056,
3,3,3,01-04,1.7967833459389448,0.1363361417313744,
4,4,4,01-05,1.6950335552369646,-0.12165940185844415,-0.48205501764351205
5,5,5,01-06,1.4426924189573225,-0.7614925472181404,-0.6438751583494917
6,6,6,01-07,1.4861802017310544,-0.6512254490863448,-0.8505031851851164
7,7,7,01-08,0.7821459842505917,-2.436366129883534,-1.0394111643235164
8,8,8,01-09,1.2426917931267296,-1.2686117247956086,-1.1622050008107458
9,9,9,01-10,1.349767547018964,-0.9971117330990258,-1.1995491689283768
10,10,10,01-11,1.4044646487770969,-0.8584224207818215,-0.8981940148196953
11,11,11,01-12,1.354324350958063,-0.9855575559239256,-0.3403213257225153
12,12,12,01-13,2.199281445982113,1.1569054755657442,-0.16697702753785454
13,13,13,01-14,2.1022485386784897,0.910870004699545,0.07326163868236875
14,14,14,01-15,1.6528790191753953,-0.2285459356876439,-0.03986098048479941
15,15,15,01-16,1.918247924617128,0.4443202642223141,0.3437353319256604
16,16,16,01-17,1.1367808896602574,-1.5371581357848303,0.39709529578970376
17,17,17,01-18,2.26203408792631,1.316020318538833,0.09723149595316803
18,18,18,01-19,2.3255479329024538,1.4770652587500048,-0.08991812441640769
19,19,19,01-20,1.3926763085245406,-0.888312794319669,-0.1017395028562561
20,20,20,01-21,1.2100240511182447,-1.3514436579050984,-0.07555252318979166
21,21,21,01-22,1.8902748186015648,0.3733919935832237,-0.5717100553277342
22,22,22,01-23,1.198747534427177,-1.3800362577860439,-1.003649468798333
23,23,23,01-24,1.0879690397987358,-1.6609248742888223,-1.115360764249479
24,24,24,01-25,1.3034431870985281,-1.1145712220735882,-1.1703795367453815
25,25,25,01-26,1.1283321859933544,-1.5585805670265442,-1.4664457530710504
26,26,26,01-27,1.0798323003249444,-1.6815562928805143,-1.1771345823683073
27,27,27,01-28,1.1896888675599016,-1.4030053043707886,-1.0340491239551624
28,28,28,01-29,1.8833489191755304,0.35583076643041445,-1.10621893178228
29,29,29,01-30,1.4265543171285169,-0.8024121238099526,-1.0674679882594544
30,30,30,01-31,1.13266668284031,-1.5475900690362925,-0.9532143791471394
31,31,31,02-01,1.220029127841788,-1.3260749058895906,-0.5296552681334235
32,32,32,02-02,1.3501923379992389,-0.9960346382066234,-0.7338106376664494
33,33,33,02-03,2.1919631773227426,1.1383493617115072,-0.6473131675272992
34,34,34,02-04,1.4002529905025067,-0.8691014507677407,-0.31338414791330593
35,35,35,02-05,1.6312345847125644,-0.28342730297505164,-0.2443851407050691
36,36,36,02-06,1.9228479561043368,0.4559840486476674,-0.05039177413553583
37,37,37,02-07,1.3833025187941017,-0.9120808626401696,-0.4922148041304879
38,38,38,02-08,1.8092417658623368,0.16792556121057614,-0.35904069553162743
39,39,39,02-09,1.146470680736646,-1.5125888182582048,-0.2990600380444796
40,40,40,02-10,1.7153848913480587,-0.07005679917457805,-0.6167511273209687
41,41,41,02-11,1.7731677187636123,0.07645664194783502,-0.6561203265181312
42,42,42,02-12,1.1710907421930838,-1.450162487011267,-0.5869626321342077
43,43,43,02-13,1.2901425892229628,-1.1482960578231445,-0.35517022134825343
44,44,44,02-14,1.972890660670769,0.5828717275141175,-0.4465389922304683
45,45,45,02-15,1.6949645567690617,-0.12183435354247893,-0.6462681807283005
46,46,46,02-16,1.4991775913783372,-0.6182694244678673,-0.4216042773257461
47,47,47,02-17,1.30054552900112,-1.1219184890391578,-0.23321926394656825
48,48,48,02-18,1.702716323738251,-0.10217906659594092,0.14758559054933226
49,49,49,02-19,1.735920886382919,-0.017985977548077386,0.10798023227381233
50,50,50,02-20,2.8739949286931337,2.8677008544895206,0.1954454407213501
51,51,51,02-21,1.6012458004105865,-0.3594665031955986,0.44767424222434055
52,52,52,02-22,1.706147832710674,-0.09347817378264106,0.3888644479983534
53,53,53,02-23,1.8973983444763416,0.39145431997878577,0.3856909492842433
54,54,54,02-24,1.5635538210734523,-0.455037831951864,-0.004128400542681969
55,55,55,02-25,1.7284113885335974,-0.03702696983273844,0.15887199112832448
56,56,56,02-26,1.95155952447082,0.5287847555279694,0.015529803281107727
57,57,57,02-27,1.98695608453629,0.6185358468304399,-0.3224575500213324
58,58,58,02-28,1.3669550526507208,-0.9535313008659416,-0.3297295016173111
59,59,59,02-29,1.0976137750238792,-1.636469799835855,-0.4509185627350834
60,60,60,03-01,1.5463460923834838,-0.4986695415277359,-0.5988357303380057
61,61,61,03-02,1.441639886223289,-0.7641613365393722,-0.7321385405279389
62,62,62,03-03,1.601540900844771,-0.3587182500895651,-0.8045753609293445
63,63,63,03-04,1.67151963517554,-0.181281014309159,-0.6378178333538723
64,64,64,03-05,1.1955467125126131,-1.3881522232743748,-0.6261064129838951
65,65,65,03-06,1.4922146264810727,-0.6359246343830224,-0.7099936343805159
66,66,66,03-07,1.5740590029606365,-0.42840101930787294,-0.7292604976478847
67,67,67,03-08,1.243136289589529,-1.2674846649190965,-0.8007968468216692
68,68,68,03-09,1.5559494318373392,-0.4743194296937783,-0.5229578596770459
69,69,69,03-10,1.502242093678418,-0.6104991093518656,-0.5195817557205372
70,70,70,03-11,1.853001296358329,0.2788816995933652,-0.5632967277970206
71,71,71,03-12,1.5002035521698598,-0.6156680106439706,-0.4151485114866422
72,72,72,03-13,1.4706156055104032,-0.6906908517667731,-0.4611812406651566
73,73,73,03-14,1.5937016472552084,-0.37859536705682667,-0.505043896216549
74,74,74,03-15,1.4470214908151915,-0.7505158047648646,-0.6161604352308764
75,75,75,03-16,1.3984492305951033,-0.8736750426602202,-0.8627485101600344
76,76,76,03-17,1.5900645549498456,-0.3878175344925987,-0.6100693193245409
77,77,77,03-18,0.9166984730231472,-2.0951964602189186,-0.4474783403072331
78,78,78,03-19,2.0685341840529774,0.8253842932461879,-0.514091870095719
79,79,79,03-20,1.9784431320463591,0.5969505070470201,-0.32286186060213384
80,80,80,03-21,1.2893928910435315,-1.1501969834957797,-0.3182534437640214
81,81,81,03-22,1.8509596849503585,0.2737050143012905,0.07840390750991426
82,82,82,03-23,1.6009695211881212,-0.360167033463924,0.005758127113398848
83,83,83,03-24,1.8553147431559047,0.28474764742469544,-0.042078304538060614
84,84,84,03-25,1.8966313787282616,0.38950961086709546,0.21201588113459344
85,85,85,03-26,1.8652470626707405,0.3099319171382633,0.10768390339728524
86,86,86,03-27,1.8906597932010527,0.3743681305401445,0.10967494201249428
87,87,87,03-28,1.6040773531724295,-0.3522868521225587,-0.00037733048598395663
88,88,88,03-29,1.6056809458792198,-0.3482208017726697,-0.2727034776867412
89,89,89,03-30,1.5948963916482388,-0.3755659875661741,-0.6638068958116509
