,unnamed: 0,unnamed: 0,mth_day,twist ending,twist ending_norm,twist ending_ravg
0,0,0,01-01,,,
1,1,1,01-02,7.6617636221609535,-0.9141067364157042,
2,2,2,01-03,8.705531692075862,0.10933543861250676,
3,3,3,01-04,7.0188401691543305,-1.5445101718986356,
4,4,4,01-05,5.949611033103968,-2.5929175951034162,-1.3145694923811129
5,5,5,01-06,7.186529903276727,-1.3800859562449406,-1.460560451080992
6,6,6,01-07,6.997808852920697,-1.5651319332364872,-1.9225456381991568
7,7,7,01-08,6.768421302065541,-1.7900524886149778,-1.9059886999221696
8,8,8,01-09,5.878569511778883,-2.662575684096487,-1.7625964295030052
9,9,9,01-10,7.120154755932593,-1.4451685422367075,-1.614213290077217
10,10,10,01-11,6.827051558741887,-1.7325639725884294,-1.3646181897181977
11,11,11,01-12,8.094510364657072,-0.489787119690212,-1.1019034760143576
12,12,12,01-13,8.525121694927256,-0.06756133108236946,-0.7382700647095767
13,13,13,01-14,8.376015182902115,-0.2137642063919392,-0.4272522469096806
14,14,14,01-15,8.103701247416238,-0.4807752162678007,-0.2310887184232905
15,15,15,01-16,9.023323153610923,0.42093836456266825,0.057990630595168666
16,16,16,01-17,8.027407959006279,-0.5555828016700889,0.29494896259623704
17,17,17,01-18,9.86343371884035,1.244688974420543,0.2657311025504671
18,18,18,01-19,9.975108104777096,1.3541886609240408,0.1515968555565995
19,19,19,01-20,8.197226365334519,-0.3890713666665587,0.029481505255626324
20,20,20,01-21,7.405295305569859,-1.1655806982310066,-0.2128610251935476
21,21,21,01-22,8.276079548057247,-0.31175373724317074,-0.6445781879513702
22,22,22,01-23,6.5444747668603345,-2.009637984365132,-0.207030484161387
23,23,23,01-24,7.221686481630088,-1.3456140021263925,-0.46502503824208796
24,24,24,01-25,12.652533366842235,3.97947488366394,-0.5794465040485952
25,25,25,01-26,6.618515905680374,-1.9370386911507649,-0.9673758568323207
26,26,26,01-27,6.705131825292718,-1.8521094930700504,-0.6455057234821516
27,27,27,01-28,5.9022770116868,-2.639329853945525,-0.6111932780259921
28,28,28,01-29,8.51405024096604,-0.07841718426411683,-1.397118650932453
29,29,29,01-30,7.431649892412035,-1.1397393293894351,-1.247893172017907
30,30,30,01-31,7.843328726317514,-0.7360773537748241,-0.9693820953935578
31,31,31,02-01,7.531650778812625,-1.0416858176634896,-0.4546021845342265
32,32,32,02-02,8.409386209123094,-0.18104303332395524,-0.4697736580029341
33,33,33,02-03,9.052298656869453,0.4493496112104621,-0.4088468997896607
34,34,34,02-04,8.421213537731125,-0.1694460250763623,-0.33936344795310985
35,35,35,02-05,7.8044705932475535,-0.7741787801097945,-0.2493641216174057
36,36,36,02-06,8.268509221224107,-0.3191766427555191,-0.21959520427695486
37,37,37,02-07,8.082371232406228,-0.5016898596492644,-0.4152119516384789
38,38,38,02-08,8.591547035522742,-0.0024295292812502364,-0.3799604021465159
39,39,39,02-09,7.85528809886147,-0.7243508729586821,0.03574357033666952
40,40,40,02-10,8.636923478199751,0.04206327187541562,0.04258490419337011
41,41,41,02-11,10.348230525768065,1.7200450547893178,0.07779524722204306
42,42,42,02-12,8.310372451074224,-0.2781286396153155,0.4136886684080955
43,43,43,02-13,8.297829023852433,-0.2904278014772267,0.5657348428049217
44,44,44,02-14,10.646933279022925,2.0129309978350647,0.3833671028901055
45,45,45,02-15,8.785683264472539,0.1879261734222746,-0.19648615857696214
46,46,46,02-16,7.520985742487122,-1.0521431676134814,-0.3551856475081516
47,47,47,02-17,6.800014509331202,-1.7590745140130881,-0.3487722788502465
48,48,48,02-18,7.339264576296887,-1.2303255732024525,-0.7207867573775633
49,49,49,02-19,8.337073465340472,-0.25194758952979623,-0.812552089109302
50,50,50,02-20,8.370516435704019,-0.2191558733288356,-0.5311035922923093
51,51,51,02-21,8.22415633784907,-0.36266581696815736,-0.2182007143443878
52,52,52,02-22,9.243214676203053,0.636547813288475,-0.0800658428603916
53,53,53,02-23,8.714717895348217,0.1183427536744408,0.017447512606633037
54,54,54,02-24,8.184534226394044,-0.4015163442984751,0.20347781273172152
55,55,55,02-25,8.933773480115242,0.33313254327235164,0.21154640949067485
56,56,56,02-26,9.50886597050936,0.8970259274216954,0.14585433796413286
57,57,57,02-27,8.273529388158135,-0.3142542364144375,-0.08039272941323065
58,58,58,02-28,8.841234251442382,0.2423953841292229,-0.0020168117082362733
59,59,59,02-29,7.330275448462328,-1.23913965058974,-0.4039919569198103
60,60,60,03-01,8.664129160119519,0.06873916193149117,-0.8097755229813894
61,61,61,03-02,6.474022465107378,-2.078718327997093,-0.8339085666555016
62,62,62,03-03,7.025810611531558,-1.537675468947779,-0.96627678714883
63,63,63,03-04,8.125855385474754,-0.4590524984591102,-0.8770123077465141
64,64,64,03-05,8.031251672688965,-0.5518139388307486,-1.0178177061577318
65,65,65,03-06,7.876499254659172,-0.7035527741758434,-1.0624146462563238
66,66,66,03-07,7.802518123252338,-0.7760932285358155,-0.9981730953313332
67,67,67,03-08,6.201126565993965,-2.346299968588646,-1.1623356040429558
68,68,68,03-09,7.418915065813809,-1.1522261633978352,-1.052576132362549
69,69,69,03-10,7.121318407903375,-1.4440275507288465,-0.8070384804821519
70,70,70,03-11,8.702887655880179,0.10674289125168962,-0.871334960159987
71,71,71,03-12,9.378983912305278,0.7696731371065415,-0.4281847424333973
72,72,72,03-13,7.4090775510355025,-1.161872106602826,-0.2549267445083857
73,73,73,03-14,8.912834518186402,0.31260133777089216,-0.13140518560103764
74,74,74,03-15,8.479108814932223,-0.11267817584776572,-0.2466210826419221
75,75,75,03-16,7.877166831660483,-0.7028981972847578,-0.7386976044733801
76,76,76,03-17,7.9978629222186175,-0.5845524909936172,-0.4137614502178091
77,77,77,03-18,6.36788798148747,-2.1827859938822063,-0.4924431674525152
78,78,78,03-19,9.397414503615524,0.7877448189305999,-0.3627833500950735
79,79,79,03-20,8.431368347613184,-0.15948896563734444,-0.05080599696290683
80,80,80,03-21,9.272518236260591,0.665280728296885,0.03948036028393077
81,81,81,03-22,9.786206781437505,1.168965921508242,0.5485617296080187
82,82,82,03-23,8.550339764443233,-0.04283434751259156,0.2971156350625989
83,83,83,03-24,9.483039328114721,0.8717022220623218,0.2656597922955293
84,84,84,03-25,7.858775128406582,-0.7209317483419194,0.12521779127921998
85,85,85,03-26,8.238884951323836,-0.34822402223976223,-0.07694239801932648
86,86,86,03-27,8.413130886906496,-0.1773712778009709,-0.037777630444144
87,87,87,03-28,8.549155842480681,-0.04399521428303668,-0.1876719387054906
88,88,88,03-29,8.789995320124163,0.19215425793850324,-0.056699902710998874
89,89,89,03-30,8.565811779889849,-0.027663627505757758,-0.014110352269595875
90,90,90,03-31,8.660214228094036,0.06490046762503082,-0.1279075856215686
91,91,91,04-01,8.499497308020246,-0.09268671959134422,-0.30501962162295715
92,92,92,04-02,7.716787186115559,-0.8601546779128073,-0.26055512034536504
93,93,93,04-03,7.46537861019627,-1.106667430291368,-0.3756955789731431
94,94,94,04-04,9.062080804642887,0.45894126560405607,-0.4580891773909554
95,95,95,04-05,7.861248666095633,-0.7185063792724259,-0.7024075982688981
96,96,96,04-06,8.15603445540761,-0.4294611228818434,-0.5898332568602055
97,97,97,04-07,7.0044733223374225,-1.5585972448590006,-0.5218328789918517
