,unnamed: 0,unnamed: 0,mth_day,paranoia,paranoia_norm,paranoia_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.757399161934554,-0.5135086417969099,
2,2,2,01-03,2.660273821572651,-0.7195849275549377,
3,3,3,01-04,2.547475027747919,-0.9589164591899514,
4,4,4,01-05,2.121180850928157,-1.8634087397004109,-1.2686797999539168
5,5,5,01-06,2.2896526377127286,-1.505952694283032,-1.3460339911927843
6,6,6,01-07,2.0329055796402917,-2.0507073371982587,-1.5728502714781991
7,7,7,01-08,2.5386534059677617,-0.9776337892301138,-1.4929092666507369
8,8,8,01-09,2.0188722646305197,-2.0804826092674285,-1.3745696326459342
9,9,9,01-10,2.7735358946986133,-0.4792704302251795,-1.0474495441739162
10,10,10,01-11,2.4558271355913632,-1.153370935671595,-0.6915256837548998
11,11,11,01-12,3.2146979377634066,0.4567678365490774,-0.41864136485989056
12,12,12,01-13,3.0394035168180884,0.08483582531584005,-0.011721112691709834
13,13,13,01-14,3.3103282909632505,0.6596721241399414,0.12292341676679742
14,14,14,01-15,3.1695801545735454,0.3610389037416558,0.3299737539149183
15,15,15,01-16,3.154289916057902,0.3285967465258641,0.27790767832040564
16,16,16,01-17,3.0413336452876054,0.08893108721712971,0.393508225992166
17,17,17,01-18,3.067463083597893,0.14437138298200186,0.1543937010663932
18,18,18,01-19,3.3663040865952127,0.778439111346402,0.01006331460664924
19,19,19,01-20,2.634149189613572,-0.7750150254146956,-0.1244814858973133
20,20,20,01-21,2.7614360192722835,-0.5049434150168078,-0.2430861675183649
21,21,21,01-22,2.7738179128440335,-0.4786720564979112,-0.3289136590419382
22,22,22,01-23,2.705937846729224,-0.6226970025091805,-0.8260589540839477
23,23,23,01-24,2.8247561375956702,-0.3705935661594373,-1.0451811225786742
24,24,24,01-25,1.960453651762451,-2.2044326589056547,-1.1295419326936675
25,25,25,01-26,2.0145053974827856,-2.089748036383055,-1.3262727797410696
26,26,26,01-27,2.522876622722056,-1.0111082757067664,-1.0525062626813428
27,27,27,01-28,2.217493334044113,-1.6590571387823247,-1.0885935532834092
28,28,28,01-29,3.4801074524549414,1.01990209984918,-0.8405909971965349
29,29,29,01-30,2.7227068298966723,-0.587117309771835,-0.41896836228547735
30,30,30,01-31,2.6617667382815684,-0.716417322384409,-0.2967966773546207
31,31,31,02-01,3.206789364637615,0.4399877730832903,-0.2694114721881521
32,32,32,02-02,2.868359358045503,-0.2780781661216267,-0.42192569941421015
33,33,33,02-03,2.2949344824874687,-1.4947459077835143,-0.4046929912461072
34,34,34,02-04,3.0488206741182013,0.1048167364928318,-0.33399938492727044
35,35,35,02-05,2.7714382782540916,-0.4837210607632171,-0.15010860767219894
36,36,36,02-06,2.861677384473713,-0.2922556844713885,-0.07673686256875308
37,37,37,02-07,3.726804200831391,1.5433324366137189,0.039884846234436916
38,38,38,02-08,3.0758433688303213,0.1621523044990487,0.009950501581665584
