,unnamed: 0,unnamed: 0,mth_day,women,women_norm,women_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.35035923316799017,-0.3248762052114994,
2,2,2,01-03,0.4253970976289482,0.19688660724609405,
3,3,3,01-04,0.35134347738302235,-0.3180324332908912,
4,4,4,01-05,0.4812593418582257,0.5853150609159848,-0.0665842652746332
5,5,5,01-06,0.3128182916531776,-0.5859106491923236,-0.3101696631767641
6,6,6,01-07,0.4038571098845735,0.04711202788483618,-0.4993055762837018
7,7,7,01-08,0.14017030092474933,-1.7863885926242855,-0.5454863255390855
8,8,8,01-09,0.2621924229350642,-0.937928871395532,-0.54898140404355
9,9,9,01-10,0.3114942809214105,-0.595116928823193,-0.6080172897194519
10,10,10,01-11,0.4782434516394906,0.5643445898891971,-0.3920878448218101
11,11,11,01-12,0.26187644587292497,-0.9401259632477345,-0.2123582314345768
12,12,12,01-13,0.590181823327152,1.3426886972706868,-0.08541725405842261
13,13,13,01-14,0.29525831463865576,-0.7080109123008859,-0.1226360446446334
14,14,14,01-15,0.3717293193270536,-0.1762830071386069,-0.3048872558933624
15,15,15,01-16,0.2793783252029007,-0.8184296723404577,-0.25882930452982456
16,16,16,01-17,0.320979560526449,-0.5291626776031768,-0.5380424487883041
17,17,17,01-18,0.3016196804912117,-0.6637782550665074,-0.6286332786487321
18,18,18,01-19,0.34924984150307103,-0.3325901682801901,-0.7622601784870716
19,19,19,01-20,0.2170878250962451,-1.2515558914634541,-0.5568067979083089
20,20,20,01-21,0.2564231653543923,-0.9780444061686442,-0.6526488658148226
21,21,21,01-22,0.4566632817788487,0.4142906111321184,-0.6145079253313132
22,22,22,01-23,0.23827779724034165,-1.1042150850422594,-0.8363079055740062
23,23,23,01-24,0.3345313559201424,-0.4349326121654504,-0.7470822786002042
24,24,24,01-25,0.1578594649850387,-1.6633900497363487,-0.5380715046548308
25,25,25,01-26,0.2940802861545732,-0.7162021296206413,-0.6725319324106335
26,26,26,01-27,0.4367777834114341,0.27602023750359594,-0.5759023665627344
27,27,27,01-28,0.3406378796719585,-0.3924719554026983,-0.5463842740979867
28,28,28,01-29,0.32165908956582945,-0.5244376899548646,-0.3221513872700084
29,29,29,01-30,0.3600024079226741,-0.25782405737696434,-0.2339205922104592
30,30,30,01-31,0.3513491875304306,-0.3179927287684788,-0.32009000190954073
31,31,31,02-01,0.3702143104608661,-0.186817359263346,-0.21503976205561773
32,32,32,02-02,0.3624225208519051,-0.24099622069089344,0.06641030852906298
33,33,33,02-03,0.43128534022156,0.2378294837208397,0.0546275738690398
34,34,34,02-04,0.5645213067819348,1.1642627335532196,-0.2825640315157025
35,35,35,02-05,0.3498351300873633,-0.3285204653371034,-0.2828828368213521
36,36,36,02-06,0.06038780762998485,-2.3411423610769324,-0.4601653928746956
37,37,37,02-07,0.3699392145504991,-0.18873019109724398,-0.4585881990792205
38,38,38,02-08,0.20944606379360306,-1.3046915570109543,-0.7201356568875817
39,39,39,02-09,0.4326462948710041,0.2472926464936908,-0.7717686638280495
40,40,40,02-10,0.33883297997278256,-0.405022013296948,-0.40797206194383184
41,41,41,02-11,0.3052812007845683,-0.6383185069799097,-0.411619855885246
42,42,42,02-12,0.37430653987881196,-0.1583627497716263,-0.21355020460814267
43,43,43,02-13,0.36679154675024267,-0.2106169547457285,-0.3092879628144078
44,44,44,02-14,0.3803596278671463,-0.11627364934833452,-0.2727824500665161
45,45,45,02-15,0.35003454003658024,-0.32713390274389986,-0.14698794540778345
46,46,46,02-16,0.3703334509023015,-0.1859889368095977,-0.10915190127989216
47,47,47,02-17,0.4138288101404864,0.11644852097248615,-0.2316771377018381
48,48,48,02-18,0.4069551213785326,0.06865351499572146,-0.17096872956059492
49,49,49,02-19,0.2610649767744561,-0.9457683732774044,0.01923087116308671
50,50,50,02-20,0.4327446870508732,0.2479767994991248,-0.02997229261912852
51,51,51,02-21,0.5141570668116207,0.8140637015981899,-0.19639765294388373
52,52,52,02-22,0.3278762242070939,-0.4812079195028891,-0.12511307551433426
53,53,53,02-23,0.2702209868221458,-0.8821036409760455,0.061635716749066524
54,54,54,02-24,0.4684663176340146,0.4963609795730188,0.07476767429008876
55,55,55,02-25,0.4222098137869361,0.174724380303,0.0456542184594452
56,56,56,02-26,0.4440762042829531,0.32676854474525835,0.3180606566845282
57,57,57,02-27,0.4890351742529691,0.6393829666143285,0.8842543051516695
58,58,58,02-28,0.5629347247569482,1.1532307098476091,0.8424357332736182
59,59,59,02-29,0.7587873764299036,2.5150582498268017,0.5836661595558329
60,60,60,03-01,0.4323812277776988,0.2454495483047109,0.4194982782694654
61,61,61,03-02,0.1989185128090624,-1.3778930620037113,0.37109873259557663
62,62,62,03-03,0.30241635121540256,-0.6582387429729469,0.3390787666567145
63,63,63,03-04,0.4472713866291312,0.34898569257099604,0.10622368425424432
64,64,64,03-05,0.5353048154556587,0.9611109142144356,0.16864693530940664
65,65,65,03-06,0.5578575934498423,1.1179277554119809,0.4264576863519952
66,66,66,03-07,0.4862460185222902,0.6199890546356845,0.4285692074010012
67,67,67,03-08,0.42138244927311097,0.1689714442518198,0.424125625751157
68,68,68,03-09,0.304238374860999,-0.6455696166789111,0.1299589910440657
69,69,69,03-10,0.44343703658039935,0.32232420267193074,-0.21229399390604006
70,70,70,03-11,0.28146952244062506,-0.8038888940281121,-0.17141766731804314
71,71,71,03-12,0.2625287679812967,-0.9355901542886536,-0.11530365813148513
72,72,72,03-13,0.5215180484286522,0.8652470141636659,0.011691351726991315
73,73,73,03-14,0.4698030187177084,0.5056554993711679,-0.2762248804617781
74,74,74,03-15,0.4138218956806576,0.11640044247194753,-0.5079819496309713
75,75,75,03-16,0.19499519260923812,-1.405173190460686,-0.3177383824842657
76,76,76,03-17,0.08148721098832819,-2.1944313090432717,-0.5484282006901344
77,77,77,03-18,0.4266892332189443,0.20587124859158007,-0.5594134451487611
78,78,78,03-19,0.3224566638559989,-0.5188918950715465,-0.700625177490374
79,79,79,03-20,0.4603238922057102,0.4397440326194076,-0.5121113758589847
80,80,80,03-21,0.2919708180022355,-0.7308699515777295,-0.2278160699612401
81,81,81,03-22,0.3576630496288776,-0.2740903806723502,-0.07953144431488518
82,82,82,03-23,0.3268045711546441,-0.488659473656804,0.07297560776246817
83,83,83,03-24,0.5546434841762155,1.0955790024697096,0.08864779386728065
84,84,84,03-25,0.4540544308476909,0.3961504173925736,0.1335994850667088
85,85,85,03-26,0.4738473632005168,0.5337771492482822,0.17637231158490574
86,86,86,03-27,0.33075946484687063,-0.4611598043811606,0.2540563285290169
87,87,87,03-28,0.3945715622585936,-0.017453421563168217,0.2987673907772268
88,88,88,03-29,0.3938378199227374,-0.02255537199213736,0.4980208041244132
89,89,89,03-30,0.5932244931954351,1.3638453759589697,0.6051718499409675
90,90,90,03-31,0.6259894588007758,1.5916708974756917,1.0335441794974791
91,91,91,04-01,0.5663076013876067,1.176683424147608,1.0200468724970997
92,92,92,04-02,0.7004003518930191,2.1090741729579063,1.0872332630434516
93,93,93,04-03,0.3829247863393376,-0.09843726356544326,0.8632650750656937
94,94,94,04-04,0.4518127059866756,0.3805629712859743,0.7802851905674202
95,95,95,04-05,0.3999631783016226,0.020036248092422368,0.4574404248289343
96,96,96,04-06,0.5543864256527573,1.0937915904860502,0.06281291721148402
97,97,97,04-07,0.2877260559611603,-0.7603851702833067,0.3199674353279036
98,98,98,04-08,0.3598777459638663,-0.25869087274679525,0.4009827016261079
99,99,99,04-09,0.6048224618565385,1.4444898451330739,0.5795990207822758
100,100,100,04-10,0.5217204774100808,0.8666545690752002,0.5042714258124198
101,101,101,04-11,0.5540905345717103,1.091734163029429,0.5821459409103533
102,102,102,04-12,0.4893865246261497,0.6418260206669142,0.7431934401225136
