,unnamed: 0,unnamed: 0,mth_day,crude humor,crude humor_norm,crude humor_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.4757413075326999,-0.9817793457175478,
2,2,2,01-03,0.6975508203255172,0.10495615247033063,
3,3,3,01-04,0.8059943189596593,0.636265193410739,
4,4,4,01-05,0.33907510533148505,-1.6513629513283163,-0.7712005405457858
5,5,5,01-06,0.4138262967067364,-1.285126299994074,-0.5869302484136278
6,6,6,01-07,0.3801427042714863,-1.4501559921158462,-0.6935827769267492
7,7,7,01-08,0.7014056230253615,0.12384240707539873,-0.8502030215028825
8,8,8,01-09,0.5669401311905923,-0.5349590186083962,-0.6087123496826221
9,9,9,01-10,0.6141912894229279,-0.3034562740460614,-0.5041732877755559
10,10,10,01-11,0.6348136452969937,-0.20241892040675288,-0.5417142632030325
11,11,11,01-12,0.5418487553165262,-0.6578919285516774,-0.5345624658265313
12,12,12,01-13,0.3341686168331677,-1.6754018446807055,-0.3626952202466177
13,13,13,01-14,0.7101639825028233,0.16675319133440564,-0.2794781589676795
14,14,14,01-15,0.7774152103834144,0.4962444548710856,-0.2433039434635837
15,15,15,01-16,0.7161020258391602,0.19584609362756736,-0.035073886038882486
16,16,16,01-17,0.6791139472380205,0.014626372617822153,0.2277379790796867
17,17,17,01-18,0.7968550986072925,0.5914884159965299,0.2987423154873283
18,18,18,01-19,0.6560178903058377,-0.09853065396929056,0.15993584373398884
19,19,19,01-20,0.7971185576925636,0.5927792097802553,0.25863015088201136
20,20,20,01-21,0.6074275956044481,-0.3365943756489512,1.5767576674377206
21,21,21,01-22,0.8369667784147288,0.7880119365157023,1.2833916221710135
22,22,22,01-23,2.2933423739355443,7.923391471952077,1.382800459944301
23,23,23,01-24,0.4375880294129774,-1.1687078556037114,1.292071248364213
24,24,24,01-25,0.7777576839017639,0.4979223726704331,1.2696735165952286
25,25,25,01-26,0.6860081600831361,0.04840394029972811,0.8763303185468989
26,26,26,01-27,0.5799984926831205,-0.4709807662628564,-0.5175767824051083
27,27,27,01-28,0.3552639357361597,-1.5720472517742758,-0.40046940368975387
28,28,28,01-29,0.5863114241441494,-0.4400511337599655,-0.4993160784851152
29,29,29,01-30,0.581002120480826,-0.46606358331158504,-0.6977099197717077
30,30,30,01-31,0.6567063361868374,-0.09515767610173434,-0.6326348772322755
31,31,31,02-01,0.4430476162327496,-1.1419591074198272,-0.2109466186437643
32,32,32,02-02,0.659691832072764,-0.08053051102626313,-0.18729014680178072
33,33,33,02-03,0.8716792033552102,0.9580822997567914,0.0075957665544491935
34,34,34,02-04,0.6152820273999577,-0.29811230270806405,0.022745393013898847
35,35,35,02-05,0.8196667241335646,0.7032518968257945,0.2627969918328205
36,36,36,02-06,0.6752591373214301,-0.004259917345036414,-0.015842642621165182
37,37,37,02-07,0.7370238133917563,0.29835048549370263,-0.25049002637245915
38,38,38,02-08,0.31845927824858283,-1.7523683177501768,-0.12558990797724165
39,39,39,02-09,0.5843212107906625,-0.4498020027509722,-0.3286455965517556
40,40,40,02-10,0.7682393999448205,0.4512884076632409,-0.5077515473377275
41,41,41,02-11,0.5709971071331468,-0.5150822346212895,-0.7394507157213791
42,42,42,02-12,0.4559192680613801,-1.078895622060868,-0.3319699633979554
43,43,43,02-13,0.4532763160142829,-1.0918445248082067,-0.3957997089958015
44,44,44,02-14,0.8174755004812545,0.6925161961903646,-0.4610285927984337
45,45,45,02-15,0.5061529087722442,-0.8327804763380489,-0.4785933599189764
46,46,46,02-16,0.68835766077053,0.0599151048474479,-0.18510955200616805
47,47,47,02-17,0.5494866341036554,-0.6204708373445458,-0.1537327092713571
48,48,48,02-18,0.8153305538117965,0.6820072254159817,-0.3065548478760884
49,49,49,02-19,0.4917015752144681,-0.9035834683993412,-0.2377255106314276
50,50,50,02-20,0.6303237740617414,-0.22441663543802304,-0.2515581382087511
51,51,51,02-21,0.5904438983582933,-0.4198044528700843,-0.3017496598020599
52,52,52,02-22,0.6714177058945542,-0.02308066061649321,-0.5877983006938021
53,53,53,02-23,0.4880202130499247,-0.9216199669043986,-0.3715031358463745
54,54,54,02-24,0.4650246526405674,-1.0342846199344715,-0.2481727949620017
55,55,55,02-25,0.7565847517422438,0.3941875206852241,-0.3769398657994708
56,56,56,02-26,0.7813587381523621,0.5155654098682139,-0.2826979923238486
57,57,57,02-27,0.4327509107241706,-1.1924068778948986,-0.07496729783370105
58,58,58,02-28,0.7868298410930467,0.5423705802372397,0.021341268940992864
59,59,59,02-29,0.7424150177497192,0.3247642000364867,-0.06184480446619552
60,60,60,03-01,0.5829677380170398,-0.456433219286308,-0.4698762933250249
61,61,61,03-02,0.6547119642367452,-0.10492891975790626,-0.5023476261949943
62,62,62,03-03,0.2816680632890406,-1.9326235232847624,-0.5522176247655838
63,63,63,03-04,0.3929852978277593,-1.387234875114715,-0.7433550766199226
64,64,64,03-05,0.7257571691998429,0.2431505888137032,-0.8154184491690258
65,65,65,03-06,0.5083409207336563,-0.8220605110895464,-0.8200377231195423
66,66,66,03-07,0.4947162274223591,-0.8888134545809275,-0.5358745905628596
67,67,67,03-08,0.6490550279934967,-0.13264456346100525,-0.3426000319335876
68,68,68,03-09,0.629664900189173,-0.22764472794466625,-0.28765061033328565
69,69,69,03-10,0.6296765760069917,-0.2275875233390829,-0.12482181267088578
70,70,70,03-11,0.7930502931682822,0.5728471184155152,-0.07477752164239436
71,71,71,03-12,0.7077471773896423,0.1549122748848529,-0.0502339175174118
72,72,72,03-13,0.5560023444007846,-0.5885477084099789,-0.06307248102923459
73,73,73,03-14,0.6791120467375424,0.014617061288890081,0.23550198369559794
74,74,74,03-15,0.6139423134754846,-0.3046761090156029,0.5352310798948666
75,75,75,03-16,0.9953220711440716,1.563859265009912,0.2923458555689242
76,76,76,03-17,1.1601097933427993,2.3712216956111267,0.19911006638644416
77,77,77,03-18,0.4103008160874878,-1.3023990710708016,0.16153292091959096
78,78,78,03-19,0.4418222977864737,-1.147962443504859,0.07925141821136088
79,79,79,03-20,0.6330936641115252,-0.21084581151222925,-0.12130736468044127
80,80,80,03-21,0.5131772971968788,-0.7983651252649833,-0.3353674708898435
81,81,81,03-22,0.7497102585527051,0.3605065676590993,-0.1829460975203709
82,82,82,03-23,0.8979637535059136,1.0868610583547136,-0.01729085672925716
83,83,83,03-24,0.596961750359002,-0.3878708308539664,0.03984096321700526
84,84,84,03-25,0.6446899227755749,-0.15403099875817622,0.2946589916205659
85,85,85,03-26,0.7030594350008272,0.13194510816534527,0.5120551593458534
86,86,86,03-27,0.8252370182160326,0.7305430451563808,0.3652821303427961
87,87,87,03-28,1.0159417645258453,1.6648835740108239,0.5544398697992454
88,88,88,03-29,0.7182199937304368,0.20622288433636946,0.7370798836741134
89,89,89,03-30,0.8286114172731054,0.7470756058847297,0.6874959113321543
90,90,90,03-31,0.8683577383292772,0.9418090844910312,0.4906382909580452
91,91,91,04-01,0.6423370415618982,-0.16555872588640955,0.2575854946029795
92,92,92,04-02,0.5841577881501407,-0.4506026770882736,0.2479060093645485
93,93,93,04-03,0.7305365635323067,0.26656679588042964,0.10335406406820197
94,94,94,04-04,0.706366132831984,0.14814597290578352,0.07925532894508362
95,95,95,04-05,0.6515876799631453,-0.12023606589334958,0.2115696324189112
96,96,96,04-06,0.8388455228610497,0.7972166737523212,0.2265809060288461
97,97,97,04-07,0.8043741034117549,0.628327094956556,0.10639954908871843
98,98,98,04-08,0.6025411571927725,-0.3605350354286643,0.11221326861953143
99,99,99,04-09,0.583357963362604,-0.4545213457603364,0.05190424922171401
100,100,100,04-10,0.7134858319609478,0.1830282900906615,-0.26587058701835026
101,101,101,04-11,0.5777309913837329,-0.4820901822802542,-0.4475429467613241
102,102,102,04-12,0.44968653216776777,-1.1094323436880642,-0.3654282942946545
103,103,103,04-13,0.5818913134244685,-0.4617070635012868,-0.3674264219604988
104,104,104,04-14,0.703101842403598,0.13215287937135278,-0.4015551276304268
105,105,105,04-15,0.5809109812323737,-0.4665101117554024,-0.3614686346635829
106,106,106,04-16,0.6716905381317545,-0.02174394392890667,-0.24960004094998026
107,107,107,04-17,0.6268224151351883,-0.24157122447919016,-0.269063788988769
108,108,108,04-18,0.5866850105084944,-0.4382207814064489,-0.3511758704086237
109,109,109,04-19,0.5580552770928779,-0.5784895517340194,-0.34909751987158083
110,110,110,04-20,0.6025443057931944,-0.3605196091477756,-0.3051333065737005
111,111,111,04-21,0.5834562073014745,-0.4540400085331451,-0.4265860601539648
112,112,112,04-22,0.7255307637331995,0.2420413358583756,-0.6549106891711838
113,113,113,04-23,0.4780868149238818,-0.9702877459607766,-0.4122480778047322
114,114,114,04-24,0.3070701006871471,-1.8081685555097629,-0.2642152480921216
115,115,115,04-25,0.8552290182100748,0.8774861164646902,-0.09618703571989784
116,116,116,04-26,0.7838308647984821,0.5276773691278882,-0.29148464244493544
117,117,117,04-27,0.7892298623475026,0.5541292657001976,-0.2720712209271888
118,118,118,04-28,0.4863619849299802,-0.9297443044918502,-0.02991111095487812
119,119,119,04-29,0.501861219509027,-0.8538072168542967,-0.3291590034266447
120,120,120,04-30,0.6036284597379736,-0.3552078956758989,-0.25585578167908724
121,121,121,05-01,0.4887588181800508,-0.9180012383659094,-0.16207332667056693
122,122,122,05-02,0.8736007412536926,0.9674966996132331,-0.1891166587938491
123,123,123,05-03,0.9040793764489988,1.1168239957513193,0.14416634807065573
124,124,124,05-04,0.4532437054632914,-1.0920042972315434,0.2520302583021029
125,125,125,05-05,0.9100120979776746,1.145890824332732,0.4827373090222396
126,126,126,05-06,0.7357226523888658,0.2919755657127842,0.12216521427531445
127,127,127,05-07,0.771291331032158,0.4662410659549106,0.3064002774060133
128,128,128,05-08,0.4320306215923905,-1.1959358688683177,0.4372012442405002
129,129,129,05-09,1.1297005491843133,2.222234374535512,0.39917216414935297
130,130,130,05-10,0.6134274784684012,-0.3071984962246217,0.4316095008737997
131,131,131,05-11,0.8634402592494357,0.9177163437858492,0.05200285992870233
132,132,132,05-12,0.7754466323295792,0.4865995860594644,0.30137132138510625
133,133,133,05-13,0.3064107917214241,-1.8113987797156736,-0.22110732539299924
134,134,134,05-14,0.7374165984033375,0.3002748998701057,-0.15491787066378812
135,135,135,05-15,0.4898535894793135,-0.9126375061331208,-0.2872207788533005
136,136,136,05-16,0.6944855688500428,0.08993823215064495,-0.4707488682621542
137,137,137,05-17,0.7014171524924215,0.12389889464877465,-0.16893683604168044
138,138,138,05-18,0.5506912461470806,-0.6145689503936572,-0.15827998268043827
139,139,139,05-19,0.6760211335210423,-0.0005265863928315867,-0.18153707248507514
140,140,140,05-20,0.7504673809860537,0.3642160200375589,-0.04021064497304341
141,141,141,05-21,0.4613720844554288,-1.052180044960942,0.01263758766666888
