,unnamed: 0,unnamed: 0,mth_day,ghost,ghost_norm,ghost_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.28951740108059315,-1.0015641789625314,
2,2,2,01-03,0.41026222127619694,-0.2312060895789377,
3,3,3,01-04,0.33815167016170555,-0.6912750705171371,
4,4,4,01-05,0.2143550443553512,-1.4811038347972554,-1.0334482600445505
5,5,5,01-06,0.20922643197697685,-1.5138246424194226,-0.9192739708288844
6,6,6,01-07,0.2456068472574107,-1.2817157439920177,-1.0381155729450648
7,7,7,01-08,0.3968904854601237,-0.3165184436685371,-1.1474276250229611
8,8,8,01-09,0.2984998493842563,-0.9442557022760194,-1.0725017024068852
9,9,9,01-10,0.23535118616404266,-1.3471473829845142,-0.9322492209363769
10,10,10,01-11,0.2848177331667849,-1.0315482991008005,-0.9844061335232636
11,11,11,01-12,0.34112426668935786,-0.6723097535963711,-0.8629202596954406
12,12,12,01-13,0.19655684997133865,-1.5946572195133388,-0.7919503329713206
13,13,13,01-14,0.5111396134472156,0.41239679929840095,-0.7971679165226361
14,14,14,01-15,0.3652421955193305,-0.5184361419312995,-0.6659517915324823
15,15,15,01-16,0.2304444068640688,-1.3784528842924075,-0.6738600067735057
16,16,16,01-17,0.4082174946832304,-0.2442515491598768,-0.214220240596022
17,17,17,01-18,0.3336871329160793,-0.7197590450425116,-0.4890347600967793
18,18,18,01-19,0.6288165096285059,1.1631813775515631,-0.5458162320036749
19,19,19,01-20,0.2526954156003834,-1.2364903177061426,-0.371842594289349
20,20,20,01-21,0.31184311752956795,-0.8591249733726729,-0.3993462367598039
21,21,21,01-22,0.3940546750815399,-0.3346110580064525,-0.024578181804512118
22,22,22,01-23,0.3823522062368418,-0.4092734039826061,-0.17810667144423226
23,23,23,01-24,0.6861307720567362,1.528849284689239,0.20147087255203389
24,24,24,01-25,0.4844335002312756,0.2420104397132425,0.14440791496987626
25,25,25,01-26,0.6096620491574409,1.0409749462714541,0.09164256866439284
26,26,26,01-27,0.25817932157773904,-1.2015027188656189,-0.022502924034701968
27,27,27,01-28,0.3444324876337861,-0.6512031358393527,-0.4995717015703327
28,28,28,01-29,0.27500620300513223,-1.094146360177175,-0.6606382236799547
29,29,29,01-30,0.2374803231941711,-1.3335633805245448,-0.9760812944473384
30,30,30,01-31,0.33296148855510344,-0.7243886929444903,-0.7670517850294799
31,31,31,02-01,0.3130094867712918,-0.8516834783328476,-0.5063262995051133
32,32,32,02-02,0.4547572316021271,0.05267433764153232,-0.4432069120883373
33,33,33,02-03,0.589626915813863,0.9131497773068462,-0.4065018978282229
34,34,34,02-04,0.3343656556248369,-0.7154300356765187,-0.22992621610386105
35,35,35,02-05,0.2719988704115632,-1.1133332949638584,-0.3345733749518513
36,36,36,02-06,0.4990188006120252,0.33506539740168106,0.16327370431516425
37,37,37,02-07,0.21459601475186907,-1.4795664314207897,0.059055408565591286
38,38,38,02-08,0.9229482474381648,3.039756813243625,0.12603016573746334
39,39,39,02-09,0.4916167601099607,0.2878400028094086,0.2328655370134786
40,40,40,02-10,0.3973508189441395,-0.31358149264528634,0.10377436801712836
41,41,41,02-11,0.3724702060646351,-0.4723210673077668,0.5991939512403576
42,42,42,02-12,0.3776174143934937,-0.4394816165764205,0.12804723773570773
43,43,43,02-13,0.6805041371332506,1.4929510679185856,0.08829360109341032
44,44,44,02-14,0.4798670934253217,0.21287653221572653,0.03870036047602279
45,45,45,02-15,0.454231192738275,0.04931818295562405,0.08684204827481289
46,46,46,02-16,0.3507117792264788,-0.6111409363496115,0.12054902326605706
47,47,47,02-17,0.41774415996180775,-0.1834709405150262,-0.16789502685292246
48,48,48,02-18,0.4093165114036548,-0.2372397666289555,-0.2606734130863413
49,49,49,02-19,0.40924230099694814,-0.2377132327952915,-0.4492581987212803
50,50,50,02-20,0.392615387615966,-0.3437937851847867,-0.3095097669585734
51,51,51,02-21,0.2768801425169117,-1.08219053085401,-0.40904641789361146
52,52,52,02-22,0.4821355897765106,0.2273496542266301,-0.5866988854774733
53,53,53,02-23,0.3241367699519973,-0.7806908461252543,-0.619970324235542
54,54,54,02-24,0.24224655613480656,-1.303154572132127,-0.7229107069131907
55,55,55,02-25,0.37795279592763775,-0.4373418653437031,-0.5013052087389381
56,56,56,02-26,0.295807021465947,-0.9614360812506784,-0.32693904877133784
57,57,57,02-27,0.48528490700365295,0.2474424581915045,-0.12996382855208416
58,58,58,02-28,0.6461149982383504,1.2735466140322322,0.012931715412419923
59,59,59,02-29,0.5093784481491636,0.4011604751902679,-0.16431066625338675
60,60,60,03-01,0.376630009756118,-0.4457813083451024,-0.0934646320330576
61,61,61,03-02,0.21126849832466754,-1.5007961553385432,-0.3206539829164374
62,62,62,03-03,0.36243285520269664,-0.5363598759287035,-0.3209683736621319
63,63,63,03-04,0.27162891220736723,-1.1156936471087742,0.013280257401458127
64,64,64,03-05,0.6458193353154849,1.2716602695580652,0.2876085807468113
65,65,65,03-06,0.8237163495583111,2.406652261571808,0.5763731162882545
66,66,66,03-07,0.634616973481522,1.2001886317270165,0.5710811008033077
67,67,67,03-08,0.4828317290091209,0.2317910579101161,0.789580026254422
