,unnamed: 0,unnamed: 0,mth_day,confusing,confusing_norm,confusing_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.4496777005582284,-0.7571820773836838,
2,2,2,01-03,1.7381917275761043,0.1602381945412385,
3,3,3,01-04,1.3738923744156428,-0.9981651423538384,
4,4,4,01-05,1.5648569644182984,-0.3909337092789655,-0.6486051530216801
5,5,5,01-06,1.512932154940648,-0.5560448247523362,-0.7240052023658362
6,6,6,01-07,1.263389535787385,-1.3495433589024943,-1.2120753724211524
7,7,7,01-08,1.3074050309474832,-1.2095823734486213,-1.321173775705201
8,8,8,01-09,0.8172500749494278,-2.768182825790658,-1.2314770104337078
9,9,9,01-10,1.1680341393017124,-1.6527555620581291,-1.1958231910759325
10,10,10,01-11,1.7341061673249902,0.14724688234999214,-1.1437390691952911
11,11,11,01-12,1.580207496349203,-0.3421219086056825,-0.904908487740798
12,12,12,01-13,1.3616672839950466,-1.0370386276186478,-0.6849438927837778
13,13,13,01-14,1.7580554576219158,0.22340111527833795,-0.3134558975980379
14,14,14,01-15,1.2323021925089104,-1.4483952560485371,-0.465449951389121
15,15,15,01-16,1.868996396795449,0.5761724090563105,-0.4754036189786156
16,16,16,01-17,1.4473079492082723,-0.7647174403965062,-0.3025122903996705
17,17,17,01-18,1.5614258791925413,-0.40184391414264997,-0.5113914198676917
18,18,18,01-19,1.6878966576284933,0.00030934385502286236,-0.3022373989463558
19,19,19,01-20,1.3639205514265649,-1.0298736615297892,-0.3651751502652561
20,20,20,01-21,1.6269557925414198,-0.193471130520522,-0.6053673049686118
21,21,21,01-22,1.7502388896409642,0.1985459011429088,-0.5665206305954441
22,22,22,01-23,0.994088364255149,-2.2058703686166403,-0.800842655130192
23,23,23,01-24,1.6347258321321374,-0.16876386790364434,-0.9099749909875272
24,24,24,01-25,1.2457534459312865,-1.4056228033534637,-1.1379664081978726
25,25,25,01-26,1.157998288797662,-1.6846676766738018,-1.3787712331245112
26,26,26,01-27,1.1967578303783222,-1.5614196337825934,-1.1935783773609645
27,27,27,01-28,1.2958632546717508,-1.2462830484169236,-0.9814479735947184
28,28,28,01-29,1.3435295411707648,-1.0947132340353598,-0.856510523753807
29,29,29,01-30,2.034995581448531,1.1040185546938328,-0.6304054255560196
30,30,30,01-31,1.4814984444801855,-0.6559981043079954,-0.2444767035827872
31,31,31,02-01,1.5846369476978512,-0.32803708748707777,0.0685895799433089
32,32,32,02-02,1.924968355864541,0.7541526980568011,0.4193677818883572
33,33,33,02-03,1.8865893392008213,0.6321146527396531,0.13881015638757566
34,34,34,02-04,2.0054144028661107,1.00995597763493,-0.010374473340717356
35,35,35,02-05,1.5056102202074977,-0.5793271983108569,0.13281167380420425
36,36,36,02-06,1.2000013404205343,-1.5511058826777533,0.1972098152763014
37,37,37,02-07,1.854815489791389,0.531079795382452,0.3864923313503841
38,38,38,02-08,2.0464814793293042,1.1405415468893838,0.3419171995501453
39,39,39,02-09,2.243747313323364,1.7678097491841491,0.5276660616145153
40,40,40,02-10,1.921305399561297,0.7425051868334976,0.5758131258873923
41,41,41,02-11,1.8561005277460587,0.5351659740753629,0.26342770538808624
42,42,42,02-12,1.2908502381017033,-1.2622234970404913,0.2464216008258451
43,43,43,02-13,1.2653741285655955,-1.3432327276133846,-0.038942333809645145
44,44,44,02-14,2.0143925892450825,1.0385049195159366,-0.2128267487536616
45,45,45,02-15,1.7052929072008298,0.05562614137120797,-0.6104509569312437
46,46,46,02-16,1.5932021670969652,-0.30080130283060125,-0.520202236155359
47,47,47,02-17,1.1058217402472577,-1.8505792749901293,-0.3338559228107156
48,48,48,02-18,1.4611409281665502,-0.7207311723851826,-0.14346980104162474
49,49,49,02-19,1.6169917694327978,-0.2251548475455241,-0.1820345499549388
50,50,50,02-20,2.3736329615860887,2.1808216501304813,-0.3001993434624602
51,51,51,02-21,1.6325249205948569,-0.17576235210867572,0.3175286275394705
52,52,52,02-22,1.3702365222128017,-1.0097900638757304,0.2752029588291358
53,53,53,02-23,2.271415241738582,1.855788551021455,0.2585947835211811
54,54,54,02-24,1.3812764462085416,-0.9746851846471908,-0.06467091866577912
55,55,55,02-25,1.5856537337288583,-0.3248038993932525,0.1001225954351508
56,56,56,02-26,1.7636615511722116,0.2412274370087202,0.5368046369933744
57,57,57,02-27,1.94347449409792,0.8129987324969038,0.3776969616122452
58,58,58,02-28,2.194213699468773,1.6103021854736108,0.4878666346145293
59,59,59,02-29,1.9711943011830897,0.9011424987346792,0.337799933168915
60,60,60,03-01,1.5891560646506295,-0.3136671466334862,0.1333078744464212
61,61,61,03-02,1.3024922448431622,-1.2252041080669382,-0.0963461533247792
62,62,62,03-03,1.3778046271819977,-0.9857249153262426,-0.38263566497339135
63,63,63,03-04,1.510139345088482,-0.5649254341302986,-0.4167157538507043
64,64,64,03-05,1.6540128181949287,-0.1074348844180619,-0.3049535897870376
