,unnamed: 0,unnamed: 0,mth_day,hospital,hospital_norm,hospital_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.954902301251878,0.042707058121452514,
2,2,2,01-03,0.8930762287565324,-0.2147960736829222,
3,3,3,01-04,0.8184031138422112,-0.5258066259620302,
4,4,4,01-05,0.7167834983872474,-0.9490482807570888,-0.4989812061982876
5,5,5,01-06,0.7381909450759899,-0.8598871171282431,-0.6483175291360758
6,6,6,01-07,0.8277070270224699,-0.4870561977808941,-0.6075126150289871
7,7,7,01-08,0.7397698887617432,-0.853310879505276,-0.6931730765044639
8,8,8,01-09,0.9518593797047964,0.030033410959609593,-0.36378985916030615
9,9,9,01-10,0.69500151020212,-1.039769394814891,-0.3290581060118827
10,10,10,01-11,1.1912896653197964,1.0272510233078576,-0.15142304416797428
11,11,11,01-12,0.7882251611182914,-0.6514965982377022,0.3227444370142021
12,12,12,01-13,1.0836063196094068,0.5787541732825562,0.1981453058828855
13,13,13,01-14,1.4228508173954826,1.9916940075877827,0.5329215733618274
14,14,14,01-15,0.7723631181983335,-0.7175613758282902,0.4675849607236899
15,15,15,01-16,1.1772768511932783,0.9688882100587606,0.6071010898210419
16,16,16,01-17,1.0971663949441657,0.6352313474790324,0.6230349020425647
17,17,17,01-18,0.9892107006276724,0.1856001763464105,0.4085321090880125
18,18,18,01-19,1.1065604100540267,0.6743570466116919,0.6121028731295525
19,19,19,01-20,1.113840240287535,0.7046772498604694,0.31874511062956096
20,20,20,01-21,1.0656251238455523,0.5038632084209496,0.13177496744487466
21,21,21,01-22,0.7546685940204906,-0.7912583649411887,0.034470297909966016
22,22,22,01-23,0.8278190775892033,-0.4865895116290854,-0.20082384908897288
23,23,23,01-24,0.8490345673749415,-0.3982278408630411,-0.3841619891183113
24,24,24,01-25,0.7675980163584376,-0.7374078353819412,-0.4789102719792925
25,25,25,01-26,0.8497251503345241,-0.3953515903155616,-0.4656409651549802
26,26,26,01-27,0.9291316956547959,-0.06462648874493744,-0.4199810534868234
27,27,27,01-28,0.7737842246522648,-0.711642523995315,-0.4394410520785649
28,28,28,01-29,0.893596289442405,-0.21263004162014454,-0.2851169066812731
29,29,29,01-30,0.8210006881301708,-0.5149878324134909,-0.06182571563214322
30,30,30,01-31,0.9899158359730842,0.1885370370018108,-0.0929905371081528
31,31,31,02-01,1.1713962057964074,0.9443955559792176,-0.2092350049992216
32,32,32,02-02,0.8842359656872691,-0.2516154176009949,-0.1446006712283748
33,33,33,02-03,0.6063236074087579,-1.4091093313417278,-0.02621071815609224
34,34,34,02-04,0.986707863909171,0.17517596100493613,-0.06742350894660322
35,35,35,02-05,0.9915520698569352,0.1953518860202045,-0.2918361560136275
36,36,36,02-06,0.9305451019561002,-0.05873970774125515,-0.399800006371623
37,37,37,02-07,0.8481095920169961,-0.4020803264229278,-0.21812464172591106
38,38,38,02-08,0.7287043232019013,-0.8993985197489681,-0.0716785090813578
39,39,39,02-09,0.8680433197826797,-0.3190571434674562,0.003307030687569023
40,40,40,02-10,1.1976766971835635,1.0538527568722558,0.16809841351476046
41,41,41,02-11,1.0995754881051836,0.6452651246337654,-0.02384455881814651
42,42,42,02-12,1.1679419190718396,0.9300085892218932,0.18616044607952786
