,unnamed: 0,unnamed: 0,mth_day,oscar (best cinematography),oscar (best cinematography)_norm,oscar (best cinematography)_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.7083094265000679,1.000342580817491,
2,2,2,01-03,0.4655848941641971,-0.4785277937553621,
3,3,3,01-04,0.5964687174965333,0.31892027205934353,
4,4,4,01-05,0.3664913128067272,-1.0822844901617346,-0.4306378543516756
5,5,5,01-06,0.4066216833920783,-0.8377784420578572,-0.7503562559929552
6,6,6,01-07,0.2971939067458914,-1.5044992530119343,-0.6928100070161037
7,7,7,01-08,0.3934603328194964,-0.9179678290301866,-0.6060070645196034
8,8,8,01-09,0.5222547143624314,-0.13325029989425385,-0.6118530712040474
9,9,9,01-10,0.6819496520737479,0.8397379270383453,-0.5427483930598108
10,10,10,01-11,0.3607343407438152,-1.1173605302683982,-0.2031823912972273
11,11,11,01-12,0.4746738980006456,-0.4231503731924379,-0.07851927158692475
12,12,12,01-13,0.6315883218025476,0.5328967575635668,-0.15834505927265302
13,13,13,01-14,0.5162248345018846,-0.16998911076837134,0.15678127120723004
14,14,14,01-15,0.443644672600155,-0.6122050260086233,0.4266188752860072
15,15,15,01-16,0.9922766117893668,2.7304959099176442,0.6510653761399002
16,16,16,01-17,0.6264623208944914,0.5016650942042647,0.8406274663486492
17,17,17,01-18,0.6957020809605716,0.9235286319309208,0.973039197973749
18,18,18,01-19,0.8182633833317976,1.67026929881606,1.156943267934306
19,19,19,01-20,0.6466199368194958,0.6244812789822279,0.5336683332114968
20,20,20,01-21,0.6247478854712589,0.4912193937547182,0.4133772309044079
21,21,21,01-22,0.3784941478964372,-1.0091536984192124,0.1385276960717063
22,22,22,01-23,0.5080032508353413,-0.22008151963826847,-0.2710729801486529
23,23,23,01-24,0.4250385017096804,-0.7255685770652885,-0.4991788140622198
24,24,24,01-25,0.4149009211873018,-0.7873347585060957,-0.5845359051822541
25,25,25,01-26,0.4219881524046673,-0.744153724499173,-0.4586088035661725
26,26,26,01-27,0.5406907819689533,-0.0209231529654878,-0.5697061753359617
27,27,27,01-28,0.5025033810532111,-0.25359108872272274,-0.3972396923342076
28,28,28,01-29,0.3985978908921949,-0.8866657502570033,-0.1871930587459568
29,29,29,01-30,0.5948783219534428,0.3092303209452359,0.03988507513046175
30,30,30,01-31,0.621748546711579,0.4729450430234088,-0.10962318005492064
31,31,31,02-01,0.6456078886433178,0.6183150787593383,-0.3050574598644316
32,32,32,02-02,0.3934595359686179,-0.917972684077782,-0.11475538029988028
33,33,33,02-03,0.31004556331027666,-1.426196767579788,0.05694828215692036
34,34,34,02-04,0.5860016717469877,0.2551467271303043,0.06158170156583734
35,35,35,02-05,0.7639669394012868,1.3394522956860395,-0.1122948411837726
36,36,36,02-06,0.6263113991906686,0.5007455594769107,0.10382732053801648
37,37,37,02-07,0.4743794838471216,-0.4249441777383213,0.566304725657261
38,38,38,02-08,0.6062901593955982,0.3787602862529523,0.5740258686873244
39,39,39,02-09,0.7654794423176854,1.348667663135679,0.466324828006178
40,40,40,02-10,0.5936052218483081,0.3014735853106852,0.4522715301381997
41,41,41,02-11,0.6579061844593193,0.6932460515991614,0.5307084247231523
42,42,42,02-12,0.6124721329043304,0.4164257722690409,0.4087492964155477
43,43,43,02-13,0.5516217853362277,0.04567718977139397,0.08901934453033251
44,44,44,02-14,0.4861884673547228,-0.3529944835926755,-0.16076654859658224
45,45,45,02-15,0.4506189743032744,-0.5697120481756118,-0.22840687079556754
46,46,46,02-16,0.34762356529843,-1.1972417734508034,-0.2269048551073451
47,47,47,02-17,0.5912960236700545,0.2874041184052497,-0.2475856781388166
48,48,48,02-18,0.613951272909107,0.4254378663983755,-0.3735311710574444
49,49,49,02-19,0.5312559310263067,-0.07840774841743531,-0.5702785173829571
50,50,50,02-20,0.3621611229947509,-1.1086674411044426,-0.18425822945154646
51,51,51,02-21,0.2568680880338392,-1.7501961261286871,-0.3329264873756492
52,52,52,02-22,0.7277647682245044,1.1188799541376593,-0.4713897737836721
53,53,53,02-23,0.44489198178136996,-0.6046054291393663,-0.5055770118662616
54,54,54,02-24,0.4775967809255254,-0.4053418520497612,-0.2019069236758904
55,55,55,02-25,0.4975893642272455,-0.28353117691297264,0.1957021009368971
56,56,56,02-26,0.6612063188728136,0.7133530880377844,0.14542403940613954
57,57,57,02-27,0.6484215313011129,0.6354580215480379,0.0982306557397014
58,58,58,02-28,0.6782524410524948,0.817211584953114,0.017035212290451008
59,59,59,02-29,0.39841735286160906,-0.8877657311379953,-0.06834825871062346
