,unnamed: 0,unnamed: 0,mth_day,lgbt,lgbt_norm,lgbt_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.8459509188943057,0.16873333224769993,
2,2,2,01-03,0.5754219734676224,-1.034409346210968,
3,3,3,01-04,0.7337930985725106,-0.3300741433783101,
4,4,4,01-05,0.6147403528666789,-0.8595459125468775,-0.5994514465953991
5,5,5,01-06,0.6430274499088445,-0.7337426878773211,-0.7297332553158076
6,6,6,01-07,0.6264047691650899,-0.8076699218066173,-0.7928637294046649
7,7,7,01-08,0.6701862272125263,-0.6129575200747515,-1.0292004493122235
8,8,8,01-09,0.4902519223074839,-1.4131921907441118,-0.934873647757037
9,9,9,01-10,0.4149485022652755,-1.7480944628236612,-0.957319453790648
10,10,10,01-11,0.7419977294376154,-0.293585103215759,-0.8217033282490677
11,11,11,01-12,0.6127455539496534,-0.8684175240789869,-0.8094924886336831
12,12,12,01-13,0.8093660492318089,0.0060268314428652756,-0.7542339396335676
13,13,13,01-14,0.686660011858698,-0.5396924823824436,-0.2788118437659992
14,14,14,01-15,0.5648018684832492,-1.0816408967434186,-0.36347821424262494
15,15,15,01-16,1.056345938481392,1.1044381123817488,0.05415483354248677
16,16,16,01-17,0.627773351922443,-0.8015833260755133,-0.15596491614027175
17,17,17,01-18,1.1761791184744077,1.6373807626316834,-0.07189676949042158
18,18,18,01-19,0.5258910700157934,-1.2546916666536858,0.03756166506377232
19,19,19,01-20,0.8000773187052742,-0.03528360248334266,0.025931958477220636
20,20,20,01-21,0.7124735057620641,-0.4248902894182552,-0.22412752147331305
21,21,21,01-22,1.0406561671110732,1.0346598728624388,-0.6625919199942488
22,22,22,01-23,0.2904152216716257,-2.3019402057787146,-0.7310950760195597
23,23,23,01-24,0.584641738264574,-0.9934056284939312,-0.6953850861299871
24,24,24,01-25,0.4334726716509304,-1.665710602805551,-0.5765379884340015
25,25,25,01-26,0.8482540781818794,0.17897633685409342,-0.8423437929724437
26,26,26,01-27,0.8728114968367685,0.2881922967576577,-0.5476570604668525
27,27,27,01-28,0.682054488635849,-0.5601749543682139,-0.2814206509609081
28,28,28,01-29,0.6879804933720831,-0.5338198107451679,-0.11722238080507585
29,29,29,01-30,0.9438243508709178,0.6040128285417349,-0.30758480942247995
30,30,30,01-31,0.654994452873334,-0.6805209818705575,-0.3974366093218946
31,31,31,02-01,0.5914339288275093,-0.9631982348503316,-0.3343801658592842
32,32,32,02-02,0.7515913966440727,-0.2509185026388301,-0.30701371958568313
33,33,33,02-03,0.7671246642237561,-0.18183629359255127,-0.1132578627263266
34,34,34,02-04,0.7249008818664439,-0.3696211331035613,-0.22059589466275795
35,35,35,02-05,1.2052226134288817,1.766547969697874,-0.1415484536345678
36,36,36,02-06,0.5101834752369723,-1.3245491734891457,-0.32072325084659536
37,37,37,02-07,0.6980777437776854,-0.4889135886811909,-0.18482326946892327
38,38,38,02-08,0.5098646099312623,-1.3259672859109952,-0.25158783254961564
39,39,39,02-09,0.9504688974748281,0.6335635946734811,-0.6571609795136225
40,40,40,02-10,0.6348280393076626,-0.7702085115877156,-0.5208087501710008
41,41,41,02-11,0.6580592002810041,-0.6668909120861671,-0.6897854682893056
42,42,42,02-12,0.6941378414367942,-0.5064357974334147,-0.5712435769209526
43,43,43,02-13,0.4701093032627026,-1.5027738973910203,-0.6956429549889277
44,44,44,02-14,0.6697908436270775,-0.6147159377008771,-0.4385665616631302
45,45,45,02-15,0.7826402608733344,-0.1128326737343686,-0.32401763367041586
46,46,46,02-16,0.981652768372807,0.7722498483670694,-0.3702650393920869
47,47,47,02-17,0.8125984810053425,0.02040265587011908,-0.3298479269696676
48,48,48,02-18,0.6317449326524512,-0.7839202317634409,-0.26184957931371944
49,49,49,02-19,0.5246364960716365,-1.2602712228565045,-0.12761679573824158
50,50,50,02-20,0.7615281991950154,-0.2067258517651878,-0.3769261324891229
51,51,51,02-21,0.9637352583289156,0.6925640277184986,-0.5289388540996717
52,52,52,02-22,0.6453066649697826,-0.7236061721382185,-0.504722439640664
53,53,53,02-23,0.6075163639545614,-0.8916736737931742,-0.12690410980029496
54,54,54,02-24,0.6644155768723217,-0.6386217450093946,-0.19137072474898895
55,55,55,02-25,1.034355565129316,1.00663875618571,-0.4312623636247869
56,56,56,02-26,0.6745555449809338,-0.5935255414573521,-0.3695325233786844
57,57,57,02-27,0.6400946798155444,-0.7467858055362887,-0.3401599073361443
58,58,58,02-28,0.7285871048484321,-0.3532271306616037,-0.2469150699095905
59,59,59,02-29,0.6471432992367059,-0.7154379775379336,-0.602888271896716
60,60,60,03-01,0.7902132631507478,-0.07915272045007181,-0.4647509632947087
61,61,61,03-02,0.5541080101654758,-1.129200455737043,-0.2908727306675363
62,62,62,03-03,0.8609181822105721,0.2352983101546916,-0.3866463008650176
63,63,63,03-04,0.8746758101211157,0.2964835902267459,-0.35699275896576993
64,64,64,03-05,0.5993778760055216,-0.9278685518464916,-0.3202589487167878
65,65,65,03-06,0.6871492348342022,-0.5375167261424474,0.012873441070062644
66,66,66,03-07,0.8397712704897872,0.14125014104382086,-0.3085004934074869
67,67,67,03-08,1.003540761792049,0.8695938829840596,-0.28928014933242824
68,68,68,03-09,0.42734889834202267,-1.6929452967106058,-0.12301445598173767
69,69,69,03-10,0.9006061981280885,0.41180565467709795,2.5421621894764855e-05
70,70,70,03-11,0.8236888417195212,0.06972560825765173,0.11377442689471336
71,71,71,03-12,0.8531437536697288,0.2007225394793473,-0.04816820807477109
72,72,72,03-13,0.9932313662410842,0.8237441726807324,0.2411235654186912
73,73,73,03-14,0.7850620840310493,-0.10206192683284716,0.3396927132810903
74,74,74,03-15,0.8176357685778699,0.042805344250167805,0.24773758481409866
75,75,75,03-16,1.03358697306153,1.0032205418514928,0.09202418602902084
76,76,76,03-17,0.6996311166825232,-0.4820051625442982,0.07292994391058467
77,77,77,03-18,0.6430690103345617,-0.7335578532311197,0.06526165090303325
78,78,78,03-19,0.9674711038390896,0.7091787199701155,-0.022899235718210426
79,79,79,03-20,0.7747167014374571,-0.14807168487815572,0.026706749371536016
80,80,80,03-21,0.6986968990029971,-0.4861599754772943,0.28793911587006643
81,81,81,03-22,1.100510980031541,1.3008564523899715,0.4049936255727093
82,82,82,03-23,1.0520627171176435,1.085389036446884,0.2716952328437761
83,83,83,03-24,0.8009886002598124,-0.031230795015262512,0.14817015134115916
84,84,84,03-25,0.7876367038580622,-0.09061163640348313,0.2395682836112553
85,85,85,03-26,0.6080675884222408,-0.8892221738938576,-0.03871607966228915
86,86,86,03-27,0.8220031740426637,0.06222881814328227,0.01500137880600087
87,87,87,03-28,0.7250743339560805,-0.3688497272512948,0.20713693659992904
88,88,88,03-29,1.1245335602717328,1.4076937872566242,0.4363602357774616
89,89,89,03-30,1.0602008986492986,1.1215825517483065,0.6055529225629613
90,90,90,03-31,1.0968845021649027,1.2847281586617119,0.7280817067122135
91,91,91,04-01,0.8363273947585554,0.12593394681914086,0.7198367663949075
92,92,92,04-02,0.987308170800534,0.7974015230387952,0.5644413894120293
93,93,93,04-03,0.7139509898220122,-0.4183193691551307,0.4511219949950833
94,94,94,04-04,0.9148878638200924,0.4753215253593557,0.029897753065513493
95,95,95,04-05,0.9073203958616488,0.4416661852466304,-0.05106160646246388
96,96,96,04-06,0.5286060161751364,-1.242617292915707,0.06648037424416182
97,97,97,04-07,0.7271041884955295,-0.3598222103487234,0.30043820273774186
98,98,98,04-08,1.1458854134829914,1.5026534072785496,0.1883542833709465
99,99,99,04-09,1.0295861962686899,0.9854276018063494,0.2481613006138096
100,100,100,04-10,0.7636741546807891,-0.1971819908414164,0.3726283128024092
101,101,101,04-11,0.988006733035996,0.8005082887038091,0.314677520632395
102,102,102,04-12,0.6965258987493065,-0.4958152197841094,0.1640927411144449
103,103,103,04-13,0.6489221059890112,-0.7075269633688083,-0.026282542130192137
104,104,104,04-14,0.9427297495887188,0.5991447301708489,0.08058166953305401
105,105,105,04-15,0.7727487045883692,-0.15682409766147287,-0.2493935874748269
106,106,106,04-16,0.9078458959184016,0.4440032791380605,-0.28581420503291105
107,107,107,04-17,0.5428333056769026,-1.1793432533434762,0.10539238336581792
108,108,108,04-18,0.6473904232840055,-0.7143389251326144,-0.002684641383261373
109,109,109,04-19,1.1767034291770129,1.6397125670235655,0.2453912667634047
110,110,110,04-20,0.7969217882203544,-0.049317418323626884,0.3134168276042153
111,111,111,04-21,1.107430775226876,1.3316313512185236,0.6001517347334808
112,112,112,04-22,0.9996199651080954,0.8521566441829248,0.7852978897978651
113,113,113,04-23,0.9296706779929058,0.5410661894321165,0.30101273682849977
114,114,114,04-24,0.8971732377887961,0.3965380052536908,0.09987756023504746
115,115,115,04-25,0.5233487403394006,-1.2659983507926262,-0.11399249691653825
116,116,116,04-26,0.5255680002469574,-1.256128477884341,-0.3900490500323328
117,117,117,04-27,0.8188962129236705,0.04841100830900934,-0.5814425794425998
118,118,118,04-28,0.6271888834268383,-0.8041826745118421,-0.5858746133409699
119,119,119,04-29,0.6714594586593086,-0.6072949870294859,-0.6172752032858998
120,120,120,04-30,0.8911939297079421,0.3699458018634703,-0.6067628937050731
121,121,121,05-01,0.4809858420613999,-1.4544018904622065,-0.7691465779493306
