,unnamed: 0,unnamed: 0,mth_day,gambling,gambling_norm,gambling_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.0704949778119386,-1.2433293135936334,
2,2,2,01-03,0.9848772749844992,-1.5350245026820497,
3,3,3,01-04,0.954303201351288,-1.6391888272916153,
4,4,4,01-05,1.4005180323909847,-0.1189574357006479,-1.0571710578702098
5,5,5,01-06,1.2615832620866387,-0.5923011807035053,-0.9054397781005636
6,6,6,01-07,1.0790375835707635,-1.2142250872498077,-0.7957216877109489
7,7,7,01-08,1.3377098810445105,-0.3329416349757555,-0.5326567154030007
8,8,8,01-09,1.178102488340859,-0.8767159603443617,-0.5954187459916277
9,9,9,01-10,1.4175885649616586,-0.06079899344392727,-0.4466048961063731
10,10,10,01-11,1.2899874288405448,-0.4955296192324096,-0.17611937711667747
11,11,11,01-12,1.5236602613522163,0.3005819186080221,0.1765615990954147
12,12,12,01-13,1.5553913182283323,0.4086880266883663,0.1036855826884194
13,13,13,01-14,1.9588185481140683,1.7831442222967977,0.10529647310672273
14,14,14,01-15,1.0497600812792782,-1.3139720587863335,0.018972496216409257
15,15,15,01-16,1.4204255141253297,-0.05113365093410725,-0.1752136999685604
16,16,16,01-17,1.1379617346895723,-1.0134734805742904,-0.2767444322319064
17,17,17,01-18,1.1816777400062897,-0.8645352585017958,-0.4227042405571679
18,18,18,01-19,1.3765849123371354,-0.20049636689170947,-0.21543267181397507
19,19,19,01-20,1.7017678192419985,0.9073853723452284,-0.2586673428667269
20,20,20,01-21,1.414787333858054,-0.07034264632717661,-0.1574754321692986
21,21,21,01-22,1.3442846652562468,-0.3105416772506181,-0.10639302969283222
22,22,22,01-23,1.316171439807618,-0.4063220163897205,-0.18749419846788984
23,23,23,01-24,1.2716392776362313,-0.5580408436429976,-0.4160836613103071
24,24,24,01-25,1.2337571381354258,-0.6871033795420551,-0.5650890963475108
25,25,25,01-26,1.299197490393816,-0.4641514047092752,-0.9345821746995502
26,26,26,01-27,1.1523729327863583,-0.9643752565503992,-1.0128198022239725
27,27,27,01-28,0.6935681002418332,-2.5275001473628547,-0.9170853916240582
28,28,28,01-29,1.1783866659638618,-0.8757477815362531,-0.8347480767167594
29,29,29,01-30,1.4402377452911583,0.016365619956487845,-0.8091312047795053
30,30,30,01-31,1.3787618970011388,-0.19307949009826272,-0.5910844043309939
31,31,31,02-01,1.3443115233488316,-0.3104501730857507,-0.18563064860597853
32,32,32,02-02,1.5363765131323326,0.3439055461406701,-0.09406375339035096
