,unnamed: 0,unnamed: 0,mth_day,france,france_norm,france_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.6731288608080257,0.6427042701303947,
2,2,2,01-03,0.5739164889999084,0.0598589711365155,
3,3,3,01-04,0.6783975837041625,0.6736565628308852,
4,4,4,01-05,0.5051756809605212,-0.3439743017166537,-0.2901510653102954
5,5,5,01-06,0.2877651352155496,-1.6212012466003851,-0.5145625769153875
6,6,6,01-07,0.3676413304518389,-1.151950647642529,-0.5438609434125806
7,7,7,01-08,0.44393186772098187,-0.7037647995001579,-0.6920475748167223
8,8,8,01-09,0.5439933471098625,-0.11593122784664375,-0.3982906987265625
9,9,9,01-10,0.5270509344587558,-0.21546322559396494,0.16319473801949086
10,10,10,01-11,0.8051967993824171,1.4185669548243054,0.6024752251233578
11,11,11,01-12,0.8612240137013575,1.7477113738759351,0.8410881616188258
12,12,12,01-13,0.8162892899343849,1.4837322749806732,0.9695069303447904
13,13,13,01-14,0.687633125135399,0.72791281947265,0.9159417884066482
14,14,14,01-15,0.6751505922859772,0.6545813845091435,0.6460554258670622
15,15,15,01-16,0.4723435383065155,-0.5368540772228171,0.6896250062633461
16,16,16,01-17,0.5295552232135173,-0.2007512204132104,0.2907746833864936
17,17,17,01-18,0.9057226971488684,2.0091288562536382,0.20878731872641554
18,18,18,01-19,0.4089336509953312,-0.9093696622804418,0.3071626647428665
19,19,19,01-20,0.6038974142673721,0.23598863151218155,0.26173400422409343
20,20,20,01-21,0.7756237513480921,1.244833460607849,0.10223044078124903
21,21,21,01-22,0.4259461306316473,-0.8094260403354551,-0.27040232046248885
22,22,22,01-23,0.3666503130941964,-1.1577726010702771,-0.29191875052716765
23,23,23,01-24,0.5251436983625644,-0.2266677112087892,-0.3820581353503663
24,24,24,01-25,0.3869583920724723,-1.0384682426685148,-0.7046551902810432
25,25,25,01-26,0.51183584482102,-0.3048476774270103,-0.5005506164717338
26,26,26,01-27,0.44614744935267625,-0.6907488689762129,-0.3478142680920282
27,27,27,01-28,0.6344031489807221,0.4152014025204012,-0.2846128530346058
28,28,28,01-29,0.5226437001238543,-0.2413545107920436,-0.09695285093278716
29,29,29,01-30,0.5896928571218458,0.15254077913574507,-0.06480308989888736
30,30,30,01-31,0.5786201651108087,0.08749176994239725,0.017814529970468545
31,31,31,02-01,0.5446711860418562,-0.11194911122361156,-0.17133954346196226
32,32,32,02-02,0.5305268553583132,-0.19504314976007744,-0.2865276722840198
33,33,33,02-03,0.4412154441664951,-0.7197230380741834,-0.33589346667545555
34,34,34,02-04,0.4049992327054565,-0.9324832837243892,-0.4736343010250925
35,35,35,02-05,0.5392743578436939,-0.14365398721286904,-0.5963499161087324
36,36,36,02-06,0.43794206516648737,-0.7389532361554241,-0.7037817582337929
37,37,37,02-07,0.4193387118705126,-0.8482428017254517,-0.6842415422666743
38,38,38,02-08,0.42080407420171984,-0.8396342025104395,-0.6588069209496558
39,39,39,02-09,0.4611723470539734,-0.6024817422714716,-0.5921384846255443
40,40,40,02-10,0.4309762366678326,-0.779875555822278,-0.3509981632970432
41,41,41,02-11,0.6073644706458871,0.25635663073179965,0.13340010000585947
42,42,42,02-12,0.6842246028368137,0.7078886918155821,0.8686388203291231
43,43,43,02-13,0.9140665652302964,2.0581467780919644,0.9112016230018448
44,44,44,02-14,1.1717214522540598,3.5717981194291424,0.8525677828178025
45,45,45,02-15,0.5046427836646933,-0.34710492623514194,0.619523649364284
46,46,46,02-16,0.3710920544028092,-1.131678596926531,0.5607478450873088
47,47,47,02-17,0.3693507686655905,-1.1419081699893119,0.4999976808711172
48,48,48,02-18,0.6241954291540425,0.3552338661537312,-0.05281599665744456
49,49,49,02-19,0.8520209292096382,1.6936457927948148,-0.2420650486380085
50,50,50,02-20,0.6071192546185707,0.2549160542577719,0.2522112718035565
51,51,51,02-21,0.3113580749245793,-1.4825992381185258,0.3913314413006594
52,52,52,02-22,0.8759086103319492,1.8339793257228592,0.2292091987036583
53,53,53,02-23,0.5114376175016124,-0.30718715300669425,0.030484823595904213
54,54,54,02-24,0.4586159976445327,-0.6174995894282753,0.003277528024445439
55,55,55,02-25,0.649058840045735,0.5012995421482904,0.026395477797111933
56,56,56,02-26,0.5793317748658284,0.09167228082901928,-0.4599815808253159
57,57,57,02-27,0.33496900529234325,-1.343891539482527,-0.5666025446232742
58,58,58,02-28,0.3791597646713427,-1.084283026011708,-0.5447494557999022
59,59,59,02-29,0.4025430063127802,-0.9469129357944442,-0.8663087863142883
60,60,60,03-01,0.4809350944330921,-0.4863810564880429,-0.877858895764196
61,61,61,03-02,0.32064239150509843,-1.428056440938026,-0.7924298260020072
62,62,62,03-03,0.5675353641700902,0.022371624129573192,-0.7050053507542091
63,63,63,03-04,0.4222198141820985,-0.831317120909393,-0.7121350858261386
64,64,64,03-05,0.4684485302328386,-0.5597361745249199,-0.6726377280840601
65,65,65,03-06,0.3952612326269939,-0.9896913462260216,-0.6183259250436605
66,66,66,03-07,0.5212747167840974,-0.2493969100355717,-0.9195261970153626
67,67,67,03-08,0.37611237099483535,-1.1021856226956297,-0.7731546344070835
