,unnamed: 0,unnamed: 0,mth_day,characters,characters_norm,characters_ravg
0,0,0,01-01,,,
1,1,1,01-02,7.40567518834138,-1.2658406680780296,
2,2,2,01-03,8.0769668023756,-0.6433520125280563,
3,3,3,01-04,7.434762163087454,-1.2388683189153662,
4,4,4,01-05,6.1853306114714375,-2.3974660885093204,-1.4020944398385051
5,5,5,01-06,7.6803390683602535,-1.0111448759265536,-1.7152505739863546
6,6,6,01-07,6.769361091382412,-1.855894675073706,-1.9570205013268056
7,7,7,01-08,5.379430197086762,-3.1447774729651234,-1.8363483053431082
8,8,8,01-09,6.512619018984282,-2.0939715765707634,-1.7125165826385074
9,9,9,01-10,8.215559363056157,-0.5148351430131773,-1.7447832307437732
10,10,10,01-11,6.986571208502707,-1.6544757522817195,-1.3299036478658115
11,11,11,01-12,7.471560995767872,-1.2047447645581475,-0.7271294637788893
12,12,12,01-13,9.453797336157942,0.6333828221940637,-0.5040240253806509
13,13,13,01-14,9.27961939404203,0.4718676315564093,-0.3640996499074178
14,14,14,01-15,7.95620012048895,-0.7553389461813337,-0.28118839574977
15,15,15,01-16,9.120925836967256,0.3247111098262224,-0.12094542621874795
16,16,16,01-17,7.52304006584355,-1.1570082273358333,-0.1576444553848315
17,17,17,01-18,8.508396870880267,-0.2432869473720153,-0.3617358655128238
18,18,18,01-19,9.216339991648203,0.4131886471975627,-0.4524040262568167
19,19,19,01-20,7.959066633179638,-0.7526808292115442,-0.6340343873882036
20,20,20,01-21,7.369540986144653,-1.299347910645291,-0.6140455184307892
21,21,21,01-22,7.9457050146011055,-0.7650710569620991,-0.6769923803934993
22,22,22,01-23,7.652376014238811,-1.0370750135913471,-0.057974961053753465
23,23,23,01-24,8.101105587526643,-0.6209681191482758,-0.16640096209897018
24,24,24,01-25,13.221629394168227,4.127293163236038,-0.2737940677424756
25,25,25,01-26,7.257507194986056,-1.4032368354828444,-0.3521765435574926
26,26,26,01-27,6.6746647928439184,-1.943706544506324,-0.16876471687835895
27,27,27,01-28,7.438539158008528,-1.235365911852201,-0.2702821008276948
28,28,28,01-29,8.839123628673198,0.06339594648345462,-1.186732567561288
29,29,29,01-30,7.444247655261142,-1.2300724228442907,-1.1018265980489177
30,30,30,01-31,7.291829637874187,-1.3714096371655211,-0.9735343011888246
31,31,31,02-01,7.806882655633532,-0.8938010184086231,-0.5019277400223711
32,32,32,02-02,7.5047670823509955,-1.1739527633457654,-0.5041251555130003
33,33,33,02-03,10.490021559931341,1.5942734551465212,-0.2904599695975806
34,34,34,02-04,8.824905474704382,0.050211453539679325,-0.2314553660819303
35,35,35,02-05,8.826746560941864,0.051918692648227134,-0.09647974371099473
36,36,36,02-06,7.67361293795192,-1.0173820160716187,-0.048459237864851734
37,37,37,02-07,8.680228724727169,-0.0839472841830098,-0.429660800541625
38,38,38,02-08,7.815478892972343,-0.8858297282689075,-0.3805025104383528
