,unnamed: 0,unnamed: 0,mth_day,cute,cute_norm,cute_ravg
0,0,0,01-01,,,
1,1,1,01-02,3.0079327606908315,-0.4825229532440233,
2,2,2,01-03,2.7618606458154584,-0.9218988888029082,
3,3,3,01-04,2.3857552377964937,-1.5934567595546691,
4,4,4,01-05,2.3659514415377463,-1.6288175785292685,-1.3298709015085823
5,5,5,01-06,2.4062952951639085,-1.5567813039598262,-1.5540424213087454
6,6,6,01-07,2.272462244567876,-1.7957479249607984,-1.5137742879327802
7,7,7,01-08,2.25465035934284,-1.8275520720450031,-1.2091574902754183
8,8,8,01-09,2.897173446631052,-0.6802900885471149,-0.9043698304893312
9,9,9,01-10,3.4093574912621696,0.23424402638950045,-0.8638816336314608
10,10,10,01-11,3.390127842132997,0.19990838018725465,-0.7282284291415243
11,11,11,01-12,2.5423475741623065,-1.3138521228126037,-0.6367593523214513
12,12,12,01-13,2.728297007698456,-0.9818286980211798,-0.7406322996350512
13,13,13,01-14,2.562013426237024,-1.278737611124565,-0.9190310509544832
14,14,14,01-15,2.5481297177165425,-1.3035277724287135,-1.3322089637924546
15,15,15,01-16,2.8098850876705743,-0.8361484815270915,-1.1148116044639564
16,16,16,01-17,2.001728233458392,-2.279159096840574,-0.970899429422746
17,17,17,01-18,3.2728667990293547,-0.009467966841613202,-0.918686320232732
18,18,18,01-19,3.211884346959456,-0.11835564777391627,-1.017894226503463
19,19,19,01-20,2.7374648676492077,-0.9654589559844821,-0.9741861151220679
20,20,20,01-21,2.214761902148616,-1.8987752100530988,-0.8490221459479979
21,21,21,01-22,2.956757228828885,-0.5738998132387217,-0.9940078101670624
22,22,22,01-23,2.422316073277376,-1.5281752817961551,-1.1972027312606848
23,23,23,01-24,2.7856722196227923,-0.879381952156,-1.33703091226009
24,24,24,01-25,2.5290895020140898,-1.3375251743356502,-1.2767697819206951
25,25,25,01-26,2.2676009524950898,-1.8044280419809118,-1.3923747707938745
26,26,26,01-27,2.4172570675044525,-1.5372084280167333,-1.2039724156750224
27,27,27,01-28,2.5682903811944207,-1.2675297464777973,-1.1075699257468985
28,28,28,01-29,3.0554035351015187,-0.3977611510830421,-1.0284995575656042
29,29,29,01-30,3.1096130091294967,-0.3009670125872568,-0.7072024380331774
30,30,30,01-31,2.794789252241826,-0.8631029652478835,-0.5910693213903694
31,31,31,02-01,3.3472540054936752,0.1233546752136476,-0.4637474160618065
32,32,32,02-02,2.8074985801582697,-0.8404097281598846,-0.6875570249628989
33,33,33,02-03,2.996129522739248,-0.50359831450642,-0.8794357458827521
34,34,34,02-04,2.3033372610803577,-1.7406188044895976,-0.9032818578318316
35,35,35,02-05,2.4648439332409247,-1.4522393381063754,-1.139370364948128
36,36,36,02-06,2.7146592852958533,-1.0061796369423597,-1.2259518945379153
37,37,37,02-07,2.5539270131542287,-1.293176367484132,-1.2858501555021908
38,38,38,02-08,2.516559113004201,-1.3598989056986084,-0.9167084788183768
39,39,39,02-09,2.794853705472362,-0.8629878802920731,-0.7113625809075738
40,40,40,02-10,3.5437621326157327,0.4742312556132869,-0.4814035620822179
41,41,41,02-11,3.154866694486872,-0.22016395064155653,-0.3300014106315185
42,42,42,02-12,3.48738938975699,0.3735744760097752,0.055648860357267765
43,43,43,02-13,3.062682881498714,-0.3847634587799357,-0.0122208616946801
44,44,44,02-14,3.8124577288047488,0.9540027202341096,-0.2607420739693745
45,45,45,02-15,2.5667914286421603,-1.27020621260376,-0.3549353805806252
46,46,46,02-16,2.7086575852803696,-1.0168960180348798,-0.6408772183019635
47,47,47,02-17,2.8383494122813437,-0.7853237903090602,-0.6705952196053854
48,48,48,02-18,2.526540507808916,-1.3420765503182548,-0.7993108718471764
49,49,49,02-19,2.9628216350519745,-0.5630714666004663,-0.4992944482364427
50,50,50,02-20,3.3799351866985825,0.1817088067833626,-0.2844004890134557
51,51,51,02-21,3.5749350689350647,0.5298923290606423,-0.11895503849380068
52,52,52,02-22,3.4307646476894234,0.2724677373030418,0.14752266995011734
53,53,53,02-23,3.394294906029365,0.20734891280887024,0.3228578385905353
54,54,54,02-24,3.421984176573293,0.25678970034525306,0.2649642491259097
55,55,55,02-25,3.5519994975741565,0.4889395452420417,0.2560499720740625
56,56,56,02-26,3.1853956567286543,-0.16565273000439154,0.10479588298188833
57,57,57,02-27,3.5449804697518923,0.4764066667495596,-0.035572963912396484
58,58,58,02-28,2.9225063125243467,-0.6350567972500034,-0.03723024509269271
59,59,59,02-29,2.9226141940583057,-0.6348641685568386,-0.12419976481248834
60,60,60,03-01,3.4164152231740603,0.2468460132634757,-0.10654408370476408
61,61,61,03-02,3.2597562691880966,-0.032877573076732274,-0.22794074480063545
62,62,62,03-03,3.2447239508586003,-0.059718643358045935,-0.0944035224386562
63,63,63,03-04,3.1370518958302567,-0.25197329982566824,-0.04887275408764363
64,64,64,03-05,3.371230751827984,0.16616653692187194,-0.107634223208944
65,65,65,03-06,3.0756110000274326,-0.3616795584507632,-0.27605743147440026
66,66,66,03-07,3.2189593616717254,-0.1057228014643265,-0.3731083846714517
67,67,67,03-08,2.693804631450913,-1.04341682266947,-0.4072136089849373
68,68,68,03-09,2.918604133575133,-0.6420243625403547,-0.410893417436003
69,69,69,03-10,3.0224482865391376,-0.4566046457065814,-0.4997512470014401
