,unnamed: 0,unnamed: 0,mth_day,less than 300 ratings,less than 300 ratings_norm,less than 300 ratings_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.20435243066895045,0.8310810358398162,
2,2,2,01-03,0.2042295460596974,0.8297715894657015,
3,3,3,01-04,0.2138611375271771,0.9324048858622704,
4,4,4,01-05,0.1356175116154427,0.09864846290192084,0.4493762634203073
5,5,5,01-06,0.11550979085199654,-0.11561744236848047,0.4982547230419821
6,6,6,01-07,0.13761833572054308,0.11996904882061553,0.4473145709099217
7,7,7,01-08,0.2318743385388849,1.1243517935698648,0.210247169761458
8,8,8,01-09,0.1755467646318368,0.5241306766733397,0.3982661646116208
9,9,9,01-10,0.08037601496248106,-0.4899995210285118,0.21282079274899854
10,10,10,01-11,0.2414850347353653,1.2267624320028978,0.053551112823158296
11,11,11,01-12,0.011091393078970696,-1.2282896735442144,-0.02578197934319315
12,12,12,01-13,0.047938638542665335,-0.8356490307344259,-0.2321526294301267
13,13,13,01-14,0.1872043945484419,0.6483532405717561,-0.2273416770740616
14,14,14,01-15,0.05934600743300655,-0.7140932238482616,-0.5098845591206665
15,15,15,01-16,0.08308490940259047,-0.4611338068921213,-0.33754426447695657
16,16,16,01-17,0.08239411351606914,-0.4684948602767316,-0.2132694615148724
17,17,17,01-18,0.10813073818464647,-0.19424790568195474,-0.4636782473110326
18,18,18,01-19,0.11791383219954645,-0.09000021296192033,-0.34112457987257755
19,19,19,01-20,0.046207162110127036,-0.8540994742052054,-0.09115129930039097
20,20,20,01-21,0.1283520843525838,0.02122878078246834,-0.03521593299024268
21,21,21,01-22,0.22383692268416736,1.0387058765409982,0.07741795142871215
22,22,22,01-23,0.11388954136249575,-0.13288266241584187,0.03998675550946107
23,23,23,01-24,0.17155130041195304,0.4815554008317743,-0.04207641097251463
24,24,24,01-25,0.0968375148703017,-0.3145873884774268,-0.16151095768834633
25,25,25,01-26,0.0,-1.3464784730970596,-0.4340397349843721
26,26,26,01-27,0.061102285225467415,-0.6953784995125218,-0.4433704253436073
27,27,27,01-28,0.07038462572755351,-0.5964667872351563,-0.4032818066576815
28,28,28,01-29,0.10863572603326063,-0.18886680457125252,-0.3199623711601828
29,29,29,01-30,0.19412392808162127,0.7220871129473291,-0.1906523338716357
30,30,30,01-31,0.14375204215463208,0.1853292245075652,0.258543437549879
31,31,31,02-01,0.07281037414965978,-0.570618249365777,0.3395170977610665
32,32,32,02-02,0.3140301543178251,1.999796129016567,0.28594092553139056
33,33,33,02-03,0.1159783214674136,-0.11062482596803154,0.016117265644397045
34,34,34,02-04,0.07846868542801587,-0.5103238379493084,-0.1987581620190232
35,35,35,02-05,0.04219479680340642,-0.8968548463746321,-0.28348261436504124
36,36,36,02-06,0.02276251487740611,-1.1039233414729561,-0.7915257806614476
37,37,37,02-07,0.02510472651170214,-1.078964963441885,-0.8992842901618229
38,38,38,02-08,0.02796718660189652,-1.048462868761872,-0.7000704438754277
39,39,39,02-09,0.055302927978629145,-0.7571758829702826,-0.5947471365387563
40,40,40,02-10,0.19063967376002466,0.6849592397690624,-0.6100229114115411
41,41,41,02-11,0.10149900531392284,-0.2649150023546036,-0.4968694167598429
42,42,42,02-12,0.0141612113186457,-1.1955779907096638,-0.48809858064199396
43,43,43,02-13,0.08881786475438487,-0.4000439955316965,-0.5201465827683527
44,44,44,02-14,0.03290576579293738,-0.9958378520547779,-0.4086432617833806
45,45,45,02-15,0.037257716063931655,-0.9494638957284348,-0.40058767001093387
46,46,46,02-16,0.25342365163274994,1.3539791656788946,-0.40284644607438747
47,47,47,02-17,0.10603485313554216,-0.2165814517199232,-0.5567703082795403
48,48,48,02-18,0.012889366272824858,-1.2091306470903849,-0.5827673279008035
49,49,49,02-19,0.002148227712137476,-1.3235871687626135,-0.5512844733031194
50,50,50,02-20,0.018267669902697715,-1.1518199697823572,-0.9163838693779082
51,51,51,02-21,0.054984711358517006,-0.7605667681423288,-1.015433040472184
52,52,52,02-22,0.047847779972440406,-0.8366172107698384,-1.0222394785952955
53,53,53,02-23,0.050263411429936684,-0.810876478285577,-0.6848529971592762
54,54,54,02-24,0.009056877188745288,-1.249969275829056,-0.5208146520628033
55,55,55,02-25,0.19211983750742406,0.7007317198535037,-0.4754169886664556
56,56,56,02-26,0.11063245094992304,-0.1675898992035199,-0.5149949177603769
57,57,57,02-27,0.0805466934499192,-0.4881807877642426,0.24095285723259474
58,58,58,02-28,0.02556270538873413,-1.0740847853333662,0.8804200277696527
59,59,59,02-29,0.4759135890106682,3.724810171672253,0.5392183289445588
