,unnamed: 0,unnamed: 0,mth_day,johnny depp,johnny depp_norm,johnny depp_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.2074756833108561,-0.8782637807969098,
2,2,2,01-03,0.4814889469183249,0.8110916854306701,
3,3,3,01-04,0.3546489408217203,0.029093563096719142,
4,4,4,01-05,0.1438752803485853,-1.270375049368584,-0.3693334355876801
5,5,5,01-06,0.1949781990120591,-0.9553136766169557,-0.21546949086660008
6,6,6,01-07,0.35767771252900943,0.0477666447289793,-0.6609547617144532
7,7,7,01-08,0.35721596883651713,0.044919887529570816,-0.862369881790522
8,8,8,01-09,0.04794298671849692,-1.8618199396564483,-0.8340726458450991
9,9,9,01-10,0.1586318840378917,-1.1793971573596935,-0.9809773364569364
10,10,10,01-11,0.1714141309723343,-1.1005916336960473,-1.0361712407438344
11,11,11,01-12,0.052010654814801716,-1.8367418202879788,-1.1751341063607978
12,12,12,01-13,0.3039630427135553,-0.2833967809924086,-0.7634348300443542
13,13,13,01-14,0.2219774032799864,-0.7888573061722124,-0.6272025522125739
14,14,14,01-15,0.4486084402013507,0.6083757182422156,-0.608209634215242
15,15,15,01-16,0.29121304343375565,-0.3620034903690131,-0.34465675993500505
16,16,16,01-17,0.1898980257473026,-0.9866341257120542,-0.137734988984002
17,17,17,01-18,0.30850013139342,-0.2554245746065577,-0.06175026611259985
18,18,18,01-19,0.5053391683539477,0.9581338447136096,-0.06932383769539614
19,19,19,01-20,0.2959256834893468,-0.3329489689437995,-0.07469633357948773
20,20,20,01-21,0.4412378455288121,0.5629342887454378,-0.12740756881624932
21,21,21,01-22,0.28598453412231395,-0.3942384656735626,-0.038166914225982035
22,22,22,01-23,0.13859948774952058,-1.3029015371326238,-0.3119335584207563
23,23,23,01-24,0.3953490752643665,0.28001935293504604,-0.24428599758064976
24,24,24,01-25,0.2389096578962506,-0.684466020455036,-0.3392922244862973
25,25,25,01-26,0.36176024332514617,0.07293639609683991,-0.3665741681146753
26,26,26,01-27,0.34877785063295585,-0.0071030726884473965,-0.38084801764242826
27,27,27,01-28,0.2594337652855093,-0.55793012744383,-0.3275624564536204
28,28,28,01-29,0.1247081871741284,-1.3885446342991417,-0.37933424688940615
29,29,29,01-30,0.4472065468849677,0.5997327200678928,-0.3704057477052397
30,30,30,01-31,0.1885253869347696,-0.9950967630697504,-0.6004039328524335
31,31,31,02-01,0.3704494526105075,0.12650739120183924,-0.6701158360732409
32,32,32,02-02,0.12494377451618645,-1.3870921835716108,-0.5148767293208008
33,33,33,02-03,0.1915901888599611,-0.9762015467686735,-0.691784542618306
34,34,34,02-04,0.2757867794460071,-0.4571099937845009,-0.5147038814810109
35,35,35,02-05,0.27503998425777504,-0.4617141597171386,-0.4583550028748609
36,36,36,02-06,0.3608601649611552,0.0673872037540212,-0.15794214899724465
37,37,37,02-07,0.42528814264169895,0.4646006628387385,-0.07332705720584039
38,38,38,02-08,0.4173053579707013,0.4153849396940871,-0.08878193689430064
39,39,39,02-09,0.27393753818597244,-0.4685109960202481,-0.1266348085318811
40,40,40,02-10,0.26074610112783503,-0.5498392719152624,-0.20796286541825648
41,41,41,02-11,0.23820159552900266,-0.6888313895426212,-0.419480020226008
42,42,42,02-12,0.281711755751388,-0.42058113756423104,-0.6123812278831527
43,43,43,02-13,0.219439792582149,-0.8045022660077706,-0.7068055076674854
44,44,44,02-14,0.2295740349165077,-0.7420223062487817,-0.7587107181199767
45,45,45,02-15,0.18204389382964314,-1.0350566747262429,-0.9259218119389764
46,46,46,02-16,0.2102319858975583,-0.8612705346302103,-1.0483262286096622
47,47,47,02-17,0.07547187365099141,-1.6920979524566182,-0.8840557739902027
48,48,48,02-18,0.16258786135821798,-1.1550076375883471,-0.5753651788760272
49,49,49,02-19,0.3793076864070363,0.18112046170898524,-0.2536749599707283
50,50,50,02-20,0.5299915104678804,1.1101212644362712,0.11094382988456436
51,51,51,02-21,0.4951125943430281,0.8950846387055506,0.3223746588742682
52,52,52,02-22,0.56507874223106,1.3264422045015456,0.6013050607015016
53,53,53,02-23,0.28123621148359546,-0.4235129785183952,0.789381553554131
54,54,54,02-24,0.4340427372039623,0.5185747733750531,0.6438766629529088
55,55,55,02-25,0.5623436003209167,1.3095794188247618,0.4386095753119225
56,56,56,02-26,0.3883862506813621,0.2370919208289389,0.3563499616339425
57,57,57,02-27,0.2953468053656246,-0.33651788714036746,0.5888524414918652
58,58,58,02-28,0.4850237425903045,0.8328845224336655,0.5385318830366513
59,59,59,02-29,0.5075074654961007,0.9715019006291412,0.2506641585145973
60,60,60,03-01,0.3850708042111245,0.2166514226437696,0.1916980221720057
61,61,61,03-02,0.2821909281552912,-0.4176269283075622,0.2032835177493509
62,62,62,03-03,0.3310004472152494,-0.11670489722661062,-0.09900073187294724
63,63,63,03-04,0.3066218017194018,-0.2670049136762961,-0.2781998055994395
64,64,64,03-05,0.19084091807994544,-0.9808209753001236,-0.19125300723863686
65,65,65,03-06,0.3331110497901239,-0.1036925417298125,-0.1134232226902682
66,66,66,03-07,0.4696873687720415,0.738332212808585,0.058297225199928124
67,67,67,03-08,0.35793482112384784,0.0493517789826502,0.15323904053474616
68,68,68,03-09,0.4981186693840946,0.9136177901145672,0.191670409340395
69,69,69,03-10,0.3990191113186824,0.3026459783326121,0.15209738880437565
70,70,70,03-11,0.2282422998561103,-0.7502327624662304,-0.13826710068222478
71,71,71,03-12,0.29459861333258824,-0.3411306649459284,-0.2977044811067279
72,72,72,03-13,0.18710484665450305,-1.0038547241110176,-0.4570845000011437
73,73,73,03-14,0.2027704717923203,-0.9072725035643682,-0.5291367530628985
74,74,74,03-15,0.3430101442543255,-0.042662323251927585,-0.42971412639574585
75,75,75,03-16,0.3288979080322818,-0.1296675400379171,-0.04817597936865434
76,76,76,03-17,0.32500033197233075,-0.1536970024633141,0.2336045813548821
77,77,77,03-18,0.6659112764671178,1.9480982172166208,0.2354634993526976
78,78,78,03-19,0.4613334951842871,0.6868286402302011,0.231027632383098
79,79,79,03-20,0.20457956951346784,-0.8961189955774754,0.24496643787062505
80,80,80,03-21,0.3386931615603891,-0.06927752506952492,0.3984777589165846
81,81,81,03-22,0.3424631439774057,-0.04603470711275486,0.04858046851069745
82,82,82,03-23,0.4743974443790952,0.7673709238124432,-0.1914897375256366
83,83,83,03-24,0.3253914733058873,-0.151285525218702,-0.2595480271224157
84,84,84,03-25,0.22769733524278365,-0.7535925959878034,0.014513499596836071
85,85,85,03-26,0.13834528873323776,-1.30446873315815,-0.06503354758661062
86,86,86,03-27,0.6054096514887596,1.5750916352459856,-0.0774405149748525
87,87,87,03-28,0.26504801218960994,-0.5233169902134351,0.013023884355796187
88,88,88,03-29,0.4623229922220891,0.692929119482992,0.12033115355580055
89,89,89,03-30,0.4134313647192709,0.3915008707651902,0.31039602837712216
90,90,90,03-31,0.3321286960668909,-0.1097489807877771,-0.050813344989384016
91,91,91,04-01,0.3233162946159727,-0.16407948423022015,-0.10286362272714483
92,92,92,04-02,0.2538809369449198,-0.5921646049530516,0.1703109263062057
93,93,93,04-03,0.21439271757675551,-0.8356186566400001,0.135537041272912
94,94,94,04-04,0.728176276074582,2.3319764136830954,0.14093154689089274
