,unnamed: 0,unnamed: 0,mth_day,friends,friends_norm,friends_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.662690207935681,-1.0951838044347657,
2,2,2,01-03,2.866720859981484,-0.6815923912312587,
3,3,3,01-04,2.4535392426605402,-1.51915462663066,
4,4,4,01-05,2.501749300469272,-1.4214278108811322,-1.2968466525207871
5,5,5,01-06,2.5454334787317405,-1.3328754250457304,-1.3547388761120638
6,6,6,01-07,2.3491088836984706,-1.7308458569011769,-1.5177876474121008
7,7,7,01-08,2.491335758825333,-1.4425371459824248,-1.3517594359220209
8,8,8,01-09,2.3841148958110727,-1.6598850190314838,-1.2396954820747543
9,9,9,01-10,2.944964013585143,-0.5229853576901803,-1.076292522976885
10,10,10,01-11,2.8334459582483547,-0.7490440877975328,-0.710984939736128
11,11,11,01-12,3.0290877988161955,-0.3524576704585146,-0.7017557933135606
12,12,12,01-13,3.4303781077654634,0.4609996425433648,-0.6585887983657441
13,13,13,01-14,2.5186529907935333,-1.3871622674470208,-0.5692534689462644
14,14,14,01-15,2.5118843297726117,-1.400883049344585,-0.6136285531924248
15,15,15,01-16,3.209386507819292,0.01302661882669777,-0.4107855085288421
16,16,16,01-17,2.7021007162878803,-1.0152945932744957,-0.2277644530901149
17,17,17,01-18,3.629480321646004,0.864600597522982,-0.13275522972440645
18,18,18,01-19,3.9720997792581993,1.5591259751757267,0.08756066693235398
19,19,19,01-20,2.7998695708505155,-0.8171069272527697,-0.0022784968855219176
20,20,20,01-21,3.163994522816918,-0.0789876694040223,0.2554195504072144
21,21,21,01-22,2.943472720619968,-0.5260083640805576,-0.11003456416163626
22,22,22,01-23,3.464857856908629,0.5308936904819219,-0.7778348752067448
23,23,23,01-24,2.5477773813828577,-1.3281240898901217,-0.9663188059037984
24,24,24,01-25,1.9954862150126491,-2.447675891094924,-1.3060566749013325
25,25,25,01-26,2.2419784050392004,-1.9480105114350919,-1.5515488733187726
26,26,26,01-27,2.1584087675520585,-2.117414883389227,-1.8533848903991388
27,27,27,01-28,2.216843515328096,-1.9989615545851973,-1.6486984744924913
28,28,28,01-29,2.571457306368,-1.2801224120002757,-1.3726312867805377
29,29,29,01-30,3.1536260750809912,-0.10000559445023616,-1.2802963601677109
30,30,30,01-31,2.8126139384492896,-0.7912727648232014,-1.0332343298332325
31,31,31,02-01,2.51527936848275,-1.3940009517581324,-0.7367097366612191
32,32,32,02-02,2.8896844981741565,-0.6350427013823547,-0.8349892854645021
33,33,33,02-03,3.0945228504558746,-0.21981399555311867,-1.1627689511369277
34,34,34,02-04,2.280560932048432,-1.8697997048199737,-0.8450147060244718
35,35,35,02-05,2.1834352522614666,-2.066683588484789,-0.7476125424562096
36,36,36,02-06,3.753130647707695,1.115252705851533,-0.6573344543014324
37,37,37,02-07,2.803578781513251,-0.8095879703485597,-0.871421837468695
38,38,38,02-08,3.156897451881264,-0.09337417245369237,-0.5789425307262515
39,39,39,02-09,2.4608483544976645,-1.5043382945566923,-0.017153044411460042
40,40,40,02-10,3.1462666758260776,-0.11492386436531304,-0.19132002345402252
41,41,41,02-11,3.8462687378621476,1.3040533294039591,-0.1581252990044218
42,42,42,02-12,3.2376160432289534,0.0702508315961573,-0.10795690150363878
43,43,43,02-13,2.9018314200988637,-0.6104196236509549,0.06867060581306972
44,44,44,02-14,3.305390247341809,0.20763621255100576,0.031101734472319488
45,45,45,02-15,2.9836458450150114,-0.4445732506564415,-0.39130809115915904
46,46,46,02-16,3.035067056033588,-0.3403370924098144,-0.5414139265871529
47,47,47,02-17,2.5959833198947706,-1.2304056243849115,-0.6859274035615908
48,48,48,02-18,2.7933197087228416,-0.8303841809718062,-0.886662490548987
49,49,49,02-19,2.474087835557966,-1.4775004854975815,-0.8728798380517994
50,50,50,02-20,2.7112370413656937,-0.996774309373372,-0.9222750527941672
51,51,51,02-21,3.024440941133772,-0.36187733567331604,-0.7353484967964512
52,52,52,02-22,2.8888627942898526,-0.6367083808640229,-0.7306130111621951
53,53,53,02-23,3.149264832334547,-0.10884628839861536,-0.20613466097597075
54,54,54,02-24,2.807336211834845,-0.8019712671662694,-0.008866630595772732
55,55,55,02-25,4.026484568510659,1.6693696156197648,0.11187318706324063
56,56,56,02-26,3.2951281510168307,0.18683387290781603,0.27315800836652016
57,57,57,02-27,3.381817176786977,0.3625615702807641,0.10907477668900516
58,58,58,02-28,3.3662476655188924,0.3310005469556541,0.13416693682415715
59,59,59,02-29,2.663596982178195,-1.0933456784637052,-0.28938580670018543
60,60,60,03-01,2.8816061743656247,-0.6514183063553574,-0.4612961154012129
61,61,61,03-02,2.772816242550444,-0.8719468455262909,-0.4839284040372728
62,62,62,03-03,2.7862930361000635,-0.8446279792983488,-0.6314708519063694
63,63,63,03-04,3.314828156314756,0.22676783846440465,-0.4903833771538369
64,64,64,03-05,2.9295386689273215,-0.5542541402589256,-0.2693910237107525
65,65,65,03-06,3.0811999867418898,-0.2468208299485101,-0.3988804096636637
66,66,66,03-07,3.535718603164181,0.6745358143031488,-0.1837962525329853
67,67,67,03-08,2.389542272072969,-1.6488831612437582,-0.2796823147584032
68,68,68,03-09,3.4229178705112338,0.44587696348572187,-0.1896939274420479
69,69,69,03-10,3.0310162321779734,-0.3485485348881029,-0.13733195472355136
70,70,70,03-11,3.1958941408433486,-0.014323816360793662,-0.21561590742224127
