,unnamed: 0,unnamed: 0,mth_day,scary,scary_norm,scary_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.815522376893812,-0.6232057148722863,
2,2,2,01-03,2.728722445942797,-0.7853382695891149,
3,3,3,01-04,3.2080293750452733,0.10995342082385387,
4,4,4,01-05,2.570445445008644,-1.0809819899609023,-1.134989585143835
5,5,5,01-06,2.2218781937120116,-1.7320665971046545,-1.4065762858867041
6,6,6,01-07,1.7045925044662396,-2.6982983601599067,-1.6269064417239598
7,7,7,01-08,1.943135942983585,-2.252725919329502,-1.8080808289947048
8,8,8,01-09,2.0209814615426445,-2.107319204612649,-1.8306325910017958
9,9,9,01-10,2.626063920939193,-0.97709290280062,-1.5861086668518098
10,10,10,01-11,2.4980050376472227,-1.2162925620034462,-1.1927247806649712
11,11,11,01-12,3.0073340117305305,-0.2649230522047365,-0.8927776924587821
12,12,12,01-13,2.9682138993636213,-0.3379950430388753,-0.7928483319189983
13,13,13,01-14,2.906621157562243,-0.4530433900923677,-0.8081728908514711
14,14,14,01-15,2.3419729469348844,-1.5077430413739457,-0.8572652151564522
15,15,15,01-16,2.5768386191045343,-1.0690402563954569,-0.9410656599297842
16,16,16,01-17,2.3403114627569908,-1.5108465078333315,-0.8276922911888119
17,17,17,01-18,2.73815157026366,-0.7677257208447281,-0.8971828019754725
18,18,18,01-19,3.332390011764525,0.3422451694069577,-0.5902541250342285
19,19,19,01-20,2.683404855990944,-0.8699864548123295,-0.43013259722731895
20,20,20,01-21,3.3278843086074272,0.3338290202735186,-0.3818348858813743
21,21,21,01-22,3.0911784165012386,-0.10831108955399964,-0.40838989883510796
22,22,22,01-23,2.495452594674955,-1.2210602397576638,-0.6437015847066011
23,23,23,01-24,2.652851984570469,-0.9270557985671296,-0.6036448286308705
24,24,24,01-25,2.576525597441856,-1.0696249458220006,-0.8841451663943758
25,25,25,01-26,2.8120745238772336,-0.6296459183579467,-0.9677259827250334
26,26,26,01-27,2.4268656331613205,-1.3491730063075125,-0.46489547951798
27,27,27,01-28,2.822701461987028,-0.6097959875379452,-0.3946998544578861
