,unnamed: 0,unnamed: 0,mth_day,gritty,gritty_norm,gritty_ravg
0,0,0,01-01,,,
1,1,1,01-02,5.3761011245861186,-0.8222175086162321,
2,2,2,01-03,5.515526473587428,-0.6349090713772342,
3,3,3,01-04,5.273741397799989,-0.959730813032202,
4,4,4,01-05,4.354649311489429,-2.1944682807787563,-1.2399067704739517
5,5,5,01-06,4.900973165699528,-1.4605194824327985,-1.4495378563665708
6,6,6,01-07,4.970142304731187,-1.3675954666064876,-1.7825115559258216
7,7,7,01-08,4.439852194972471,-2.080004023971948,-1.6416069147035846
8,8,8,01-09,4.02840795548019,-2.632751268732737,-1.3268305302495036
9,9,9,01-10,5.9030460591777825,-0.11430296569878046,-1.106437465090517
10,10,10,01-11,5.760495451902722,-0.30580997405427096,-0.8146026192839009
11,11,11,01-12,5.885286968543958,-0.13816109147887876,-0.4571390435616538
12,12,12,01-13,6.2735275390678815,0.38341360823320864,-0.14290774565296335
13,13,13,01-14,6.036346764090206,0.0647774303615363,-0.013125803265978259
14,14,14,01-15,5.431819644473761,-0.7473634812805948,-0.1558161947037142
15,15,15,01-16,6.482674810923292,0.66438868862313,-0.012137468591846971
16,16,16,01-17,5.1232153191357535,-1.1619523226806865,0.09397114762118007
17,17,17,01-18,6.526981176049963,0.7239112651923245,0.05987683626882076
18,18,18,01-19,6.7474270942279375,1.0200653055113709,0.15325051787716912
19,19,19,01-20,5.884075633243174,-0.1397884377526196,0.052758791527378536
20,20,20,01-21,5.848842764340067,-0.1871213916305048,-0.040217155395860016
21,21,21,01-22,6.033861263879928,0.06143833052438665,-0.29209608262716136
22,22,22,01-23,4.707968551624915,-1.7198080042201178,-0.7493410981571346
23,23,23,01-24,5.402046031014578,-0.7873622981954835,-1.1796601714987227
24,24,24,01-25,4.70529124143558,-1.7234047876684682,-1.5779414866709924
25,25,25,01-26,3.962195726487502,-2.721702877802148,-1.8505826621936423
26,26,26,01-27,4.070049063838224,-2.576809282664123,-1.6241147390463306
27,27,27,01-28,4.816198302946543,-1.5744087226115142,-1.3678647348962352
28,28,28,01-29,5.7194137279720225,-0.3610004653362458,-1.2197075532841268
29,29,29,01-30,6.546503166641456,0.7501377267050903,-0.9985261426747356
30,30,30,01-31,5.366987010974093,-0.8344616979958178,-0.6356125133406669
31,31,31,02-01,4.9500304173765866,-1.3946144141458012,-0.3640201212638629
