,unnamed: 0,unnamed: 0,mth_day,woman director,woman director_norm,woman director_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.0250411041496954,-0.3343881020237466,
2,2,2,01-03,2.1916989973734755,0.05415094253058306,
3,3,3,01-04,1.88478667490532,-0.6613712462301248,
4,4,4,01-05,1.5257297048525025,-1.4984612237061403,-0.9467674487666828
5,5,5,01-06,1.3711264276343142,-1.8588966549561003,-1.2022558817030484
6,6,6,01-07,1.5758390685912949,-1.3816384082145676,-1.4349305094452431
7,7,7,01-08,1.3675139201047593,-1.86731869964194,-1.4484242296760923
8,8,8,01-09,1.5928856146316666,-1.3418968239225837,-1.049187023167048
9,9,9,01-10,1.8500591228055712,-0.7423335676152232,-0.5749207746854834
10,10,10,01-11,2.553209943956876,0.8969620153481256,-0.1537126606035352
11,11,11,01-12,2.5917020414403207,0.9867008359332876,0.09765367093365143
12,12,12,01-13,2.6598638205774754,1.1456102762771214,0.20205668418674114
13,13,13,01-14,2.0144324292511926,-0.3591207104188204,0.2448114341950448
14,14,14,01-15,1.8615780893599,-0.7154787444040452,-0.0673927544305768
15,15,15,01-16,1.9600931077277264,-0.4858050675654012,-0.3501537287592565
16,16,16,01-17,1.7497186131177658,-0.976263116405604,-0.571348585107803
17,17,17,01-18,1.863986015038268,-0.7098650100387909,-0.5781725809851617
18,18,18,01-19,2.0905948742361398,-0.1815588618141566,-0.5730035292740912
19,19,19,01-20,1.9968701359543704,-0.4000646856829729,-0.4176338080867181
20,20,20,01-21,1.874881204403896,-0.6844644341376218,-0.17511916586201712
21,21,21,01-22,2.359953931499835,0.44641325955883737,-0.16618714532620066
22,22,22,01-23,2.3738563400550534,0.4788247369426015,-0.37371061701209934
23,23,23,01-24,1.8869735383607416,-0.6562728868238921,-0.6627857143171639
24,24,24,01-25,1.556510718673433,-1.4266996919295492,-0.7238938292135675
25,25,25,01-26,1.252904029450218,-2.1345152695133613,-0.8295158282061057
26,26,26,01-27,1.7176128449391281,-1.0511131235160427,-1.0838785297161817
27,27,27,01-28,2.088124264799979,-0.18731873439639246,-1.120089646361048
28,28,28,01-29,1.7192263478955263,-1.0473514721178534,-0.9591256875237528
29,29,29,01-30,1.7937803034069224,-0.8735395866930916,-0.6872798234719628
30,30,30,01-31,1.9707689196048737,-0.46091593890577703,-0.3866312677487943
31,31,31,02-01,1.9525288360603716,-0.5034400852026218,-0.5000103762947218
32,32,32,02-02,2.491364501559408,0.7527782108229686,-0.36664942456752597
33,33,33,02-03,1.7963308355831775,-0.8675933856719573,-0.3233439370960516
34,34,34,02-04,2.062445217113673,-0.2471857617546783,-0.46716294963188393
35,35,35,02-05,1.9052316709054424,-0.6137066618642453,-0.3281785848496222
36,36,36,02-06,1.6006350969579497,-1.3238300141207715,-0.8700348749294733
37,37,37,02-07,2.310220168506394,0.3304661034909491,-0.6070079031819671
38,38,38,02-08,1.0968385871044843,-2.4983595296561383,-0.6546001061176747
39,39,39,02-09,2.47325926664088,0.7105684448130801,-0.6949021447769672
40,40,40,02-10,1.9399615225715992,-0.5327389793689243,-0.30481502970670465
41,41,41,02-11,1.8015100045804733,-0.8555188938200008,-0.4679656300794208
42,42,42,02-12,2.6045665836262613,1.016692676300804,-0.16764185321787384
43,43,43,02-13,1.890334408492233,-0.6484374987453478,-0.4473511508549084
44,44,44,02-14,1.8697543901095344,-0.6964168684868561,-0.116661846221267
45,45,45,02-15,1.7533970610893883,-0.9676873410091276,-0.10209565432788882
46,46,46,02-16,2.7910263037458343,1.451396848432924,-0.411788875088246
47,47,47,02-17,1.838997678788788,-0.7681217424597317,-0.03214981719905071
48,48,48,02-18,1.8075375008455044,-0.8414666482613391,0.00371804115921659
49,49,49,02-19,2.867376687151982,1.6293968485898238,0.1765296067523184
50,50,50,02-20,1.9620642126442718,-0.4812097183372524,-0.013008946055425094
51,51,51,02-21,2.1981463626091577,0.06918205254948334,0.03342095002667996
52,52,52,02-22,2.3032282869695964,0.31416553158646315,0.08781458098102811
53,53,53,02-23,1.9584900506174927,-0.4895423659671014,-0.13371490754568993
54,54,54,02-24,1.9475254078530209,-0.5151048625352501,-0.3262904492820978
55,55,55,02-25,2.2972465286169075,0.30021991742951554,-0.2621632909546437
56,56,56,02-26,1.466450175568055,-1.6366629687556995,-0.4618342200450774
57,57,57,02-27,2.363184557690016,0.4539450025142078,-0.6178557156536425
58,58,58,02-28,1.7893535012051498,-0.883860042956139,-0.5736393531978989
59,59,59,02-29,1.5569518147024028,-1.4256713396184912,-1.028844858783223
60,60,60,03-01,2.0613210108871374,-0.24980668780078955,-1.0281792864350832
61,61,61,03-02,1.1257258033564472,-2.431013116082428,-1.2218709937741354
62,62,62,03-03,1.4681630981721074,-1.6326695346668605,-1.0099587619626893
63,63,63,03-04,1.864697947412736,-0.7082052415201067,-0.7138973898564359
64,64,64,03-05,2.334732606811715,0.3876133479125377,-0.4567758652773691
65,65,65,03-06,2.318897856909296,0.3506968930190289,-0.1113104588338721
66,66,66,03-07,2.7230511333460408,1.2929224596736115,0.009751619023597594
67,67,67,03-08,2.0148184846689854,-0.3582206774214464,-0.09192949052495863
68,68,68,03-09,1.7797294819546452,-0.9062970675220422,-0.2806555031330174
69,69,69,03-10,1.6030105869963869,-1.318291898811444,-0.4953715155228675
70,70,70,03-11,1.8490257503407848,-0.7447427277358151,-0.5398642057058116
71,71,71,03-12,1.7663029179782643,-0.9375991813200716,-0.4769581740842101
72,72,72,03-13,2.608544370944545,1.025966318575947,-0.2917564751968039
73,73,73,03-14,2.176713977769041,0.01921551230816355,-0.19083903509269212
74,74,74,03-15,2.256366134934175,0.20491312580239449,-0.27875628842989464
75,75,75,03-16,1.862732561294955,-0.7127872581867739,-0.3118640875477712
76,76,76,03-17,1.6227611662600876,-1.2722462477590302,-0.4867782818050263
77,77,77,03-18,1.6810964071640355,-1.1362459760273305,-0.5716252145351893
78,78,78,03-19,2.158383726575539,-0.023518846967584026,-0.32169691768822434
79,79,79,03-20,1.9583511966766791,-0.4898660840728147,-0.09936465049333933
80,80,80,03-21,2.8995837058833165,1.7044829068841842,0.032415247103228934
81,81,81,03-22,2.434928757775562,0.621206344982536,0.09049045048330633
82,82,82,03-23,1.9619110212438675,-0.4815668621796205,-0.11614572070153102
83,83,83,03-24,1.83055923999158,-0.7877947557468661,-0.13799108438378468
84,84,84,03-25,1.6265831350597804,-1.263335874076608,-0.25727379191840305
85,85,85,03-26,1.9021297846098268,-0.6209382661663366,-0.5129001249420116
86,86,86,03-27,2.5925967245586934,0.9887866616764741,-0.2556237496249883
87,87,87,03-28,1.7770466729039922,-0.9125516531591159,-0.01893243854350056
88,88,88,03-29,2.6240396688669265,1.0620913897225197,0.2721119088800453
89,89,89,03-30,2.439709992824596,0.6323531107420605,0.5278963026696817
90,90,90,03-31,2.375617320264026,0.4829302104646672,0.7105854027783738
91,91,91,04-01,2.560418656000848,0.9137680965714816,0.8476967037683715
92,92,92,04-02,3.062766932147272,2.0849212623286264,0.9828896303244796
93,93,93,04-03,2.12991747258965,-0.08988384721912962,1.0424628921565482
94,94,94,04-04,2.9719733239430934,1.873248949059169,0.7883209135331418
95,95,95,04-05,2.593028241508551,0.9897926817344708,1.0216000059297117
96,96,96,04-06,1.7215553823856975,-1.0419216612757702,0.7308987578755216
97,97,97,04-07,3.160787694071072,2.3134426509508987,0.9334758483564084
98,98,98,04-08,2.314615750371352,0.3407137740034869,0.5497789280615158
99,99,99,04-09,2.651271579799231,1.1255786956661915,0.6337230632972536
100,100,100,04-10,1.9844876963998181,-0.4289325727101861,0.8136116732498543
101,101,101,04-11,2.809067575361248,1.4934574931488978,0.6229108280588295
102,102,102,04-12,2.1845182249084028,0.03740999843983352,0.5175338665322516
103,103,103,04-13,2.6699983918224066,1.1692375798047498,0.1769821368054555
104,104,104,04-14,2.04341671415886,-0.2915479951559793,0.12832401727127082
105,105,105,04-15,1.7748247782930953,-0.9177316826945856,-0.11013279583283636
106,106,106,04-16,1.8592607499172624,-0.7208812899152941,-0.1024307733211951
107,107,107,04-17,2.1953731116446646,0.0627166145242547,-0.06444419050682908
108,108,108,04-18,2.2043402149504785,0.08362213350968101,0.06413421217508647
109,109,109,04-19,2.7677609814721733,1.397157076690946,0.2632915015725608
110,110,110,04-20,2.3743271748508046,0.479922420935514,0.361132180891287
111,111,111,04-21,2.2873776566152206,0.2772120536902605,0.4310969898455603
112,112,112,04-22,2.1110643467302297,-0.13383721400293744,0.3854854910177074
113,113,113,04-23,2.375435133573476,0.4825054682498943,-0.015752067893859932
114,114,114,04-24,2.0869540771920745,-0.19004685945743602,-0.10045758736892604
115,115,115,04-25,1.7351326185673928,-1.010268276778458,-0.018770440627733014
116,116,116,04-26,2.156328336103471,-0.028310695914882462,-0.2111023151846874
117,117,117,04-27,2.497608385858373,0.7673349341374185,-0.3962299939406722
118,118,118,04-28,1.6160774135604756,-1.2878284613446636,-0.1527700552157997
119,119,119,04-29,1.89898897942795,-0.6282606042860147,0.1457511618363002
120,120,120,04-30,2.713524627168361,1.2707127728917993,0.24758886927362256
121,121,121,05-01,2.5034093384564042,0.7808590255341415,-0.14082054199303407
122,122,122,05-02,2.4184187181660226,0.5827155487090518,0.10734244701458136
123,123,123,05-03,1.4979946518372869,-1.5631215334625217,0.3379198966550632
124,124,124,05-04,2.2547517733777496,0.20114947270102904,0.06779187371412494
125,125,125,05-05,2.4924050469339525,0.7552040935568766,0.2894278394457601
126,126,126,05-06,2.0183208709176035,-0.3500553647538306,1.1357347100590134
127,127,127,05-07,3.073813527623352,2.110674819923952,1.3680363988841306
128,128,128,05-08,4.596481212333083,5.660556772388572,1.2481942537323991
129,129,129,05-09,2.095848235839294,-0.1693114005118154,0.9883555156078452
130,130,130,05-10,1.946325018687256,-0.5179033982093658,1.0265550244087072
131,131,131,05-11,1.823681880796012,-0.8038283351904446,0.7880882829656318
132,132,132,05-12,2.116631448680576,-0.12085831194865805,-0.09217322700976163
133,133,133,05-13,2.4600935122499323,0.6798743712654999,-0.17480230207918926
134,134,134,05-14,2.3310327721627053,0.3789877125362106,-0.229565628984612
135,135,135,05-15,1.8831933519128248,-0.6650858509283809,0.0736123505289663
136,136,136,05-16,1.8053856590645696,-0.8464833596419025,0.13731973437825168
137,137,137,05-17,2.6039432837991288,1.015239541891025,-0.041831858444902066
138,138,138,05-18,2.280589308626916,0.2613859911470543,0.10046005193838392
139,139,139,05-19,1.9990274632225271,-0.3950351856734226,0.1175297473992561
140,140,140,05-20,2.6972364318407136,1.2327391748359269,0.06401188937902019
141,141,141,05-21,1.9271240639998468,-0.5626676781631478,-0.09673220611911287
142,142,142,05-22,1.6676516486605564,-1.1675905077633175,-0.21384853110242247
143,143,143,05-23,2.1902509250101785,0.05077496890222643,-0.15669604429751224
144,144,144,05-24,1.9791777476927763,-0.4413119587528033,-0.2510980135752445
145,145,145,05-25,2.1461155848963482,-0.05212026484396089,-0.22509277870005348
146,146,146,05-26,2.4542827281677804,0.6663273591695335,0.3365247458825132
147,147,147,05-27,1.99405135562471,-0.406636268912002,0.2372092534824556
148,148,148,05-28,3.1130352427625985,2.2021146397320823,0.3116775801593377
149,149,149,05-29,1.9346517368226213,-0.5451179854981193,0.4744954651313166
150,150,150,05-30,2.1708300607843216,0.005498001308489167,0.5375605528387709
151,151,151,05-31,2.565145065751328,0.9247870449879128,0.6400511175387756
152,152,152,06-01,2.6165875693507763,1.0447178854142591,0.4041642742169082
153,153,153,06-02,2.2578219366402283,0.2083071192880261,0.5136934178220302
154,154,154,06-03,2.5059548749351146,0.7867935798008779,0.6719543392644681
155,155,155,06-04,2.216536863823525,0.11205687613261267,0.6820020240118406
156,156,156,06-05,2.5781317018974503,0.9550635299631172,0.5784962110878087
157,157,157,06-06,2.591003871890534,0.985073153472147,0.7130876739355444
158,158,158,06-07,2.3502041369502504,0.4236830078700679,0.8392653764182624
159,159,159,06-08,2.604207659647901,1.01585589637444,0.8620386336800901
160,160,160,06-09,2.830686873363338,1.5438597946971857,1.0595931048566405
161,161,161,06-10,2.27514631062627,0.2486964197035795,1.0125877140514603
162,162,162,06-11,3.0865595537390136,2.14039035702242,1.1594690209756535
163,163,163,06-12,2.470030401992741,0.7030408086410662,1.1791119339252183
164,164,164,06-13,2.72821910624148,1.3049708494152257,1.2780756633649153
165,165,165,06-14,2.6547608259487183,1.1337133740718304,1.3460893181001945
166,166,166,06-15,3.0853807614317503,2.137642171335366,1.1505791307221649
167,167,167,06-16,2.4501868256144026,0.6567783481152525,1.003780845400038
168,168,168,06-17,2.583392887908814,0.9673292327542417,0.6031027525919074
169,169,169,06-18,2.092229097796225,-0.1777489032916924,0.4426590178382794
170,170,170,06-19,1.6970305900152094,-1.0990977074335595,0.12705633515744008
171,171,171,06-20,2.241841478103012,0.17105096555006194,-0.1752669821660757
172,172,172,06-21,2.2731430376525057,0.2440260752503304,-0.120807138840045
173,173,173,06-22,1.6721249884259983,-1.1571615558258421,-0.11420392014270725
174,174,174,06-23,2.7235511996340738,1.2940882927104258,0.20247857720981888
175,175,175,06-24,2.1092231970820228,-0.13812959110766587,0.22830074596016744
176,176,176,06-25,2.51204733393327,0.8009972766815971,0.4338975214457435
177,177,177,06-26,2.3082976292062543,0.3259839780521534,0.6458099344881879
178,178,178,06-27,2.8022686316375,1.4776067281637868,0.21368421539379964
179,179,179,06-28,2.217504560450188,0.11431292242882456,0.2686279497077668
180,180,180,06-29,1.611428807383559,-1.298666021855904,0.32295856124441985
181,181,181,06-30,2.2506268547316592,0.19153281477613696,0.3240767719589929
182,182,182,07-01,2.651873053636332,1.1269809459015159,0.015390577003849826
183,183,183,07-02,2.311175465724612,0.3326932423395917,-0.2355715671739877
184,184,184,07-03,2.0078312389554016,-0.3745104415670717,0.03405035239903139
185,185,185,07-04,1.5716262712979243,-1.3914599426382006,-0.06696970991280626
186,186,186,07-05,2.3053300517416293,0.3190654955822105,0.04018363105991071
187,187,187,07-06,1.9906407710544751,-0.4145875590948889,-0.12344180832898152
188,188,188,07-07,2.9276437949612277,1.7699009917378177,0.13571696906311667
189,189,189,07-08,1.89006765601688,-0.6490593939937616,0.3709349744236137
190,190,190,07-09,2.6748044524221624,1.1804422227855174,0.4889214373518884
191,191,191,07-10,2.176985312111627,0.019848089524782304,0.8427580977279431
192,192,192,07-11,2.6089810070237154,1.0269842731518577,0.4586357073663875
