,unnamed: 0,unnamed: 0,mth_day,vampire,vampire_norm,vampire_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.5797945140009404,0.4834889637798082,
2,2,2,01-03,0.7532597750299896,1.6663891826502828,
3,3,3,01-04,0.4263990867468648,-0.5625503607290299,
4,4,4,01-05,0.4680435115495778,-0.27856728007281345,0.04330810967738807
5,5,5,01-06,0.3429234008911449,-1.1317906021659483,-0.1394764170696329
6,6,6,01-07,0.5210474164881157,0.08287875460202927,-0.3902521772676288
7,7,7,01-08,0.4189689508379579,-0.6132181967023176,-0.2359536052992931
8,8,8,01-09,0.5326111589833632,0.16173462146230724,-0.25545528059449923
9,9,9,01-10,0.5621608778223013,0.3632410710809848,-0.1867050973938664
10,10,10,01-11,0.4508846854290606,-0.3955773318440504,-0.303798046688988
11,11,11,01-12,0.4034142264964375,-0.7192895029621518,-0.4382570210278367
12,12,12,01-13,0.41802152120067776,-0.6196789411686999,-0.3177156084823877
13,13,13,01-14,0.3006633116506146,-1.4199720427354097,-0.2310965811133603
14,14,14,01-15,0.6386712336630663,0.8849830967350011,-0.09288688672477292
15,15,15,01-16,0.6383738598792229,0.8829552352951487,0.03596743449335088
16,16,16,01-17,0.5724904489485951,0.43368083448747397,-0.0413584215561952
17,17,17,01-18,0.5167885319953375,0.05383642434659113,0.011737256418886566
18,18,18,01-19,0.34998526798193724,-1.0836340774659765,-0.34001809892056073
19,19,19,01-20,0.3473802983881261,-1.101397974884919,-0.38434538063313184
20,20,20,01-21,0.32917428594627257,-1.2255490353016825,-0.2461570999115697
21,21,21,01-22,0.5993718711891457,0.6169915450197221,-0.2140344774530778
22,22,22,01-23,0.6940773713489167,1.262810518816846,-0.18465007513093765
23,23,23,01-24,0.5450520778167457,0.24657215909754304,-0.10738772287030084
24,24,24,01-25,0.3758395519072196,-0.9073276635331357,0.008418176758273685
25,25,25,01-26,0.415360676895828,-0.6378238613210984,-0.2714278637595193
26,26,26,01-27,0.4310677522960705,-0.5307136375302354,-0.6500898052593201
27,27,27,01-28,0.35314535592456303,-1.0620846980870355,-0.7109396071891204
28,28,28,01-29,0.3609062814656952,-1.0091611301819596,-0.3316191243023445
29,29,29,01-30,0.4915125149342679,-0.11852665248125875,-0.2871708265556009
30,30,30,01-31,0.7095900687874153,1.3685952337875196,-0.23982807380419624
31,31,31,02-01,0.4544691432631676,-0.3711340748406371,-0.08873333296488806
32,32,32,02-02,0.4727229460284612,-0.24665712102180745,0.38124738517133294
33,33,33,02-03,0.4860882106557974,-0.15551625305118635,0.26471256122282666
34,34,34,02-04,0.774425494580558,1.8107231786353668,-0.28906660950907564
35,35,35,02-05,0.3889776941638166,-0.8177355961722967,-0.07818935396436544
36,36,36,02-06,0.2223395964093469,-1.9540797906038945,-0.02783541029526568
37,37,37,02-07,0.6400124930467124,0.8941294584276243,-0.13607640322820042
38,38,38,02-08,0.5170275788777625,0.05546654099279116,-0.3078455858470837
39,39,39,02-09,0.39085083495685385,-0.8049622106487947,-0.08711027702982495
