,unnamed: 0,unnamed: 0,mth_day,slow paced,slow paced_norm,slow paced_ravg
0,0,0,01-01,,,
1,1,1,01-02,5.295844972582453,0.3018993172521127,
2,2,2,01-03,4.8328393420264675,-0.3966335253184568,
3,3,3,01-04,4.3531853031993775,-1.1202836865270924,
4,4,4,01-05,3.991395004146772,-1.6661137787188458,-1.291306234943913
5,5,5,01-06,3.820716539694264,-1.9236149948410444,-1.2914019613422365
6,6,6,01-07,3.144981653434602,-2.943090741510153,-1.556401394615979
7,7,7,01-08,5.295464272989973,0.3013249588621717,-1.3469329959728051
8,8,8,01-09,3.778948482020199,-1.9866301249609095,-1.1101398834685494
9,9,9,01-10,5.18623172923513,0.13652670533195166,-0.8728029977795003
10,10,10,01-11,4.933110591601952,-0.2453551036933118,-0.6093835209506879
11,11,11,01-12,4.7645946887152935,-0.49959368070675003,-0.6845545876783454
12,12,12,01-13,4.192589097525792,-1.362573880537279,-0.40287037847248425
13,13,13,01-14,4.996512312291387,-0.14970144150377296,-0.34073769352317795
14,14,14,01-15,4.899193947539715,-0.2965248697257432,-0.3278636032510635
15,15,15,01-16,5.433330630416862,0.509322815027789,-0.09438105897953804
16,16,16,01-17,4.984310271167535,-0.16811056206062458,0.1285775849835928
17,17,17,01-18,5.693144294799117,0.9013015849224026,0.17653303564988518
18,18,18,01-19,5.079285624115753,-0.024822016758493902,0.1903813743933192
19,19,19,01-20,5.187228988626613,0.13803126249398126,0.19204617785637948
20,20,20,01-21,4.9542681695773885,-0.21343483726513907,-0.16159969577221775
21,21,21,01-22,5.4399514791173695,0.5193116358061508,-0.4109946919765599
22,22,22,01-23,3.5778764939635264,-2.289985803832208,-0.4753595490307838
23,23,23,01-24,4.701311581105922,-0.5950683923036504,-0.7383765790291773
24,24,24,01-25,4.823309474593256,-0.4110111590838372,-1.0192919700024574
25,25,25,01-26,4.141222057528894,-1.4400709174963808,-1.244206070024476
26,26,26,01-27,3.8370802596847415,-1.89892718310482,-0.8296907743240531
27,27,27,01-28,4.545478191490048,-0.8301729643259596,-0.6763461936762513
28,28,28,01-29,5.22638523254715,0.19710597037032904,-0.7116647964216932
29,29,29,01-30,5.311156100317676,0.3249990915831603,-0.3945618108799906
30,30,30,01-31,4.68284897563376,-0.6229227755564879,-0.2901433428124241
31,31,31,02-01,5.402326407883799,0.4625469957538345,-0.08238664879848617
32,32,32,02-02,4.252347823666996,-1.2724163746994217,-0.11333124183384045
33,33,33,02-03,5.3717172449910855,0.41636719975766817,-0.06420775217392914
34,34,34,02-04,5.103319974015501,0.011438412158203466,0.0090242887306759
35,35,35,02-05,5.506518015340017,0.6197400295426281,0.14945777674611646
36,36,36,02-06,4.974089517605953,-0.18353053012885773,0.613233511461117
37,37,37,02-07,5.96082409080295,1.3051479238464776,0.5537883306572705
38,38,38,02-08,6.096763118713826,1.5102380335905816,0.5821005933703475
39,39,39,02-09,5.135306427252174,0.059696114934589366,0.4860822077054252
40,40,40,02-10,5.215916572924397,0.18131198843666574,0.2352230737315225
41,41,41,02-11,5.124657202300892,0.04362971555309434,-0.2315041971880316
42,42,42,02-12,3.97643399367476,-1.6886853339722736,-0.5833411169511853
43,43,43,02-13,4.10467066865702,-1.495215701670847,-0.8580625947205762
44,44,44,02-14,4.697523469894969,-0.6007834849883404,-0.9498146062428234
45,45,45,02-15,4.04275143235338,-1.5886327516817558,-0.9289926715727056
46,46,46,02-16,4.851022938489339,-0.3692000806968177,-0.6551216711197956
47,47,47,02-17,5.207465102549556,0.16856132357380071,-0.6332470158764519
48,48,48,02-18,5.065606678432703,-0.0454593312548131,-0.4549604499490821
49,49,49,02-19,4.191665191407316,-1.3639677702107849,-0.1883615631225041
50,50,50,02-20,5.406561145830928,0.468935910575879,-0.05767484087730234
51,51,51,02-21,5.1030032473983615,0.010960569277711496,0.08186097519428169
52,52,52,02-22,5.370758171115752,0.414920252774393,0.18023122492460408
53,53,53,02-23,5.7623927844116185,1.0057762200033051,0.4372997376242946
54,54,54,02-24,5.456820749370843,0.5447621671271212,0.6300934864778104
55,55,55,02-25,5.2140151360192695,0.1784433059873581,0.6472149683572824
56,56,56,02-26,6.173293237567807,1.625698403696973,0.6616234848898747
57,57,57,02-27,5.171094612876487,0.11368946055454406,0.3523007831568006
58,58,58,02-28,5.4280601950950365,0.5013713519699468,0.06742013073357189
59,59,59,02-29,4.532230273791511,-0.8501599903951398,0.018254856183578503
60,60,60,03-01,4.323863172547179,-1.164521747412251,-0.33652883214675344
61,61,61,03-02,5.018487044363269,-0.11654834131260222,-0.4638005597269642
62,62,62,03-03,4.7623344223298485,-0.5030037262850188,-0.678642279071584
63,63,63,03-04,4.664940660858648,-0.6499409049267204,-0.6628041237966755
64,64,64,03-05,4.573644313641291,-0.7876789640977719,-0.5094773309024231
65,65,65,03-06,4.595217906924839,-0.7551310587456884,-0.6703034495446111
66,66,66,03-07,4.933636950660907,-0.24456099004673645,-0.7398486596688657
