,unnamed: 0,unnamed: 0,mth_day,lesbian,lesbian_norm,lesbian_ravg
66,66,66,03-07,0.69152444533067,-0.6142722250466556,-0.4650671924882057
67,67,67,03-08,0.7936743043899127,-0.13836751282260729,-0.30925260114789005
68,68,68,03-09,0.6134180581854507,-0.97816110398919,-0.4377156758507386
69,69,69,03-10,0.7812490541781887,-0.19625535702308616,-0.4426626173853989
70,70,70,03-11,0.6851857454647934,-0.6438035152836311,-0.3517591291659615
71,71,71,03-12,0.8051043982642927,-0.08511599014722207,-0.26985279054243394
72,72,72,03-13,0.8085955094041536,-0.06885129573003151,-0.2638323675276089
73,73,73,03-14,0.8991582897114915,0.3530705189185581,-0.44882580109612297
74,74,74,03-15,0.6211715266422019,-0.9420385659002396,-0.5836888078330301
75,75,75,03-16,0.5430032119263138,-1.3062159584341704,-0.6200599958398514
76,76,76,03-17,0.5115009286101733,-1.4529815557050736,-0.7030041761400447
77,77,77,03-18,0.7582633609732196,-0.30334311818814985,-0.6852150461324603
78,78,78,03-19,0.7017749281850251,-0.5665163775311911,-0.7048735665567567
79,79,79,03-20,0.9220682178091038,0.4598052989640651,-0.2266714349449228
80,80,80,03-21,0.5958540833926413,-1.0599896884460185,-0.02399345882847385
81,81,81,03-22,1.158861123284602,1.5629968312368334,0.25113523512507513
82,82,82,03-23,0.7725220048414284,-0.2369136990063801,0.3363019321513998
83,83,83,03-24,1.1125908965738016,1.347429045533144,0.17224590232012904
84,84,84,03-25,0.8114578021846157,-0.05551619537324303,0.3870440648697316
85,85,85,03-26,0.7107868428451969,-0.5245308800235595,-0.04147174401096069
86,86,86,03-27,0.8724842759547581,0.22879928685159706,0.012087444155521954
87,87,87,03-28,0.6069922929392633,-1.0080980220473204,-0.31242967415363626
88,88,88,03-29,0.8414987984978607,0.08444142999251572,-0.020363285149181058
89,89,89,03-30,0.6946579316824698,-0.5996736643218052,0.07551558710232495
90,90,90,03-31,1.1875987359440792,1.6968821386534882,0.32342540558603344
91,91,91,04-01,0.8342655103475217,0.050742353485476566,0.33584231751489746
92,92,92,04-02,1.1917576813282835,1.716258197753848,0.3758093117486653
93,93,93,04-03,0.6229835504860558,-0.933596550474136,0.4830867149898248
94,94,94,04-04,0.8929707346624127,0.324243395395123,0.32782473947250484
95,95,95,04-05,0.8328163235602997,0.04399075512515163,0.18363775703206275
96,96,96,04-06,0.9876428812238948,0.7653102855495685,-0.015563105095711571
97,97,97,04-07,0.6485727081186423,-0.8143795411571761,0.37733112070886615
98,98,98,04-08,0.935214644856914,0.5210530249872022,0.3632188091585562
99,99,99,04-09,1.1289767305523215,1.4237688043533303,0.5535543542106068
100,100,100,04-10,0.8747960379363301,0.2395695260932633,0.516474095054806
101,101,101,04-11,1.0779420632509515,1.1860040254374555,0.6217355197362685
102,102,102,04-12,0.9398886588005364,0.5428287306147629,0.5421832801181519
103,103,103,04-13,0.7841347996810946,-0.1828109930684009,0.1651985156105753
104,104,104,04-14,0.8327624120114614,0.043739587278502426,0.2565998647036193
105,105,105,04-15,0.643472726417124,-0.8381397826921286,-0.0018310329032910448
106,106,106,04-16,0.9925082776497736,0.7879776206515278,-0.0969751242860999
107,107,107,04-17,0.7451189696060447,-0.3645813602040069,0.10708499379690244
108,108,108,04-18,0.8173562869777742,-0.02803581768209034,-0.0074105512754357285
109,109,109,04-19,1.04693588275141,1.0415497154296132,0.0031578748719965537
110,110,110,04-20,0.6853080562343197,-0.6432336831555265,-0.3370334268145421
111,111,111,04-21,0.6570833910780359,-0.7747292258075349,-0.16488324006904928
112,112,112,04-22,0.5543891421018964,-1.253170189467704,0.09117921764254057
113,113,113,04-23,0.9668244941959624,0.6683197602689498,-0.09456972410688323
114,114,114,04-24,1.1471291590726571,1.508338928587449,0.11511661249318132
115,115,115,04-25,0.8077170509213815,-0.0729439350669295,0.4355163260084405
116,116,116,04-26,0.9553549271330668,0.6148843364448607,0.7046364762609041
117,117,117,04-27,1.069713710604655,1.14766905528402,0.8572892235265459
118,118,118,04-28,0.9009785081514922,0.3615507120470777,0.5822803751599294
119,119,119,04-29,1.1634200254146196,1.5842362438628006,0.41625594163500107
120,120,120,04-30,0.7929559679385143,-0.14171416161225012,0.2629863658017724
121,121,121,05-01,0.5939006454602247,-1.0690905362164995,0.034665887654362335
122,122,122,05-02,0.7579650064121719,-0.30473311855451124,-0.06737587214987854
123,123,123,05-03,0.7756686541381818,-0.2222538136004403,-0.1817107928076724
124,124,124,05-04,0.7695628976594524,-0.25069984677836754,-0.19251913293982711
125,125,125,05-05,1.0161725315686891,0.8982267199160379,0.002733443633940199
126,126,126,05-06,0.7790363273952933,-0.2065642024051788,0.0416462712675512
127,127,127,05-07,0.8453588386529979,0.102424923226104,-0.025192697901878
128,128,128,05-08,0.8080793224456551,-0.07125615275284522,-0.2214806836240062
129,129,129,05-09,0.6895893474414924,-0.6232876286170155,-0.2303252592732226
130,130,130,05-10,0.5167712413276473,-1.428427761111137,-0.15375766417217884
131,131,131,05-11,1.004781946863813,0.8451592660207395,-0.007377031612588056
132,132,132,05-12,0.8776447527440375,0.25284136820108377,-0.10057632559337876
133,133,133,05-13,1.0338767574828347,0.9807087185836488,0.06237100993128882
134,134,134,05-14,0.6880515794960115,-0.6304519166375895,0.4843573252164324
135,135,135,05-15,0.8994428781636807,0.35439638453099004,0.4108190335889017
136,136,136,05-16,1.0602309910308152,1.1034901305997251,0.2413936765790209
137,137,137,05-17,0.9100748435434334,0.4039295162555551,0.022454963218499047
138,138,138,05-18,0.6594484303070354,-0.7637107738582009,0.0408768660759525
139,139,139,05-19,0.7519141107016399,-0.3329235615794827,-0.08351253520213286
140,140,140,05-20,0.7117764311163839,-0.5199204994928688,-0.22385117237077776
141,141,141,05-21,0.7392466100959918,-0.3919400231375221,-0.2836067320690797
142,142,142,05-22,0.8794943228812342,0.26145830758785554,-0.11359406813235272
143,143,143,05-23,0.8331179841839822,0.04539615806574406,-0.10832327905310428
144,144,144,05-24,0.8784011224742907,0.2563652097621608,-0.035439257593306274
145,145,145,05-25,0.7587021547921479,-0.3012988271039922,-0.12116346660162235
146,146,146,05-26,0.8056409253551065,-0.08261637073408082,0.006146090454472795
147,147,147,05-27,0.6288457381158628,-0.9062852771874188,-0.05240303385923639
148,148,148,05-28,1.0434513459088064,1.0253156499244265,0.05068245042254477
149,149,149,05-29,0.7577148459960357,-0.3058985878165111,0.18527234653440028
150,150,150,05-30,1.0111609050941397,0.8748781154528478,0.1871832273695321
151,151,151,05-31,0.9320352431035532,0.5062405495671408,0.43216315601128974
152,152,152,06-01,0.8081018744019295,-0.07115108572328968,0.3842441500878089
153,153,153,06-02,0.9443458524074522,0.5635942946631269,0.4810067497552585
154,154,154,06-03,0.981738323419908,0.7378016143835421,0.3171624146480822
