,unnamed: 0,unnamed: 0,mth_day,powerful ending,powerful ending_norm,powerful ending_ravg
0,0,0,01-01,,,
1,1,1,01-02,3.0616792922611324,-0.7786985093302843,
2,2,2,01-03,3.4824038827275787,0.09197107259784844,
3,3,3,01-04,2.4726368034495727,-1.9976939973355639,
4,4,4,01-05,2.6486811836416733,-1.6333785035995791,-1.1444501749270004
5,5,5,01-06,3.077366189151069,-0.7462352203607271,-1.2904062346030722
6,6,6,01-07,2.566878202995457,-1.8026658915336968,-1.5584651773490357
7,7,7,01-08,2.6385063363575445,-1.6544348673867142,-1.3250705673487202
8,8,8,01-09,2.7052159029345293,-1.516382583877932,-1.1284380464677868
9,9,9,01-10,3.1493218771970835,-0.5973263373336712,-0.9949331567155072
10,10,10,01-11,3.218781289609389,-0.4535833783139772,-0.57592831661701
11,11,11,01-12,3.4644392503822283,0.05479411815295099,-0.3966815659000841
12,12,12,01-13,3.781706262316245,0.711363149057285,-0.3064613233726749
13,13,13,01-14,3.158199574893433,-0.5789543630851589,-0.1057521542806839
14,14,14,01-15,2.9667930296217984,-0.9750611287134768,-0.08841463071824059
15,15,15,01-16,3.7312414806045138,0.6069286772182753,0.11656053271778676
16,16,16,01-17,3.269048274825694,-0.3495582369393173,0.15206175450227674
17,17,17,01-18,4.058727325783493,1.2846450987691151,0.10199170893197143
18,18,18,01-19,3.8846355753853503,0.9243704797642248,0.3291229807902449
19,19,19,01-20,3.013030616281932,-0.8793746365069909,0.14623960436659875
20,20,20,01-21,3.625318697577772,0.3877265024361637,-0.030356636127509187
21,21,21,01-22,3.201004509569658,-0.4903715813236013,-0.4709988875265836
22,22,22,01-23,2.7570397069237744,-1.409135679903965,-0.8303337481079348
23,23,23,01-24,2.7811655415424226,-1.3592084096253314,-0.9894502132229892
24,24,24,01-25,2.8428097310258162,-1.2316386837238822,-1.4469686179973316
25,25,25,01-26,2.5517014667755302,-1.8340734271973176,-1.5786816808711537
26,26,26,01-27,2.298827586771268,-2.3573839262098883,-1.5191619322797492
27,27,27,01-28,2.8191265233378338,-1.2806499585665312,-1.4842220738907097
28,28,28,01-29,2.929606354735192,-1.05201718835554,-1.3872829675828702
29,29,29,01-30,2.8824672839034946,-1.1495692592910938,-1.0881840786776733
30,30,30,01-31,3.1238669769530003,-0.6500040458768455,-0.6815594646055224
31,31,31,02-01,3.418884105210659,-0.039480093766137626,-0.4015209444077536
32,32,32,02-02,3.4777614403019665,0.08236375822301742,-0.23865710900152504
33,33,33,02-03,3.631047101503349,0.3995811626200812,-0.14856297815217842
34,34,34,02-04,3.4018003204506693,-0.07483417591816911,0.16214116242106913
35,35,35,02-05,3.1436787727974567,-0.6090044741950139,0.16506723793109454
36,36,36,02-06,4.0246969244705575,1.2142207975626398,0.24088830879534776
37,37,37,02-07,3.4273677271001692,-0.021923640705984928,0.1032840446088274
38,38,38,02-08,3.697590796812484,0.5372901834085367,0.34701604943525705
39,39,39,02-09,3.2320886522962238,-0.4260444224990409,0.8583668306966935
40,40,40,02-10,4.10845678376993,1.3875578530404091,0.7275781809418228
41,41,41,02-11,4.6262470340279735,2.4591002133736053,0.7063217997816609
42,42,42,02-12,3.6454991053581436,0.4294888990334157,0.7429307117810885
43,43,43,02-13,3.365738729528417,-0.14946192766695746,0.8252025270091307
44,44,44,02-14,3.8037316554900484,0.7569436554051021,0.3345091936238828
45,45,45,02-15,3.470620764733842,0.06758646886921205,-0.2954553292961597
46,46,46,02-16,2.685781022368416,-1.5566021472710787,-0.54577363583432
47,47,47,02-17,2.799779877610402,-1.3206869241466497,-0.6196347584256424
48,48,48,02-18,2.9197468623226337,-1.0724209401955465,-0.6601724519105794
49,49,49,02-19,3.1515918853158817,-0.5926286632148917,-0.6052684337841922
50,50,50,02-20,3.6862000119556435,0.5137174944954804,-0.3929044155972264
51,51,51,02-21,3.629804944500628,0.3970105776275359,-0.2908608668982937
52,52,52,02-22,3.3014917335453813,-0.28241803814928435,-0.42474742173837904
53,53,53,02-23,3.0956365226147646,-0.7084256319530535,-0.310529132901401
54,54,54,02-24,2.531567232828873,-1.8757402692360583,-0.21212305796188333
55,55,55,02-25,3.4827469672814018,0.09268106980697648,-0.07400952209269511
56,56,56,02-26,3.971510465687032,1.1041539441325865,0.09462979701890127
57,57,57,02-27,4.0302399340020765,1.2256917928426654,0.08696334872679748
58,58,58,02-28,3.7904306601538673,0.7294178765202941,0.3111063458235027
59,59,59,02-29,3.0734090550313584,-0.7544243217056764,0.06650742614665779
60,60,60,03-01,3.181428943517766,-0.5308822866558268,-0.3807401974493265
61,61,61,03-02,2.773577042578069,-1.3749124482540929,-0.44203777853441
62,62,62,03-03,2.67479761033858,-1.57933179744332,-0.7359985401472535
63,63,63,03-04,3.8525187853558087,0.8579063063321642,-0.7075027561526323
64,64,64,03-05,2.9381450840191286,-1.0343466931567666,-0.6077220884762642
65,65,65,03-06,3.156027379824152,-0.5834496177379485,-0.6159267738391584
66,66,66,03-07,3.4707247780062653,0.06780171940238185,-0.3966799052857066
67,67,67,03-08,2.749789054844087,-1.424140560431459,-0.7923691653175529
68,68,68,03-09,3.3104638899317664,-0.2638505861226095,-0.6792251154028146
69,69,69,03-10,2.7052899950020564,-1.5162292538589135,-0.4751216603852149
70,70,70,03-11,3.2661856062940147,-0.3554823936683373,-0.6692357906117516
71,71,71,03-12,3.7477880957657903,0.6411711123676495,-0.2994153860660198
72,72,72,03-13,2.9079262860976463,-1.0968830619568384,-0.15892145337199695
73,73,73,03-14,3.8220158201623797,0.7947818668429321,0.0907760209095156
