,unnamed: 0,unnamed: 0,mth_day,business,business_norm,business_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.1635819090472503,-0.930028983589953,
2,2,2,01-03,1.3085110024764164,-0.3951074294923808,
3,3,3,01-04,1.2056803230229567,-0.7746471448155726,
4,4,4,01-05,1.1030115629619042,-1.1535892287662397,-0.7546875361077902
5,5,5,01-06,1.1588181014528982,-0.9476118118647888,-0.7764074558737496
6,6,6,01-07,1.3269256060390011,-0.3271406181178058,-1.0591517279334648
7,7,7,01-08,1.1282737605130764,-1.060348502185709,-0.8278203621653764
8,8,8,01-09,0.8488786989207877,-2.0915730618506716,-0.6416831229613275
9,9,9,01-10,1.5817352215292648,0.6133410497929574,-0.41345644895990746
10,10,10,01-11,1.405598375453628,-0.03676579354194626,-0.29250223224311384
11,11,11,01-12,1.5298259777219438,0.42174823214373097,-0.1324613385259423
12,12,12,01-13,1.5235501560230411,0.398584682182956,-0.11712645855165515
13,13,13,01-14,1.3884380570573025,-0.10010313988267996,-0.3518749815199264
14,14,14,01-15,0.8738072541696171,-1.9995637820049488,-0.39993180817742174
15,15,15,01-16,1.2001253534241385,-0.7951500880166699,-0.5236155346021808
16,16,16,01-17,1.327476651617281,-0.3251067534869185,-0.5831573555025795
17,17,17,01-18,1.3287643057212115,-0.32035412640482364,-0.8121865466537125
18,18,18,01-19,1.4267582949572686,0.0413337567805637,-0.6446589766734759
19,19,19,01-20,1.0161255997847995,-1.4742782867894777,-0.6710717559799318
20,20,20,01-21,1.146141976773053,-0.9943983621235296,-0.7706904697631849
21,21,21,01-22,1.1571884390615768,-0.9536267638554056,-0.7750049142904691
22,22,22,01-23,1.1655353377936883,-0.9228190361864376,-0.9184394096557406
23,23,23,01-24,1.3217506956410054,-0.3462407935685288,-0.9470092156873324
24,24,24,01-25,1.1935895483941017,-0.8192732154110646,-0.9145000224917724
25,25,25,01-26,0.9696821982517536,-1.6456971229790294,-0.795387001460215
26,26,26,01-27,1.1989892908719728,-0.7993432029501687,-0.8947325608764384
27,27,27,01-28,1.3508199204046965,-0.23894863766606225,-0.8817125341517178
28,28,28,01-29,1.0040380668149949,-1.5188923926837767,-0.5834265903431933
29,29,29,01-30,1.342916199126697,-0.2681206332202057,-0.4270777382182268
30,30,30,01-31,1.6784865702585137,0.9704424474400826,-0.2405454364944496
