,unnamed: 0,unnamed: 0,mth_day,writer,writer_norm,writer_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.4822545759122536,-0.12290449953675882,
2,2,2,01-03,1.4288510658604956,-0.3021617591914866,
3,3,3,01-04,1.3204681979590511,-0.6659658588602811,
4,4,4,01-05,0.8533856296423801,-2.233801777281946,-1.1707640109043946
5,5,5,01-06,0.9827707075239068,-1.7995004649004671,-1.3790876535611607
6,6,6,01-07,0.9527559505108416,-1.9002497056554288,-1.7578454970180497
7,7,7,01-08,1.1098775653721609,-1.372846355477354,-1.6844176218543985
8,8,8,01-09,0.7518241491534595,-2.5747088199328187,-1.4581690414077702
9,9,9,01-10,1.4517199958589264,-0.2253986078783725,-1.3550111939264795
10,10,10,01-11,1.2578033373553013,-0.8763102946021779,-1.1282189897943231
11,11,11,01-12,1.1671646167746392,-1.1805533800127257,-1.2082020220384575
12,12,12,01-13,1.3581453816455231,-0.5394964808624892,-1.0430400618725626
13,13,13,01-14,0.9669084714125544,-1.852744548942162,-0.8481644790772043
14,14,14,01-15,1.0470499631665595,-1.5837370589374484,-0.6024701520242074
15,15,15,01-16,1.8000586962730485,0.9438548888937768,-0.2174212283754903
16,16,16,01-17,1.696980177045049,0.5978556677158035,-0.10942805446438217
17,17,17,01-18,1.855436794005277,1.1297401618795773,0.2549243779432043
18,18,18,01-19,1.5511824020571312,0.10846256260415944,0.4607467503598215
19,19,19,01-20,1.6181858196417649,0.33337004550335664,0.3031829954247636
20,20,20,01-21,1.4149559711708808,-0.34880282443774513,-0.007667594733712313
21,21,21,01-22,1.5184146193745929,-0.001527640716570376,-0.3137823439693527
22,22,22,01-23,1.1413369864228855,-1.2672478732350525,-0.5895689366604777
23,23,23,01-24,1.3082588849169263,-0.7069483335342651,-0.8150929267466003
24,24,24,01-25,1.0582158543160176,-1.5462569935425907,-1.0336991196520888
25,25,25,01-26,1.2150633119784886,-1.0197738950133786,-1.0406921319316644
26,26,26,01-27,1.0241989761339916,-1.660439981870676,-0.8168814886119415
27,27,27,01-28,1.5059146603006768,-0.04348571439402532,-0.6940434758480442
28,28,28,01-29,1.5413968990837237,0.07561598668328555,-0.3575733597588114
29,29,29,01-30,1.5278309478395709,0.03007974304911965,-0.20029068628568256
30,30,30,01-31,1.659653762983064,0.4725637029928061,-0.028798863366355107
31,31,31,02-01,1.4962049577885834,-0.07607785417460558,-0.13218466620464572
32,32,32,02-02,1.330739374220181,-0.6314890443547115,0.011902168725180677
33,33,33,02-03,1.3211132824914371,-0.663800531423769,0.09798117005302884
34,34,34,02-04,1.7989510785570249,0.940136996262244,-0.07822305209365575
35,35,35,02-05,1.6816965426225532,0.5465537510162086,-0.13015428358303674
36,36,36,02-06,1.3446899852248615,-0.5846616298873016,-0.21194147996661086
37,37,37,02-07,1.4033782556002845,-0.3876652431108915,-0.20423763505892206
38,38,38,02-08,1.1845453498580514,-1.1222122226561564,-0.3902917940957216
39,39,39,02-09,1.334883849767453,-0.6175774619776363,-0.48767033195030396
40,40,40,02-10,1.4663806095641037,-0.17618795795855324,-0.7161358236407241
41,41,41,02-11,1.5076331076969307,-0.037717476111285314,-0.4705542554016293
42,42,42,02-12,0.9363095646337092,-1.9554545800298224,-0.3967771651287591
43,43,43,02-13,1.8423535397224668,1.085824166323677,-0.4020868533395812
44,44,44,02-14,1.316421367250001,-0.6795496810189353,-0.5381834993586804
45,45,45,02-15,1.3253928203402092,-0.6494355912425698,-0.4668616814555462
46,46,46,02-16,1.2231088352095023,-0.9927678340731478,-0.2325611658912334
47,47,47,02-17,1.6351203434151154,0.3902134313075201,-0.4552345023096857
48,48,48,02-18,1.3551200483654633,-0.5496514866439461,-0.40358667450020747
49,49,49,02-19,1.44432655495479,-0.2502158521870368,-0.5023603155205435
50,50,50,02-20,1.4087414874020394,-0.3696627141620659,-0.3819333294912742
51,51,51,02-21,1.1488356485557591,-1.2420774373645862,-0.4803303161264891
52,52,52,02-22,1.4383712052124031,-0.2702059178975321,-0.4615549817361901
53,53,53,02-23,1.45923643863075,-0.2001684885037696,-0.8169738051772676
54,54,54,02-24,1.3886808233355388,-0.4369994803021521,-0.5773377137862011
55,55,55,02-25,0.8090179683978383,-2.3827287928335017,-0.2709568219280077
56,56,56,02-26,1.8370892744880272,1.0681538341843329,-0.30645101074570924
57,57,57,02-27,1.6964892856647016,0.5962079137845746,-0.09531293089557252
58,58,58,02-28,1.3749255983915876,-0.4831710508037409,-0.12414085227369548
59,59,59,02-29,1.8366442353795256,1.0666599905970509,0.29497157761170417
60,60,60,03-01,1.3371511215409275,-0.6099670085708899,0.0649625078749018
61,61,61,03-02,1.5581784176419824,0.13194578647889627,-0.23526544394207802
62,62,62,03-03,1.4259497192584978,-0.3119005842364812,-0.16870566979996546
63,63,63,03-04,1.1598339845552623,-1.2051597971173038,-0.3425184862353284
64,64,64,03-05,1.49390071519146,-0.08381240595106564,-0.3086964493076021
