,unnamed: 0,unnamed: 0,mth_day,kidnapping,kidnapping_norm,kidnapping_ravg
0,0,0,01-01,,,
1,1,1,01-02,3.0431709786399272,-0.9061663835893224,
2,2,2,01-03,2.9893268882640656,-1.0199934022305983,
3,3,3,01-04,3.596675138506765,0.2639476973318228,
4,4,4,01-05,2.448870293526252,-2.162524782268557,-1.2851362064705871
5,5,5,01-06,2.6398911203098163,-1.7587045847429923,-1.277502657473364
6,6,6,01-07,2.4654969775806137,-2.127375783323876,-1.4216885826690842
7,7,7,01-08,3.0648365642101014,-0.8603650896059831,-1.3955138287659212
8,8,8,01-09,2.5800975112758664,-1.8851089534049208,-0.8956522729854846
9,9,9,01-10,3.6709644855291654,0.42099622075079945,-0.7817044694001046
10,10,10,01-11,3.867580426118664,0.8366445524140635,-0.5252762046221781
11,11,11,01-12,2.9632984751339526,-1.0750177632307132,-0.3517014630519621
12,12,12,01-13,3.1932932510018324,-0.5888061946563163,0.06649352990079267
13,13,13,01-14,3.5574774600343453,0.1810833598153128,0.1044111275549038
14,14,14,01-15,3.767021104499928,0.6240610043116078,-0.2817518553027717
15,15,15,01-16,3.7785824436885216,0.6485018066754661,-0.004597564870310268
16,16,16,01-17,2.771570280355548,-1.4803333447319895,-0.03171064545684469
17,17,17,01-18,3.7499194816526185,0.5879079793640557,-0.1884697000971081
18,18,18,01-19,3.1163407394331952,-0.7514846781755229,-0.4359949001076788
19,19,19,01-20,3.112562949962608,-0.7594709680262677,-0.576455375972389
20,20,20,01-21,3.0644935640919013,-0.8610901957518161,-0.6977938626847924
21,21,21,01-22,3.3799266598347484,-0.19426104851279613,-1.1152844823880728
22,22,22,01-23,2.4271866433632083,-2.2083642650064093,-1.0793214049997948
23,23,23,01-24,2.5649950449041863,-1.9170357388556265,-1.1417864347755902
24,24,24,01-25,3.218411366189629,-0.5357062138458542,-1.3290995466298228
25,25,25,01-26,2.9352743194392126,-1.1342611466810395,-1.4216245586332368
26,26,26,01-27,2.5328603414886746,-1.9849688668772127,-0.7191980279056157
27,27,27,01-28,3.11732160343562,-0.7494111205332801,-0.4116201896434328
28,28,28,01-29,4.420817929908357,2.0061949193593165,-0.0807785428727827
29,29,29,01-30,3.4379643514197307,-0.07156870928252836,-0.07171207704984872
30,30,30,01-31,4.157408156659449,1.4493436667780466,0.1017168481372856
31,31,31,02-01,2.961006818330264,-1.0798623517434356,0.18813241798576474
32,32,32,02-02,3.0250873803603615,-0.9443953157544066,-0.08791909180477002
33,33,33,02-03,3.362586803649648,-0.23091770144240525,-0.05940170678730115
34,34,34,02-04,3.6373268421694713,0.34988586061610794,-0.523283019537685
35,35,35,02-05,3.51890256843495,0.09953560082228488,-0.3713527824851474
