,unnamed: 0,unnamed: 0,mth_day,homosexuality,homosexuality_norm,homosexuality_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.025049612834981,-1.0400874481024884,
2,2,2,01-03,2.23385359512168,-0.5350092945425674,
3,3,3,01-04,2.052513718389819,-0.9736542337025542,
4,4,4,01-05,2.1251427315508216,-0.7979711482532045,-1.0040781902580425
5,5,5,01-06,1.978820019247151,-1.151912699294808,-1.0759300285883755
6,6,6,01-07,1.8242373622347683,-1.5258343176526317,-1.113521572541551
7,7,7,01-08,1.8468243238703053,-1.4711984780844876,-1.2105836482395125
8,8,8,01-09,2.140609442440696,-0.7605585582616192,-1.1237180956514934
9,9,9,01-10,1.81175555700152,-1.5560266878903204,-1.0634270889294968
10,10,10,01-11,2.340608870912494,-0.2767778327250912,-0.5737930041316797
11,11,11,01-12,2.1283691796402087,-0.7901666589628288,-0.19887927318714949
12,12,12,01-13,3.0387529303521865,1.41197019113427,-0.30445720888694544
13,13,13,01-14,2.776781157086152,0.7782839075826936,0.08865567628786193
14,14,14,01-15,1.8787280691085064,-1.3940261724603948,-0.10957549853440833
15,15,15,01-16,2.7868545827760567,0.8026506231585238,0.25444326291386593
16,16,16,01-17,1.8489052592097528,-1.4661648816587127,0.14988914249441562
17,17,17,01-18,3.0313015256354987,1.3939459097268163,0.19450225519769326
18,18,18,01-19,2.7794110852829648,0.7846454686175681,0.3103924868532971
19,19,19,01-20,2.8874419987280917,1.0459625838023592,0.3107705606510604
20,20,20,01-21,2.1661886338618457,-0.6986847825267719,0.3937911368533115
21,21,21,01-22,2.7877923780144562,0.8049190659451039,-0.058624972515927215
22,22,22,01-23,2.0548341056734296,-0.9680414244452059,-0.4984429673106954
23,23,23,01-24,1.9091034900903583,-1.3205507464886157,-0.8422593272347134
24,24,24,01-25,1.6884621125679566,-1.854262500151041,-0.8681615852795685
25,25,25,01-26,2.0346208110985438,-1.0169355757417489,-1.28142443267707
26,26,26,01-27,2.101939234929863,-0.8540983307959028,-1.1723201221184538
27,27,27,01-28,1.762712267229169,-1.6746580184399056,-0.9946341324440364
28,28,28,01-29,2.3254624949876126,-0.3134155610935072,-0.97809156559649
29,29,29,01-30,2.349845683896252,-0.2544348084421112,-1.073522838214379
30,30,30,01-31,1.729495213809804,-1.7550070990657631,-0.9654106224252901
31,31,31,02-01,1.7979077842112428,-1.5895232114490858,-0.7024139020228266
32,32,32,02-02,2.370106777297216,-0.2054250360613663,-0.7526275580592122
33,33,33,02-03,2.415063933932499,-0.09667769602512606,-0.5756341323053765
34,34,34,02-04,2.2009097547234906,-0.6146974973118202,-0.31198504921008635
35,35,35,02-05,2.7888700037028094,0.8075257460809034,-0.21658821314546506
36,36,36,02-06,2.3834650371551995,-0.1731126004940221,-0.2906354266379426
37,37,37,02-07,2.03453539275992,-1.0171421950613582,-0.3476167446241492
38,38,38,02-08,2.186435957894471,-0.6497083170162319,-0.4652529027268061
39,39,39,02-09,2.273724309231589,-0.4385656039423658,-0.692129413673134
40,40,40,02-10,1.9091184970781128,-1.3205144459277618,-0.90235039190495
41,41,41,02-11,2.2261129099064147,-0.5537333195970633,-0.938868574050023
42,42,42,02-12,1.862021251408869,-1.4344384698849186,-0.9924511417068476
43,43,43,02-13,1.943953666300144,-1.2362512879317955,-0.907172264638064
44,44,44,02-14,2.0535267822071006,-0.9712037229571776,-0.6434634030453198
45,45,45,02-15,2.4852547705440955,0.07310765847033494,-0.5528777017000147
46,46,46,02-16,2.563236598327459,0.26173872362870393,-0.30466146201198097
47,47,47,02-17,2.450806712786043,-0.010219111525232956,-0.3837314870752806
48,48,48,02-18,2.4777105931448777,0.05485896824328342,-0.21359933559329866
49,49,49,02-19,1.7478239862137062,-1.7106714383115933,-0.27654029969094723
50,50,50,02-20,2.475532016376001,0.04958918593471381,-0.2608855608877401
51,51,51,02-21,2.329132508752457,-0.3045381261155564,-0.2899601408944074
52,52,52,02-22,2.6020674815964573,0.3556671564479465,-0.4150797732503563
53,53,53,02-23,2.3786885103346065,-0.18466659156523674,0.10669323631142884
54,54,54,02-24,2.1673569104837216,-0.6958588258924099,0.2441128152285441
55,55,55,02-25,3.0420587276491164,1.4199666190591176,0.18572631206095971
56,56,56,02-26,2.816395169372985,0.8741066594374052,0.11793460523025268
57,57,57,02-27,2.1843073847126364,-0.6548571451210623,-0.011607173863694595
58,58,58,02-28,2.4339131682194717,-0.05108308453629597,0.049510527122639474
59,59,59,02-29,2.057365889389636,-0.9619172661289204,-0.4451783902061217
60,60,60,03-01,2.3189566492276024,-0.3291526199744055,-0.7052556350457948
61,61,61,03-02,1.8150048722807341,-1.548166884913449,-0.7025736619281093
62,62,62,03-03,2.171285131943097,-0.6863568096006334,-1.0358431655891227
63,63,63,03-04,2.1909598997352497,-0.6387653064149493,-1.046667251788474
64,64,64,03-05,1.6072529884196884,-2.0507001065023767,-1.0464383280224416
65,65,65,03-06,2.0305172250341195,-1.0268617833250286,-0.9324308251845862
66,66,66,03-07,2.319524484446576,-0.3277790773782123,-1.0813867112511268
67,67,67,03-08,2.0977954119465783,-0.8641218678863154,-1.0828129151038974
68,68,68,03-09,1.801806682203961,-1.5800921259998777,-0.7424123602073279
69,69,69,03-10,2.187422264516873,-0.6473225295315724,-0.6433715727017525
70,70,70,03-11,2.4516014236157475,-0.008296777122960704,-0.6001049632874371
71,71,71,03-12,2.276183493046895,-0.4326170582915755,-0.4326812870631729
72,72,72,03-13,2.426845384573535,-0.06817942089232025,-0.3223746025340897
73,73,73,03-14,2.5130823937133457,0.14042018945926982,-0.3049938830421906
74,74,74,03-15,2.0754175066695573,-0.918252018825379,-0.4905126207230967
75,75,75,03-16,2.2305343661114962,-0.5430382125801775,-0.7927692206592618
76,76,76,03-17,1.9914304467851809,-1.121409203208397,-0.4447823502828139
77,77,77,03-18,1.5264494414636716,-2.246156657908567,-0.2981250505443387
78,78,78,03-19,3.29001133787348,2.019741801366367,-0.1951383879920608
79,79,79,03-20,2.876859302308241,1.0203639878901214,-0.0019942139109665282
80,80,80,03-21,2.3308713422207425,-0.3003320435117115,0.3023270946071836
81,81,81,03-22,2.7096198987486537,0.6158268319063882,0.6310304764899684
82,82,82,03-23,2.746285916166517,0.7045186479005033,0.3732541731203633
83,83,83,03-24,2.341783559296448,-0.2739363666118579,0.14308403155489816
84,84,84,03-25,2.6506086834128126,0.4730839811487368,0.2796170046753345
85,85,85,03-26,2.305932504263781,-0.3606568615026694,0.11726598193709635
86,86,86,03-27,2.6695353089758327,0.5188657952109063,0.0822783050599394
87,87,87,03-28,2.3069154083192442,-0.35827930452304063,0.20322598911712011
88,88,88,03-29,2.6595005399459963,0.4945925866375616,0.0075672660771107046
89,89,89,03-30,2.641788909773324,0.4517497377312266,-0.15489997197410058
90,90,90,03-31,2.165285923931741,-0.7008683570913199,-0.31776084844052216
91,91,91,04-01,1.9029397469198697,-1.335460289809937,-0.5146231373098934
92,92,92,04-02,2.2655661490522703,-0.4582994635876232,-0.6585848503587216
93,93,93,04-03,1.8186072573337848,-1.539453037739268,-0.8879211157313299
