,unnamed: 0,unnamed: 0,mth_day,teen,teen_norm,teen_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.4452915470982537,-1.5009216037211324,
2,2,2,01-03,1.5941408634138716,-1.1272283398691203,
3,3,3,01-04,2.096554687592477,0.1341053794176655,
4,4,4,01-05,1.4886740446904452,-1.3920077872484855,-1.1826580985397441
5,5,5,01-06,1.3436973545175166,-1.7559786396124144,-1.077861776643075
6,6,6,01-07,1.4640141585666993,-1.4539176002049772,-1.0531099690935948
7,7,7,01-08,1.6957460622145022,-0.8721436723411169,-1.1080688478330485
8,8,8,01-09,1.653295629973028,-0.9787174945722408,-0.9119126151225472
9,9,9,01-10,1.965207526958397,-0.1956478930190564,-0.5638692114739873
10,10,10,01-11,1.9574711671598741,-0.21507039098547925,-0.461999627625565
11,11,11,01-12,2.175492214514214,0.3322817822789454,-0.3593749471309042
12,12,12,01-13,1.7074740125585934,-0.8427000971144432,-0.39234558750966175
13,13,13,01-14,1.9410105345458264,-0.25639558937315143,-0.4180002904374915
14,14,14,01-15,1.5744985348108895,-1.1765413368447863,-0.5837972369988709
15,15,15,01-16,1.9038949153518896,-0.3495761105860352,-0.8078278037796899
16,16,16,01-17,1.5612302198895234,-1.2098520703537552,-0.5424091319863807
17,17,17,01-18,1.64007774615498,-1.0119016184059682,-0.4344086286355484
18,18,18,01-19,2.3418026182165046,0.7498119336454111,-0.4493116631486463
19,19,19,01-20,2.199122777509033,0.3916074307318429,-0.5514888235999278
20,20,20,01-21,1.5388815187249725,-1.2659595439233735,-0.5053307340264026
21,21,21,01-22,1.6596999787966384,-0.962639073293724,-0.3804041245239029
22,22,22,01-23,1.6715442245568668,-0.932903532912604,-0.6917594813879798
23,23,23,01-24,1.9386419785802016,-0.2623419613909697,-1.0374882525982296
24,24,24,01-25,1.597689146284459,-1.1183202075390506,-1.0311083940766663
25,25,25,01-26,1.3728596970110558,-1.6827651965296568,-1.0149269932985132
26,26,26,01-27,1.5541288512993339,-1.2276803927939952,-0.7568397534840171
27,27,27,01-28,1.6983721841989434,-0.8655506686248045,-0.6457683971305941
28,28,28,01-29,2.288351316022976,0.6156199059743723,-0.2647168678445824
29,29,29,01-30,2.204093305452436,0.4040861767295695,0.027482714918613985
30,30,30,01-31,2.5083706881016843,1.167988968177019,-0.04539478244776962
31,31,31,02-01,2.0711924580624,0.07043230004952121,0.10536620629769478
32,32,32,02-02,1.3799576787291694,-1.6649453769922966,0.26889260222525857
33,33,33,02-03,2.0586784397173594,0.03901526384798197,0.15689675420859134
34,34,34,02-04,2.679165835650189,1.5967782815397549,-0.17773381304461475
35,35,35,02-05,1.936432520203646,-0.26788891137043397,-0.4412548200866848
36,36,36,02-06,1.7086313943207958,-0.8397944353422176,-0.37708791747958603
37,37,37,02-07,1.4413991137239968,-1.5106937422028992,-0.2325845173370765
38,38,38,02-08,1.5333112524816777,-1.279943961349704,-0.3338572594128933
39,39,39,02-09,2.4040295776230094,0.9060356647030392,-0.3795014192558204
40,40,40,02-10,2.4371323839790406,0.9891418290848546,-0.10995470113118187
41,41,41,02-11,1.827346764955282,-0.5417538704279966,0.12822233067197333
42,42,42,02-12,2.352825688235496,0.7774858734056138,0.3214811415038463
43,43,43,02-13,2.0106224598534994,-0.0816315513839677,0.11871756209361085
44,44,44,02-14,1.995183777039984,-0.12039109635846648,-0.018622644611351324
45,45,45,02-15,1.91944144470649,-0.3105458117583733,-0.02921336660689076
46,46,46,02-16,2.1089006841091438,0.16510058885508164,-0.14230708810018985
47,47,47,02-17,1.8020358180239648,-0.6052982024012332,-0.27796487972133915
48,48,48,02-18,2.082541076460428,0.09892354444581936,-0.2895348915245512
49,49,49,02-19,1.68641159245572,-0.8955783011108635,-0.08714287582869862
50,50,50,02-20,1.9675324087131447,-0.18981116717773888,0.09971293989154233
51,51,51,02-21,2.4031415711716733,0.9038062824167424,0.2659585778372251
52,52,52,02-22,2.5554705815623047,1.2862354831765273,0.2465153499032024
53,53,53,02-23,2.1993491004780195,0.3921756252728633,0.3005964320070028
54,54,54,02-24,2.0360733747665467,-0.017735823158316982,0.2636264912382665
55,55,55,02-25,1.8156608919552275,-0.5710918084880608,-0.09360831394275168
56,56,56,02-26,1.8791773174128985,-0.4116308117901565,-0.18306859687739274
57,57,57,02-27,1.5493800240586049,-1.239602548669367,-0.1470220948840568
58,58,58,02-28,2.341667927241571,0.7494737855686808,-0.14471406903440154
59,59,59,02-29,2.285497249716306,0.6084546372328791,-0.21139981713371572
60,60,60,03-01,2.0415893650664847,-0.0038876680603857883,-0.05332663993938142
61,61,61,03-02,1.6562874864472916,-0.971206297083946,-0.03141546530435283
62,62,62,03-03,2.2569590966830555,0.5368082513758496,-0.08672270358053913
63,63,63,03-04,1.6017459136196386,-1.1081355008591955,-0.4330488933950831
64,64,64,03-05,2.2094882162156506,0.4176303559115631,-0.33697452768847685
65,65,65,03-06,1.4578063883177037,-1.469502501654385,-0.2452656804162315
66,66,66,03-07,2.2711991284880955,0.5725585261792515,-0.3065825088819239
67,67,67,03-08,1.8754640229872663,-0.4209532134504738,-0.26669178380909536
68,68,68,03-09,2.11041696367782,0.16890728058169527,-0.4389556792195399
69,69,69,03-10,1.6970814370896503,-0.8687911504222247,-0.23870641983725416
70,70,70,03-11,1.7977917977134832,-0.6159530165511037,-0.3951322950679867
71,71,71,03-12,1.936385504962944,-0.26800694536067105,-0.5149983784911282
72,72,72,03-13,1.8973542642458407,-0.3659967252051434,-0.9050684047619632
73,73,73,03-14,1.5889940280553083,-1.1401497139893229,-0.6877609232864781
74,74,74,03-15,1.1781819622683931,-2.171512877043314,-0.7100037506314414
75,75,75,03-16,2.216428289336433,0.4350537384306864,-1.0487667290879803
76,76,76,03-17,1.7446332856906073,-0.7494099806208842,-1.2849264174804758
77,77,77,03-18,1.1267700912433023,-2.3005848160999047,-1.2905308445522026
78,78,78,03-19,1.3329522015029631,-1.7829548555601156,-1.0316232723432657
79,79,79,03-20,1.5755999123139397,-1.1737762764196835,-1.2873921941930198
80,80,80,03-21,1.7969495800999815,-0.6180674437896916,-1.3256218396604078
81,81,81,03-22,1.6051617854714562,-1.099559792667838,-1.1553991864572468
82,82,82,03-23,1.6532676046694568,-0.978787853425215,-0.8134428128007308
83,83,83,03-24,1.5335881102176316,-1.2792488968809366,-0.6778332898445151
84,84,84,03-25,2.150199564816918,0.2687833863789804,-0.5307835755186224
85,85,85,03-26,1.899695421607041,-0.3601191386823889,-0.3154455021200219
86,86,86,03-27,2.148386197654065,0.26423084216566434,-0.1734360101383837
87,87,87,03-28,2.1198019158024777,0.19246864772376496,0.21830828926119408
88,88,88,03-29,1.9926585089727158,-0.1267309015353858,0.4795730202889123
89,89,89,03-30,2.4698244855020404,1.07121689951653,0.7846289914784195
90,90,90,03-31,2.7746005966684373,1.8363717725452893,0.5278501635350088
91,91,91,04-01,2.628753884392772,1.470216688454654,0.5003955906299014
92,92,92,04-02,1.5347061020100825,-1.2764421254947995,0.4303074187614023
93,93,93,04-03,2.0541877642728816,0.02774121029312029,0.26610047686228483
94,94,94,04-04,1.8251535929316964,-0.5472599327463802,0.31316178097657765
95,95,95,04-05,2.0773835174629456,0.08597524812182508,0.16684672592246433
96,96,96,04-06,2.8870732091548317,2.118739597231047,0.19072783635783566
97,97,97,04-07,2.2790730415487075,0.5923263581299741,0.17974941912376538
98,98,98,04-08,1.5917799747021604,-1.1331554628825715,0.4801554703744466
99,99,99,04-09,2.0279502578858346,-0.03812929311130149,0.4238837937911379
100,100,100,04-10,2.5430991328349206,1.2551763747577076,-0.041172992442442685
101,101,101,04-11,1.942898878895694,-0.25165481137802664,-0.10334806444580216
102,102,102,04-12,1.7756260725606776,-0.6716011201704373,-0.12442764830516832
103,103,103,04-13,2.1304797776909026,0.21927592610981736,-0.2127911268481335
104,104,104,04-14,1.5414015181036982,-1.2596329660387684,-0.38791259044903176
105,105,105,04-15,1.816768875067028,-0.5683101643690928,-0.4712567875363746
