,unnamed: 0,unnamed: 0,mth_day,directorial debut,directorial debut_norm,directorial debut_ravg
0,0,0,01-01,,,
1,1,1,01-02,4.945713084513894,-1.327878157055772,
2,2,2,01-03,5.385449375002541,-0.7610116471774192,
3,3,3,01-04,4.6889879804863135,-1.6588239235663254,
4,4,4,01-05,4.028124317135922,-2.5107469657436465,-1.6697674363217638
5,5,5,01-06,4.967692714307431,-1.2995440934386102,-1.8111190444020264
6,6,6,01-07,4.067025036527597,-2.460599830948809,-2.0190035258744605
7,7,7,01-08,4.287807591330055,-2.1759878055373503,-1.9000830851272537
8,8,8,01-09,4.417873949679275,-2.008318536012021,-1.476221436597495
9,9,9,01-10,5.242490075595162,-0.9453012790830856,-1.3473979139309171
10,10,10,01-11,6.000941681614307,0.03242292543490638,-0.8278252154078274
11,11,11,01-12,5.567287613613488,-0.5266029574391411,-0.6452105779753012
12,12,12,01-13,6.485318942831035,0.6568363601897289,-0.4494992406457579
13,13,13,01-14,5.1377673104611885,-1.080299980942193,-0.2454881936533853
14,14,14,01-15,5.328790816181064,-0.8340505120347617,-0.35551787721893463
15,15,15,01-16,6.1920370267006275,0.2787650028711498,-0.2684279542833263
16,16,16,01-17,5.4888206366952454,-0.627755175958389,-0.39968469376059207
17,17,17,01-18,5.9726380689670595,-0.004063419825490975,-0.2818624590794095
18,18,18,01-19,5.874398903842452,-0.13070407667386474,-0.11132146615817368
19,19,19,01-20,5.686157926377845,-0.3733665728550983,-0.24517354628627186
20,20,20,01-21,6.122555086568402,0.18919544549265327,-0.05326010909995795
21,21,21,01-22,5.569037260469774,-0.5243474778974392,-0.20792269340947936
22,22,22,01-23,6.3820605952316445,0.5237254471594944,-0.5083791407118236
23,23,23,01-24,5.252778102821752,-0.9320389256826194,-0.8042707914743074
24,24,24,01-25,4.475957458234914,-1.9334427604879296,-1.1414151252145586
25,25,25,01-26,4.308962823557828,-2.1487164774300016,-1.316031510976228
26,26,26,01-27,4.553353913861772,-1.8336705569488536,-1.2499061755670955
27,27,27,01-28,4.75630452291734,-1.5720457924674558,-1.1084734236312048
28,28,28,01-29,6.689833686709948,0.9204774596142886,-0.7485412658876681
29,29,29,01-30,5.911061271145482,-0.08344241406727544,-0.5718525227272205
30,30,30,01-31,6.151222048210598,0.22615018597329034,-0.3393280746338785
31,31,31,02-01,5.131341120400412,-1.0885840184673166,-0.2715696124806888
32,32,32,02-02,5.635613350296942,-0.4385238683888013,-0.5129856502829703
