,unnamed: 0,unnamed: 0,mth_day,cars,cars_norm,cars_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.4528249480753064,-0.12798242352074252,
2,2,2,01-03,0.2707555350397731,-1.167884102341876,
3,3,3,01-04,0.35145327549770433,-0.7069735387267941,
4,4,4,01-05,0.2713101765277067,-1.16471623023843,-0.7486758178080858
5,5,5,01-06,0.4548156342244711,-0.11661248590185025,-0.9322126747789626
6,6,6,01-07,0.2637518488859452,-1.2078861261188218,-0.9407388086688321
7,7,7,01-08,0.2600195213721426,-1.2292035653460032,-0.9921227331897876
8,8,8,01-09,0.2617988333184104,-1.2190409056810916,-0.7510305224923993
9,9,9,01-10,0.2974744744195205,-1.0152770858525286,-0.6445656567794181
10,10,10,01-11,0.524577489292548,0.2818370339458986,-0.18783181313855046
11,11,11,01-12,0.5666569515569542,0.5221767083760372,0.039468504955609635
12,12,12,01-13,0.7435506482460479,1.532516935726384,0.19826474019021031
13,13,13,01-14,0.4987984540791761,0.1345983432189572,0.4654454490209622
14,14,14,01-15,0.4286142424878142,-0.2662634942734876,0.14302305736065793
15,15,15,01-16,0.5781477485681619,0.5878071671319826,0.08399123959662201
16,16,16,01-17,0.1858728398357703,-1.6526973160159268,-0.2756745220472873
17,17,17,01-18,0.5046440403580642,0.16798580179182168,-0.5080559863456201
18,18,18,01-19,0.3657218470517683,-0.6254776341370717,-0.6504603567454642
19,19,19,01-20,0.2546817784348092,-1.2596904425710396,-0.8774073804438305
20,20,20,01-21,0.2790184836169186,-1.1206897166725525,-0.8684733482312307
21,21,21,01-22,0.33973995154393954,-0.7738749750582145,-1.097677660243389
22,22,22,01-23,0.19525803865283106,-1.599093122740328,-1.1914686097552014
23,23,23,01-24,0.2638649624711547,-1.2072400702811292,-1.1985303589688627
24,24,24,01-25,0.2671944758197912,-1.1882233312079455,-1.0869209326174276
25,25,25,01-26,0.2472634124843303,-1.302060937853006,-1.2062674759963103
26,26,26,01-27,0.3962641607355932,-0.451033158563942,-1.0673713871446282
27,27,27,01-28,0.21436643473927705,-1.4899542353315116,-0.4868278405728823
28,28,28,01-29,0.3411683485515044,-0.7657165896302355,-0.1875788874577483
29,29,29,01-30,0.8737258267350265,2.276021209149347,0.03452691895554068
30,30,30,01-31,0.5815554333303237,0.6072703874828586,0.09668286611069864
31,31,31,02-01,0.4805855118464196,0.0305739006267278,0.32387333284057457
32,32,32,02-02,0.4615589691526902,-0.07809747563299411,0.35394818157157176
33,33,33,02-03,0.4530299686129955,-0.12681143495225594,-0.10227568441990133
34,34,34,02-04,0.3727619703357825,-0.5852674972442523,-0.12435758610510927
35,35,35,02-05,0.3944627587801761,-0.4613219867994919,-0.09657916101086074
36,36,36,02-06,0.5583584006083925,0.4747789773716109,-0.00748570978150747
37,37,37,02-07,0.5097667411201033,0.19724445119221892,-0.1358886519303045
38,38,38,02-08,0.5551516195022529,0.4564632317431255,-0.1733902585600826
39,39,39,02-09,0.31814270695051194,-0.8972290878450381,-0.12813257888822588
40,40,40,02-10,0.3333665410599292,-0.8102771370229213,-0.23609720629615105
41,41,41,02-11,0.442005941031096,-0.1897759087683516,-0.28299539883150954
42,42,42,02-12,0.4449415839548516,-0.17300878707593986,-0.4621344146427511
43,43,43,02-13,0.4605002004774152,-0.0841447040199322,-0.4763229286805679
44,44,44,02-14,0.3669661239418064,-0.6183708631243235,-0.42087064526332857
45,45,45,02-15,0.30323767616544633,-0.9823601720719392,-0.6268258900329898
