,unnamed: 0,unnamed: 0,mth_day,police,police_norm,police_ravg
66,66,66,03-07,5.662601538310362,-1.0882927135220597,-0.4274446647936026
67,67,67,03-08,6.0260248997516594,-0.5880078242091376,-0.6473246967915162
68,68,68,03-09,5.855737309253278,-0.8224239828896998,-0.5184216096682818
69,69,69,03-10,5.777589660864693,-0.9300012378826028,-0.3759167378562959
70,70,70,03-11,6.496635213015912,0.0598295287535339,-0.3361564057789504
71,71,71,03-12,7.261980329221088,1.1133958026121848,-0.5546239653374149
72,72,72,03-13,5.835900798522872,-0.8497307210579869,-0.2368533925777537
73,73,73,03-14,5.073812871485272,-1.8988131815599243,-0.2348706546392037
74,74,74,03-15,7.240771143211925,1.0841994536682675,-0.4511760001833607
75,75,75,03-16,5.786231616301023,-0.9181048102513027,-0.7411108117995218
76,76,76,03-17,5.55384740405362,-1.2380025445114078,-0.8421635404201782
77,77,77,03-18,5.998271357545704,-0.6262130670847821,-0.7745735856487689
78,78,78,03-19,5.3954526886240775,-1.4560470927819251,-0.9364398078381192
79,79,79,03-20,5.368410238954347,-1.4932734529314688,-0.7025459699107169
80,80,80,03-21,6.5352615286483395,0.11300212053216607,-0.3239360630341727
81,81,81,03-22,6.805680573674757,0.4852582173131094,-0.011893000015405424
82,82,82,03-23,7.204055371210336,1.0336568967478577,-0.014280380492125582
83,83,83,03-24,7.358341285291845,1.2460453110278216,0.22541789783004976
84,84,84,03-25,5.385047059474489,-1.4703713756422463,0.3932977166316967
85,85,85,03-26,6.413158412250251,-0.05508378299841679,0.2930388344852953
86,86,86,03-27,7.266981986775812,1.1202810333420474,0.18509239692944213
87,87,87,03-28,6.368692520559268,-0.11629507556529887,-0.09699505161355076
88,88,88,03-29,6.7335603629037015,0.3859782714127391,0.1131870590628256
89,89,89,03-30,6.128835805995588,-0.4464793802301357,-0.026623307524353573
90,90,90,03-31,6.301146155912206,-0.2092787115839883,-0.22104932101728947
91,91,91,04-01,5.803781381583973,-0.8939459825214918,-0.3484455027692966
92,92,92,04-02,6.419557366708536,-0.04627504761556781,-0.487698155667716
93,93,93,04-03,5.81342391745571,-0.880672166077342,-0.5975248540421411
94,94,94,04-04,6.126614181393424,-0.4495376459777771,-0.5450569271223759
95,95,95,04-05,5.650145498710282,-1.105439570476686,-0.4637569610846684
96,96,96,04-06,6.529832699636023,0.10552884993460236,-0.5140634950080879
97,97,97,04-07,6.158135161683928,-0.4061461862952465,-0.4830676046787469
98,98,98,04-08,6.200291463802471,-0.3481142511560851,-0.4302351954465931
99,99,99,04-09,5.9485225090181135,-0.6946968241012962,-0.040484135832963286
100,100,100,04-10,6.35688935659483,-0.13254319058485414,-0.25430028887496364
101,101,101,04-11,7.348913259670924,1.233066787205093,-0.4316589055403524
102,102,102,04-12,5.597894277401968,-1.1773680683173997,-0.4053626752077809
103,103,103,04-13,5.3851004445534185,-1.4702978862875788,-0.20185357457390687
104,104,104,04-14,6.314906131862776,-0.1903368691606562,-0.2734934206854676
105,105,105,04-15,6.835536644557951,0.5263577797019479,-0.5610895165343095
106,106,106,04-16,6.044640145277366,-0.5623822672542186,-0.3075062918855374
107,107,107,04-17,6.095397807293503,-0.4925097878879581,0.004699878865328966
108,108,108,04-18,6.703161334740609,0.3441312795752327,0.11028927551309728
109,109,109,04-19,6.745881293155367,0.4029391382176195,-0.1681801443119546
110,110,110,04-20,6.77512774896968,0.4431995107259537,-0.13455225503478033
111,111,111,04-21,5.621800694022851,-1.1444587392483634,-0.029757998208760975
112,112,112,04-22,6.191210559299713,-0.3606149315911729,-0.3204895056401184
113,113,113,04-23,6.552153730436723,0.13625575306815793,-0.629786242109545
114,114,114,04-24,5.43597988715332,-1.4002577650129122,-0.7694312828983622
115,115,115,04-25,5.397781495798905,-1.4528412805989404,-0.42036284892832415
116,116,116,04-26,6.166471306815955,-0.394670734006948,-0.3190827051317258
117,117,117,04-27,7.14324928889046,0.949951864571864,-0.1503209379047785
118,118,118,04-28,6.632649880279825,0.24706593118841705,0.19858235978951166
119,119,119,04-29,7.287718246238378,1.1488263564298418,0.3457284666439697
120,120,120,04-30,6.956708719561057,0.6931620211528289,0.2345432975179723
121,121,121,05-01,6.039132061267598,-0.5699646394721926,-0.1083108388021955
122,122,122,05-02,5.681859973121468,-1.0617817487629322,0.04977671767832609
123,123,123,05-03,5.648886312507321,-1.1071729533491426,-0.1579325202559748
124,124,124,05-04,7.3216898141914335,1.1955912700715463,-0.46164183675495707
125,125,125,05-05,6.3823974052731645,-0.09742907117596347,-0.25419446743684265
126,126,126,05-06,5.632962233577621,-1.1290938778410649,-0.1975277318994
127,127,127,05-07,6.94331152249358,0.6747195764364937,-0.2230347438013811
128,128,128,05-08,5.928847431078143,-0.7217813355382762,-0.2929490164701677
