,unnamed: 0,unnamed: 0,mth_day,infidelity,infidelity_norm,infidelity_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.8344109305886848,-0.3871477085561717,
2,2,2,01-03,0.6424045391571067,-1.226778869703432,
3,3,3,01-04,0.6845174147612383,-1.0426220696140585,
4,4,4,01-05,0.7700976541046941,-0.6683853830357772,-0.8351179735418675
5,5,5,01-06,0.7289593243957715,-0.8482805588350179,-1.0215910440395142
6,6,6,01-07,0.7314261598935567,-0.8374932515067469,-1.1592091691954562
7,7,7,01-08,0.5785555763174312,-1.5059861315420515,-1.074811241030992
8,8,8,01-09,0.4535819168237461,-2.0524876206390847,-0.9689448647239516
9,9,9,01-10,0.8003178451003276,-0.5362345006272731,-0.9055939486317642
10,10,10,01-11,0.9153544418176068,-0.0331871251935349,-0.9405356417031536
11,11,11,01-12,0.8158816399715191,-0.4681750622818934,-0.6096728773980217
12,12,12,01-13,0.6834834771471462,-1.047143409935083,-0.5268453271206675
13,13,13,01-14,1.0325246644572876,0.4791904542887402,-0.3860436072661505
14,14,14,01-15,0.567227668261619,-1.5555223189749599,-0.3849894375757585
15,15,15,01-16,0.993508603525866,0.3085758184998291,-0.4134662439714867
16,16,16,01-17,0.9168008434823484,-0.026862107051182967,-0.4774908977518008
17,17,17,01-18,0.7768092775684723,-0.6390359006562627,-0.5672554010269711
18,18,18,01-19,0.59563674179099,-1.4312913326169674,-0.2905939941675884
19,19,19,01-20,0.9093608814769368,-0.05939656536228121,-0.38459340368562617
20,20,20,01-21,0.9468283370138618,0.10444612218133642,-0.4025788476561124
21,21,21,01-22,0.8645342043842499,-0.25542063860839753,-0.3452008151997972
22,22,22,01-23,0.8921234349615689,-0.13477477087410042,-0.19910412664220967
23,23,23,01-24,0.8555363387056101,-0.29476770591837154,-0.3911887618872633
24,24,24,01-25,0.7960926033746619,-0.5547112012714425,-0.5588610560676903
25,25,25,01-26,0.6458060299933929,-1.2119043768326023,-0.5751925653992415
26,26,26,01-27,0.7167690897750042,-0.9015876429012258,-0.5614379231082353
27,27,27,01-28,0.8421261210365741,-0.3534096945977044,-0.5516442340950555
28,28,28,01-29,0.91099585909685,-0.052246917128063085,-0.3529013973834383
29,29,29,01-30,0.8689740311584793,-0.236005571839293,-0.4157600107825637
30,30,30,01-31,1.068783017920962,0.6377458189982605,-0.4158290112819114
31,31,31,02-01,0.5595591914696718,-1.5890560572273549,-0.5621613864602025
32,32,32,02-02,0.7166744157979071,-0.9020016458973124,-0.6343566104415329
33,33,33,02-03,0.641346879333316,-1.2314039456674508,-0.5769934457082158
34,34,34,02-04,0.8119384747831783,-0.4854182610160453,-0.7428750371164781
35,35,35,02-05,0.947680692639384,0.1081734165606105,-0.4931799133991258
36,36,36,02-06,0.8411807522234286,-0.35754372945131274,-0.27520975304009365
37,37,37,02-07,0.9021600515724922,-0.0908853149232423,-0.08179346682951212
38,38,38,02-08,1.0157461930276706,0.4058193162568809,0.03428255338873625
39,39,39,02-09,0.9067288580725092,-0.07090622840396177,0.017409773424733575
40,40,40,02-10,0.9712036769707078,0.21103786029344493,0.1831800692857992
41,41,41,02-11,0.924529944471244,0.006936736776594457,0.4262712795029579
42,42,42,02-12,1.0686303118943985,0.6370780457150808,0.1682273242805844
43,43,43,02-13,1.2356998358660312,1.3676619463797102,0.06190558114791798
44,44,44,02-14,0.6616900957864923,-1.14244441507736,0.005392222232333603
45,45,45,02-15,0.7608472721504878,-0.7088366871999603,-0.01271956753039907
46,46,46,02-16,0.893663014247573,-0.12804229320006133,-0.12784214598934815
47,47,47,02-17,0.8996791798334145,-0.10173400179980158,-0.5167393405920045
48,48,48,02-18,0.9106733049248248,-0.05365742503861365,-0.23820102548175995
49,49,49,02-19,0.7021030584084784,-0.965721221236228,0.10866353224074388
50,50,50,02-20,1.043866026608359,0.5287854755841072,0.380538118303208
51,51,51,02-21,1.2367720481162106,1.3723506591350627,0.4619938708201178
52,52,52,02-22,1.2666957977413165,1.5032052231747235,0.3426990289493748
53,53,53,02-23,1.0114427195339557,0.3870005133016571,0.5816347539212595
54,54,54,02-24,0.746991632562609,-0.7694264762630719,0.6000849955147868
55,55,55,02-25,1.0299411982406421,0.4678931285950808,0.7347744296417725
56,56,56,02-26,1.0691811731155954,0.6394869251452706,0.5099566733117533
57,57,57,02-27,1.4215762817419422,2.180487263896977,0.9053652592481028
58,58,58,02-28,0.9582285936631204,0.1542986851946082,1.2199876130610912
59,59,59,02-29,1.5539736252923655,2.7594520289197537,1.0177157766411165
60,60,60,03-01,1.1786776319492804,1.1183076466148578,0.7747031019651797
61,61,61,03-02,0.752408725437912,-0.7457378899247674,0.6323876374400663
62,62,62,03-03,0.7357491456078946,-0.8185891229103508,1.1760727236877055
63,63,63,03-04,1.2263085495317276,1.3265944767462967,0.5827891586122712
64,64,64,03-05,1.7042062299119016,3.416409202680444,0.3764079307946096
65,65,65,03-06,0.7399430721374891,-0.8002493615328522,0.41681319243887227
66,66,66,03-07,0.8955067589792313,-0.11997972029111192,0.5419335265562154
67,67,67,03-08,0.8078478432945893,-0.5033063200591916,0.2635954294243221
68,68,68,03-09,0.9074238401184592,-0.06786711820629204,-0.1102789814858432
69,69,69,03-10,0.8444073331318727,-0.34343410604506336,0.09061965854539623
70,70,70,03-11,1.1912218638525471,1.1731627372194522,-0.030269294063126524
71,71,71,03-12,1.0155914141776043,0.4051424786545845,-0.16308595511522836
72,72,72,03-13,0.7296378444244901,-0.8453134359422485,0.03274660408519156
