,unnamed: 0,unnamed: 0,mth_day,environmental,environmental_norm,environmental_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.4624357294003571,0.20351406671962105,
2,2,2,01-03,0.4526668372777954,0.14478417865048196,
3,3,3,01-04,0.32979278700156306,-0.593925915471492,
4,4,4,01-05,0.2241535177561116,-1.2290217257898628,-0.4169274809209148
5,5,5,01-06,0.3870859383905693,-0.24948354411666865,-0.31885675465138136
6,6,6,01-07,0.2992691359220771,-0.7774319455175681,-0.4731658665578813
7,7,7,01-08,0.5603118579072423,0.7919384243368212,-0.3429353236554413
8,8,8,01-09,0.2986639146805364,-0.7810704927885181,-0.2072378446801062
9,9,9,01-10,0.459764918722183,0.1874573419431484,0.011104755835147345
10,10,10,01-11,0.35958173773021296,-0.4148368519378521,0.2201443025695025
11,11,11,01-12,0.6049952905434698,1.0605720589748526,0.3005306562156984
12,12,12,01-13,0.5078938939661998,0.4768053348885628,0.29951742540027104
13,13,13,01-14,0.6405387041737945,1.274256546213996,0.2485575822027705
14,14,14,01-15,0.29765269437790154,-0.7871498776810818,0.28649630946273325
15,15,15,01-16,0.40890619307370396,-0.11830171724185487,0.07259754466987589
16,16,16,01-17,0.3974451847131417,-0.1872044883780755,-0.07401189030039808
17,17,17,01-18,0.3915209563900623,-0.2228205297822916,-0.3681869781974956
18,18,18,01-19,0.3615753701486577,-0.402851274933081,-0.2824719690703805
19,19,19,01-20,0.3469473359666509,-0.4907939811685886,-0.028429449059058805
20,20,20,01-21,0.38319762269052704,-0.2728598229183916,-0.17265762958093556
21,21,21,01-22,0.6624446268210387,1.4059534028260754,-0.08079523728312782
22,22,22,01-23,0.2535031903174208,-1.0525735715093358,-0.2406886719514072
23,23,23,01-24,0.4832010698704018,0.3283538240045547,-0.2981456873160325
24,24,24,01-25,0.20199920553467635,-1.362211882942757,-0.11816115982019305
25,25,25,01-26,0.2896043302261377,-0.8355360733563408,-0.4333294795739036
26,26,26,01-27,0.5628250141918221,0.8070473420566451,-0.3391810260312358
27,27,27,01-28,0.3479016827753971,-0.4850565156961881,-0.047833528226086296
28,28,28,01-29,0.3474648289040555,-0.4876828502533285,0.1719509305135916
29,29,29,01-30,0.7739704586578797,2.0764388108354517,0.20858920298193007
30,30,30,01-31,0.4213475548912338,-0.04350513050468963,-0.017096338065447914
31,31,31,02-01,0.3261699028571156,-0.6157064385463097,0.02385699685697641
32,32,32,02-02,0.3375872918057349,-0.5470659042276232,0.2852860530151504
