,unnamed: 0,unnamed: 0,mth_day,tom cruise,tom cruise_norm,tom cruise_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.4615742359132131,-0.4386642868603069,
2,2,2,01-03,0.6494788059991128,0.7159841176590738,
3,3,3,01-04,0.29670968395279856,-1.4517348672930912,
4,4,4,01-05,0.33431330141218485,-1.2206656767790514,-0.5322459629779769
5,5,5,01-06,0.4501300376257896,-0.5089873518476897,-0.6717229544525964
6,6,6,01-07,0.4858638744573097,-0.2894077127467957,-0.8390584481729709
7,7,7,01-08,0.32538543237441325,-1.275526235708025,-0.6583143190864557
8,8,8,01-09,0.4860882679726379,-0.28802884466317275,-0.30843506047676256
9,9,9,01-10,0.4731927470495108,-0.3672700927739999,-0.3427929554371095
10,10,10,01-11,0.675944111693658,0.8786098748791074,-0.2978629603250133
11,11,11,01-12,0.4165821344390991,-0.7151347216097711,-0.17598126148627113
12,12,12,01-13,0.5297346391807799,-0.019827742074218658,-0.05306481966642937
13,13,13,01-14,0.44439375455452784,-0.5442360426755717,0.2444493194627909
14,14,14,01-15,0.6061069389355607,0.44946980625587785,0.2399919173914494
15,15,15,01-16,0.7636929522482839,1.4178147420013218,0.3694850625564141
16,16,16,01-17,0.6715917934469754,0.8518654624510578,0.3444337131634183
17,17,17,01-18,0.5430224621235528,0.06182414938001706,0.4781705846832527
18,18,18,01-19,0.5052738785578684,-0.17013583843219338,0.3635480289517585
19,19,19,01-20,0.5749777622015719,0.2581851864434345,-0.03362980139924684
20,20,20,01-21,0.494186624634315,-0.23826552813308755,0.10998642634797788
21,21,21,01-22,0.3758786401114848,-0.96525224010471,0.09084350440841443
22,22,22,01-23,0.8118222502331717,1.713562828934406,0.07163258684040259
23,23,23,01-24,0.5243308370202096,-0.053033382257363655,-0.25759212017758554
24,24,24,01-25,0.4865158608317252,-0.2854013438402644,-0.2982593295704043
25,25,25,01-26,0.2535145698129509,-1.7171630556644941,0.05407710030615629
26,26,26,01-27,0.4544781499108861,-0.4822687844900002,-0.2301981971263947
27,27,27,01-28,0.7199086935325368,1.1487663391546534,-0.2265951745269791
28,28,28,01-29,0.5342487793426666,0.007911044339100342,-0.0703541853257334
29,29,29,01-30,0.527848917900431,-0.03141524666087006,-0.1388901852756037
30,30,30,01-31,0.6390734487039024,0.6520445913672097,-0.09169489285417658
31,31,31,02-01,0.1865943148388068,-2.128379055363716,-0.29983995044571393
32,32,32,02-02,0.5005608072695197,-0.19909702996143733,-0.2407821841319119
33,33,33,02-03,0.5166706823293463,-0.1001040063945708,-0.34673604412266745
34,34,34,02-04,0.5919142512525214,0.3622576422219128,-0.6792617347933335
35,35,35,02-05,0.4243929337276991,-0.6671384066054034,-0.07167611729208634
36,36,36,02-06,0.3143870937749483,-1.3431095526567869,-0.0871700638660729
37,37,37,02-07,0.7798560235983829,1.5171346496437663,0.03908953000029298
38,38,38,02-08,0.4854321324702121,-0.2920607094053567,-0.18305708313204508
39,39,39,02-09,0.6399536901011631,0.6574535568036245,-0.04998290365927114
40,40,40,02-10,0.3750047729734821,-0.9706220365721157,-0.028521852272335838
41,41,41,02-11,0.5543298723775584,0.13130667023124032,-0.4926756709566684
42,42,42,02-12,0.33534219812707555,-1.2143432443351747,-0.3477319075492293
43,43,43,02-13,0.3266446906303434,-1.2677882624622283,-0.6035197026613629
44,44,44,02-14,0.6269588280934253,0.5776018710392775,-0.5042966709813422
45,45,45,02-15,0.3901961250156837,-0.8772732138691782,-0.6338580544175361
46,46,46,02-16,0.4718886089748732,-0.37528384649199065,-0.581178100392386
47,47,47,02-17,0.4278229151478586,-0.6460616303859225,-0.17728153828658602
48,48,48,02-18,0.3867802154897433,-0.8982635201842755,-0.32326445744415605
49,49,49,02-19,0.7210193395603989,1.155591110172572,-0.2817486200084041
50,50,50,02-20,0.4844174749499676,-0.29829564390614244,-0.3668593513012566
51,51,51,02-21,0.43073322126725605,-0.6281781892546665,-0.11320035052466587
52,52,52,02-22,0.3887843740717631,-0.8859482342491058,0.03475134721676198
53,53,53,02-23,0.6755018724968745,0.8758923742736218,-0.241001041396136
54,54,54,02-24,0.5312439330098172,-0.010553333735708305,-0.20381824913813
55,55,55,02-25,0.4517678488226564,-0.4989232215048157,-0.1875075275524087
56,56,56,02-26,0.5207236781187609,-0.07519889035810652,0.01605685468084624
57,57,57,02-27,0.4466594155027981,-0.5303138597403388,-0.2618529402233089
58,58,58,02-28,0.5875496999248565,0.3354380591504238,-0.3449072796638542
59,59,59,02-29,0.4041438365974746,-0.7915663951513092,-0.2252521425211213
60,60,60,03-01,0.4501476102577491,-0.5088793703789798,-0.4975048944023629
61,61,61,03-02,0.5686021007838847,0.21900760135158207,-0.4534307663353216
62,62,62,03-03,0.25488931972855283,-1.7087154016455564,-0.3826140599727272
