,unnamed: 0,unnamed: 0,mth_day,intellectual,intellectual_norm,intellectual_ravg
0,0,0,01-01,,,
1,1,1,01-02,3.269184312947332,-1.096769018591203,
2,2,2,01-03,3.82530372806595,-0.11356496095183614,
3,3,3,01-04,3.204149661556684,-1.211748520108531,
4,4,4,01-05,3.082769360843653,-1.426345602918674,-1.1082364568900631
5,5,5,01-06,3.1826484712911465,-1.2497620419141735,-1.2593305145286349
6,6,6,01-07,3.0121331007437795,-1.5512285968559612,-1.6350188021237977
7,7,7,01-08,2.7564138154560687,-2.0033333644226325,-1.6101449608759948
8,8,8,01-09,2.5503239363879318,-2.367694686522813,-1.5990671625739368
9,9,9,01-10,3.2885644436499972,-1.062505472621715,-1.5782122486871206
10,10,10,01-11,3.1203642751323537,-1.3598788131063275,-1.179802389708388
11,11,11,01-12,3.2534241505998627,-1.1246325585932762,-0.8498787485377054
12,12,12,01-13,4.364223479325264,0.8392305570164351,-0.516406779742834
13,13,13,01-14,3.87608134084545,-0.023791517398536844,-0.09545721324628004
14,14,14,01-15,3.68203348215557,-0.3668628737535844,-0.12752662010024862
15,15,15,01-16,4.717148214611396,1.4631919263576088,0.29939297464965925
16,16,16,01-17,3.0115297785031414,-1.5522952542301394,0.4203035217841784
17,17,17,01-18,4.702268508942084,1.4368850099061712,0.3169368896507809
18,18,18,01-19,4.774559679008346,1.5646938398235497,0.3761511447094701
19,19,19,01-20,3.5252842267072717,-0.6439913101989218,0.08688262856107565
20,20,20,01-21,3.882989916177946,-0.011577343401448604,0.36763346028900745
21,21,21,01-22,3.735452685004372,-0.2724191705327582,-0.01576377720900646
22,22,22,01-23,3.9643186962551717,0.13220973613745168,-0.6226955604052589
23,23,23,01-24,3.4011267216263823,-0.8634984150819124,-0.9332057788067206
24,24,24,01-25,2.7148048661668263,-2.0768968593539645,-1.3405533187102414
25,25,25,01-26,2.4715003674723444,-2.5070526206076926,-1.5736924982838778
26,26,26,01-27,2.5005675763939594,-2.4556625828225744,-1.5435086398092617
27,27,27,01-28,2.944244248596873,-1.6712542479745776,-1.4149744570851936
28,28,28,01-29,4.066754174977029,0.3133128869851502,-1.2852333523538941
29,29,29,01-30,3.8373353842973614,-0.09229331873750476,-1.1602991135138507
30,30,30,01-31,3.155109480774987,-1.2984502309661687,-0.7115996656712057
31,31,31,02-01,2.89549183877788,-1.7574471875674318,-0.3577342969091828
32,32,32,02-02,4.023326596108002,0.2365341042332956,-0.6647627541061916
