,unnamed: 0,unnamed: 0,mth_day,rebellion,rebellion_norm,rebellion_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.338605534989894,0.059823807411939926,
2,2,2,01-03,2.0912562285982257,-0.5805913557127346,
3,3,3,01-04,1.9367241281802656,-0.9806923373603622,
4,4,4,01-05,1.5157552992055787,-2.0706279640701224,-1.2870208608243026
5,5,5,01-06,1.56293310358623,-1.9484793244436296,-1.5006775039993638
6,6,6,01-07,1.4651858355903382,-2.201557990770907,-1.5295507898639986
7,7,7,01-08,1.8434783843071547,-1.2221160516384288,-1.5764247797731803
8,8,8,01-09,2.0243453778586527,-0.7538310709005422,-1.3367901610671378
9,9,9,01-10,1.828098509430614,-1.261936276815453,-0.9140052991969492
10,10,10,01-11,2.0710837186811717,-0.6328202518338655,-0.5313128818036742
11,11,11,01-12,2.5426932500473147,0.5882298467775013,-0.018022094832561047
12,12,12,01-13,2.352035892747552,0.09459651358874263,-0.008542246255160868
13,13,13,01-14,3.032976642109852,1.8576286701882505,0.09111547624537657
14,14,14,01-15,2.0463139454879125,-0.6969519794361412,0.19644218448357206
15,15,15,01-16,2.0590449637601083,-0.6639899418122284,0.20155808281462545
16,16,16,01-17,2.3151674605475097,-0.000860002404692014,0.4599291111845589
17,17,17,01-18,2.5545488147805,0.6189252367638212,0.12235165249982582
18,18,18,01-19,2.9507840018384397,1.6448226838083433,0.1534727979489758
19,19,19,01-20,2.2506758310073334,-0.16783608192014793,0.25824095672957165
20,20,20,01-21,2.1184339780936634,-0.5102251067412413,0.06189280687622367
21,21,21,01-22,2.3018343250850917,-0.035380989128653235,-0.2014301329094504
22,22,22,01-23,1.8601509511892689,-1.17894890152478,-0.457060699675417
23,23,23,01-24,1.9443251636550976,-0.961012401950223,-0.4704171310208825
24,24,24,01-25,2.3583866287947144,0.11103928321254344,-0.6773884023809572
25,25,25,01-26,2.2197236841557544,-0.2479746699929404,-0.6038811783002874
26,26,26,01-27,1.6387994844555116,-1.7520527349016903,-0.5671755125108354
27,27,27,01-28,2.4721797066880358,0.4056623553553661,-0.4639398449531984
28,28,28,01-29,1.9452125315181947,-0.9587149067880693,-0.7365187767475087
29,29,29,01-30,2.183563135229714,-0.3415983966044008,-0.8530554728522091
30,30,30,01-31,1.7267131744622886,-1.5244343075533184,-0.7063053997284183
31,31,31,02-01,1.9496619559790032,-0.9471948466211426,-0.8048599630227384
32,32,32,02-02,1.9788775858826293,-0.8715522961589465,-0.5655867538812188
33,33,33,02-03,2.243789709608861,-0.18566502441055432,-0.5580934778495931
34,34,34,02-04,2.499703421744744,0.4769243480610487,-0.3788503438679641
35,35,35,02-05,2.2009280266540268,-0.2966387404146457,-0.1850500256982829
36,36,36,02-06,2.1420905804203696,-0.4489755036635453,-0.2368869552458641
37,37,37,02-07,2.3987741291873985,0.2156070623969442,-0.3971441354241457
38,38,38,02-08,1.8587508683342024,-1.1825738734444329,-0.4771598155443738
39,39,39,02-09,1.8724102859739555,-1.1472081054802452,-0.2264685256852269
40,40,40,02-10,2.314275367090675,-0.0031697326603190197,-0.041173921112085315
41,41,41,02-11,2.7818791368296085,1.2075089987402357,0.10493671472147288
42,42,42,02-12,2.5714916429654404,0.6627921237753039,0.6271501884338632
43,43,43,02-13,2.7373704008953545,1.0922708773982934,0.9152949910334014
44,44,44,02-14,3.0689265288939174,1.9507069688299088,0.623837258023514
45,45,45,02-15,2.5401560343626595,0.5816607101169842,0.3269765492328298
