,unnamed: 0,unnamed: 0,mth_day,money,money_norm,money_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.58730516035041,-1.6538528467060392,
2,2,2,01-03,3.591528778407649,0.4227923691107158,
3,3,3,01-04,3.0670052131370737,-0.661875759397891,
4,4,4,01-05,3.0116687679827416,-0.7763066112756449,-0.8713591807729845
5,5,5,01-06,2.7044386205056457,-1.4116312585362536,-0.8833701664695516
6,6,6,01-07,2.8322730687303834,-1.1472809778327937,-1.3545526448509486
7,7,7,01-08,2.55245554206962,-1.7259187608854425,-1.5142608873558532
8,8,8,01-09,2.2244028882418356,-2.404302501177665,-1.4617436679724969
9,9,9,01-10,2.60361516104647,-1.6201252144273186,-1.3718976459774834
10,10,10,01-11,3.1640463575424023,-0.4612032949755077,-1.1691673767495134
11,11,11,01-12,2.96512493299277,-0.8725551265661705,-0.7187394920914713
12,12,12,01-13,3.4204906118231024,0.06910063753502657,-0.2979699888522513
13,13,13,01-14,3.859362422147152,0.9766485470628103,0.18714667504528612
14,14,14,01-15,3.4452566085385308,0.12031451825765388,0.07475537258246225
15,15,15,01-16,4.0111707926638935,1.2905747689579061,0.4106580837303639
16,16,16,01-17,2.8379453956513503,-1.1355511097524509,0.6263970757445937
17,17,17,01-18,3.93973946994393,1.1428611403212392,0.28642765956189525
18,18,18,01-19,4.046452686037138,1.3635345896204056,0.06082539803453081
19,19,19,01-20,2.8729484274575867,-1.06316795003338,-0.1680870722616945
20,20,20,01-21,2.7906764686455445,-1.233299050906533,-0.19336086943439326
21,21,21,01-22,3.3469861527790803,-0.08290005281944578,-0.6574283612856809
22,22,22,01-23,2.7646140133463666,-1.2871938927886435,-1.1018312857129764
23,23,23,01-24,2.5932575611224733,-1.6415438107864868,-1.2286703950410658
24,24,24,01-25,2.7570270992941306,-1.3028829569433662,-1.3148554288383003
25,25,25,01-26,2.5049274627483653,-1.8242026060019167,-1.4438324692494724
26,26,26,01-27,2.5406124351658406,-1.7504092536899407,-1.2888476739149473
27,27,27,01-28,2.972762026727544,-0.8567622952864756,-1.304048484830985
28,28,28,01-29,3.214299084429104,-0.3572851207814933,-1.1581100183401765
29,29,29,01-30,2.5491527331453843,-1.732748676282714,-1.0364620611239492
30,30,30,01-31,3.1804644405892857,-0.4272521579985149,-1.0145352590877559
31,31,31,02-01,2.8578864105585384,-1.0943148627045518,-0.8823989908814779
32,32,32,02-02,2.604232582619533,-1.6188484414727806,-1.0644007851721968
33,33,33,02-03,3.3561525847025635,-0.06394468604880844,-0.8239259299580777
34,34,34,02-04,2.6862247683250398,-1.4492958865258063,-0.6794805631377878
35,35,35,02-05,3.2468853857398723,-0.289899544998,-0.5506418506001189
36,36,36,02-06,3.59956958510332,0.4394200429232239,-0.1521427186455654
37,37,37,02-07,3.2317091812416687,-0.3212825874785392,-0.3449575454327667
38,38,38,02-08,3.760469296631398,0.7721463502545408,-0.25536379331896664
39,39,39,02-09,2.7967044859232013,-1.2208336467720171,-0.14723029375726404
40,40,40,02-10,2.946179125143733,-0.9117333738430063,-0.321034842116038
41,41,41,02-11,3.5606324235178244,0.35890145237221555,-0.5183543406773904
42,42,42,02-12,3.0952794028662773,-0.6034072472294197,-0.6362806021439734
43,43,43,02-13,2.659190873590585,-1.5051995788466532,-0.5600668557359253
44,44,44,02-14,3.4183087694928447,0.06458878145504234,-0.4068016697103325
45,45,45,02-15,3.01783704216532,-0.7635511683237278,-0.6983943547527575
46,46,46,02-16,3.3908747865708166,0.00785774231055085,-0.7061792604277933
