,unnamed: 0,unnamed: 0,mth_day,high school,high school_norm,high school_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.27107560208091,-1.8798304326555448,
2,2,2,01-03,2.4354220985723423,-1.5600437602062474,
3,3,3,01-04,2.8160742858765846,-0.8193678167740325,
4,4,4,01-05,2.408957589119688,-1.6115386055272027,-1.5457178020114757
5,5,5,01-06,2.4115424922913213,-1.6065088811247523,-1.394123008342513
6,6,6,01-07,2.313635367056772,-1.7970173157810736,-1.3941731792513945
7,7,7,01-08,2.7385261002836283,-0.9702616706417666,-1.3305955905017381
8,8,8,01-09,2.435267393943085,-1.5603447856595358,-1.1740658906097958
9,9,9,01-10,3.012119115756774,-0.4379022842760949,-0.8728317530190494
10,10,10,01-11,2.8916251295221045,-0.67236040617555,-0.7388602041129569
11,11,11,01-12,3.34041375682796,0.20089594441972736,-0.7399309681744275
12,12,12,01-13,2.7267436656035984,-0.9931880223445196,-0.7109803565541905
13,13,13,01-14,2.7352243431330168,-0.9766862550105893,-0.7838804651015195
14,14,14,01-15,2.524538123482156,-1.3866411159381136,-0.8981848019621738
15,15,15,01-16,2.787327807066481,-0.8753029355600694,-0.9866635968329716
16,16,16,01-17,2.5391617109635325,-1.3581864273394757,-0.8356693743338309
17,17,17,01-18,3.067584751677248,-0.3299768248050601,-0.5763285817033291
18,18,18,01-19,3.1923422711011304,-0.08722268734967524,-0.4949010969160342
19,19,19,01-20,3.5349152809639226,0.5793585007724221,-0.465077012213521
20,20,20,01-21,2.775624044113005,-0.8980762072143431,-0.5957148479852178
21,21,21,01-22,2.8792919366728933,-0.6963584273449903,-0.6848144145760392
22,22,22,01-23,2.1363330917369674,-2.1420134419696564,-0.8531209186067451
23,23,23,01-24,2.7928415643651845,-0.8645742243499888,-1.2710827805399656
24,24,24,01-25,2.6733603373830546,-1.097061711533911,-1.3426327608640498
25,25,25,01-26,2.2461079554494185,-1.9284126708269007,-1.4336353436296048
26,26,26,01-27,2.5549959266202382,-1.3273760891588482,-1.126580107615742
27,27,27,01-28,2.5986806991630784,-1.2423739239383211,-0.907563633016144
28,28,28,01-29,3.083154018607753,-0.29968202588647896,-0.6238219541048807
29,29,29,01-30,3.4681903523304904,0.4495246232476003,-0.20793677095215726
30,30,30,01-31,3.548292688012328,0.6053883619336683,-0.15113073521152126
31,31,31,02-01,3.5285117330118063,0.5668984280894396,-0.02158487816761882
32,32,32,02-02,2.7301603175944256,-0.9865398747150323,0.10461982415621178
33,33,33,02-03,2.9981421447026047,-0.4650987816749065,-0.18750570648385406
34,34,34,02-04,3.4723128383072366,0.4575461880565047,-0.4072743583868639
35,35,35,02-05,2.5674059551194297,-1.3032285605927951,-0.7545766417664218
36,36,36,02-06,2.870624521876393,-0.7132235494843903,-0.7450796231062465
37,37,37,02-07,2.4575869244248354,-1.5169152721879071,-0.4350143053460737
38,38,38,02-08,2.759444872800416,-0.9295577627539808,-0.42629176410526265
39,39,39,02-09,3.954244816532364,1.3952931248861304,-0.3893595042508142
40,40,40,02-10,3.4992092517653037,0.509881435501371,-0.2722344073307947
41,41,41,02-11,2.68128851566708,-1.0816350014661045,-0.0639131244922763
42,42,42,02-12,3.231785902041352,-0.010472967964272979,-0.1964768922091224
43,43,43,02-13,3.0999565275771883,-0.2669875751567966,-0.6106990203164662
44,44,44,02-14,2.3506775413959744,-1.7249403690550569,-0.9455812267418476
