,unnamed: 0,unnamed: 0,mth_day,happy ending,happy ending_norm,happy ending_ravg
0,0,0,01-01,,,
1,1,1,01-02,3.4834157748358168,-0.6465697760823407,
2,2,2,01-03,3.6108065272030863,-0.4184351166377822,
3,3,3,01-04,2.3658741393136684,-2.647892287310891,
4,4,4,01-05,2.8011877749893723,-1.8683213515797323,-1.4210749622931669
5,5,5,01-06,2.9730711857883576,-1.560508086816644,-1.5531805011508322
6,6,6,01-07,3.071229767790886,-1.3847231553316093,-1.7887818360388488
7,7,7,01-08,3.0408081317551336,-1.439203009228334,-1.5567532655081735
8,8,8,01-09,2.8214455931865285,-1.8320431259658807,-1.4007466414782297
9,9,9,01-10,3.1432648499379328,-1.25572086412684,-1.1150890753930511
10,10,10,01-11,3.3238738392070424,-0.9322816074000678,-0.8038815484937376
11,11,11,01-12,3.9301409888141734,0.153437309694429,-0.6915668538671277
12,12,12,01-13,4.113902400452272,0.4825220060642693,-0.5319774737451818
13,13,13,01-14,3.417108343705905,-0.7653148414686743,-0.22144015299303108
14,14,14,01-15,3.356135357198516,-0.8745068452342059,-0.16188363957340898
15,15,15,01-16,4.183692017604142,0.6075030603860647,-0.03563413536781826
16,16,16,01-17,3.523412543357541,-0.5749425268823354,0.046991667364508084
17,17,17,01-18,4.353128518176942,0.9109343349279734,-0.003267655951765813
18,18,18,01-19,4.390732669048403,0.9782768224582272,-0.11727640404886555
19,19,19,01-20,3.2487190329457136,-1.0668707813663176,-0.2217476171578194
20,20,20,01-21,2.974159372526102,-1.5585593338168042,-0.35913194187814795
21,21,21,01-22,3.8336706800904,-0.019324218267658386,-0.7842162636536324
22,22,22,01-23,3.0631188063461705,-1.3992484752043066,-1.1497676893589366
23,23,23,01-24,2.9289219981587986,-1.639571595724933,-1.2654942194612762
24,24,24,01-25,3.1659857253904886,-1.215031731773598,-1.3642117048503677
25,25,25,01-26,2.8609877752450834,-1.761229961980355,-1.7002929467419712
26,26,26,01-27,2.643415378619885,-2.150864246151352,-1.5395103290540744
27,27,27,01-28,2.7076609181716256,-2.03581166961728,-1.4012465053058203
28,28,28,01-29,3.6018064047507776,-0.4345527690769264,-1.4040889811765604
29,29,29,01-30,3.392162417006585,-0.8099886532354096,-1.270685503072512
30,30,30,01-31,3.156462267429976,-1.2320865869980375,-0.9916311697956952
31,31,31,02-01,3.3079440462157925,-0.9608090933560641,-0.7403013183827248
32,32,32,02-02,3.5783616481792415,-0.4765382464904512,-0.9524615319386992
33,33,33,02-03,3.549718822265766,-0.5278325611394582,-1.124483201269186
34,34,34,02-04,2.890982824683641,-1.7075140504127728,-0.85057533686776
35,35,35,02-05,2.8158193939997704,-1.8421186692183305,-0.7027620290838782
36,36,36,02-06,4.074165759140486,0.4113605994105189,-0.75909390600034
37,37,37,02-07,3.803179146423607,-0.07392924665277385,-0.9063319562740068
38,38,38,02-08,3.389626796575709,-0.8145295079892212,-0.6893490581593683
39,39,39,02-09,3.056411070244578,-1.4112608627814598,-0.13599871266777794
40,40,40,02-10,3.6179643725717314,-0.40561666172494176,-0.3531464828569057
41,41,41,02-11,4.6697696093635255,1.4779834037312116,-0.4907344805623458
42,42,42,02-12,3.3466318222993623,-0.8915260217242481,-0.2710588202136732
43,43,43,02-13,3.34220302152238,-0.8994572328854145,-0.20839534029221285
44,44,44,02-14,4.1256302004441645,0.5035244541028143,-0.2927853178960644
45,45,45,02-15,3.2663593842600416,-1.0352799832526978,-0.5693943435284085
46,46,46,02-16,3.3352233958507167,-0.9119565273480508,-0.5125650468242774
47,47,47,02-17,3.7430161215942896,-0.18167075006285333,-0.5475584009640732
48,48,48,02-18,3.5370332338499333,-0.5505502414994612,-0.6752047662273443
49,49,49,02-19,3.2249609578418386,-1.1094173577241893,-0.4668546953647135
50,50,50,02-20,3.697962614622013,-0.2623537374768129,-0.4081394928370701
51,51,51,02-21,3.9644174263195793,0.2148204419230876,-0.5438654057789293
52,52,52,02-22,3.5319433640555715,-0.55966531218219,-0.7084973904125679
53,53,53,02-23,3.2882787430435316,-0.996026227714008,-0.5012419723303242
54,54,54,02-24,2.985448680132625,-1.5383421493012932,-0.4207621171620077
55,55,55,02-25,3.9193514649039143,0.1341151507692723,-0.2503878933520966
56,56,56,02-26,3.967603080264429,0.2205253935330861,-0.21942870360322492
57,57,57,02-27,4.5352408323196345,1.2370657847825544,-0.2723561200210243
58,58,58,02-28,3.635669325320523,-0.3739101736889601,-0.08919733755943683
59,59,59,02-29,3.1109502279971486,-1.313590726220804,-0.25670071134758715
60,60,60,03-01,3.5991055919915227,-0.4393894545317683,-0.4781786491509796
61,61,61,03-02,3.3581465818875067,-0.8709050919596296,-0.4735627293277398
62,62,62,03-03,3.2255613090170665,-1.1083422332872686,-0.4633851338651001
63,63,63,03-04,4.550706053621331,1.2647613037219934,-0.35146282388270306
64,64,64,03-05,3.669768437128402,-0.3128446009131217,-0.3062029767577626
65,65,65,03-06,3.4859357907359505,-0.6420568663264219,-0.4419865339181164
66,66,66,03-07,3.7507446105776046,-0.16783037178212534,-0.14768408383903125
67,67,67,03-08,2.9032160716035467,-1.6856064349217523,-0.4444917591443465
68,68,68,03-09,4.211595012893182,0.6574724671872423,-0.3187224706525948
69,69,69,03-10,3.556278819524181,-0.5160847481098981,-0.4173586968513836
70,70,70,03-11,4.09114704723532,0.4417711300373883,-0.4758615237660397
71,71,71,03-12,3.1554640483871568,-1.2338742235191549,-0.0912631750131803
72,72,72,03-13,3.554736187629103,-0.5188473332700616,-0.1622326841091524
73,73,73,03-14,4.191778005843354,0.6219836575954035,-0.12535588730863695
74,74,74,03-15,3.9738181004095567,0.2316554126114097,0.02766100143760562
75,75,75,03-16,3.6798311872551603,-0.29482396730680543,-0.04161162116673948
76,76,76,03-17,4.603816274166705,1.3598724625148435,0.15281005162581549
77,77,77,03-18,2.9233724004059063,-1.6495099591452254,0.0943001804046508
78,78,78,03-19,4.206128393456535,0.6476827034852681,0.279454537225261
79,79,79,03-20,3.9957459815839,0.2709244302684156,0.2546927091323958
80,80,80,03-21,4.594161003418233,1.3425815535350707,0.11677767706662714
81,81,81,03-22,3.5968689249206447,-0.4433949358639965,0.5959066582987079
82,82,82,03-23,4.141744450260855,0.532382270120232,0.6472226968030887
