,unnamed: 0,unnamed: 0,mth_day,dog,dog_norm,dog_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.2892328816036398,-0.1488968110719539,
2,2,2,01-03,1.2652645115572223,-0.2298123545732773,
3,3,3,01-04,1.1872818261991434,-0.4930764546026712,
4,4,4,01-05,0.6271938173967483,-2.383894459875967,-1.1102380944221355
5,5,5,01-06,0.836903745945486,-1.6759283857006009,-1.3905840459053656
6,6,6,01-07,0.8209402300145754,-1.7298201007083434,-1.562353132479192
7,7,7,01-08,0.7909774007351043,-1.830972519971335,-1.2825226093923618
8,8,8,01-09,0.9599813841341732,-1.260426874016234,-0.8432113032853925
9,9,9,01-10,1.6846212423906508,1.1859066839183092,-0.8644138571679534
10,10,10,01-11,1.4079765072027972,0.2519733767658495,-0.5702480144656549
11,11,11,01-12,0.799220702461163,-1.8031437089959668,-0.24769846928355976
12,12,12,01-13,1.3437576369907531,0.035174955505447435,0.0781828936627182
13,13,13,01-14,1.3642408200509557,0.10432475112123596,0.05730912190820736
14,14,14,01-15,1.5391664030075576,0.6948613036614337,-0.11717213106361872
15,15,15,01-16,1.6475225394200608,1.060664053391244,0.27313581910668977
16,16,16,01-17,1.097873079127353,-0.7949141410651069,0.3714578898685263
17,17,17,01-18,1.492910318344746,0.5387039920258844,0.19978216205222613
18,18,18,01-19,1.518504268387567,0.6251073800764659,0.0011785702621688696
19,19,19,01-20,1.0591236180225068,-0.9257296157765648,-0.2863356499457311
20,20,20,01-21,1.1861906328705931,-0.4967602470789098,-0.2300616906639405
21,21,21,01-22,1.1365269809384588,-0.6644212678561556,-0.20682400364232345
22,22,22,01-23,1.1978881087505011,-0.4572703853743634,-0.6755150962372031
23,23,23,01-24,1.5342103794298834,0.6781301141555867,-0.6561897731958813
24,24,24,01-25,0.6855052381389337,-2.187039175492811,-0.8446677472251473
25,25,25,01-26,1.0934702817569015,-0.8097776775286356,-1.0031699911120546
26,26,26,01-27,0.8512110011469047,-1.6276280912545058,-0.899762169189097
27,27,27,01-28,0.8548228531321503,-1.6154347311776005,-0.7529346330991697
28,28,28,01-29,1.3816735843929886,0.16317654616338167,-0.5510230009936296
29,29,29,01-30,1.7951651897710814,1.5590953306951507,-0.4855455869485241
30,30,30,01-31,1.0443603484604207,-0.97556938285957,-0.4760944741978039
31,31,31,02-01,1.2098425006117324,-0.4169131932580027,-0.3528747005641278
32,32,32,02-02,0.8680083499348523,-1.5709214147501849,-0.5902874973720037
33,33,33,02-03,1.0738198717783496,-0.8761160893755439,-0.694746128746205
34,34,34,02-04,0.9597226819026838,-1.2613002346838735,-0.5180985327287989
35,35,35,02-05,1.6095121231551537,0.9323435424499432,-0.5494963183126801
36,36,36,02-06,1.3583139919222151,0.08431619324486637,-0.4106102358695343
37,37,37,02-07,1.1540395946966109,-0.6052999067612899,-0.21434355214572234
38,38,38,02-08,1.1148489104192658,-0.7376049200913096,0.035184528000719695
39,39,39,02-09,1.4226422833733692,0.3014840129673274,-0.08642516586242377
40,40,40,02-10,1.4032059314583856,0.2358682461947788,-0.1164573757166004
41,41,41,02-11,1.3933766798805949,0.20268537927108235,0.0011495030402183806
42,42,42,02-12,1.3049381072937092,-0.09587706588019344,0.06937630444858585
43,43,43,02-13,1.363060882924244,0.10034136577962284,0.02189641901837015
44,44,44,02-14,1.2361075822994685,-0.32824411164110484,-0.3471842221055953
45,45,45,02-15,1.3382568552212877,0.01660470038603321,-0.3732583438021264
46,46,46,02-16,0.7472433561133685,-1.9786156005490136,-0.5884249834111553
47,47,47,02-17,1.3470354576321724,0.046240649091896235,-0.8158460310249342
48,48,48,02-18,0.9225250318843548,-1.3868769035343675,-0.9741173557175568
49,49,49,02-19,0.9588681958570016,-1.264184919903051,-1.0420568963038197
50,50,50,02-20,0.9548138643941464,-1.2778720597968405,-0.6974730411431019
51,51,51,02-21,1.2175087285381718,-0.3910325431315423,-0.4686809566255901
52,52,52,02-22,1.3596680889988275,0.08888753041529092,0.08269012111329199
53,53,53,02-23,1.7536648720648138,1.418993156196968,0.12024693592236765
54,54,54,02-24,1.9024702032781464,1.9213495628989248,0.3876459259670402
55,55,55,02-25,1.0256174701860297,-1.0388440310485971,0.4084822005054514
56,56,56,02-26,1.4300588667334757,0.32652188047119485,0.2777721001562136
57,57,57,02-27,1.254540788158501,-0.2660148959010755,0.2325928677571381
58,58,58,02-28,1.1273586029537623,-0.6953730716801358,0.09792419010279034
59,59,59,02-29,1.6733683668177273,1.1479177618025154,0.1903700389345276
60,60,60,03-01,1.663125185497104,1.1133374969728378,0.10139647336073858
61,61,61,03-02,1.189920363166143,-0.4841689380581735,-0.0016092486452068215
62,62,62,03-03,1.2719272209400876,-0.20731951297153944,0.3342524979339682
63,63,63,03-04,1.0714699598524495,-0.8840492279367479,0.08483712442727054
64,64,64,03-05,1.7242816373752652,1.3197974077949146,0.049043246583716366
65,65,65,03-06,1.2300854294145136,-0.3485744792376706,0.17047346335595734
66,66,66,03-07,1.5995091577901497,0.8985742299115129,0.13128629841038034
67,67,67,03-08,1.4057368239700818,0.2444123625752725,0.2793683866029285
68,68,68,03-09,1.2022803449622796,-0.4424425026450014,-0.03894790915958465
69,69,69,03-10,1.3346544705258936,0.004443301218541241,-0.03209158079838995
70,70,70,03-11,1.1585419212341197,-0.5901003667801643,-0.1011153869644212
71,71,71,03-12,1.2422710991790509,-0.3074365090705025,-0.19870449234840368
72,72,72,03-13,1.476833978959576,0.4844313929153255,-0.13304362306888887
73,73,73,03-14,1.2322928831056994,-0.3411222697286223,-0.031277891281035086
