,unnamed: 0,unnamed: 0,mth_day,london england,london england_norm,london england_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.1953606364725025,-1.4654968094052558,
2,2,2,01-03,1.2253608758416636,-1.3645454934974486,
3,3,3,01-04,1.4423645634487012,-0.6343243925519567,
4,4,4,01-05,0.7477218304216665,-2.9718090079900605,-1.597855369689654
5,5,5,01-06,1.0367620580404255,-1.9991837242598087,-1.6056472077640165
6,6,6,01-07,1.2885916714558043,-1.1517727904333934,-1.5853645939762897
7,7,7,01-08,1.1814673847449022,-1.5122478378514292,-1.5911515053694425
8,8,8,01-09,1.2615258290089757,-1.2428498107710866,-1.1627598395878194
9,9,9,01-10,1.4320462000608718,-0.6690458609108755,-0.9786688436422559
10,10,10,01-11,1.511566406490742,-0.4014590133003211,-0.7471279493043196
11,11,11,01-12,1.3650058591881669,-0.894637748586428,-0.4713660253326544
12,12,12,01-13,1.7014411043585729,0.23747257559422386,-0.4880107305436424
13,13,13,01-14,1.6731652088092588,0.14232370597856184,-0.14878692462561613
14,14,14,01-15,1.2318474556622754,-1.3427180420370142,-0.07767315322854436
15,15,15,01-16,2.0368998536706484,1.3662969745972822,-0.013018827200034649
16,16,16,01-17,1.6383659521036569,0.025223615082109626,-0.1476425065099731
17,17,17,01-18,1.480287878426734,-0.5067117924153698,-0.1537580326721419
18,18,18,01-19,1.461400096409136,-0.5702695002654068,0.04773621336136443
19,19,19,01-20,1.6622609082312862,0.105630549005549,-0.20938676590956296
20,20,20,01-21,1.5911221550451502,-0.13375256583597595,-0.2924910265523617
21,21,21,01-22,1.5784362354756645,-0.17644090102828267,-0.14655288297116525
22,22,22,01-23,1.4901867417905612,-0.4734019487746826,-0.3402457963183532
23,23,23,01-24,1.7405031634573065,0.3689170690718088,-0.4916492075138016
24,24,24,01-25,1.116035578139804,-1.7324269803485344,-0.4915057078826239
25,25,25,01-26,1.3923007673658192,-0.8027899181671412,-0.6576901362555992
26,26,26,01-27,1.5913780223359926,-0.1328915680489098,-0.5940125860153788
27,27,27,01-28,1.2821207737632383,-1.1735474712661342,-0.3681469778523717
28,28,28,01-29,1.6037271190983515,-0.09133664733336026,-0.012904358869081737
29,29,29,01-30,2.143233266530327,1.7241107180498516,-0.06209306141595195
30,30,30,01-31,1.7494516069130683,0.3990287335512053,-0.2337226262644171
31,31,31,02-01,1.3045947575494308,-1.0979221334483624,-0.007303138196371665
32,32,32,02-02,1.285353599654006,-1.1626689571397009,-0.12254591571445335
33,33,33,02-03,1.685838473456481,0.18496945714213847,-0.3806065496029931
34,34,34,02-04,1.3982432650235743,-0.7827933124418504,-0.7552671757960606
35,35,35,02-05,1.683097761482497,0.17574691471861295,-0.4846726846699245
36,36,36,02-06,1.0814122633790084,-1.8489350236071995,-0.3797255920869846
37,37,37,02-07,1.7870787806308557,0.5256448133084541,-0.4555254985249097
38,38,38,02-08,1.472479713084424,-0.5329864016420613,-0.12984457134201394
39,39,39,02-09,1.5506833058284832,-0.2698299814854123,-0.4082565400524521
40,40,40,02-10,1.9789492628956598,1.171292250655524,-0.2699637133491326
41,41,41,02-11,1.1866747700964118,-1.4947248975440155,-0.6750873341110439
42,42,42,02-12,1.327995551580603,-1.0191780633872825,-0.5580949005099457
43,43,43,02-13,1.0647223365766962,-1.9050969112630145,-0.5073167986522533
44,44,44,02-14,1.6810832947723895,0.16896819996452872,-0.8941770278085436
45,45,45,02-15,1.6412232971149925,0.03483862966074175,-0.7873840046829864
46,46,46,02-16,1.2891573940489245,-1.1498691242822172,-0.6608157633607962
47,47,47,02-17,1.3770922734986812,-0.8539667587906731,-0.3674966924941153
48,48,48,02-18,1.5536732954745278,-0.25976861545413993,-0.48995550786034
49,49,49,02-19,1.5877254648713226,-0.14518248606292924,-0.5214493925840381
50,50,50,02-20,1.4627328706606897,-0.5657846922328194,-0.18987455263311034
51,51,51,02-21,1.5850680659396863,-0.15412467868144647,-0.012971950094768649
52,52,52,02-22,1.8803725443142325,0.8395799154233493,-0.00786527997603656
53,53,53,02-23,1.6925187960825674,0.20744885643937705,0.008899773093775454
54,54,54,02-24,1.5627787533616473,-0.2291285947417473,0.016437471558208887
55,55,55,02-25,1.6176184246970489,-0.04459216764405717,0.11993848681725305
56,56,56,02-26,1.4761729782724855,-0.5205585014462187,0.136090746509195
57,57,57,02-27,1.769615748441905,0.4668814128728186,0.3235229731715523
58,58,58,02-28,1.909172861739732,0.9364934735750008,0.407156413441836
59,59,59,02-29,2.0267201850273584,1.3320422164135208,0.32447186713743104
60,60,60,03-01,1.7119015184180015,0.272672046879955,0.15012499512569652
61,61,61,03-02,1.4701875868348868,-0.5406994454704873,0.010540328675042362
62,62,62,03-03,1.1653034558745887,-1.5666397335166258,0.018843597071883232
63,63,63,03-04,1.520729042916933,-0.3706265858311064,-0.10172222200784653
64,64,64,03-05,1.9239780202784733,0.986313083956046,-0.3091281844672517
65,65,65,03-06,1.8117450715518253,0.6086473019351424,-0.20558015417175893
66,66,66,03-07,1.3420859217958159,-0.971763727876476,0.1746942929844668
67,67,67,03-08,1.6548190995874428,0.08058873630246928,0.38376983034704426
68,68,68,03-09,1.8433525335754128,0.7150069494207285,0.12170416644041868
69,69,69,03-10,1.893521578251972,0.8838266383443585,-0.03423046373940114
70,70,70,03-11,1.456701338824405,-0.5860808994837075,-0.01419469101998681
71,71,71,03-12,1.5337055320410133,-0.3269604791437766,-0.16882102401543236
72,72,72,03-13,1.3778107445258614,-0.85154909155999,-0.30589311049759754
